,DESC_ID,ORIG_DESC,NORM_DESC,CHRG_CLS,FLAG,CREATE_DT,FTR1,FTR2,FTR3,FTR4,Predicted_Class_Jaro,Prob_Jaro,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Voted Output,Voting Algorithm,Sum Correct,Correct_Jaro,Correct_Logistic_OvR,Correct_DeepNN,Confidence Score,Feature 1,Feature 2,Feature 3,Feature 4
10,6051,THROMBOPLASTIN TM PRTL PLSM/WHL BLD,thromboplastin time partial plasma/whole blood,Laboratory,ONLINE,16/09/2016,whole,bld,thromboplastin,,Laboratory,0.91,Laboratory,0.82521347702,Laboratory,0.999828108551,Laboratory,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.911680528524,partial,thromboplastin,whole,bld
11,3514,14530592 - POTASSIUM CHLORIDE  PER 2 MEQ,potassium chloride per 2_meq,Pharmacy,RETROSPECTIVE,13/07/2016,2_meq,potassium,chloride,per,Pharmacy,0.98,Pharmacy,0.827263612414,Pharmacy,0.984868184316,Pharmacy,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.93071059891,2_meq,potassium,chloride,per
12,4314,URSODIOL 60 MG/ML PO SUSP,ursodiol 60_mg/ml by_mouth suspension,Pharmacy,RETROSPECTIVE,13/07/2016,by_mouth,ursodiol,60_mg/ml,suspension,Pharmacy,0.93,Pharmacy,0.90862033852,Pharmacy,0.903491884024,Pharmacy,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.914037407515,po,ursodiol,60_mg/ml,susp
13,2254,MULTIVITAMIN WITH MINERALS,multivitamin with minerals,Pharmacy,RETROSPECTIVE,12/07/2016,minerals,multivitamin,,,Pharmacy,0.82,Pharmacy,0.559536311985,Laboratory,0.604576330198,Pharmacy,"Jaro, Logistic_OvR",2,1,1,0,0.459845437328,minerals,multivitamin,,
14,3975,HB GRAM STAIN,gram stain,Laboratory,RETROSPECTIVE,13/07/2016,stain,gram,,,Laboratory,0.94,Laboratory,0.833483907166,Laboratory,0.998863127711,Laboratory,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.924115678292,stain,gram,,
15,4267,SORE THROAT SPRAY 180 ML B,sore throat spray 180_ml b,Supply,RETROSPECTIVE,13/07/2016,throat,sore,spray,b,Supply,0.7,Supply,0.733961641528,Supply,0.997517000199,Supply,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.810492880576,spray,,,
16,4860,CEFTAZIDIME 200 MG/ML SOLR,ceftazidime 200_mg/ml solution,Pharmacy,ONLINE,16/09/2016,200_mg/ml,ceftazidime,solution,,Pharmacy,0.91,Pharmacy,0.960824005683,Pharmacy,0.933159656894,Pharmacy,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.934661220859,200_mg/ml,ceftazidime,solution,
17,145,HEPARIN 100 UT/ML  3 ML SYRINGE-HEPARIN LOCK SYRINGE 100 UT/ML  3 M,heparin 100_units/ml 3_ml syringe heparin lock syringe 100_units/ml 3 m,Diluent / Flush / Irrigant,RETROSPECTIVE,12/07/2016,heparin,syringe,3_ml,lock,Diluent / Flush / Irrigant,0.76,Diluent / Flush / Irrigant,0.969481050492,Diluent / Flush / Irrigant,0.999997618495,Diluent / Flush / Irrigant,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.909826222996,heparin,syringe,3_ml,lock
18,3102,PICC LINE PLC WO SO PORT >5 YRS,peripherally_inserted_central_catheter line placement without so port greater_than 5 years,Procedure,RETROSPECTIVE,13/07/2016,greater_than,line,without,portable,Supply,0.69,Procedure,0.67186034262,Procedure,0.982889091511,Procedure,"Logistic_OvR, DeepNN",2,0,1,1,0.55158314471,greater_than,line,without,picc
19,2699,15601252 - VANOMYCIN NEBS FOR INH,vancomycin nebulizer for inhalation,Pharmacy,RETROSPECTIVE,13/07/2016,nebs,inhaled,vancomycin,,Pharmacy,0.71,Respiratory Therapy,0.43867877531,Plan Benefit,0.465087150165,Pharmacy,Jaro,1,1,0,0,0.236666666667,inhalation,vancomycin,nebulizer,
20,5706,NICOTINE 21 MG/24HR PT24,nicotine 21_mg/24 hour patch_24,Plan Benefit,ONLINE,16/09/2016,21_mg/24hr,pt24,nicotine,,Plan Benefit,0.92,Plan Benefit,0.909077239883,Plan Benefit,0.999966879449,Plan Benefit,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.943014706444,nicotine,21_mg/24,hour,patch_24
21,4779,BLOOD CULTURE FOR BACTERIA,blood culture for bacteria,Laboratory,ONLINE,16/09/2016,culture,blood,bacteria,,Laboratory,0.81,Laboratory,0.959716450512,Laboratory,0.999987816259,Laboratory,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.92323475559,culture,blood,bacteria,
22,1095,NEONATAL INTENSIVE CARE UNIT,neonatal intensive care unit,Room and Board,RETROSPECTIVE,12/07/2016,neonatal,intensive,units,care,Room and Board,0.96,Room and Board,0.772785614222,Room and Board,0.999957159077,Room and Board,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.910914257766,neonatal,intensive,unit,care
23,3525,14668262 - PROPOFOL PER 10MG/100ML INJ,propofol per 10_mg/100_ml injection,Pharmacy,RETROSPECTIVE,13/07/2016,10_mg/100_ml,injection,propofol,per,Pharmacy,0.82,Pharmacy,0.947680761906,Pharmacy,0.994919599874,Pharmacy,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.92086678726,10_mg/100_ml,inj,propofol,per
24,3373,THERA ACTIVITIES 15 MIN,therapeutic activities 15_minutes,PT / OT / Speech Therapy,RETROSPECTIVE,13/07/2016,activities,therapy,min,,PT / OT / Speech Therapy,0.85,PT / OT / Speech Therapy,0.880560992769,PT / OT / Speech Therapy,0.934570254716,PT / OT / Speech Therapy,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.888377082495,activities,15_minutes,therapeutic,
25,1491,SET TRIFURCATED W/BIONECTOR,set trifurcated with bionector,Supply,RETROSPECTIVE,12/07/2016,trifurcated,set,bionector,,Supply,0.72,Supply,0.906036749766,Supply,0.999972521019,Supply,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.875336423595,trifurcated,set,bionector,
26,5396,HC T4 FREE,thyroxine free,Laboratory,ONLINE,16/09/2016,thyroxine,free,,,Laboratory,0.92,Laboratory,0.744681801006,Laboratory,0.995961498677,Laboratory,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.886881099895,thyroxine,free,,
27,2735,58858001 - ADLT VENT SUBSEQ DAYW EPOPROST,adult ventilator subsequent day epoprostenol,Respiratory Therapy,RETROSPECTIVE,13/07/2016,ventilator,subsequent,adult,,Diluent / Flush / Irrigant,0.69,Respiratory Therapy,0.882633075027,Respiratory Therapy,0.998814176099,Respiratory Therapy,"Logistic_OvR, DeepNN",2,0,1,1,0.627149083708,ventilator,subseq,adlt,day
28,3524,14668212 - PROPOFOL PER 10MG/ 5ML SYR INJ,propofol per 10_mg/5_ml syringe injection,Pharmacy,RETROSPECTIVE,13/07/2016,syringe,injection,propofol,per,Pharmacy,0.78,Pharmacy,0.963507770396,Pharmacy,0.999687876192,Pharmacy,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.914398548863,syr,inj,propofol,per
29,3738,AIRWAY LMA UNIQUE STD 3,airway lma unique standard 3,Supply,RETROSPECTIVE,13/07/2016,lma,unique,standard,airway,Respiratory Therapy,0.74,Supply,0.406672292555,Supply,0.795300067936,Supply,"Logistic_OvR, DeepNN",2,0,1,1,0.400657453497,lma,unique,std,airway
30,6050,THROMBOPLASTIN TM PRTL PLS,thromboplastin time partial plasma,Laboratory,ONLINE,16/09/2016,tm,pls,prtl,thromboplastin,Laboratory,0.89,Laboratory,0.868532519496,Laboratory,0.999138718125,Laboratory,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.919223745874,plasma,partial,thromboplastin,time
31,5751,OSTOMY POUCH 22771 2 1/2 DISP,ostomy pouch 22771 2 1/2 disposable,Supply,ONLINE,16/09/2016,ostomy,pouch,02/Jan,disp,Supply,0.83,Supply,0.943559674934,Supply,0.999976576669,Supply,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.924512083867,ostomy,pouch,1/2,disp
32,5023,DISP: 0.500 ML; 400 MCG/ML; USED NDC QTY: 1.000 PCK OF 60.000 ML DROP BTL PEDIATRIC MULTIVITAMIN COMB NO.40-PHYTONADIONE 400 MCG/ML ORAL DROPS,dispensed 0.500_ml 400 mcg/ml used ndc quantity 1 pack of 60.000_ml drop bottle pediatric multivitamin comb no.40 phytonadione 400 mcg/ml oral drops,Pharmacy,ONLINE,16/09/2016,drops,pediatric,mcg,ml,Pharmacy,0.76,Pharmacy,0.959577535904,Pharmacy,0.995380805222,Pharmacy,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.904986113709,used,pediatric,mcg,ml
33,3326,HB POSITIONER Z-FLO 12X20 YELLOW,positioner z flo 12x20 yellow,Supply,RETROSPECTIVE,13/07/2016,positioner,z,12x20,yellow,Supply,0.72,Supply,0.664724476431,Supply,0.700183784317,Supply,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.694969420249,positioner,z,12x20,yellow
34,504,SILDENAFIL SUSP PO 5MG SILDENAFI,sildenafil suspension by_mouth 5_mg sildenafil,Plan Benefit,RETROSPECTIVE,12/07/2016,sildenafi,suspension,po,5_mg,Plan Benefit,0.82,Plan Benefit,0.971593235897,Plan Benefit,0.999999970535,Plan Benefit,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.930531068811,susp,po,5_mg,sildenafil
35,5458,HCHG MUCOLYSACCHARIDES HCHG MUCOLYSACCHARIDES,mucolysaccharides,Laboratory,ONLINE,16/09/2016,hchg,mucolysaccharides,,,Laboratory,0.73,Laboratory,0.167765855032,Supply,0.293535366415,Laboratory,"Jaro, Logistic_OvR",2,1,1,0,0.299255285011,mucolysaccharides,,,
36,4677,ADL SELFCARE MANAGEMENT TRAIN,activities_of_daily_living selfcare management training,PT / OT / Speech Therapy,ONLINE,16/09/2016,selfcare,training,management,adl,OR / Anesthesia / Recovery Room,0.73,PT / OT / Speech Therapy,0.594441039633,PT / OT / Speech Therapy,0.9628444068,PT / OT / Speech Therapy,"Logistic_OvR, DeepNN",2,0,1,1,0.519095148811,selfcare,training,management,adl
37,2714,27677000 - US RETROPERITONEAL COMP,ultrasound retroperitoneal comprehensive,Radiology,RETROSPECTIVE,13/07/2016,compressors,retroperitoneal,27677000_us,,Radiology,0.73,Radiology,0.774115914753,Radiology,0.988890263756,Radiology,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.831002059503,us,retroperitoneal,comprehensive,
38,2145,CLOPIDOGREL 75 MG TABS,clopidogrel 75_mg tablets,Pharmacy,RETROSPECTIVE,12/07/2016,75_mg,tabs,clopidogrel,,Laboratory,0.75,Pharmacy,0.932235356919,Pharmacy,0.994739919996,Pharmacy,"Logistic_OvR, DeepNN",2,0,1,1,0.642325092305,75_mg,tabs,clopidogrel,
39,827,OXIMETRY CONTINUOUS  1-24 HOURS,oximetry continuous 1 24 hours,Monitoring,RETROSPECTIVE,12/07/2016,hours,continuous,oximetry,,Monitoring,0.86,Monitoring,0.810116423995,Monitoring,0.996146560664,Monitoring,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.88875432822,hours,continuous,oximetry,
40,3300,HB LACTATED RINGERS SOL 1000ML A,lactated_ringers solution 1000_ml a,Pharmacy,RETROSPECTIVE,13/07/2016,ringers,lactated,sol,1000_ml,Pharmacy,0.95,Pharmacy,0.772884755576,Pharmacy,0.677158639301,Pharmacy,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.800014464959,sol,1000_ml,lactated_ringers,
41,6082,TRAY SUTURE,tray suture,Supply,ONLINE,16/09/2016,suture,tray,,,Supply,0.76,Supply,0.923669814159,Supply,0.999988198765,Supply,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.894552670975,suture,tray,,
42,6153,XR FOREARM 2 VIEWS,x-ray forearm 2 views,Radiology,ONLINE,16/09/2016,views,xr,forearm,,OR / Anesthesia / Recovery Room,0.7,Radiology,0.781282342809,Radiology,0.999608845448,Radiology,"Logistic_OvR, DeepNN",2,0,1,1,0.593630396086,views,xr,forearm,
43,5309,HC HEPATITIS C VIRUS GENOTYPE,hepatitis c virus genotype,Laboratory,ONLINE,16/09/2016,c,virus,hepatitis,genotype,Laboratory,0.82,Laboratory,0.817298376332,Laboratory,0.991779871406,Laboratory,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.876359415912,c,virus,hepatitis,genotype
44,83,D5W 1/2NS 1000ML/20MEQ KCL,dextrose_5%_in_water 1/2ns 1000_ml/20_meq potassuim_chloride,Diluent / Flush / Irrigant,RETROSPECTIVE,12/07/2016,1000_ml/20meq,1/2ns,KCl,D5W,Diluent / Flush / Irrigant,0.73,Pharmacy,0.661682727862,Diluent / Flush / Irrigant,0.687786689563,Diluent / Flush / Irrigant,"Jaro, DeepNN",2,1,0,1,0.472595563188,kcl,1/2ns,1000_ml/20_meq,d5w
45,2515,ASPIRIN 81 MGCHEW 750 EACH BLIST PACK,aspirin 81_mgchew 750 each blister pack,Pharmacy,RETROSPECTIVE,12/07/2016,pack,biblist,aspirin,,Pharmacy,0.83,Pharmacy,0.608356354405,Supply,0.818755851743,Pharmacy,"Jaro, Logistic_OvR",2,1,1,0,0.479452118135,81_mgchew,blister,pack,aspirin
46,1648,RT POTASSIUM,respiratory_therapy potassium,Monitoring,RETROSPECTIVE,12/07/2016,RT,potassium,,,Laboratory,0.9,Pharmacy,0.350345194562,Monitoring,0.87424301284,Laboratory,Jaro,1,1,0,0,0.3,rt,potassium,,
47,306,SODIUM CHLORIDE 0.9% 50ML BAG,sodium chloride 0.9% 50_ml bag,Diluent / Flush / Irrigant,RETROSPECTIVE,12/07/2016,50_ml,bag,chloride,sodium,Diluent / Flush / Irrigant,0.96,Diluent / Flush / Irrigant,0.885742987819,Diluent / Flush / Irrigant,0.999748266416,Diluent / Flush / Irrigant,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.948497084745,50_ml,bag,chloride,sodium
48,3934,HB ACETAMINOPHEN 80 MG PO TBDP,acetaminophen 80_mg by_mouth tbdp,Pharmacy,RETROSPECTIVE,13/07/2016,80_mg,po,tbdp,acetaminophen,Pharmacy,0.81,Pharmacy,0.941211098954,Pharmacy,0.977298472701,Pharmacy,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.909503190552,80_mg,po,tbdp,acetaminophen
49,4033,HIGH FLOW THERAPY,high flow therapy,Respiratory Therapy,RETROSPECTIVE,13/07/2016,high,therapy,flow,,Supply,0.75,Respiratory Therapy,0.343216737936,PT / OT / Speech Therapy,0.713962545966,Supply,Jaro,1,1,0,0,0.25,high,therapy,flow,
50,646,QLAB=CALCIUM IONIZED,qlab calcium ionized,Laboratory,RETROSPECTIVE,12/07/2016,calcium,qlab,ionized,,Laboratory,0.9,Laboratory,0.778650308601,Laboratory,0.989719211557,Laboratory,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.889456506719,calcium,qlab,ionized,
51,210,NACL 0.9% INJ 10ML,sodium_chloride 0.9% injection 10_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,12/07/2016,0.90%,injection,10_ml,NaCl,Diluent / Flush / Irrigant,0.94,Diluent / Flush / Irrigant,0.56113217252,Diluent / Flush / Irrigant,0.987897853801,Diluent / Flush / Irrigant,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.82967667544,0.9%,inj,10_ml,nacl
52,5288,HC DRUG SCR UA DOASCR PRESUMPTIVE CLASS A 6 SCREEN,drug screen urinalysis doascr presumptive class a 6 screen,Laboratory,ONLINE,16/09/2016,ua,screen,drug,presumptive,Radiology,0.71,Laboratory,0.925500054076,Laboratory,0.999970451856,Laboratory,"Logistic_OvR, DeepNN",2,0,1,1,0.641823501977,ua,screen,class,drug
53,4883,CHORIONIC GANADOTROPIN ASSAY,chorionic ganadotropin assay,Laboratory,ONLINE,16/09/2016,ganadotropin,assay,chorionic,,Blood Products,0.71,Laboratory,0.891774969971,Laboratory,0.999636765662,Laboratory,"Logistic_OvR, DeepNN",2,0,1,1,0.630470578544,ganadotropin,assay,chorionic,
54,1849,AEROSOL TREATMENT SUBSEQUENT,aerosol treatment subsequent,Respiratory Therapy,RETROSPECTIVE,12/07/2016,subsequent,aerosol,treatment,,Respiratory Therapy,0.75,Respiratory Therapy,0.88602922343,Respiratory Therapy,0.994963460639,Respiratory Therapy,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.876997561356,subsequent,aerosol,treatment,
55,5187,GLYCERIN PEDIATRIC 1.2 G SUPP,glycerin pediatric 1.2 gram suppository,Supply,ONLINE,16/09/2016,supp,glycerin,pediatric,,Supply,1.0,Supply,0.606096890957,Supply,0.999565904536,Supply,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.868554265164,supp,glycerin,gram,pediatric
56,932,DEXTROSE/TROPHAMINE BAG LINE,dextrose/trophamine bag line,Pharmacy,RETROSPECTIVE,12/07/2016,bag,line,dextrose,trophamine,Diluent / Flush / Irrigant,0.77,Supply,0.696081912572,Diluent / Flush / Irrigant,0.673977920257,Diluent / Flush / Irrigant,"Jaro, DeepNN",2,1,0,1,0.481325973419,trophamine,line,dextrose,bag
57,1142,36592 BLOOD DRAW-CENTRL/PERI,blood draw central/peripheral,Nursing Services,RETROSPECTIVE,12/07/2016,draw,central,peri,blood,Nursing Services,0.73,Nursing Services,0.824765586875,Nursing Services,0.999158797231,Nursing Services,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.851308128035,draw,central,blood,peripheral
58,5155,FORMULA: ENFAMIL ENFACARE,formula enfamil enfacare,Supply,ONLINE,16/09/2016,formula,enfacare,enfamil,,Supply,0.75,Laboratory,0.534905896205,Supply,0.796967062179,Supply,"Jaro, DeepNN",2,1,0,1,0.515655687393,formula,enfacare,enfamil,
59,2472,MIDAZOLAM 1 MG/ML SOLN 2 ML VIAL,midazolam 1_mg/ml solution 2_ml vial,Pharmacy,RETROSPECTIVE,12/07/2016,vial,2_ml,midazolam,,Pharmacy,0.91,Pharmacy,0.974460195534,Pharmacy,0.984502546874,Pharmacy,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.956320914136,vial,2_ml,midazolam,soln
60,4785,BLOOD GASES POC,blood gases point_of_care,Monitoring,ONLINE,16/09/2016,poc,blood,gases,,Laboratory,0.85,Monitoring,0.729888484608,Laboratory,0.540653266105,Laboratory,"Jaro, DeepNN",2,1,0,1,0.463551088702,poc,blood,gases,
61,1908,AMOXICILLIN SUSPENSION 50 M WCH00-0004-28,amoxicillin suspension 50 m wch00 4 28,Pharmacy,RETROSPECTIVE,12/07/2016,suspension,wch00,,,Plan Benefit,0.77,Pharmacy,0.943241948032,Pharmacy,0.978166811306,Pharmacy,"Logistic_OvR, DeepNN",2,0,1,1,0.640469586446,suspension,amoxicillin,wch00,
62,867,PULSE OX-CONTINUOUS,pulse oximetry continuous,Monitoring,RETROSPECTIVE,12/07/2016,continuous,oximetry,pulse,,Monitoring,0.98,Monitoring,0.884642945892,Monitoring,0.999902192964,Monitoring,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.954848379619,continuous,oximetry,pulse,
63,5987,SOL LR 1000ML BG,solution lactated_ringers 1000_ml bag,Pharmacy,ONLINE,16/09/2016,lr,sol,1000_ml,bg,Diluent / Flush / Irrigant,0.8,Pharmacy,0.414759734972,Diluent / Flush / Irrigant,0.728485082455,Diluent / Flush / Irrigant,"Jaro, DeepNN",2,1,0,1,0.509495027485,bag,sol,1000_ml,lactated_ringers
64,6227,GAMMAGLOBULIN IGA IGD IGG,gammaglobulin iga igd immunoglobulin,Laboratory,ONLINE,19/09/2016,igd,iga,gammaglobulin,immunoglobulin,Laboratory,0.91,Laboratory,0.83626037072,Laboratory,0.995013199422,Laboratory,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.913757856714,igd,iga,gammaglobulin,immunoglobulin
65,191,IV D5W 250ML,intravenous dextrose_5%_in_water 250_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,12/07/2016,250_ml,intravenous,D5W,,Diluent / Flush / Irrigant,1.0,Diluent / Flush / Irrigant,0.879176908926,Diluent / Flush / Irrigant,0.999446098004,Diluent / Flush / Irrigant,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.95954100231,250_ml,iv,d5w,
66,455,NITRIC OXIDE THERAPY DAIL NO THERAPY / DAY,nitric oxide therapy daily nitric_oxide therapy/day,Plan Benefit,RETROSPECTIVE,12/07/2016,daily,nitric_oxide,oxide,therapy,Plan Benefit,0.81,Plan Benefit,0.92239923566,Plan Benefit,0.999991963137,Plan Benefit,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.910797066266,dail,no,oxide,therapy
67,6237,IBUPROFEN 100 MG/5 ML SUSP,ibuprofen 100_mg/5_ml suspension,Pharmacy,ONLINE,19/09/2016,susp,100_mg/5_ml,ibuprofen,,Pharmacy,0.81,Pharmacy,0.951254089945,Pharmacy,0.996453115875,Pharmacy,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.919235735273,susp,100_mg/5_ml,ibuprofen,
68,1700,LAB-GLUCSE BLOOD REAGENT STRIP,laboratory glucose blood reagent strip,Supply,RETROSPECTIVE,12/07/2016,laboratory,strip,blood,reagent,Supply,1.0,Supply,0.387359311161,Supply,0.877662422063,Supply,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.755007244408,laboratory,strip,blood,reagent
69,1262,TRANSFUSION,transfusion,Nursing Services,RETROSPECTIVE,12/07/2016,transfusion,,,,Nursing Services,0.84,Laboratory,0.54394664552,Nursing Services,0.443620609207,Nursing Services,"Jaro, DeepNN",2,1,0,1,0.427873536402,transfusion,,,
70,3775,B-TYPE NATRIURETIC PEPTIDE (BN,b type natriuretic peptide bone,Laboratory,RETROSPECTIVE,13/07/2016,type,,,,Laboratory,0.76,Laboratory,0.775594106751,Laboratory,0.963267811224,Laboratory,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.832953972658,peptide,type,,
71,692,END TIDAL C02,end tidal carbon_dioxide,Monitoring,RETROSPECTIVE,12/07/2016,tidal,end,CO2,,Monitoring,0.8,Laboratory,0.340511506411,Monitoring,0.702259405005,Monitoring,"Jaro, DeepNN",2,1,0,1,0.500753135002,tidal,end,c02,
72,3248,CT HEAD OR BRAIN W/O CONTRAST,computed_tomography head operating_room brain without contrast,Radiology,RETROSPECTIVE,13/07/2016,head,or,ct,brain,Radiology,0.83,Radiology,0.829638205676,Radiology,0.999694179709,Radiology,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.886444128462,head,ct,brain,without
73,4006,HB REMIFENTANIL 5MG VIAL,remifentanil 5_mg vial,Pharmacy,RETROSPECTIVE,13/07/2016,vial,remifentanil,5_mg,,Pharmacy,0.75,Pharmacy,0.946163050596,Pharmacy,0.989944974127,Pharmacy,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.895369341574,vial,remifentanil,5_mg,
74,2061,FENTANYL CITRATE 0.1MG INJ,fentanyl citrate 0.1_mg injection,Pharmacy,RETROSPECTIVE,12/07/2016,inj,fentanyl,0.1_mg,citrate,Pharmacy,0.93,Pharmacy,0.976645553057,Pharmacy,0.999610637538,Pharmacy,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.968752063532,inj,fentanyl,0.1_mg,citrate
75,5106,FAT EMULSION 20% EMUL 500,fat emulsion 20% emulsion 500,Pharmacy,ONLINE,16/09/2016,20%,emul,fat,,Pharmacy,0.97,Pharmacy,0.906257023622,Pharmacy,0.998939756648,Pharmacy,"Jaro, Logistic_OvR, DeepNN",3,1,1,1,0.958398926757,20%,emul,fat,
