,Id,Original Description,Normalized Description,Charge Class,FLAG,CREATE_DT,FTR1,FTR2,FTR3,FTR4,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Voted Output,Sum Correct,Correct_Logistic_OvR,Confidence Score,Feature 1,Feature 2,Feature 3,Feature 4
12,2826,HC OXYGEN PER HOUR,oxygen per hour,Respiratory Therapy,RETROSPECTIVE,2016-07-12,per,oxygen,hour,,Respiratory Therapy,0.790173258742,Respiratory Therapy,1,1,0.790173258742,per,oxygen,hour,
13,5376,86614002 - OTHER PT/OT THERAPY FUNC LIMIT,other physical_therapy/occupational_therapy therapy func limit,PT / OT / Speech Therapy,RETROSPECTIVE,2016-07-13,therapy,occupational_therapy,physical_therapy,,PT / OT / Speech Therapy,0.84807791334,PT / OT / Speech Therapy,1,1,0.84807791334,therapy,occupational_therapy,physical_therapy,
14,5653,HB GLUCOSE CSF,glucose cerebrospinal_fluid,Laboratory,RETROSPECTIVE,2016-07-13,csf,glucose,,,Laboratory,0.629003157185,Laboratory,1,1,0.629003157185,csf,glucose,,
15,5524,COMPREHENSIVE MET PANEL,comprehensive metabolic panel,Laboratory,RETROSPECTIVE,2016-07-13,comprehensive,panel,metabolic,,Laboratory,0.891964336081,Laboratory,1,1,0.891964336081,comprehensive,panel,metabolic,
16,4126,CALCIUM GLUCONATE 10 % SOLN 10 ML EXTEMP,calcium gluconate 10% solution 10_ml extemp,Pharmacy,RETROSPECTIVE,2016-07-12,calcium,10_ml,soln,,Pharmacy,0.959110624407,Pharmacy,1,1,0.959110624407,calcium,extemp,10_ml,soln
17,6137,DEXMEDETOMIDINE 200MCG/2 ML SOLN,dexmedetomidine 200_mcg/2_ml solution,Pharmacy,ONLINE,2016-09-16,dexmedetomidine,200_mcg/2_ml,soln,,Pharmacy,0.95403748564,Pharmacy,1,1,0.95403748564,dexmedetomidine,200_mcg/2_ml,soln,
18,5688,HB RH C29,rhesus c29,Laboratory,RETROSPECTIVE,2016-07-13,rh,c29,,,Laboratory,0.887731655659,Laboratory,1,1,0.887731655659,rh,c29,,
19,5243,53277000 - ARTERIAL BLD DRAW FOR ANALYSIS,arterial blood draw for analysis,Nursing Services,RETROSPECTIVE,2016-07-13,arterial,draw,blood,analysis,Nursing Services,0.70274454086,Nursing Services,1,1,0.70274454086,arterial,draw,bld,analysis
20,83,D5W 1/2NS 1000ML/20MEQ KCL,dextrose_5%_in_water 1/2ns 1000_ml/20_meq potassuim_chloride,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-12,1000_ml/20meq,1/2ns,KCl,D5W,Pharmacy,0.795004410047,Pharmacy,1,1,0.795004410047,kcl,1/2ns,1000_ml/20_meq,d5w
21,5675,HB OR PROCEDURE RM FIRST 15 MIN,operation_room procedure room first 15_minutes,OR / Anesthesia / Recovery Room,RETROSPECTIVE,2016-07-13,min,or,procedure,rm,OR / Anesthesia / Recovery Room,0.804020601915,OR / Anesthesia / Recovery Room,1,1,0.804020601915,15_minutes,first,or,procedure
22,6530,CATH BLADDER SMP,catheter bladder sump,Supply,ONLINE,2016-10-12,catheter,bladder,sump,,Supply,0.841247870222,Supply,1,1,0.841247870222,cath,bladder,sump,
23,5892,PROPOFOL 10 MG INJ,propofol 10_mg injection,Pharmacy,RETROSPECTIVE,2016-07-13,injection,propofol,10_mg,,Pharmacy,0.943517362085,Pharmacy,1,1,0.943517362085,inj,propofol,10_mg,
24,6587,EPINEPHRINE 0.1 MG/ML 1 10 000 INJECTION SYRINGE,epinephrine 0.1 mg/ml 1 10 0 injection syringe,OR / Anesthesia / Recovery Room,ONLINE,2016-10-12,syringe,injection,epinephrine,0.1_mg/ml,Pharmacy,0.894039316524,Pharmacy,1,1,0.894039316524,syringe,ml,mg,epinephrine
25,66,RNTL OUTLOOK PUMP DAILY,rental outlook pump daily,Capital Equipment,RETROSPECTIVE,2016-07-12,outlook,rental,pump,daily,Capital Equipment,0.706077774287,Capital Equipment,1,1,0.706077774287,outlook,rntl,pump,daily
26,6844,NYSTATIN 100 000 UNIT/GRAM TOPICAL POWDER,nystatin 100 000 units/gram topical powder,OR / Anesthesia / Recovery Room,ONLINE,2016-10-12,nystatin,000_units/gram,powder,topical,Pharmacy,0.896453950878,Pharmacy,1,1,0.896453950878,nystatin,units,gram,powder
27,1026,OXYCODONE-ACETAMINOPHEN 10-325 MG TABS,oxycodone acetaminophen 10 325_mg tablets,Pharmacy,ONLINE,2016-09-16,325_mg,tabs,oxycodone,acetaminophen,Pharmacy,0.968090983069,Pharmacy,1,1,0.968090983069,325_mg,tabs,oxycodone,acetaminophen
28,3880,NOREPINEPHRINE 1 MG/ML SOLN 4 ML VIAL,norepinephrine 1_mg/ml solution 4_ml vial,Pharmacy,RETROSPECTIVE,2016-07-12,vial,4_ml,soln,,Pharmacy,0.954195468536,Pharmacy,1,1,0.954195468536,vial,norepinephrine,4_ml,soln
29,4644,HCHG SOL IRRIG WATER ST 1000ML (AKA 1577),solution irrigation water sterile 1000_ml AKA  1577,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-13,water,irrigation,sterile,solution,Diluent / Flush / Irrigant,0.901765959816,Diluent / Flush / Irrigant,1,1,0.901765959816,water,irrig,sterile,sol
30,3008,HB SET EXT BIFURCATED 4IN,set extension bifurcated 4 inches,Supply,RETROSPECTIVE,2016-07-12,4in,set,extension,bifurcated,Supply,0.841442784618,Supply,1,1,0.841442784618,set,inches,ext,bifurcated
31,5185,14152102 - OXYCODONE HCL/ACETAMIN 10/325,oxycodone hcl/acetamin 10/325,Pharmacy,RETROSPECTIVE,2016-07-13,10/325,acetamin,oxycodone,hcl,Pharmacy,0.947043493331,Pharmacy,1,1,0.947043493331,10/325,acetamin,oxycodone,hcl
32,4450,86130000 - A.D.L. PER 15 MINUTES (O.T.),activities_of_daily_living per 15_minutes occupational_therapy,PT / OT / Speech Therapy,RETROSPECTIVE,2016-07-13,device,tab,minutes,oxygen,PT / OT / Speech Therapy,0.803880115372,PT / OT / Speech Therapy,1,1,0.803880115372,occupational_therapy,15_minutes,per,activities_of_daily_living
33,5250,58850000 - TRANSCUTANEOUS CO2 MONITOR/DAY,transcutaneous carbon_dioxide monitoring/day,Monitoring,RETROSPECTIVE,2016-07-13,monitoring,carbon_dioxide,transcutaneous,day,Monitoring,0.832638668062,Monitoring,1,1,0.832638668062,monitoring,co2,transcutaneous,day
34,628,HC PRESSURE MONITOR CHANGE,pressure monitor change,Supply,ONLINE,2016-09-16,pressure,monitor,change,,Supply,0.310612296224,Supply,1,1,0.310612296224,pressure,monitor,change,
35,6325,AB SCR GEL METHOD NEONATE ABO SCREEN BABY,abbo scr gel method neonate abo screen baby,Laboratory,ONLINE,2016-10-06,screen,abo,gel,,Laboratory,0.551612545694,Laboratory,1,1,0.551612545694,screen,abo,gel,
36,1069,PHENYLEPHRINE 10 MG/ML SOLN 1 ML VIAL,phenylephrine 10_mg/ml solution 1_ml vial,Pharmacy,ONLINE,2016-09-16,vial,phenylephrine,1_ml,soln,Pharmacy,0.97776253588,Pharmacy,1,1,0.97776253588,vial,phenylephrine,1_ml,soln
37,2401,HC ACCUCHE CK (POC),accucheck creatinine_kinase point_of_care,Monitoring,RETROSPECTIVE,2016-07-12,POC,accucheck,cack,,Monitoring,0.767262988787,Monitoring,1,1,0.767262988787,ck,point_of_care,accuche,
38,294,SODIUM CHLORIDE 0.9% 0.9% SYRG 10 ML SYRINGE,sodium chloride 0.9% 0.9% syringe 10_ml syringe,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-12,syringe,10_ml,chloride,sodium,Diluent / Flush / Irrigant,0.665747194287,Diluent / Flush / Irrigant,1,1,0.665747194287,syrg,10_ml,chloride,sodium
39,1169,ROCURONIUM 10 MG/ML SOLN 5,rocuronium 10_mg/ml solution 5,Pharmacy,ONLINE,2016-09-16,rocuronium,soln,10_mg/ml,,Pharmacy,0.963688334906,Pharmacy,1,1,0.963688334906,rocuronium,soln,10_mg/ml,
40,5591,GAIT TRAINING 15 MIN PT,gait training 15_minutes physical_therapy,PT / OT / Speech Therapy,RETROSPECTIVE,2016-07-13,training,minutes,physical_therapy,gait,PT / OT / Speech Therapy,0.854671947677,PT / OT / Speech Therapy,1,1,0.854671947677,training,pt,15_minutes,gait
41,4838,TAPE MEDIPORE 6INX10YD (18 SQ IN = 120),tape medipore 6_inches_x_10_yards 18 square inches equals 120,Supply,RETROSPECTIVE,2016-07-13,square,individual,,,Supply,0.868726799117,Supply,1,1,0.868726799117,tape,inches,,
42,3175,TUBE YANKAUE,tube yankauer,Supply,RETROSPECTIVE,2016-07-12,tube,yankauer,,,Supply,0.81697237986,Supply,1,1,0.81697237986,tube,yankauer,,
43,5583,FOLIC ACID SERUM,folic acid serum,Laboratory,RETROSPECTIVE,2016-07-13,acid,serum,folic,,Laboratory,0.870375355058,Laboratory,1,1,0.870375355058,acid,serum,folic,
44,6068,COMP BLD CNT AUTO,complete_blood_count automated,Laboratory,ONLINE,2016-09-16,cnt,comp,bld,automated,Laboratory,0.879331598233,Laboratory,1,1,0.879331598233,complete_blood_count,automated,,
45,2583,GRANISETRON HCL 100MCG INJ,granisetron hcl 100mcg injection,Pharmacy,RETROSPECTIVE,2016-07-12,granisetron,100mcg,injection,hcl,Pharmacy,0.952337257732,Pharmacy,1,1,0.952337257732,granisetron,100mcg,inj,hcl
46,4278,HC CK MB,creatinine_kinase mb,Laboratory,RETROSPECTIVE,2016-07-12,cack,mb, ,,Laboratory,0.814844938401,Laboratory,1,1,0.814844938401,ck,mb,,
47,3145,SYRINGE,syringe,Supply,RETROSPECTIVE,2016-07-12,syringe,,,,Supply,0.596732287881,Supply,1,1,0.596732287881,syringe,,,
48,2080,NITRIC OXIDE SUBSEQUENT DAY,nitric oxide subsequent day,Plan Benefit,RETROSPECTIVE,2016-07-12,subsequent,oxide,day,nitric,Plan Benefit,0.849587504081,Plan Benefit,1,1,0.849587504081,subsequent,oxide,day,nitric
49,4,ALARIS PUMP IV,alaris pump intravenous,Capital Equipment,RETROSPECTIVE,2016-07-12,pump,alaris,intravenous,,Capital Equipment,0.711778592944,Capital Equipment,1,1,0.711778592944,pump,alaris,iv,
50,6921,USN INIT,usn init,Respiratory Therapy,ONLINE,2016-10-12,usn,init,,,Supply,0.414311961556,Supply,1,1,0.414311961556,usn,init,,
51,6055,ACT LR,Activated_Clotting_Time low_range,Laboratory,ONLINE,2016-08-29,lr,act,,,Laboratory,0.665714388537,Laboratory,1,1,0.665714388537,activated_clotting_time,low_range,,
52,3683,PROPOFOL PER 10MG/50ML INJ,propofol per 10_mg/50_ml injection,Pharmacy,RETROSPECTIVE,2016-07-12,inj,propofol,per,10_mg/50_ml,Pharmacy,0.945178781276,Pharmacy,1,1,0.945178781276,inj,propofol,per,10_mg/50_ml
53,4288,HC THER PROPH/DX NJX EA SEQL IV PUSH SBST/DRUG FAC,therapist prophylactic/diagnostic injection each sequential intravenous push subsequent/drug facility,Nursing Services,RETROSPECTIVE,2016-07-12,push,ther,iv,,Nursing Services,0.86944419586,Nursing Services,1,1,0.86944419586,subsequent,drug,diagnostic,ther
54,6891,SODIUM CHLORIDE 3 % INTRAVENOUS INJECTION SOLUTION,sodium chloride 3% intravenous injection solution,OR / Anesthesia / Recovery Room,ONLINE,2016-10-12,injection,chloride,intravenous,solution,Diluent / Flush / Irrigant,0.686347338367,Diluent / Flush / Irrigant,1,1,0.686347338367,injection,chloride,intravenous,solution
55,1745,(CONTRAST) IOTHALAMATE MEGLUMINE 17.2% SOLN 250,contrast iothalamate meglumine 17.2% solution 250,Pharmacy,ONLINE,2016-09-16,soln,contrast,,,Pharmacy,0.749700555294,Pharmacy,1,1,0.749700555294,soln,contrast,,
56,5737,INSULIN HUMAN LISPRO 5 UNI,insulin human lispro 5_units,Pharmacy,RETROSPECTIVE,2016-07-13,5_units,lispro,insulin,human,Pharmacy,0.881129650666,Pharmacy,1,1,0.881129650666,5_units,lispro,insulin,human
57,2399,HBOL GLUCOSE MONITORING DE,glucose monitoring device,Monitoring,RETROSPECTIVE,2016-07-12,device,monitoring,glucose,,Monitoring,0.902103119706,Monitoring,1,1,0.902103119706,de,monitoring,glucose,
58,3406,LOVENOX 40MG/0.4ML SYRINGE I,lovenox 40_mg/0.4_ml syringe i,Pharmacy,RETROSPECTIVE,2016-07-12,lovenox,syringe,40_mg/0.4ml,,Pharmacy,0.874924768531,Pharmacy,1,1,0.874924768531,lovenox,syringe,40_mg/0.4_ml,
59,5881,POTASSIUM CHLORIDE 2 MEQ INJ,potassium chloride 2_meq injection,Pharmacy,RETROSPECTIVE,2016-07-13,2_meq,potassium,chloride,injection,Pharmacy,0.895949561293,Pharmacy,1,1,0.895949561293,2_meq,potassium,chloride,inj
60,4067,KIT CEMENT MIXEVAC 3,kit cement mixevac 3,Supply,RETROSPECTIVE,2016-07-12,mixevac,cement,kit,,Supply,0.817203908861,Supply,1,1,0.817203908861,mixevac,cement,kit,
61,2287,SODIUM C,sodium cap,Laboratory,RETROSPECTIVE,2016-07-12,c,sodium,,,Diluent / Flush / Irrigant,0.265419724793,Diluent / Flush / Irrigant,1,1,0.265419724793,cap,sodium,,
62,4550,CELL CT  FLUID  W DIFF (FL,cell count fluid with differential flow,Laboratory,RETROSPECTIVE,2016-07-13,computed_tomography,differential,fluid,,Laboratory,0.911100054128,Laboratory,1,1,0.911100054128,cell,count,diff,flow
63,6358,CATHERIZATION UMBILICAL ARTERY,catheterization umbilical artery,Procedure,ONLINE,2016-10-06,artery,catheterization,umbilical,,Supply,0.545824730703,Supply,1,1,0.545824730703,artery,catheterization,umbilical,
64,6632,HCHG CH. PNEUMONIAE BY PCR,ch pneumoniae by pcr,OR / Anesthesia / Recovery Room,ONLINE,2016-10-12,pcr,ch,pneumoniae,,Laboratory,0.739608889604,Laboratory,1,1,0.739608889604,pcr,ch,pneumoniae,
65,3242,BLOOD GAS POTASSIUM,blood gas potassium,Monitoring,RETROSPECTIVE,2016-07-12,potassium,gas,blood,,Laboratory,0.503287810774,Laboratory,1,1,0.503287810774,potassium,gas,blood,
66,4562,COMPATABILITY  IS,compatability is,Blood Products,RETROSPECTIVE,2016-07-13,compatability,,,,Supply,0.158861413605,Supply,1,1,0.158861413605,compatability,,,
67,1176,ROOM 8016,room 8016,Room and Board,ONLINE,2016-09-16,room,,,,Room and Board,0.812972506285,Room and Board,1,1,0.812972506285,room,,,
68,2457,OXIMETRY MULTIPLE,oximetry multiple,Monitoring,RETROSPECTIVE,2016-07-12,oximetry,multiple,,,Monitoring,0.715707584604,Monitoring,1,1,0.715707584604,oximetry,multiple,,
69,613,HC OCCUPATIONAL THERAPY EVAL TIER I,occupational_therapy evaluation tier i,PT / OT / Speech Therapy,ONLINE,2016-09-16,evaluation,occupational,titer,therapy,PT / OT / Speech Therapy,0.847725151258,PT / OT / Speech Therapy,1,1,0.847725151258,tier,evaluation,occupational_therapy,
70,1815,AB SCREEN RBC EA,antibody screen red_blood_cell each,Laboratory,ONLINE,2016-09-16,rbc,screen,antibody,,Laboratory,0.838223539413,Laboratory,1,1,0.838223539413,rbc,screen,antibody,
71,1738,VACUTAINER 21GA,vacutainer 21_gauge,Supply,ONLINE,2016-08-30,vacutainer,21ga,,,Supply,0.79519968669,Supply,1,1,0.79519968669,vacutainer,21_gauge,,
72,2001,CATH QUAD 5MM JSN X 5FRX120CM,catheter quad 5mm jsn x 5frx120cm,Supply,ONLINE,2016-09-16,cath,,,,Supply,0.828622297832,Supply,1,1,0.828622297832,5mm,cath,,
73,1392,US RETROPERITONEUM,ultrasound retroperitoneum,Radiology,ONLINE,2016-09-16,us,retroperitoneum,,,Radiology,0.708441666714,Radiology,1,1,0.708441666714,us,retroperitoneum,,
74,3776,PANTOPRAZOLE SODIUM PER VIAL,pantoprazole sodium per vial,Pharmacy,RETROSPECTIVE,2016-07-12,vial,pantoprazole,per,sodium,Pharmacy,0.831268342145,Pharmacy,1,1,0.831268342145,vial,pantoprazole,per,sodium
75,3870,PATIENT EDUCATION/15 MINUTES,patient education/15 minutes,Education / Training,RETROSPECTIVE,2016-07-12,minutes,patient,education/15,,Education / Training,0.350521558191,Education / Training,1,1,0.350521558191,minutes,patient,education/15,
76,6451,SENSITIVITY STUDY AGAR 5 ADDITIONAL ETEST STRIPS,sensitivity study agar 5 additional etest strips,Laboratory,ONLINE,2016-10-06,additional,,,,Laboratory,0.531407763207,Laboratory,1,1,0.531407763207,additional,,,
77,1158,RECOVERY CLASS 2,recovery class 2,OR / Anesthesia / Recovery Room,ONLINE,2016-09-16,recovery,class,,,OR / Anesthesia / Recovery Room,0.425876643318,OR / Anesthesia / Recovery Room,1,1,0.425876643318,recovery,class,,
78,4157,HC HEMOGRAM CBC WITHOUT DIFF,hemogram complete_blood_count without differential,Laboratory,RETROSPECTIVE,2016-07-12,cbc,without,hemogram,,Laboratory,0.928204834505,Laboratory,1,1,0.928204834505,cbc,without,hemogram,diff
79,6417,LIVER HEPATIC PANEL HEPATIC FUNCTION PANEL,liver hepatic panel hepatic function panel,Laboratory,ONLINE,2016-10-12,function,panel,hepatic,,Laboratory,0.949834706287,Laboratory,1,1,0.949834706287,function,panel,hepatic,
80,421,HCHG DAILY NO PER HOUR/HCHG DAILY NO PER HOUR,daily nitric_oxide per hour/hchg daily nitric_oxide per hour,Plan Benefit,RETROSPECTIVE,2016-07-12,hour,per,daily,nitric_oxide,Plan Benefit,0.874047861117,Plan Benefit,1,1,0.874047861117,hour,hchg,per,daily
81,5535,CULTURE FUNGAL,culture fungal,Laboratory,RETROSPECTIVE,2016-07-13,culture,fungal,,,Laboratory,0.897641853459,Laboratory,1,1,0.897641853459,culture,fungal,,
82,2928,BREAST MILK  BANKED  PER OZ,breast milk banked per ounce,Supply,RETROSPECTIVE,2016-07-12,ounce,banked,breast,per,Supply,0.86875170906,Supply,1,1,0.86875170906,oz,per,,
83,5085,11021082 - ACETAMINOPHEN 325MG,acetaminophen 325_mg,Pharmacy,RETROSPECTIVE,2016-07-13,325_mg,acetaminophen,,,Pharmacy,0.956928691425,Pharmacy,1,1,0.956928691425,325_mg,acetaminophen,,
84,6545,CLONIDINE 0.3 MG/24 HR WEEKLY TRANSDERMAL PATCH,clonidine 0.3 mg/24 hour weekly transdermal patch,OR / Anesthesia / Recovery Room,ONLINE,2016-10-12,hr,patch,,,OR / Anesthesia / Recovery Room,0.34467168773,OR / Anesthesia / Recovery Room,1,1,0.34467168773,hr,patch,,
85,2022,CENTRAL LINE DRESSING KIT,central line dressing kit,Supply,ONLINE,2016-09-16,line,kit,central,dressing,Supply,0.876830933083,Supply,1,1,0.876830933083,line,kit,central,dressing
86,4690,LOC7 300-399MG/ML ML,low osmolar contrast material 300-399_mg/ml ml,Pharmacy,RETROSPECTIVE,2016-07-13,399_mg/ml,loc7,ml,,Pharmacy,0.94245536134,Pharmacy,1,1,0.94245536134,ml,low,contrast,
87,2835,INFUSION @ HR BEYOND 1.5,infusion hour beyond 1.5,Nursing Services,RETROSPECTIVE,2016-07-12,1.5,beyond,infusion,hour,Nursing Services,0.219544494243,Nursing Services,1,1,0.219544494243,1.5,beyond,infusion,hr
88,3265,HC LACTIC ACID - BG SYRINGE,lactic acid blood_gas syringe,Monitoring,RETROSPECTIVE,2016-07-12,syringe,acid,lactic,blood_gas,Laboratory,0.752409941744,Laboratory,1,1,0.752409941744,syringe,acid,lactic,bg
89,1316,THROMBOPLASTIN TM PRTL PLSM/WHL BLD,thromboplastin time partial plasma/whole blood,Laboratory,ONLINE,2016-09-16,whole,bld,thromboplastin,,Laboratory,0.853171508483,Laboratory,1,1,0.853171508483,partial,thromboplastin,whole,bld
90,2646,MORPHINE 15 MG/ML INJECTION SOLUTION,morphine 15_mg/ml injection solution,Pharmacy,RETROSPECTIVE,2016-07-12,injection,morphine,solution,15_mg/ml,Pharmacy,0.914494872249,Pharmacy,1,1,0.914494872249,injection,morphine,solution,15_mg/ml
91,5415,AEROSOL INHALATION SUBSEQ,aerosol inhalation subsequent,Respiratory Therapy,RETROSPECTIVE,2016-07-13,subsequent,aerosol,inhalation,,Respiratory Therapy,0.777548985844,Respiratory Therapy,1,1,0.777548985844,subseq,aerosol,inhalation,
92,1593,C REACTIVE PROTEIN SE,c reactive protein serum,Laboratory,ONLINE,2016-08-29,reactive,protein,se,,Laboratory,0.919636583156,Laboratory,1,1,0.919636583156,reactive,c,protein,serum
93,1598,CARDIOPLEGIA SOL,cardioplegia solution,Pharmacy,ONLINE,2016-08-29,cardioplegia,sol,,,OR / Anesthesia / Recovery Room,0.429102464356,OR / Anesthesia / Recovery Room,1,1,0.429102464356,cardioplegia,sol,,
94,4050,MELATONIN 3MG TAB,melatonin 3_mg tablet,Pharmacy,RETROSPECTIVE,2016-07-12,melatonin,tab,3_mg,,Pharmacy,0.930789180074,Pharmacy,1,1,0.930789180074,melatonin,tab,3_mg,
95,1771,HB - SWALLOW/FEEDING THERAPY 45 MINUTES (MOD GN),swallow/feeding therapy 45 minutes mod gn,PT / OT / Speech Therapy,ONLINE,2016-09-01,minutes,swallow,feeding,therapy,PT / OT / Speech Therapy,0.578606778888,PT / OT / Speech Therapy,1,1,0.578606778888,minutes,swallow,feeding,therapy
96,5421,ALBUMIN 25%.50ML-100ML VIAL,albumin 25%.50_ml 100_ml vial,Pharmacy,RETROSPECTIVE,2016-07-13,vial,100_ml,albumin,25%.50_ml,Pharmacy,0.828106777985,Pharmacy,1,1,0.828106777985,vial,100_ml,albumin,25%.50_ml
97,6904,SUCCINYL CHL VL 20MG/ML 10ML SUCCINYLCHOLINE CHLORIDE 20 MG/ML 1,succinylcholine chloride vial 20 mg/ml 10 ml succinylcholine chloride 20 mg/ml 1,Pharmacy,ONLINE,2016-10-12,vial,chloride,10_ml,,Pharmacy,0.960357890835,Pharmacy,1,1,0.960357890835,vial,ml,mg,chloride
98,6348,CALAMINE PHENOLATED OINT 71GM MENTHOL/ZINC OX/CALAMINE/PHENOL OIN,calamine phenolated oint 71 gm menthol/zinc ox/calamine/phenol oin,Pharmacy,ONLINE,2016-10-06,zinc,,,,Pharmacy,0.88627910171,Pharmacy,1,1,0.88627910171,gm,zinc,oint,
99,1971,CABLE EPS EXT HEX BLK 150 U,cable eps extension hex black 150_units,Supply,ONLINE,2016-09-16,ext,,,,Supply,0.829791435249,Supply,1,1,0.829791435249,ext,,,
100,2889,TRACHEOSTOMY TX MODALITY S,tracheostomy treatment modality sigma,Respiratory Therapy,RETROSPECTIVE,2016-07-12,tracheostomy,treatment,modality,,OR / Anesthesia / Recovery Room,0.388742592917,OR / Anesthesia / Recovery Room,1,1,0.388742592917,tracheostomy,sigma,tx,modality
101,2961,ELECTRODE KITTYCAT PED,electrode kittycat pediatric,Supply,RETROSPECTIVE,2016-07-12,electrode,pediatric,kittycat,,Supply,0.650450121572,Supply,1,1,0.650450121572,electrode,ped,kittycat,
102,3496,ZYVOX 600MG TABLET,zyvox 600_mg tablet,Pharmacy,RETROSPECTIVE,2016-07-12,600_mg,tablet,zyvox,,Pharmacy,0.896422455107,Pharmacy,1,1,0.896422455107,600_mg,tablet,zyvox,
103,634,HC PTH INTACT,parathyroid_hormone intact,Laboratory,ONLINE,2016-09-16,path,intact,,,Laboratory,0.842684666451,Laboratory,1,1,0.842684666451,intact,parathyroid_hormone,,
104,5652,HB GLUCOSE BLOOD,glucose blood,Laboratory,RETROSPECTIVE,2016-07-13,blood,glucose,,,Laboratory,0.58942656775,Laboratory,1,1,0.58942656775,blood,glucose,,
105,2925,BLOOD GAS KIT,blood gas kit,Supply,RETROSPECTIVE,2016-07-12,gas,blood,kit,,Supply,0.790183448542,Supply,1,1,0.790183448542,gas,blood,kit,
106,4937,HB 5%DEXTROSE/1/2NS+KCL 10MEQ/L 1,5%dextrose/1/2 normal_saline and potassium_chloride 10_meq/liter 1,Pharmacy,RETROSPECTIVE,2016-07-13,10_meq/l,potassuim_chloride,5%dextrose/1/2ns,,Diluent / Flush / Irrigant,0.629512713374,Diluent / Flush / Irrigant,1,1,0.629512713374,normal_saline,potassium_chloride,10_meq/liter,5%dextrose/1/2
107,5694,HB SPINAL FLUID COUNT- DIFF,spinal fluid count_differential,Laboratory,RETROSPECTIVE,2016-07-13,count,spinal,diff,fluid,Laboratory,0.830713565003,Laboratory,1,1,0.830713565003,spinal,fluid,count_differential,
