Unnamed: 0,DESC_ID,ORIG_DESC,NORM_DESC,CHRG_CLS,FLAG,CREATE_DT,FTR1,FTR2,FTR3,FTR4,Predicted_Class_Jaro,Prob_Jaro,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Voted Output,Voting Algorithm,Sum Correct,Correct_Jaro,Correct_Logistic_OvR,Correct_DeepNN,Confidence Score,Feature 1,Feature 2,Feature 3,Feature 4,Match,kind of voting
14,4437,C REACTIVE PROTEIN SE,c reactive protein serum,Laboratory,ONLINE,29/08/2016,reactive,protein,se,,Laboratory,0.94,Laboratory,0.944395717688,Laboratory,0.999905742667,Laboratory,"Jaro, Logistic, DeepNN",3,1,1,1,0.961433820118,reactive,c,protein,serum,1,all agree
15,2273,SELF CARE,self care,PT / OT / Speech Therapy,RETROSPECTIVE,12/07/2016,self,care,,,PT / OT / Speech Therapy,0.79,PT / OT / Speech Therapy,0.596621351008,PT / OT / Speech Therapy,0.96907269235,PT / OT / Speech Therapy,"Jaro, Logistic, DeepNN",3,1,1,1,0.785231347786,self,care,,,1,all agree
16,4676,ADH TOP MASTISL 2/3ML VI 0523-,adhesive topical mastisol 2/3_ml vi 0523,Supply,ONLINE,16/09/2016,vi,adhesive,topical,,Pharmacy,0.67,Supply,0.587291683403,Supply,0.853577040606,Supply,"Logistic, DeepNN",2,0,1,1,0.48028957467,adhesive,topical,,,1,jaro disagree
17,210,NACL 0.9% INJ 10ML,sodium_chloride 0.9% injection 10_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,12/07/2016,0.90%,injection,10_ml,NaCl,Diluent / Flush / Irrigant,0.94,Diluent / Flush / Irrigant,0.573464700823,Diluent / Flush / Irrigant,0.850638287127,Diluent / Flush / Irrigant,"Jaro, Logistic, DeepNN",3,1,1,1,0.788034329317,0.9%,inj,10_ml,nacl,1,all agree
18,3102,PICC LINE PLC WO SO PORT >5 YRS,peripherally_inserted_central_catheter line placement without so port greater_than 5 years,Procedure,RETROSPECTIVE,13/07/2016,greater_than,line,without,portable,Supply,0.69,Procedure,0.672997154014,Procedure,0.988405194345,Procedure,"Logistic, DeepNN",2,0,1,1,0.553800782786,greater_than,line,without,picc,1,jaro disagree
19,4427,ACT LR,Activated_Clotting_Time low_range,Laboratory,ONLINE,29/08/2016,lr,act,,,Pharmacy,0.75,Laboratory,0.798564390405,Laboratory,0.918269326913,Laboratory,"Logistic, DeepNN",2,0,1,1,0.572277905773,activated_clotting_time,low_range,,,1,jaro disagree
20,5706,NICOTINE 21 MG/24HR PT24,nicotine 21_mg/24 hour patch_24,Plan Benefit,ONLINE,16/09/2016,21_mg/24hr,pt24,nicotine,,Plan Benefit,0.92,Plan Benefit,0.900203532372,Plan Benefit,0.999888365163,Plan Benefit,"Jaro, Logistic, DeepNN",3,1,1,1,0.940030632512,nicotine,21_mg/24,hour,patch_24,1,all agree
21,6232,H IAAD EIA LAV-1 AG W/LAV-,iaad eia lav 1 ag with lavage,Laboratory,ONLINE,19/09/2016,silver,,,,Supply,0.64,Pharmacy,0.701720115672,Pharmacy,0.992963676908,Pharmacy,"Logistic, DeepNN",2,0,1,1,0.564894597527,eia,lavage,lav,iaad,0,jaro disagree
22,4678,ADMIN SET IV BLD FLD Y 4C8723,administration set intravenous blood fld y 4c8723,Supply,ONLINE,16/09/2016,set,administration,iv,bld,Diluent / Flush / Irrigant,0.7,Supply,0.579031365551,Supply,0.954751132436,Supply,"Logistic, DeepNN",2,0,1,1,0.511260832662,set,administration,iv,bld,1,jaro disagree
23,2723,46130010 - POC BS GLUCOSE 5S,point_of_care blood_sugar glucose,Monitoring,RETROSPECTIVE,13/07/2016,point_of_care,blood_sugar,5s,glucose,Monitoring,0.86,Monitoring,0.936824848249,Monitoring,0.999221027907,Monitoring,"Jaro, Logistic, DeepNN",3,1,1,1,0.932015292052,poc,bs,glucose,,1,all agree
24,3373,THERA ACTIVITIES 15 MIN,therapeutic activities 15_minutes,PT / OT / Speech Therapy,RETROSPECTIVE,13/07/2016,activities,therapy,min,,PT / OT / Speech Therapy,0.85,PT / OT / Speech Therapy,0.891911255801,PT / OT / Speech Therapy,0.991088817185,PT / OT / Speech Therapy,"Jaro, Logistic, DeepNN",3,1,1,1,0.911000024329,activities,15_minutes,therapeutic,,1,all agree
25,2490,PHENYLEPHRINE 1 000MCG/10ML(PREFILL SYR),phenylephrine 1 000_mcg/10_ml prefill syringe,Pharmacy,RETROSPECTIVE,12/07/2016,syringe, , ,,Pharmacy,0.83,Pharmacy,0.931115358462,Pharmacy,0.99972054011,Pharmacy,"Jaro, Logistic, DeepNN",3,1,1,1,0.920278632857,prefill,syringe,phenylephrine,000_mcg/10_ml,1,all agree
26,587,HC-LAB-CHLORIDE SERUM,laboratory chloride serum,Laboratory,RETROSPECTIVE,12/07/2016,laboratory,chloride,serum,,Laboratory,0.88,Laboratory,0.94284054073,Laboratory,0.999182381286,Laboratory,"Jaro, Logistic, DeepNN",3,1,1,1,0.940674307338,laboratory,chloride,serum,,1,all agree
27,5491,HCHG US RETROPERITIONEAL HCHG US RETROPERITIONEAL,ultrasound retroperitioneal,Radiology,ONLINE,16/09/2016,us,,,,Respiratory Therapy,0.77,Radiology,0.712994414453,Radiology,0.96996544376,Radiology,"Logistic, DeepNN",2,0,1,1,0.560986619404,us,retroperitioneal,,,1,jaro disagree
28,1585,HC 94760 NONINVASIVE EAR/PULSE *,non_invasive ear/pulse,Monitoring,RETROSPECTIVE,12/07/2016,NONINVASIVE,ear,pulse,,Room and Board,0.69,Radiology,0.345043313427,Supply,0.81946350521,Supply,DeepNN,1,0,0,1,0.273154501737,noninvasive,ear,pulse,,0,all disagree
29,4107,LIVER FUNCTION PANEL (LFPP,liver function panel lfpp,Laboratory,RETROSPECTIVE,13/07/2016,function,liver,lfpp,panel,Supply,0.75,Laboratory,0.947987902878,Laboratory,0.999982955137,Laboratory,"Logistic, DeepNN",2,0,1,1,0.649323619338,function,liver,lfpp,panel,1,jaro disagree
30,5458,HCHG MUCOLYSACCHARIDES HCHG MUCOLYSACCHARIDES,mucolysaccharides,Laboratory,ONLINE,16/09/2016,hchg,mucolysaccharides,,,Laboratory,0.73,Laboratory,0.163160097645,Laboratory,0.39728729216,Laboratory,"Jaro, Logistic, DeepNN",3,1,1,1,0.430149129935,mucolysaccharides,,,,1,all agree
31,5751,OSTOMY POUCH 22771 2 1/2 DISP,ostomy pouch 22771 2 1/2 disposable,Supply,ONLINE,16/09/2016,ostomy,pouch,02/Jan,disp,Supply,0.83,Supply,0.942490614358,Supply,0.999920217639,Supply,"Jaro, Logistic, DeepNN",3,1,1,1,0.924136943999,ostomy,pouch,1/2,disp,1,all agree
32,4028,HB ZOFRAN 4MG/2ML IV SOLN,zofran 4_mg/2_ml intravenous solution,Pharmacy,RETROSPECTIVE,13/07/2016,zofran,soln,4_mg/2_ml,iv,Pharmacy,0.77,Pharmacy,0.94358433069,Pharmacy,0.999783515345,Pharmacy,"Jaro, Logistic, DeepNN",3,1,1,1,0.904455948678,zofran,soln,4_mg/2_ml,iv,1,all agree
33,4697,ALVIMOPAN 12 MG CAP,alvimopan 12_mg capsule,Pharmacy,ONLINE,16/09/2016,12_mg,capsule,alvimopan,,Pharmacy,0.74,Pharmacy,0.941168459679,Pharmacy,0.999904747609,Pharmacy,"Jaro, Logistic, DeepNN",3,1,1,1,0.893691069096,12_mg,capsule,alvimopan,,1,all agree
34,1317,CSR-UNDERPAD ULTRASORBS 5PK; UNDERPAD ULTRASORBS 5PK,csr underpad ultrasorbs 5pk underpad ultrasorbs 5pk,Supply,RETROSPECTIVE,12/07/2016,ultrasorbs,underpad,5pk,,Respiratory Therapy,0.7,Laboratory,0.850295475097,Laboratory,0.949234636317,Laboratory,"Logistic, DeepNN",2,0,1,1,0.599843370471,ultrasorbs,5pk,underpad,csr,0,jaro disagree
35,1694,HC-LAB-GLUCOSE BLOOD,laboratory glucose blood,Laboratory,RETROSPECTIVE,12/07/2016,laboratory,blood,glucose,,Monitoring,0.86,Laboratory,0.633322378163,Laboratory,0.991849122893,Laboratory,"Logistic, DeepNN",2,0,1,1,0.541723833685,laboratory,blood,glucose,,1,jaro disagree
36,957,HB COPPER 100 MCG/ML DILUTION IN SW FOR TPN,copper 100 mcg/ml dilution in sw for total_parenteral_nutrition,Pharmacy,RETROSPECTIVE,12/07/2016,TPN,dilution,sw,,Pharmacy,0.8,Pharmacy,0.971630677909,Pharmacy,0.999937215651,Pharmacy,"Jaro, Logistic, DeepNN",3,1,1,1,0.92385596452,mcg,ml,tpn,,1,all agree
37,2714,27677000 - US RETROPERITONEAL COMP,ultrasound retroperitoneal comprehensive,Radiology,RETROSPECTIVE,13/07/2016,compressors,retroperitoneal,27677000_us,,Radiology,0.73,Radiology,0.787526556775,Radiology,0.997888557755,Radiology,"Jaro, Logistic, DeepNN",3,1,1,1,0.838471704843,us,retroperitoneal,comprehensive,,1,all agree
38,879,PULSE OXIMETRY/DAILY,pulse oximetry/daily,Monitoring,RETROSPECTIVE,12/07/2016,oximetry,daily,pulse,,Monitoring,0.96,Monitoring,0.907774497888,Monitoring,0.999935018134,Monitoring,"Jaro, Logistic, DeepNN",3,1,1,1,0.955903172007,oximetry,daily,pulse,,1,all agree
39,4332,VENTILATOR MANAGEMENT,ventilator management,Respiratory Therapy,RETROSPECTIVE,13/07/2016,ventilator,management,,,Respiratory Therapy,0.78,Respiratory Therapy,0.658941028334,Respiratory Therapy,0.953956932004,Respiratory Therapy,"Jaro, Logistic, DeepNN",3,1,1,1,0.797632653446,ventilator,management,,,1,all agree
40,1296,BLOOD ADMINISTRATION SET,blood administration set,Supply,RETROSPECTIVE,12/07/2016,set,administration,blood,,Nursing Services,0.95,Supply,0.50279636554,Supply,0.907023079999,Supply,"Logistic, DeepNN",2,0,1,1,0.46993981518,set,administration,blood,,1,jaro disagree
41,1486,SET PRIMARY PUMP CLAVE,set primary pump clave,Supply,RETROSPECTIVE,12/07/2016,pump,set,clave,primary,Supply,0.77,Supply,0.840149104338,Supply,0.995852166484,Supply,"Jaro, Logistic, DeepNN",3,1,1,1,0.868667090274,pump,set,clave,primary,1,all agree
42,5041,DISP: 50.000 ML; 5 %; USED NDC QTY: 1.000 PCK OF 50.000 ML VIAL ALBUMIN HUMAN 5 % IV SOLUTION ANE ALBUMIN 5 % BOLUS (50 ML),dispensed 50.000_ml 5% used ndc quantity 1 pack of 50.000_ml vial albumin human 5% intravenous solution ane albumin 5% bolus 50_ml,Pharmacy,ONLINE,16/09/2016,quantity,vial,ndc,disposable,Pharmacy,0.74,Pharmacy,0.961929084637,Pharmacy,0.99976403611,Pharmacy,"Jaro, Logistic, DeepNN",3,1,1,1,0.900564373582,used,vial,albumin,ndc,1,all agree
43,5309,HC HEPATITIS C VIRUS GENOTYPE,hepatitis c virus genotype,Laboratory,ONLINE,16/09/2016,c,virus,hepatitis,genotype,Laboratory,0.82,Laboratory,0.795854729193,Laboratory,0.773819211736,Laboratory,"Jaro, Logistic, DeepNN",3,1,1,1,0.79655798031,c,virus,hepatitis,genotype,1,all agree
44,1871,STERILE WATER FOR IRRIG 250ML,sterile water for irrigation 250_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,12/07/2016,water,250_ml,irrig,sterile,Diluent / Flush / Irrigant,0.85,Diluent / Flush / Irrigant,0.877016317849,Diluent / Flush / Irrigant,0.996755871568,Diluent / Flush / Irrigant,"Jaro, Logistic, DeepNN",3,1,1,1,0.907924063139,water,250_ml,irrig,sterile,1,all agree
45,398,DORNASE PULMOZYME 2.5 MG I,dornase pulmozyme 2.5_mg i,Plan Benefit,RETROSPECTIVE,12/07/2016,pulmozyme,2.5_mg,dornase,,Plan Benefit,0.77,Pharmacy,0.582034138322,Pharmacy,0.848178135973,Pharmacy,"Logistic, DeepNN",2,0,1,1,0.476737424765,pulmozyme,2.5_mg,dornase,,0,jaro disagree
46,2744,59757000 - CATH SINGLE LUMEN SC14701,catheter single lumen,Supply,RETROSPECTIVE,13/07/2016,sc14701,catheter,single,lumen,Supply,0.69,Supply,0.9067007062,Supply,0.999500329268,Supply,"Jaro, Logistic, DeepNN",3,1,1,1,0.865400345156,cath,single,lumen,,1,all agree
47,4982,DEXTROSE 5 % SOLN 250 ML FLEX CONT,dextrose_5% solution 250_ml,Diluent / Flush / Irrigant,ONLINE,16/09/2016,250_ml,continuous,dextrose,soln,Diluent / Flush / Irrigant,0.99,Diluent / Flush / Irrigant,0.610035880641,Diluent / Flush / Irrigant,0.961848535677,Diluent / Flush / Irrigant,"Jaro, Logistic, DeepNN",3,1,1,1,0.853961472106,250_ml,dextrose_5%,soln,,1,all agree
48,1098,NICU I INTENSIVE CARE,neonatal_intensive_care_unit i intensive care,Room and Board,RETROSPECTIVE,12/07/2016,intensive,NICU,care,,Room and Board,0.93,Room and Board,0.809732045267,Room and Board,0.999643928489,Room and Board,"Jaro, Logistic, DeepNN",3,1,1,1,0.913125324585,intensive,nicu,care,,1,all agree
49,1254,SUCTIONING,suctioning,Respiratory Therapy,RETROSPECTIVE,12/07/2016,suctioning,,,,Respiratory Therapy,0.9,Supply,0.703779098684,Supply,0.944830675199,Supply,"Logistic, DeepNN",2,0,1,1,0.549536591294,suctioning,,,,0,jaro disagree
50,1361,HB DRESSING FOAM MPLX BORDR W3INX,dressing foam mepilex border w3inx,Supply,RETROSPECTIVE,12/07/2016,w3inx,foam,border,dressing,Supply,0.76,Supply,0.908735128367,Supply,0.999904062533,Supply,"Jaro, Logistic, DeepNN",3,1,1,1,0.889546396967,mplx,foam,dressing,,1,all agree
51,3462,12820652 - HEPARIN SODIUM PER 1000 UNITS,heparin sodium per 1000_units,Diluent / flush / Irrigant,RETROSPECTIVE,13/07/2016,heparin,1000_units,per,sodium,Diluent / flush / Irrigant,0.98,Diluent / Flush / Irrigant,0.491100948995,Diluent / Flush / Irrigant,0.73117950898,Diluent / Flush / Irrigant,"Logistic, DeepNN",2,0,1,1,0.407426819325,heparin,1000_units,per,sodium,0,jaro disagree
52,616,LACTATE (LACTIC ACID),lactate lactic acid,Laboratory,RETROSPECTIVE,12/07/2016,acid,lactic,lactate,,Laboratory,1.0,Laboratory,0.798851179857,Laboratory,0.990471495128,Laboratory,"Jaro, Logistic, DeepNN",3,1,1,1,0.929774224995,acid,lactic,lactate,,1,all agree
53,4775,BLD# PLTLT AUTO,blood platelet automated,Laboratory,ONLINE,16/09/2016,automated,blood,pltlt,,Laboratory,0.75,Laboratory,0.767924876814,Laboratory,0.949059635321,Laboratory,"Jaro, Logistic, DeepNN",3,1,1,1,0.822328170712,platelet,blood,automated,,1,all agree
54,1990,CAFFEINE 60MG/3ML ORAL SOLUTION,caffeine 60_mg/3_ml oral solution,Pharmacy,RETROSPECTIVE,12/07/2016,60_mg/3_ml,oral,caffeine,solution,Pharmacy,0.8,Pharmacy,0.928768953152,Pharmacy,0.999668969692,Pharmacy,"Jaro, Logistic, DeepNN",3,1,1,1,0.909479307615,60_mg/3_ml,oral,caffeine,solution,1,all agree
55,781,HC GLUCOSE POINT OF CARE,glucose point of care,Monitoring,RETROSPECTIVE,12/07/2016,point,care,glucose,,Monitoring,0.87,Monitoring,0.939433938246,Monitoring,0.990763485147,Monitoring,"Jaro, Logistic, DeepNN",3,1,1,1,0.933399141131,point,care,glucose,,1,all agree
56,5187,GLYCERIN PEDIATRIC 1.2 G SUPP,glycerin pediatric 1.2 gram suppository,Supply,ONLINE,16/09/2016,supp,glycerin,pediatric,,Supply,1.0,Supply,0.562693368474,Supply,0.7736093043,Supply,"Jaro, Logistic, DeepNN",3,1,1,1,0.778767557591,supp,glycerin,gram,pediatric,1,all agree
57,1481,"SET FEED EXT 60""",set feed extension 60,Supply,RETROSPECTIVE,12/07/2016,feed,set,extension,,Supply,0.75,Supply,0.93470593572,Supply,0.999959556324,Supply,"Jaro, Logistic, DeepNN",3,1,1,1,0.894888497348,feed,set,ext,,1,all agree
58,1609,TELEVISION,television,Plan Benefit,RETROSPECTIVE,12/07/2016,television,,,,Plan Benefit,0.76,Supply,0.378985320728,Pharmacy,0.569994569728,Plan Benefit,Jaro,1,1,0,0,0.253333333333,television,,,,1,all disagree
59,391,DORNASE ALFA INHA SOLN; DORNASE ALFA NEB 1 MG/ML (2.5 ML),dornase alpha inhalation solution dornase alpha nebulizer 1_mg/ml 2.5_ml,Plan Benefit,RETROSPECTIVE,12/07/2016,solution,nebulizer,alfa,inhalation,Plan Benefit,0.76,Plan Benefit,0.976109437951,Plan Benefit,0.999999994113,Plan Benefit,"Jaro, Logistic, DeepNN",3,1,1,1,0.912036477355,alpha,neb,solution,inha,1,all agree
60,4972,DEXMEDETOMIDINE 100 MCG/ML SOLN 2 ML VIAL,dexmedetomidine 100 mcg/ml solution 2_ml vial,Pharmacy,ONLINE,16/09/2016,mcg,ml,2_ml,soln,Pharmacy,0.91,Pharmacy,0.986130882848,Pharmacy,0.99991829832,Pharmacy,"Jaro, Logistic, DeepNN",3,1,1,1,0.965349727056,mcg,ml,2_ml,soln,1,all agree
61,1908,AMOXICILLIN SUSPENSION 50 M WCH00-0004-28,amoxicillin suspension 50 m wch00 4 28,Pharmacy,RETROSPECTIVE,12/07/2016,suspension,wch00,,,Plan Benefit,0.77,Pharmacy,0.942193500225,Pharmacy,0.999914684475,Pharmacy,"Logistic, DeepNN",2,0,1,1,0.6473693949,suspension,amoxicillin,wch00,,1,jaro disagree
62,867,PULSE OX-CONTINUOUS,pulse oximetry continuous,Monitoring,RETROSPECTIVE,12/07/2016,continuous,oximetry,pulse,,Monitoring,0.98,Monitoring,0.891846170004,Monitoring,0.999871359962,Monitoring,"Jaro, Logistic, DeepNN",3,1,1,1,0.957239176655,continuous,oximetry,pulse,,1,all agree
63,6032,SYS 5 LEAD CABLE & WIRE DUAL,system 5 lead cable and wire dual,Supply,ONLINE,16/09/2016,dual,system,lead,,Monitoring,0.66,Supply,0.742529759724,Supply,0.839686479838,Supply,"Logistic, DeepNN",2,0,1,1,0.527405413187,dual,wire,system,lead,1,jaro disagree
64,661,SODIUM SERUM,sodium serum,Laboratory,RETROSPECTIVE,12/07/2016,serum,sodium,,,Laboratory,0.85,Laboratory,0.879706574064,Laboratory,0.997575225963,Laboratory,"Jaro, Logistic, DeepNN",3,1,1,1,0.909093933343,serum,sodium,,,1,all agree
65,85,D5W 100ML IVF,dextrose_5%_in_water 100_ml intravenous_fluid,Diluent / Flush / Irrigant,RETROSPECTIVE,12/07/2016,100_ml,D5W,IVF,,Diluent / Flush / Irrigant,0.84,Diluent / Flush / Irrigant,0.799063655195,Diluent / Flush / Irrigant,0.984380033005,Diluent / Flush / Irrigant,"Jaro, Logistic, DeepNN",3,1,1,1,0.8744812294,100_ml,d5w,ivf,,1,all agree
66,4869,CHEST 1V CHEST 1V,chest one_view chest one_view,Radiology,ONLINE,16/09/2016,chest,1v,,,Radiology,0.79,Radiology,0.712743667907,Radiology,0.585609520569,Radiology,"Jaro, Logistic, DeepNN",3,1,1,1,0.696117729492,chest,1v,,,1,all agree
67,3519,14595302 - PREDNISONE PER 5MG TAB (10MG),prednisone per 5_mg tablet 10_mg,Pharmacy,RETROSPECTIVE,13/07/2016,5_mg,tablet,per,10_mg,Pharmacy,0.96,Pharmacy,0.91504250012,Pharmacy,0.99991635381,Pharmacy,"Jaro, Logistic, DeepNN",3,1,1,1,0.958319617977,tab,5_mg,prednisone,per,1,all agree
68,3491,13754012 - MONTELUKAST SODIUM TABLET 10MG,montelukast sodium tablet 10_mg,Pharmacy,RETROSPECTIVE,13/07/2016,montelukast,10_mg,tablet,sodium,Pharmacy,0.74,Pharmacy,0.969348010956,Pharmacy,0.999935667357,Pharmacy,"Jaro, Logistic, DeepNN",3,1,1,1,0.903094559438,montelukast,10_mg,tablet,sodium,1,all agree
69,898,ASPIRIN 325MG; ASPIRIN 325 MG TABLET .EC,aspirin 325_mg aspirin 325_mg tablet each,Pharmacy,RETROSPECTIVE,12/07/2016,325_mg,tablet,aspirin,,Pharmacy,0.68,Pharmacy,0.966185665907,Pharmacy,0.999993301645,Pharmacy,"Jaro, Logistic, DeepNN",3,1,1,1,0.882059655851,325_mg,tablet,aspirin,,1,all agree
70,3975,HB GRAM STAIN,gram stain,Laboratory,RETROSPECTIVE,13/07/2016,stain,gram,,,Laboratory,0.94,Laboratory,0.857290650503,Laboratory,0.988525394023,Laboratory,"Jaro, Logistic, DeepNN",3,1,1,1,0.928605348175,stain,gram,,,1,all agree
71,3525,14668262 - PROPOFOL PER 10MG/100ML INJ,propofol per 10_mg/100_ml injection,Pharmacy,RETROSPECTIVE,13/07/2016,10_mg/100_ml,injection,propofol,per,Pharmacy,0.82,Pharmacy,0.946589021646,Pharmacy,0.999452529549,Pharmacy,"Jaro, Logistic, DeepNN",3,1,1,1,0.922013850398,10_mg/100_ml,inj,propofol,per,1,all agree
72,3248,CT HEAD OR BRAIN W/O CONTRAST,computed_tomography head operating_room brain without contrast,Radiology,RETROSPECTIVE,13/07/2016,head,or,ct,brain,Radiology,0.83,Radiology,0.833830547069,Radiology,0.998583142438,Radiology,"Jaro, Logistic, DeepNN",3,1,1,1,0.887471229836,head,ct,brain,without,1,all agree
73,4006,HB REMIFENTANIL 5MG VIAL,remifentanil 5_mg vial,Pharmacy,RETROSPECTIVE,13/07/2016,vial,remifentanil,5_mg,,Pharmacy,0.75,Pharmacy,0.945747661491,Pharmacy,0.999834932718,Pharmacy,"Jaro, Logistic, DeepNN",3,1,1,1,0.898527531403,vial,remifentanil,5_mg,,1,all agree
74,2122,DOCUSATE 50MG/CAP UD,docusate 50_mg/capillary ud,Pharmacy,RETROSPECTIVE,12/07/2016,50_mg/capture,udi,docusate,,Pharmacy,0.88,Pharmacy,0.963350987727,Pharmacy,0.999982484484,Pharmacy,"Jaro, Logistic, DeepNN",3,1,1,1,0.94777782407,50_mg/capillary,docusate,ud,,1,all agree
75,1210,LCHG BLOOD DRAW,blood draw,Nursing Services,RETROSPECTIVE,12/07/2016,draw,blood,,,Nursing Services,0.74,Nursing Services,0.514460682867,Nursing Services,0.814619755109,Nursing Services,"Jaro, Logistic, DeepNN",3,1,1,1,0.689693479325,draw,blood,,,1,all agree
