,Unnamed: 0,Original Description,Normalized Description,Charge Class,Predicted_Class_Jaro,Prob_Jaro,Correct_Jaro,Predicted_Class_SVM,Prob_SVM,Correct_SVM,Predicted_Class_Naive,Prob_Naive,Correct_Naive,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Correct_Logistic_OvR,Predicted_Class_Randomforest,Prob_Randomforest,Correct_Randomforest,Predicted_Class_DeepNN,Prob_DeepNN,Correct_DeepNN,Predicted_Class_kNN,Prob_kNN,Correct_kNN,Predicted_Class_LDA,Prob_LDA,Correct_LDA,Predicted_Class_XGBoost,Prob_XGBoost,Correct_XGBoost,Voted Output,Confidence Score
10,2108,VECURONIUM 10MG INJ,vecuronium 10_mg injection,Pharmacy,Pharmacy,1.0,1,Pharmacy,0.967859603445,1,Pharmacy,0.99982874502,1,Pharmacy,0.949241724698,1,Pharmacy,1.0,1,Pharmacy,0.999956143867,1,Pharmacy,1.0,1,Pharmacy,0.99999846478,1,Pharmacy,0.999999761581,1,Pharmacy,0.990764938155
11,2572,PRIMAXIN INJ PER 250 MG,primaxin injection per 250_mg,Pharmacy,Pharmacy,1.0,1,Pharmacy,0.954431313229,1,Pharmacy,0.996589171779,1,Pharmacy,0.89925913313,1,Pharmacy,0.8,1,Pharmacy,0.999535274281,1,Pharmacy,0.9,1,Pharmacy,0.999999619079,1,Pharmacy,1.0,1,Pharmacy,0.949979390166
12,2480,HC PHOSPHORUS,phosphorus,Laboratory,Laboratory,1.0,1,Laboratory,0.830454367955,1,Laboratory,0.945424246699,1,Laboratory,0.748534304654,1,Laboratory,0.810476190476,1,Laboratory,0.723989703961,1,Laboratory,0.8,1,Laboratory,0.999813715749,1,Laboratory,0.727555930614,1,Laboratory,0.842916495568
13,1443,LAB-SODIUM (WHOLE BLOOD),laboratory sodium whole blood,Laboratory,Laboratory,1.0,1,Laboratory,0.984334829242,1,Laboratory,0.996103159913,1,Laboratory,0.945323133096,1,Laboratory,0.8,1,Laboratory,0.999793380583,1,Laboratory,1.0,1,Laboratory,0.999997725472,1,Laboratory,0.999997854233,1,Laboratory,0.969505564727
14,2260,SET  IV EXT FILTR0.2MIC,set intravenous extension filtr0.2mic,Supply,Supply,1.0,1,Supply,0.957546471711,1,Supply,0.998463512421,1,Supply,0.929678945606,1,Supply,0.3,1,Supply,0.999308549897,1,Supply,0.9,1,Supply,0.999974976891,1,Supply,1.0,1,Supply,0.898330272947
15,3069,DOPAMINE 200 MG IN DEXTROS,dopamine 200_mg dextrose,Pharmacy,Pharmacy,1.0,1,Pharmacy,0.977503843023,1,Pharmacy,0.997723752458,1,Pharmacy,0.939374029712,1,Pharmacy,0.9,1,Pharmacy,0.999537216229,1,Pharmacy,0.6,1,Pharmacy,0.983714027586,1,Pharmacy,1.0,1,Pharmacy,0.933094763223
16,2423,GAIT TRAINING-15 MIN,gait training 15_minutes,PT / OT / Speech Therapy,PT / OT / Speech Therapy,1.0,1,PT / OT / Speech Therapy,0.887665855292,1,PT / OT / Speech Therapy,0.993385968009,1,PT / OT / Speech Therapy,0.746334346459,1,PT / OT / Speech Therapy,0.8,1,PT / OT / Speech Therapy,0.983600373128,1,PT / OT / Speech Therapy,0.9,1,PT / OT / Speech Therapy,0.962332580587,1,PT / OT / Speech Therapy,0.981192052364,1,PT / OT / Speech Therapy,0.917167908427
17,479,63102002 - POTASSIUM URINE,potassium urine,Laboratory,Laboratory,1.0,1,Laboratory,0.926591364894,1,Laboratory,0.982536372815,1,Laboratory,0.746534684558,1,Laboratory,0.85,1,Laboratory,0.93589251441,1,Laboratory,0.8,1,Laboratory,0.9999969634,1,Laboratory,0.999994516373,1,Laboratory,0.915727379606
18,794,77074836 - DRESSING FOAM 8X8 MEPILEX AG,dressing foam 8x8 mepilex ag,Supply,Supply,1.0,1,Supply,0.893516185849,1,Supply,0.999764264354,1,Supply,0.811500182392,1,Supply,1.0,1,Supply,0.975867090485,1,Supply,1.0,1,Supply,0.999916318347,1,Supply,1.0,1,Supply,0.964507115714
19,2309,VANCOMYCIN,vancomycin,Laboratory,Laboratory,1.0,1,Laboratory,0.623843661638,1,Pharmacy,0.677213655339,0,Pharmacy,0.525960358951,0,Pharmacy,0.8,0,Pharmacy,0.90735799118,0,Pharmacy,0.6,0,Pharmacy,0.953862927371,0,Pharmacy,0.63111948967,0,Pharmacy,0.727930631787
20,4652,FAT EMULSION 20% EMUL 500,fat emulsion 20% emulsion 500,Pharmacy,Pharmacy,1.0,1,OR / Anesthesia / Recovery Room,0.376064615448,0,Pharmacy,0.99450688878,1,Pharmacy,0.702327792794,1,Pharmacy,0.3,1,Pharmacy,0.984084077779,1,Pharmacy,0.5,1,Pharmacy,0.989590970076,1,OR / Anesthesia / Recovery Room,0.989955306053,0,Pharmacy,0.781501389918
21,644,PREDNISOLONE 15 MG/5 ML SOLN 237 ML BOTTLE,prednisolone 15_mg/5_ml solution 237_ml bottle,Pharmacy,Pharmacy,1.0,1,Pharmacy,0.949264408273,1,Pharmacy,0.996455664767,1,Pharmacy,0.922488631671,1,Pharmacy,0.9,1,Pharmacy,0.99883781755,1,Pharmacy,0.8,1,Pharmacy,0.999999450345,1,Pharmacy,1.0,1,Pharmacy,0.951893996956
22,4948,SHEET CV SPLIT WITH TROUGHS,sheet cardiovascular split troughs,Supply,Supply,1.0,1,Supply,0.702438502465,1,Supply,0.990300585785,1,Supply,0.62349540863,1,Supply,0.6,1,Implant,0.867844698779,0,Supply,0.6,1,Supply,0.999995155564,1,Implant,0.828228592873,0,Supply,0.788032807492
23,4482,INTUBATION ENDOTRACHEAL,intubation endotracheal,Respiratory Therapy,Respiratory Therapy,1.0,1,Respiratory Therapy,0.344598908107,1,Supply,0.92812881744,0,Supply,0.395236755015,0,OR / Anesthesia / Recovery Room,0.6,0,Respiratory Therapy,0.444179566118,1,Respiratory Therapy,0.4,1,OR / Anesthesia / Recovery Room,0.559661869169,0,OR / Anesthesia / Recovery Room,0.993021428585,0,Respiratory Therapy,0.547194618556
24,2089,DIAZEPAM 5 MG/ML SOLN 10 ML VIAL,diazepam 5_mg/ml solution 10_ml vial,Pharmacy,Pharmacy,1.0,1,Pharmacy,0.980603519747,1,Pharmacy,0.998865796219,1,Pharmacy,0.939476969606,1,Pharmacy,1.0,1,Pharmacy,0.998183304818,1,Pharmacy,1.0,1,Pharmacy,0.999853866569,1,Pharmacy,1.0,1,Pharmacy,0.990775939662
25,227,67638000 - ARTISAN HISTOLOGY GMS PREP,artisan histology grams preparation,Laboratory,Laboratory,1.0,1,Laboratory,0.279383698532,1,Supply,0.813167745427,0,Pharmacy,0.366180982588,0,Laboratory,0.2,1,Pharmacy,0.63734832743,0,Supply,0.4,0,Laboratory,0.998347528956,1,Laboratory,0.998131453991,1,Laboratory,0.695172536296
26,1878,HC ISOFLURANE PER HOUR,isoflurane per hour,Pharmacy,Pharmacy,1.0,1,Plan Benefit,0.512679146257,0,OR / Anesthesia / Recovery Room,0.492802107863,0,Pharmacy,0.414138084979,1,Pharmacy,0.8,1,Pharmacy,0.974649119179,1,Plan Benefit,0.4,0,Pharmacy,0.99021055916,1,Pharmacy,0.883672177792,1,Pharmacy,0.843778323518
27,1331,PF OPHTHALMSCPY W/RETDRW SUBSQ,professional fee ophthalmoscopy retdrw subsequent,Procedure,Procedure,1.0,1,Nursing Services,0.384818892882,0,PT / OT / Speech Therapy,0.362409999719,0,Nursing Services,0.320473422226,0,Laboratory,0.2,0,Nursing Services,0.389653187364,0,Laboratory,0.2,0,Professional Fee,0.996837705431,0,Nursing Services,0.980349421501,0,Nursing Services,0.518823730993
28,4775,BLOOD GAS-ARTERIAL,blood_gas arterial,Laboratory,Laboratory,1.0,1,Laboratory,0.239938378886,1,Monitoring,0.428931830494,0,Laboratory,0.526004265734,1,Monitoring,0.9,0,Laboratory,0.932584737854,1,Laboratory,0.4,1,Laboratory,0.999985364244,1,Monitoring,0.39824038744,0,Laboratory,0.683085457786
29,3855,POTASSIUM PLASMA,potassium plasma,Laboratory,Laboratory,1.0,1,Laboratory,0.931539551419,1,Laboratory,0.99171180924,1,Laboratory,0.712705107007,1,Laboratory,0.75,1,Laboratory,0.791715954685,1,Laboratory,1.0,1,Laboratory,0.999994074507,1,Laboratory,0.999988555908,1,Laboratory,0.908628339196
30,4790,HCHG SUTR SILK 3 0 17X18,suture silk 3 0 17x18,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,1.0,1,Supply,0.852904465338,0,Supply,0.989678780401,0,Supply,0.679753649908,0,Supply,0.471666666667,0,Supply,0.873112759993,0,Supply,0.6,0,Supply,0.628438120119,0,Supply,0.751961410046,0,Supply,0.730939481559
31,3384,CULTURE BLOOD BACTERIAL,culture blood bacterial,Laboratory,Laboratory,1.0,1,Laboratory,0.996014237961,1,Laboratory,0.999993652075,1,Laboratory,0.954994128958,1,Laboratory,0.9,1,Laboratory,0.999753513794,1,Laboratory,1.0,1,Laboratory,0.999998264044,1,Laboratory,1.0,1,Laboratory,0.983417088537
32,2608,SHEATH INTRO PINNACLE PERIPH GW6FRX10,sheath intro pinnacle peripheral gw6frx10,Supply,Supply,1.0,1,Supply,0.897165680412,1,Supply,0.99091487708,1,Supply,0.837297535108,1,Supply,0.6,1,Supply,0.982414576711,1,Supply,0.8,1,Supply,0.999931380996,1,Supply,0.999995946884,1,Supply,0.900857777466
33,3843,PROPARACAINE HCL 0.5% OPHTH SOLN 15ML,proparacaine hydrochloride 0.5% ophthalmic solution 15_ml,Pharmacy,Pharmacy,1.0,1,Pharmacy,0.978764005978,1,Pharmacy,0.99877715031,1,Pharmacy,0.943437742431,1,Pharmacy,0.9,1,Pharmacy,0.999832569967,1,Pharmacy,1.0,1,Pharmacy,0.999999984712,1,Pharmacy,1.0,1,Pharmacy,0.980090161489
34,4746,PROPOFOL 500 MG INJ,propofol 500_mg injection,Pharmacy,Pharmacy,1.0,1,Pharmacy,0.978093522327,1,Pharmacy,0.999915800671,1,Pharmacy,0.938712452527,1,Pharmacy,1.0,1,Pharmacy,0.999945611185,1,Pharmacy,1.0,1,Pharmacy,0.999999968308,1,Pharmacy,1.0,1,Pharmacy,0.990740817224
35,2871,HC CREATINE KINASE TOTAL,creatine kinase total,Laboratory,Laboratory,1.0,1,Laboratory,0.950116952377,1,Laboratory,0.98081496165,1,Laboratory,0.788778755545,1,Laboratory,0.7,1,Laboratory,0.954195358309,1,Laboratory,0.9,1,Laboratory,0.999984906846,1,Laboratory,0.999948382378,1,Laboratory,0.919315479678
36,3011,VENT MANGMNT INPT/OBS INIT DAY,ventilator management input obs init day,Respiratory Therapy,Respiratory Therapy,1.0,1,Respiratory Therapy,0.733801162832,1,Respiratory Therapy,0.997322808029,1,Respiratory Therapy,0.789492246982,1,Supply,0.5,0,Respiratory Therapy,0.999316351737,1,Respiratory Therapy,1.0,1,Respiratory Therapy,0.990337640977,1,Respiratory Therapy,1.0,1,Respiratory Therapy,0.93878377632
37,2533,CATH UMBILICAL ARTERY,catch umbilical artery,Supply,Supply,1.0,1,Supply,0.808324091743,1,Supply,0.991025200382,1,Supply,0.761727928327,1,Supply,0.7,1,Supply,0.961897056779,1,Supply,0.6,1,Supply,0.997055145213,1,Supply,0.610832571983,1,Supply,0.825651332714
38,514,HC TRAY ANGIO SPECIAL,tray angiography special,Supply,Supply,1.0,1,Supply,0.864256022681,1,Supply,0.999430249191,1,Supply,0.866059592499,1,Supply,0.7,1,Supply,0.969615344842,1,Supply,0.9,1,Supply,0.999464941069,1,Supply,0.999996304512,1,Supply,0.922091383866
39,2908,CHLORHEXIDINE 0.12% SOLN,chlorhexidine 0.12% solution,Pharmacy,Pharmacy,1.0,1,Pharmacy,0.690336389963,1,Pharmacy,0.98129062386,1,Pharmacy,0.763149436524,1,Pharmacy,0.5,1,Pharmacy,0.956911090224,1,Pharmacy,0.6,1,Pharmacy,0.999998747808,1,Pharmacy,0.7925542593,1,Pharmacy,0.809360060853
40,3659,CELL COUNT & DIFF(BODY FLU,cell count differential body fluid,Laboratory,Laboratory,1.0,1,Laboratory,0.981701751364,1,Laboratory,0.999974033491,1,Laboratory,0.926929422535,1,Laboratory,0.866666666667,1,Laboratory,0.999570341297,1,Laboratory,1.0,1,Laboratory,0.99961140971,1,Laboratory,1.0,1,Laboratory,0.974939291674
41,844,FAT EMULSION 20% EMUL 250,fat emulsion 20% emulsion 250,Pharmacy,Pharmacy,1.0,1,OR / Anesthesia / Recovery Room,0.388157912018,0,Pharmacy,0.993038709904,1,Pharmacy,0.698420112595,1,Pharmacy,0.3,1,Pharmacy,0.977405031173,1,Pharmacy,0.5,1,Pharmacy,0.999569218035,1,OR / Anesthesia / Recovery Room,0.988239407539,0,Pharmacy,0.78120472453
42,1889,ROOM 9P22,room 9p22,Room and Board,Room and Board,1.0,1,Room and Board,0.861102843997,1,Supply,0.691054130178,0,Room and Board,0.807468883865,1,Room and Board,1.0,1,Room and Board,0.999118090149,1,Room and Board,1.0,1,Room and Board,0.999953178886,1,Room and Board,0.999958634377,1,Room and Board,0.958450203909
43,4468,HB TUBING SX SIMS OD3-6MM IRR NOZ,tubing suction sims od3 6mm irrigation nozzle,Supply,Supply,1.0,1,Supply,0.964890765179,1,Supply,0.999812253549,1,Supply,0.936055821976,1,Supply,1.0,1,Supply,0.997569760761,1,Supply,1.0,1,Supply,0.999988353916,1,Supply,1.0,1,Supply,0.988701883931
44,3532,52109000 - RB CDU-GROUND STEP DOWN ICU,room_and_board cdu ground step intensive_care_unit,Room and Board,Room and Board,1.0,1,Room and Board,0.935726483034,1,Room and Board,0.999930370793,1,Room and Board,0.819414847059,1,Room and Board,0.9,1,Room and Board,0.999603648848,1,Room and Board,1.0,1,Room and Board,0.999989746767,1,Room and Board,1.0,1,Room and Board,0.961629455167
45,3065,HCHG GUIDEWIRE ROSEN 35 220 1.5,guidewire rosen 35 220 1.5,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,1.0,1,Supply,0.939357491325,0,Supply,0.982216003185,0,Supply,0.879923963992,0,Supply,0.7,0,Supply,0.992870396861,0,Supply,0.7,0,Supply,0.55639944917,0,Supply,1.0,0,Supply,0.843845913067
46,4975,86402001 - WALKING MOVING AROUND,walking moving around,PT / OT / Speech Therapy,PT / OT / Speech Therapy,1.0,1,PT / OT / Speech Therapy,0.719612529225,1,Supply,0.971967619697,0,PT / OT / Speech Therapy,0.617473469413,1,PT / OT / Speech Therapy,1.0,1,PT / OT / Speech Therapy,0.990919749301,1,PT / OT / Speech Therapy,0.5,1,PT / OT / Speech Therapy,0.999770333836,1,PT / OT / Speech Therapy,0.999999046326,1,PT / OT / Speech Therapy,0.853471891013
47,4432,SUTURE 2-0 NYLON 664H,suture 2 0 nylon 664h,Supply,Supply,1.0,1,Supply,0.856002965453,1,Supply,0.988420116675,1,Supply,0.68553349403,1,Supply,0.8,1,Supply,0.942112075567,1,Supply,0.6,1,Supply,0.709480540756,1,Supply,0.817606925964,1,Supply,0.822128457605
48,1599,SODIUM POC ACUTE PANEL C,sodium poc acute panel c,Laboratory,Laboratory,1.0,1,Laboratory,0.856576277707,1,Laboratory,0.985248912983,1,Laboratory,0.827682264913,1,Laboratory,0.9,1,Laboratory,0.996580548381,1,Laboratory,0.7,1,Laboratory,0.999997891485,1,Laboratory,0.823757529259,1,Laboratory,0.898871491636
49,3360,SUCT DRAIN SYS 500ML TCS500D,suction drain system 500_ml tcs500d,Supply,Supply,1.0,1,Supply,0.901180802778,1,Supply,0.998821078272,1,Supply,0.88995171078,1,Supply,0.9,1,Supply,0.981339952647,1,Supply,1.0,1,Supply,0.972018910253,1,Supply,1.0,1,Supply,0.960368050526
50,4750,CAR SEAT ADDL 30,care seat additional 30,Nursing Services,Nursing Services,1.0,1,Other,0.279772363481,0,OR / Anesthesia / Recovery Room,0.842043019502,0,OR / Anesthesia / Recovery Room,0.289644279537,0,Other,0.3,0,OR / Anesthesia / Recovery Room,0.820874917061,0,PT / OT / Speech Therapy,0.4,0,OR / Anesthesia / Recovery Room,0.844431647703,0,Other,0.890431940556,0,OR / Anesthesia / Recovery Room,0.699248465951
51,1036,CIPROFLOXACIN 2 MG/ML PGBK,ciprofloxacin 2_mg/ml pgbk,Pharmacy,Pharmacy,1.0,1,Pharmacy,0.986404065787,1,Pharmacy,0.999729971064,1,Pharmacy,0.959047145351,1,Pharmacy,1.0,1,Pharmacy,0.999993535551,1,Pharmacy,1.0,1,Pharmacy,0.999999948572,1,Pharmacy,1.0,1,Pharmacy,0.993908296258
52,3779,BLD SAW SAG/OSC 70X25X1MM BR2108-100,blade saw sagital oscillating 70x25x1mm br2108 100,Supply,Supply,1.0,1,Supply,0.924798123543,1,Supply,0.993013746242,1,Supply,0.803097670864,1,Supply,0.5,1,Supply,0.977266383199,1,Supply,0.6,1,Supply,0.991658242676,1,Supply,0.997712016106,1,Supply,0.865282909181
53,903,US GUID VASC ACCESS,ultrasound guide vascular access,Radiology,Radiology,1.0,1,Radiology,0.955256947259,1,Radiology,0.999265269913,1,Radiology,0.790816165643,1,Radiology,0.4,1,Radiology,0.998594170613,1,Radiology,0.6,1,Radiology,0.99975419971,1,Radiology,1.0,1,Radiology,0.860409639237
54,3262,HCHG DILATOR VESSEL STD DISP20FR,dilator vessel standard disp20fr,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,1.0,1,Supply,0.542093751933,0,Supply,0.985166752235,0,Supply,0.680017547847,0,Supply,0.8,0,Supply,0.607187796298,0,Supply,0.5,0,OR / Anesthesia / Recovery Room,0.515170016105,1,Supply,0.999987840652,0,Supply,0.730636241281
55,918,CALCIUM CHLORIDE SYRG,calcium chloride syringe,Pharmacy,Pharmacy,1.0,1,Pharmacy,0.553696901565,1,Pharmacy,0.785212398691,1,Pharmacy,0.615892838764,1,Diluent / Flush / Irrigant,0.3,0,Pharmacy,0.840003502008,1,Diluent / Flush / Irrigant,0.4,0,Pharmacy,0.978037717521,1,Pharmacy,0.999925017357,1,Pharmacy,0.824681196558
56,3118,SPIRONOLACTONE 25 MG TAB,spironolactone 25_mg tablet,Pharmacy,Pharmacy,1.0,1,Pharmacy,0.980866969864,1,Pharmacy,0.999311851665,1,Pharmacy,0.947887247515,1,Pharmacy,1.0,1,Pharmacy,0.999721473173,1,Pharmacy,1.0,1,Pharmacy,0.999999998378,1,Pharmacy,1.0,1,Pharmacy,0.9919763934
57,1584,SET  IV PRIMARY PUMP PLUM 51674,set intravenous primary pump plum 51674,Supply,Supply,1.0,1,Supply,0.979884435396,1,Supply,0.999569458578,1,Supply,0.843400502387,1,Supply,0.4,1,Supply,0.999379523578,1,Capital Equipment,0.5,0,Capital Equipment,0.499996914858,0,Supply,1.0,1,Supply,0.888890559991
58,4397,PHENYLEPHRN HCL <=1ML 10ML SYR,phenylephrine hcl < 1_ml 10_ml syringe,Pharmacy,Pharmacy,1.0,1,Pharmacy,0.994318024793,1,Pharmacy,0.994370628232,1,Pharmacy,0.932990502751,1,Pharmacy,0.9,1,Pharmacy,0.999817106382,1,Pharmacy,0.9,1,Pharmacy,0.99999999899,1,Pharmacy,1.0,1,Pharmacy,0.969055140128
59,3361,LCHG COMPATIBILITY TEST IMMEDIATE SPIN,compatibility test immediate spin,Laboratory,Laboratory,1.0,1,Laboratory,0.525353032168,1,Laboratory,0.494087151324,1,Laboratory,0.494507781993,1,Laboratory,0.5,1,Laboratory,0.927343712147,1,Procedure,0.3,0,OR / Anesthesia / Recovery Room,0.99116816881,0,Monitoring,0.617055296898,0,Laboratory,0.656881946272
60,3951,SENNA/DOCUSATE 8.6/50 MG TAB,senna docusate 8.6/50_mg tablet,Pharmacy,Pharmacy,1.0,1,Pharmacy,0.991684488105,1,Pharmacy,0.999814784299,1,Pharmacy,0.960131525996,1,Pharmacy,1.0,1,Pharmacy,0.999849740138,1,Pharmacy,0.9,1,Pharmacy,0.999999998398,1,Pharmacy,1.0,1,Pharmacy,0.983497837437
61,4217,HCHG THYROID STIMULATING HORM (TSH) HCHG THYROID STIMULATING HORM (TSH),thyroid stimulating hormone (tsh),Laboratory,Laboratory,1.0,1,Laboratory,0.856332319942,1,Laboratory,0.999691313763,1,Laboratory,0.850101187635,1,Laboratory,0.9,1,Laboratory,0.996809331155,1,Laboratory,0.9,1,Laboratory,0.999989503064,1,Laboratory,1.0,1,Laboratory,0.944769295062
62,602,77001218 - BED BARI MAXX III,bed bari maxx iii,Capital Equipment,Capital Equipment,1.0,1,Supply,0.794940016588,0,Supply,0.976472550121,0,Supply,0.639377049512,0,Supply,0.6,0,Room and Board,0.653536384289,0,Supply,0.8,0,Room and Board,0.844609377067,0,Room and Board,0.942584693432,0,Supply,0.762157923244
63,2267,CALCIUM IONIZED (BLOOD GAS),calcium ionized blood_gas,Laboratory,Laboratory,1.0,1,Laboratory,0.946265532229,1,Laboratory,0.972628132871,1,Laboratory,0.86775682026,1,Laboratory,1.0,1,Laboratory,0.999347824254,1,Laboratory,1.0,1,Laboratory,0.999997374845,1,Laboratory,1.0,1,Laboratory,0.976221742718
64,2045,SODIUM CHLORIDE 0.9 % SYRG 10 ML SYRINGE,sodium chloride 0.9% syringe 10_ml syringe,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,1.0,1,Diluent / Flush / Irrigant,0.742010940816,1,Diluent / Flush / Irrigant,0.989059049082,1,Diluent / Flush / Irrigant,0.665911001208,1,Diluent / Flush / Irrigant,0.7,1,Diluent / Flush / Irrigant,0.906791424936,1,Diluent / Flush / Irrigant,0.7,1,Diluent / Flush / Irrigant,0.667631893082,1,Diluent / Flush / Irrigant,0.998254954815,1,Diluent / Flush / Irrigant,0.818851029326
65,1310,CO2 EXPIRED GAS DETERMINATION,carbon_dioxide expired gas determination,Monitoring,Monitoring,1.0,1,Monitoring,0.914053042828,1,Monitoring,0.980483121831,1,Monitoring,0.6924336474,1,Monitoring,0.7,1,Monitoring,0.83676111741,1,Monitoring,0.7,1,Monitoring,0.996718044518,1,Monitoring,0.999996185303,1,Monitoring,0.868938351032
