,Unnamed: 0,Id,Original Description,Normalized Description,Charge Class,FLAG,CREATE_DT,FTR1,FTR2,FTR3,FTR4,Predicted_Class_Jaro,Prob_Jaro,Predicted_Class_SVM,Prob_SVM,Predicted_Class_Naive,Prob_Naive,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Predicted_Class_Randomforest,Prob_Randomforest,Predicted_Class_DeepNN,Prob_DeepNN,Predicted_Class_kNN,Prob_kNN,Predicted_Class_LDA,Prob_LDA,Predicted_Class_XGBoost,Prob_XGBoost,Voted Output,Sum Correct,Correct_Jaro,Correct_SVM,Correct_Naive,Correct_Logistic_OvR,Correct_Randomforest,Correct_DeepNN,Correct_kNN,Correct_LDA,Correct_XGBoost,Confidence Score,Feature 1,Feature 2,Feature 3,Feature 4,Maximum_Pred,Maximum_Prob,Voting_Pred,Voting_Prob
11,11,92,DEX 5%/WATER 100ML,dextrose 5%/water 100_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-12,100_ml,dextrose,5%/water,,Diluent / Flush / Irrigant,0.94,Diluent / Flush / Irrigant,0.982292414986,Diluent / Flush / Irrigant,0.986720744828,Diluent / Flush / Irrigant,0.871654122481,Diluent / Flush / Irrigant,1.0,Diluent / Flush / Irrigant,0.999510392544,Diluent / Flush / Irrigant,1.0,Diluent / Flush / Irrigant,0.967433284951,Diluent / Flush / Irrigant,0.999496459961,Diluent / Flush / Irrigant,9,1,1,1,1,1,1,1,1,1,0.971900824417,100_ml,dex,5%/water,,Diluent / Flush / Irrigant,1.0,Diluent / Flush / Irrigant,0.971900824417
12,12,2826,HC OXYGEN PER HOUR,oxygen per hour,Respiratory Therapy,RETROSPECTIVE,2016-07-12,per,oxygen,hour,,Respiratory Therapy,0.96,Respiratory Therapy,0.773054355876,Respiratory Therapy,0.855806411361,Respiratory Therapy,0.776989357447,Respiratory Therapy,0.9,Respiratory Therapy,0.853479342092,Respiratory Therapy,1.0,Respiratory Therapy,0.999994555304,Respiratory Therapy,0.99999833107,Respiratory Therapy,9,1,1,1,1,1,1,1,1,1,0.902146928128,per,oxygen,hour,,Respiratory Therapy,1.0,Respiratory Therapy,0.902146928128
13,13,5376,86614002 - OTHER PT/OT THERAPY FUNC LIMIT,other physical_therapy/occupational_therapy therapy func limit,PT / OT / Speech Therapy,RETROSPECTIVE,2016-07-13,therapy,occupational_therapy,physical_therapy,,PT / OT / Speech Therapy,0.96,PT / OT / Speech Therapy,0.932014835945,PT / OT / Speech Therapy,0.999953437314,PT / OT / Speech Therapy,0.833096742171,PT / OT / Speech Therapy,0.7,PT / OT / Speech Therapy,0.970230775522,PT / OT / Speech Therapy,0.8,PT / OT / Speech Therapy,0.999999953165,PT / OT / Speech Therapy,1.0,PT / OT / Speech Therapy,9,1,1,1,1,1,1,1,1,1,0.910588416013,therapy,occupational_therapy,physical_therapy,,PT / OT / Speech Therapy,1.0,PT / OT / Speech Therapy,0.910588416013
14,14,5653,HB GLUCOSE CSF,glucose cerebrospinal_fluid,Laboratory,RETROSPECTIVE,2016-07-13,csf,glucose,,,Monitoring,0.89,Laboratory,0.509644621974,Laboratory,0.988444772523,Laboratory,0.623584358607,Laboratory,0.5,Monitoring,0.609201768918,Laboratory,0.6,Laboratory,0.999854676505,Laboratory,0.999983787537,Monitoring,2,1,0,0,0,0,1,0,0,0,0.166577974324,csf,glucose,,,Laboratory,0.999983787537,Laboratory,0.745930316735
15,15,5524,COMPREHENSIVE MET PANEL,comprehensive metabolic panel,Laboratory,RETROSPECTIVE,2016-07-13,comprehensive,panel,metabolic,,Laboratory,0.92,Laboratory,0.952774327587,Laboratory,0.999373451289,Laboratory,0.878278317798,Laboratory,1.0,Laboratory,0.983848618767,Laboratory,0.9,Laboratory,0.999999726522,Laboratory,0.999999523163,Laboratory,9,1,1,1,1,1,1,1,1,1,0.959363773903,comprehensive,panel,metabolic,,Laboratory,1.0,Laboratory,0.959363773903
16,16,4126,CALCIUM GLUCONATE 10 % SOLN 10 ML EXTEMP,calcium gluconate 10% solution 10_ml extemp,Pharmacy,RETROSPECTIVE,2016-07-12,calcium,10_ml,soln,,Pharmacy,0.9,Pharmacy,0.988471625049,Pharmacy,0.962835455885,Pharmacy,0.953441795803,Pharmacy,0.6,Pharmacy,0.999878120485,Pharmacy,0.8,Pharmacy,0.99999994355,Pharmacy,1.0,Pharmacy,9,1,1,1,1,1,1,1,1,1,0.911625215641,calcium,extemp,10_ml,soln,Pharmacy,1.0,Pharmacy,0.911625215641
17,17,6137,DEXMEDETOMIDINE 200MCG/2 ML SOLN,dexmedetomidine 200_mcg/2_ml solution,Pharmacy,ONLINE,2016-09-16,dexmedetomidine,200_mcg/2_ml,soln,,Pharmacy,0.94,Pharmacy,0.983609447012,Pharmacy,0.999734579659,Pharmacy,0.957058767713,Pharmacy,0.9,Pharmacy,0.999658615288,Pharmacy,1.0,Pharmacy,0.999999997087,Pharmacy,1.0,Pharmacy,9,1,1,1,1,1,1,1,1,1,0.975562378529,dexmedetomidine,200_mcg/2_ml,soln,,Pharmacy,1.0,Pharmacy,0.975562378529
18,18,5688,HB RH C29,rhesus c29,Laboratory,RETROSPECTIVE,2016-07-13,rh,c29,,,Pharmacy,0.69,Laboratory,0.983841777716,Laboratory,0.999966773682,Laboratory,0.890597974002,Laboratory,0.7,Laboratory,0.991743515027,Laboratory,1.0,Laboratory,0.999999981682,Laboratory,0.999997377396,OR / Anesthesia / Recovery Room,0,0,0,0,0,0,0,0,0,0,0.0,rh,c29,,,Laboratory,1.0,Laboratory,0.945768424938
19,19,5243,53277000 - ARTERIAL BLD DRAW FOR ANALYSIS,arterial blood draw for analysis,Nursing Services,RETROSPECTIVE,2016-07-13,arterial,draw,blood,analysis,Nursing Services,0.73,Nursing Services,0.79187511546,Laboratory,0.48407769042,Nursing Services,0.665357513086,Radiology,0.4,Nursing Services,0.99340729298,Nursing Services,0.6,Nursing Services,0.944013627164,Nursing Services,0.999999165535,Nursing Services,7,1,1,0,1,0,1,1,1,1,0.636072523803,arterial,draw,bld,analysis,Nursing Services,0.999999165535,Nursing Services,0.817807530604
20,20,83,D5W 1/2NS 1000ML/20MEQ KCL,dextrose_5%_in_water 1/2ns 1000_ml/20_meq potassuim_chloride,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-12,1000_ml/20meq,1/2ns,KCl,D5W,Diluent / Flush / Irrigant,0.73,Pharmacy,0.857189874748,Diluent / Flush / Irrigant,0.933295262118,Pharmacy,0.726946340983,Pharmacy,0.9,Pharmacy,0.987085652167,Diluent / Flush / Irrigant,0.9,Pharmacy,0.922238498449,Pharmacy,1.0,Diluent / Flush / Irrigant,3,1,0,1,0,0,0,1,0,0,0.28481058468,kcl,1/2ns,1000_ml/20_meq,d5w,Pharmacy,1.0,Pharmacy,0.898910061058
21,21,5675,HB OR PROCEDURE RM FIRST 15 MIN,operation_room procedure room first 15_minutes,OR / Anesthesia / Recovery Room,RETROSPECTIVE,2016-07-13,min,or,procedure,rm,OR / Anesthesia / Recovery Room,0.86,OR / Anesthesia / Recovery Room,0.650197915834,OR / Anesthesia / Recovery Room,0.99884266424,OR / Anesthesia / Recovery Room,0.8018858913,OR / Anesthesia / Recovery Room,0.6,OR / Anesthesia / Recovery Room,0.989076081781,Room and Board,0.9,OR / Anesthesia / Recovery Room,0.999863206593,OR / Anesthesia / Recovery Room,0.999999403954,OR / Anesthesia / Recovery Room,8,1,1,1,1,1,1,0,1,1,0.766651684856,15_minutes,first,or,procedure,OR / Anesthesia / Recovery Room,0.999999403954,OR / Anesthesia / Recovery Room,0.862483145463
22,22,6530,CATH BLADDER SMP,catheter bladder sump,Supply,ONLINE,2016-10-12,catheter,bladder,sump,,Laboratory,0.74,Supply,0.875869641298,Supply,0.998102717211,Supply,0.833579629641,Supply,0.9,Supply,0.962355945858,Supply,0.8,Supply,0.998776250944,Supply,0.966192066669,Laboratory,1,1,0,0,0,0,0,0,0,0,0.0822222222222,cath,bladder,sump,,Supply,0.998776250944,Supply,0.916859531453
23,23,5892,PROPOFOL 10 MG INJ,propofol 10_mg injection,Pharmacy,RETROSPECTIVE,2016-07-13,injection,propofol,10_mg,,Pharmacy,1.0,Pharmacy,0.988812836906,Pharmacy,0.99995975962,Pharmacy,0.944130471529,Pharmacy,1.0,Pharmacy,0.999852538408,Pharmacy,1.0,Pharmacy,0.999999993801,Pharmacy,1.0,Pharmacy,9,1,1,1,1,1,1,1,1,1,0.992528400029,inj,propofol,10_mg,,Pharmacy,1.0,Pharmacy,0.992528400029
24,24,6587,EPINEPHRINE 0.1 MG/ML 1 10 000 INJECTION SYRINGE,epinephrine 0.1 mg/ml 1 10 0 injection syringe,OR / Anesthesia / Recovery Room,ONLINE,2016-10-12,syringe,injection,epinephrine,0.1_mg/ml,OR / Anesthesia / Recovery Room,0.86,Pharmacy,0.597472337798,Pharmacy,0.999739546006,Pharmacy,0.864022947131,Pharmacy,0.6,Pharmacy,0.79587799073,Pharmacy,0.8,Pharmacy,0.975678501308,Pharmacy,0.870743870735,OR / Anesthesia / Recovery Room,1,1,0,0,0,0,0,0,0,0,0.0955555555556,syringe,ml,mg,epinephrine,Pharmacy,0.999739546006,Pharmacy,0.812941899213
25,25,66,RNTL OUTLOOK PUMP DAILY,rental outlook pump daily,Capital Equipment,RETROSPECTIVE,2016-07-12,outlook,rental,pump,daily,Monitoring,0.66,Capital Equipment,0.883094264182,Supply,0.886316881785,Capital Equipment,0.702071262789,Supply,0.4,Capital Equipment,0.998369144375,Capital Equipment,0.5,Capital Equipment,0.999871381376,Capital Equipment,0.999999642372,Capital Equipment,6,0,1,0,1,0,1,1,1,1,0.564822855011,outlook,rntl,pump,daily,Capital Equipment,0.999999642372,Capital Equipment,0.847234282516
26,26,6844,NYSTATIN 100 000 UNIT/GRAM TOPICAL POWDER,nystatin 100 000 units/gram topical powder,OR / Anesthesia / Recovery Room,ONLINE,2016-10-12,nystatin,000_units/gram,powder,topical,Pharmacy,0.85,Pharmacy,0.80976342931,Pharmacy,0.998258499571,Pharmacy,0.885664818674,Pharmacy,0.9,Pharmacy,0.976371284182,Pharmacy,0.7,Pharmacy,0.99988358494,Pharmacy,0.999934911728,Pharmacy,9,1,1,1,1,1,1,1,1,1,0.902208503156,nystatin,units,gram,powder,Pharmacy,0.999934911728,Pharmacy,0.902208503156
27,27,1026,OXYCODONE-ACETAMINOPHEN 10-325 MG TABS,oxycodone acetaminophen 10 325_mg tablets,Pharmacy,ONLINE,2016-09-16,325_mg,tabs,oxycodone,acetaminophen,Pharmacy,0.96,Pharmacy,0.996141644727,Pharmacy,0.999992588327,Pharmacy,0.966416990068,Pharmacy,1.0,Pharmacy,0.99999902726,Pharmacy,1.0,Pharmacy,0.999999999052,Pharmacy,1.0,Pharmacy,9,1,1,1,1,1,1,1,1,1,0.991394472159,325_mg,tabs,oxycodone,acetaminophen,Pharmacy,1.0,Pharmacy,0.991394472159
28,28,3880,NOREPINEPHRINE 1 MG/ML SOLN 4 ML VIAL,norepinephrine 1_mg/ml solution 4_ml vial,Pharmacy,RETROSPECTIVE,2016-07-12,vial,4_ml,soln,,Pharmacy,0.81,Pharmacy,0.982155437587,Pharmacy,0.999096996506,Pharmacy,0.955211074484,Pharmacy,1.0,Pharmacy,0.99600308225,Pharmacy,1.0,Pharmacy,0.999999984077,Pharmacy,1.0,Pharmacy,9,1,1,1,1,1,1,1,1,1,0.971385174989,vial,norepinephrine,4_ml,soln,Pharmacy,1.0,Pharmacy,0.971385174989
29,29,4644,HCHG SOL IRRIG WATER ST 1000ML (AKA 1577),solution irrigation water sterile 1000_ml AKA  1577,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-13,water,irrigation,sterile,solution,Diluent / Flush / Irrigant,0.71,Diluent / Flush / Irrigant,0.977706395429,Diluent / Flush / Irrigant,0.999684846125,Diluent / Flush / Irrigant,0.895779222199,Diluent / Flush / Irrigant,0.7,Diluent / Flush / Irrigant,0.999941773323,Diluent / Flush / Irrigant,0.7,Diluent / Flush / Irrigant,0.999582517527,Diluent / Flush / Irrigant,1.0,Diluent / Flush / Irrigant,9,1,1,1,1,1,1,1,1,1,0.886966083845,water,irrig,sterile,sol,Diluent / Flush / Irrigant,1.0,Diluent / Flush / Irrigant,0.886966083845
30,30,3008,HB SET EXT BIFURCATED 4IN,set extension bifurcated 4 inches,Supply,RETROSPECTIVE,2016-07-12,4in,set,extension,bifurcated,Supply,0.7,Supply,0.940736976063,Supply,0.999981290726,Supply,0.881613548917,Supply,0.7,Supply,0.999280875142,Supply,0.9,Supply,0.998730054756,Supply,1.0,Supply,9,1,1,1,1,1,1,1,1,1,0.902260305067,set,inches,ext,bifurcated,Supply,1.0,Supply,0.902260305067
31,31,5185,14152102 - OXYCODONE HCL/ACETAMIN 10/325,oxycodone hcl/acetamin 10/325,Pharmacy,RETROSPECTIVE,2016-07-13,10/325,acetamin,oxycodone,hcl,Pharmacy,0.91,Pharmacy,0.996084437173,Pharmacy,0.999869785936,Pharmacy,0.944156698038,Pharmacy,0.8,Pharmacy,0.999996428204,Pharmacy,1.0,Pharmacy,0.999999999275,Pharmacy,1.0,Pharmacy,9,1,1,1,1,1,1,1,1,1,0.961123038736,10/325,acetamin,oxycodone,hcl,Pharmacy,1.0,Pharmacy,0.961123038736
32,32,4450,86130000 - A.D.L. PER 15 MINUTES (O.T.),activities_of_daily_living per 15_minutes occupational_therapy,PT / OT / Speech Therapy,RETROSPECTIVE,2016-07-13,device,tab,minutes,oxygen,PT / OT / Speech Therapy,0.7,PT / OT / Speech Therapy,0.889808418389,PT / OT / Speech Therapy,0.998745777488,PT / OT / Speech Therapy,0.822972648488,PT / OT / Speech Therapy,0.5,PT / OT / Speech Therapy,0.997306722868,PT / OT / Speech Therapy,0.9,PT / OT / Speech Therapy,0.999996293383,PT / OT / Speech Therapy,1.0,PT / OT / Speech Therapy,9,1,1,1,1,1,1,1,1,1,0.867647762291,occupational_therapy,15_minutes,per,activities_of_daily_living,PT / OT / Speech Therapy,1.0,PT / OT / Speech Therapy,0.867647762291
33,33,5250,58850000 - TRANSCUTANEOUS CO2 MONITOR/DAY,transcutaneous carbon_dioxide monitoring/day,Monitoring,RETROSPECTIVE,2016-07-13,monitoring,carbon_dioxide,transcutaneous,day,Respiratory Therapy,0.71,Monitoring,0.920805569714,Monitoring,0.973220463592,Monitoring,0.83357410492,OR / Anesthesia / Recovery Room,0.3,Monitoring,0.997746540965,Monitoring,0.7,Monitoring,0.943021139751,Monitoring,1.0,OR / Anesthesia / Recovery Room,1,0,0,0,0,1,0,0,0,0,0.0333333333333,monitoring,co2,transcutaneous,day,Monitoring,1.0,Monitoring,0.909766831277
34,34,628,HC PRESSURE MONITOR CHANGE,pressure monitor change,Supply,ONLINE,2016-09-16,pressure,monitor,change,,Supply,0.88,Monitoring,0.245194841107,Supply,0.904811866985,Respiratory Therapy,0.372807291086,Capital Equipment,0.4,Monitoring,0.80523453629,Respiratory Therapy,0.5,Supply,0.433906497065,Respiratory Therapy,0.955175936222,Supply,3,1,0,1,0,0,0,0,1,0,0.246524262672,pressure,monitor,change,,Respiratory Therapy,0.955175936222,Supply,0.739572788017
35,35,6325,AB SCR GEL METHOD NEONATE ABO SCREEN BABY,abbo scr gel method neonate abo screen baby,Laboratory,ONLINE,2016-10-06,screen,abo,gel,,Laboratory,0.75,Laboratory,0.568254635514,Laboratory,0.971440851247,Laboratory,0.589659863346,Supply,0.5,Supply,0.711791403095,Laboratory,0.4,Supply,0.500662491093,Laboratory,0.572834014893,Laboratory,6,1,1,1,1,0,0,1,0,1,0.428021040555,screen,abo,gel,,Laboratory,0.971440851247,Laboratory,0.642031560833
36,36,1069,PHENYLEPHRINE 10 MG/ML SOLN 1 ML VIAL,phenylephrine 10_mg/ml solution 1_ml vial,Pharmacy,ONLINE,2016-09-16,vial,phenylephrine,1_ml,soln,Pharmacy,0.96,Pharmacy,0.994227894797,Pharmacy,0.999940641582,Pharmacy,0.975094504554,Pharmacy,1.0,Pharmacy,0.999918600617,Pharmacy,1.0,Pharmacy,0.999999999941,Pharmacy,1.0,Pharmacy,9,1,1,1,1,1,1,1,1,1,0.992131293499,vial,phenylephrine,1_ml,soln,Pharmacy,1.0,Pharmacy,0.992131293499
37,37,2401,HC ACCUCHE CK (POC),accucheck creatinine_kinase point_of_care,Monitoring,RETROSPECTIVE,2016-07-12,POC,accucheck,cack,,Monitoring,0.93,Monitoring,0.751466408661,Laboratory,0.611339143712,Monitoring,0.74853885608,Monitoring,0.4,Monitoring,0.998267226845,Monitoring,1.0,Monitoring,0.500201623083,Monitoring,0.976024806499,Monitoring,8,1,1,0,1,1,1,1,1,1,0.70049988013,ck,point_of_care,accuche,,Monitoring,1.0,Monitoring,0.788062365146
38,38,294,SODIUM CHLORIDE 0.9% 0.9% SYRG 10 ML SYRINGE,sodium chloride 0.9% 0.9% syringe 10_ml syringe,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-12,syringe,10_ml,chloride,sodium,Diluent / Flush / Irrigant,0.93,Diluent / Flush / Irrigant,0.703738602634,Diluent / Flush / Irrigant,0.987413839299,Diluent / Flush / Irrigant,0.711042772777,Pharmacy,0.5,Diluent / Flush / Irrigant,0.94777548868,Diluent / Flush / Irrigant,0.7,Diluent / Flush / Irrigant,0.883218999422,Diluent / Flush / Irrigant,0.999268949032,Diluent / Flush / Irrigant,8,1,1,1,1,0,1,1,1,1,0.76249540576,syrg,10_ml,chloride,sodium,Diluent / Flush / Irrigant,0.999268949032,Diluent / Flush / Irrigant,0.857807331481
39,39,1169,ROCURONIUM 10 MG/ML SOLN 5,rocuronium 10_mg/ml solution 5,Pharmacy,ONLINE,2016-09-16,rocuronium,soln,10_mg/ml,,Pharmacy,0.98,Pharmacy,0.986773809747,Pharmacy,0.999926080477,Pharmacy,0.96478530479,Pharmacy,1.0,Pharmacy,0.998537094578,Pharmacy,1.0,Pharmacy,0.999999999522,Pharmacy,1.0,Pharmacy,9,1,1,1,1,1,1,1,1,1,0.99222469879,rocuronium,soln,10_mg/ml,,Pharmacy,1.0,Pharmacy,0.99222469879
40,40,5591,GAIT TRAINING 15 MIN PT,gait training 15_minutes physical_therapy,PT / OT / Speech Therapy,RETROSPECTIVE,2016-07-13,training,minutes,physical_therapy,gait,PT / OT / Speech Therapy,0.98,PT / OT / Speech Therapy,0.960945904345,PT / OT / Speech Therapy,0.999925863951,PT / OT / Speech Therapy,0.853184114151,PT / OT / Speech Therapy,1.0,PT / OT / Speech Therapy,0.99348350331,PT / OT / Speech Therapy,0.8,PT / OT / Speech Therapy,0.994747545119,PT / OT / Speech Therapy,0.999999523163,PT / OT / Speech Therapy,9,1,1,1,1,1,1,1,1,1,0.953587383782,training,pt,15_minutes,gait,PT / OT / Speech Therapy,1.0,PT / OT / Speech Therapy,0.953587383782
41,41,4838,TAPE MEDIPORE 6INX10YD (18 SQ IN = 120),tape medipore 6_inches_x_10_yards 18 square inches equals 120,Supply,RETROSPECTIVE,2016-07-13,square,individual,,,Pharmacy,0.66,Supply,0.814342317969,Supply,0.999001678429,Supply,0.846635487705,Supply,0.4,Supply,0.971503226568,Supply,0.8,Supply,0.999906957035,Implant,0.790892481804,Pharmacy,1,1,0,0,0,0,0,0,0,0,0.0733333333333,inches,,,,Supply,0.999906957035,Supply,0.833055666815
42,42,3175,TUBE YANKAUE,tube yankauer,Supply,RETROSPECTIVE,2016-07-12,tube,yankauer,,,Supply,0.77,Supply,0.847985050739,Supply,0.999476423283,Supply,0.821530355079,Supply,0.9,Supply,0.996431582149,Supply,0.9,Supply,0.999960738927,Supply,0.99994969368,Supply,9,1,1,1,1,1,1,1,1,1,0.915037093762,tube,yankauer,,,Supply,0.999960738927,Supply,0.915037093762
43,43,5583,FOLIC ACID SERUM,folic acid serum,Laboratory,RETROSPECTIVE,2016-07-13,acid,serum,folic,,Pharmacy,0.79,Laboratory,0.974460831653,Laboratory,0.994927341796,Laboratory,0.872733816537,Laboratory,0.9,Laboratory,0.983933100678,Laboratory,1.0,Laboratory,0.999997751576,Laboratory,1.0,OR / Anesthesia / Recovery Room,0,0,0,0,0,0,0,0,0,0,0.0,acid,serum,folic,,Laboratory,1.0,Laboratory,0.96575660528
44,44,6068,COMP BLD CNT AUTO,complete_blood_count automated,Laboratory,ONLINE,2016-09-16,cnt,comp,bld,automated,Laboratory,0.81,Laboratory,0.866797426601,Laboratory,0.99179303068,Laboratory,0.877233062485,Laboratory,0.6,Laboratory,0.971519484386,Laboratory,1.0,Laboratory,0.999995959936,Laboratory,0.999999880791,Laboratory,9,1,1,1,1,1,1,1,1,1,0.90192653832,complete_blood_count,automated,,,Laboratory,1.0,Laboratory,0.90192653832
