,Id,Original Description,Normalized Description,Charge Class,FLAG,CREATE_DT,FTR1,FTR2,FTR3,FTR4,Predicted_Class_Jaro,Prob_Jaro,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Voted Output,Sum Correct,Correct_Jaro,Correct_Logistic_OvR,Correct_DeepNN,Confidence Score,Feature 1,Feature 2,Feature 3,Feature 4
10,6206,DOCUSATE 50 MG/5 ML LIQD 2 ML SYRINGE,docusate 50_mg/5_ml liquid 2_ml syringe,Pharmacy,ONLINE,2016-09-16,syringe,2_ml,liqd,docusate,Pharmacy,0.77,Pharmacy,0.968306016125,Pharmacy,0.999988699508,Pharmacy,3,1,1,1,0.912764905211,syringe,2_ml,liqd,docusate
11,92,DEX 5%/WATER 100ML,dextrose 5%/water 100_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-12,100_ml,dextrose,5%/water,,Diluent / Flush / Irrigant,0.94,Diluent / Flush / Irrigant,0.880121553548,Diluent / Flush / Irrigant,0.989412110317,Diluent / Flush / Irrigant,3,1,1,1,0.936511221288,100_ml,dex,5%/water,
12,2826,HC OXYGEN PER HOUR,oxygen per hour,Respiratory Therapy,RETROSPECTIVE,2016-07-12,per,oxygen,hour,,Respiratory Therapy,0.96,Respiratory Therapy,0.790173258742,Respiratory Therapy,0.994525878305,Respiratory Therapy,3,1,1,1,0.914899712349,per,oxygen,hour,
13,5376,86614002 - OTHER PT/OT THERAPY FUNC LIMIT,other physical_therapy/occupational_therapy therapy func limit,PT / OT / Speech Therapy,RETROSPECTIVE,2016-07-13,therapy,occupational_therapy,physical_therapy,,PT / OT / Speech Therapy,0.96,PT / OT / Speech Therapy,0.84807791334,PT / OT / Speech Therapy,0.995477119183,PT / OT / Speech Therapy,3,1,1,1,0.934518344174,therapy,occupational_therapy,physical_therapy,
14,5653,HB GLUCOSE CSF,glucose cerebrospinal_fluid,Laboratory,RETROSPECTIVE,2016-07-13,csf,glucose,,,Monitoring,0.89,Laboratory,0.629003157185,Laboratory,0.827328213941,Laboratory,2,0,1,1,0.485443790375,csf,glucose,,
15,5524,COMPREHENSIVE MET PANEL,comprehensive metabolic panel,Laboratory,RETROSPECTIVE,2016-07-13,comprehensive,panel,metabolic,,Laboratory,0.92,Laboratory,0.891964336081,Laboratory,0.99922144995,Laboratory,3,1,1,1,0.937061928677,comprehensive,panel,metabolic,
16,4126,CALCIUM GLUCONATE 10 % SOLN 10 ML EXTEMP,calcium gluconate 10% solution 10_ml extemp,Pharmacy,RETROSPECTIVE,2016-07-12,calcium,10_ml,soln,,Pharmacy,0.9,Pharmacy,0.959110624407,Pharmacy,0.999748350553,Pharmacy,3,1,1,1,0.952952991653,calcium,extemp,10_ml,soln
17,6137,DEXMEDETOMIDINE 200MCG/2 ML SOLN,dexmedetomidine 200_mcg/2_ml solution,Pharmacy,ONLINE,2016-09-16,dexmedetomidine,200_mcg/2_ml,soln,,Pharmacy,0.94,Pharmacy,0.95403748564,Pharmacy,0.987926460478,Pharmacy,3,1,1,1,0.960654648706,dexmedetomidine,200_mcg/2_ml,soln,
18,5688,HB RH C29,rhesus c29,Laboratory,RETROSPECTIVE,2016-07-13,rh,c29,,,Pharmacy,0.69,Laboratory,0.887731655659,Laboratory,0.997022527881,Laboratory,2,0,1,1,0.628251394513,rh,c29,,
19,5243,53277000 - ARTERIAL BLD DRAW FOR ANALYSIS,arterial blood draw for analysis,Nursing Services,RETROSPECTIVE,2016-07-13,arterial,draw,blood,analysis,Nursing Services,0.73,Nursing Services,0.70274454086,Nursing Services,0.998874742595,Nursing Services,3,1,1,1,0.810539761152,arterial,draw,bld,analysis
20,83,D5W 1/2NS 1000ML/20MEQ KCL,dextrose_5%_in_water 1/2ns 1000_ml/20_meq potassuim_chloride,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-12,1000_ml/20meq,1/2ns,KCl,D5W,Diluent / Flush / Irrigant,0.73,Pharmacy,0.795004410047,Pharmacy,0.995744423912,Pharmacy,2,0,1,1,0.596916277986,kcl,1/2ns,1000_ml/20_meq,d5w
21,5675,HB OR PROCEDURE RM FIRST 15 MIN,operation_room procedure room first 15_minutes,OR / Anesthesia / Recovery Room,RETROSPECTIVE,2016-07-13,min,or,procedure,rm,OR / Anesthesia / Recovery Room,0.86,OR / Anesthesia / Recovery Room,0.804020601915,OR / Anesthesia / Recovery Room,0.536094732427,OR / Anesthesia / Recovery Room,3,1,1,1,0.733371778114,15_minutes,first,or,procedure
22,6530,CATH BLADDER SMP,catheter bladder sump,Supply,ONLINE,2016-10-12,catheter,bladder,sump,,Laboratory,0.74,Supply,0.841247870222,Supply,0.932902528875,Supply,2,0,1,1,0.591383466366,cath,bladder,sump,
23,5892,PROPOFOL 10 MG INJ,propofol 10_mg injection,Pharmacy,RETROSPECTIVE,2016-07-13,injection,propofol,10_mg,,Pharmacy,1.0,Pharmacy,0.943517362085,Pharmacy,0.999187629535,Pharmacy,3,1,1,1,0.980901663873,inj,propofol,10_mg,
24,6587,EPINEPHRINE 0.1 MG/ML 1 10 000 INJECTION SYRINGE,epinephrine 0.1 mg/ml 1 10 0 injection syringe,OR / Anesthesia / Recovery Room,ONLINE,2016-10-12,syringe,injection,epinephrine,0.1_mg/ml,OR / Anesthesia / Recovery Room,0.86,Pharmacy,0.894039316524,Pharmacy,0.58233388705,Pharmacy,2,0,1,1,0.492124401191,syringe,ml,mg,epinephrine
25,66,RNTL OUTLOOK PUMP DAILY,rental outlook pump daily,Capital Equipment,RETROSPECTIVE,2016-07-12,outlook,rental,pump,daily,Monitoring,0.66,Capital Equipment,0.706077774287,Capital Equipment,0.993763204018,Capital Equipment,2,0,1,1,0.566613659435,outlook,rntl,pump,daily
26,6844,NYSTATIN 100 000 UNIT/GRAM TOPICAL POWDER,nystatin 100 000 units/gram topical powder,OR / Anesthesia / Recovery Room,ONLINE,2016-10-12,nystatin,000_units/gram,powder,topical,Pharmacy,0.85,Pharmacy,0.896453950878,Pharmacy,0.818435203996,Pharmacy,3,1,1,1,0.854963051625,nystatin,units,gram,powder
27,1026,OXYCODONE-ACETAMINOPHEN 10-325 MG TABS,oxycodone acetaminophen 10 325_mg tablets,Pharmacy,ONLINE,2016-09-16,325_mg,tabs,oxycodone,acetaminophen,Pharmacy,0.96,Pharmacy,0.968090983069,Pharmacy,0.999995529101,Pharmacy,3,1,1,1,0.97602883739,325_mg,tabs,oxycodone,acetaminophen
28,3880,NOREPINEPHRINE 1 MG/ML SOLN 4 ML VIAL,norepinephrine 1_mg/ml solution 4_ml vial,Pharmacy,RETROSPECTIVE,2016-07-12,vial,4_ml,soln,,Pharmacy,0.81,Pharmacy,0.954195468536,Pharmacy,0.974795029471,Pharmacy,3,1,1,1,0.912996832669,vial,norepinephrine,4_ml,soln
29,4644,HCHG SOL IRRIG WATER ST 1000ML (AKA 1577),solution irrigation water sterile 1000_ml AKA  1577,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-13,water,irrigation,sterile,solution,Diluent / Flush / Irrigant,0.71,Diluent / Flush / Irrigant,0.901765959816,Diluent / Flush / Irrigant,0.999419097076,Diluent / Flush / Irrigant,3,1,1,1,0.870395018964,water,irrig,sterile,sol
30,3008,HB SET EXT BIFURCATED 4IN,set extension bifurcated 4 inches,Supply,RETROSPECTIVE,2016-07-12,4in,set,extension,bifurcated,Supply,0.7,Supply,0.841442784618,Supply,0.985363136361,Supply,3,1,1,1,0.842268640326,set,inches,ext,bifurcated
31,5185,14152102 - OXYCODONE HCL/ACETAMIN 10/325,oxycodone hcl/acetamin 10/325,Pharmacy,RETROSPECTIVE,2016-07-13,10/325,acetamin,oxycodone,hcl,Pharmacy,0.91,Pharmacy,0.947043493331,Pharmacy,0.999991203293,Pharmacy,3,1,1,1,0.952344898875,10/325,acetamin,oxycodone,hcl
32,4450,86130000 - A.D.L. PER 15 MINUTES (O.T.),activities_of_daily_living per 15_minutes occupational_therapy,PT / OT / Speech Therapy,RETROSPECTIVE,2016-07-13,device,tab,minutes,oxygen,PT / OT / Speech Therapy,0.7,PT / OT / Speech Therapy,0.803880115372,PT / OT / Speech Therapy,0.999990945137,PT / OT / Speech Therapy,3,1,1,1,0.834623686836,occupational_therapy,15_minutes,per,activities_of_daily_living
33,5250,58850000 - TRANSCUTANEOUS CO2 MONITOR/DAY,transcutaneous carbon_dioxide monitoring/day,Monitoring,RETROSPECTIVE,2016-07-13,monitoring,carbon_dioxide,transcutaneous,day,Respiratory Therapy,0.71,Monitoring,0.832638668062,Monitoring,0.961059341098,Monitoring,2,0,1,1,0.597899336387,monitoring,co2,transcutaneous,day
34,628,HC PRESSURE MONITOR CHANGE,pressure monitor change,Supply,ONLINE,2016-09-16,pressure,monitor,change,,Supply,0.88,Supply,0.310612296224,Respiratory Therapy,0.93780586777,Supply,2,1,1,0,0.396870765408,pressure,monitor,change,
35,6325,AB SCR GEL METHOD NEONATE ABO SCREEN BABY,abbo scr gel method neonate abo screen baby,Laboratory,ONLINE,2016-10-06,screen,abo,gel,,Laboratory,0.75,Laboratory,0.551612545694,Laboratory,0.682798261978,Laboratory,3,1,1,1,0.661470269224,screen,abo,gel,
36,1069,PHENYLEPHRINE 10 MG/ML SOLN 1 ML VIAL,phenylephrine 10_mg/ml solution 1_ml vial,Pharmacy,ONLINE,2016-09-16,vial,phenylephrine,1_ml,soln,Pharmacy,0.96,Pharmacy,0.97776253588,Pharmacy,0.99997091654,Pharmacy,3,1,1,1,0.97924448414,vial,phenylephrine,1_ml,soln
37,2401,HC ACCUCHE CK (POC),accucheck creatinine_kinase point_of_care,Monitoring,RETROSPECTIVE,2016-07-12,POC,accucheck,cack,,Monitoring,0.93,Monitoring,0.767262988787,Monitoring,0.978427282746,Monitoring,3,1,1,1,0.891896757178,ck,point_of_care,accuche,
38,294,SODIUM CHLORIDE 0.9% 0.9% SYRG 10 ML SYRINGE,sodium chloride 0.9% 0.9% syringe 10_ml syringe,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-12,syringe,10_ml,chloride,sodium,Diluent / Flush / Irrigant,0.93,Diluent / Flush / Irrigant,0.665747194287,Diluent / Flush / Irrigant,0.796918467983,Diluent / Flush / Irrigant,3,1,1,1,0.797555220757,syrg,10_ml,chloride,sodium
39,1169,ROCURONIUM 10 MG/ML SOLN 5,rocuronium 10_mg/ml solution 5,Pharmacy,ONLINE,2016-09-16,rocuronium,soln,10_mg/ml,,Pharmacy,0.98,Pharmacy,0.963688334906,Pharmacy,0.991338703959,Pharmacy,3,1,1,1,0.978342346288,rocuronium,soln,10_mg/ml,
40,5591,GAIT TRAINING 15 MIN PT,gait training 15_minutes physical_therapy,PT / OT / Speech Therapy,RETROSPECTIVE,2016-07-13,training,minutes,physical_therapy,gait,PT / OT / Speech Therapy,0.98,PT / OT / Speech Therapy,0.854671947677,PT / OT / Speech Therapy,0.999535212609,PT / OT / Speech Therapy,3,1,1,1,0.944735720095,training,pt,15_minutes,gait
41,4838,TAPE MEDIPORE 6INX10YD (18 SQ IN = 120),tape medipore 6_inches_x_10_yards 18 square inches equals 120,Supply,RETROSPECTIVE,2016-07-13,square,individual,,,Pharmacy,0.66,Supply,0.868726799117,Supply,0.99125605705,Supply,2,0,1,1,0.619994285389,tape,inches,,
42,3175,TUBE YANKAUE,tube yankauer,Supply,RETROSPECTIVE,2016-07-12,tube,yankauer,,,Supply,0.77,Supply,0.81697237986,Supply,0.981439190639,Supply,3,1,1,1,0.856137190166,tube,yankauer,,
43,5583,FOLIC ACID SERUM,folic acid serum,Laboratory,RETROSPECTIVE,2016-07-13,acid,serum,folic,,Pharmacy,0.79,Laboratory,0.870375355058,Laboratory,0.999272532224,Laboratory,2,0,1,1,0.623215962427,acid,serum,folic,
44,6068,COMP BLD CNT AUTO,complete_blood_count automated,Laboratory,ONLINE,2016-09-16,cnt,comp,bld,automated,Laboratory,0.81,Laboratory,0.879331598233,Laboratory,0.995616124738,Laboratory,3,1,1,1,0.894982574323,complete_blood_count,automated,,
45,2583,GRANISETRON HCL 100MCG INJ,granisetron hcl 100mcg injection,Pharmacy,RETROSPECTIVE,2016-07-12,granisetron,100mcg,injection,hcl,Pharmacy,0.74,Pharmacy,0.952337257732,Pharmacy,0.998229132751,Pharmacy,3,1,1,1,0.896855463494,granisetron,100mcg,inj,hcl
46,4278,HC CK MB,creatinine_kinase mb,Laboratory,RETROSPECTIVE,2016-07-12,cack,mb, ,,Laboratory,0.89,Laboratory,0.814844938401,Laboratory,0.979136491219,Laboratory,3,1,1,1,0.89466047654,ck,mb,,
47,3145,SYRINGE,syringe,Supply,RETROSPECTIVE,2016-07-12,syringe,,,,Capital Equipment,0.85,Supply,0.596732287881,Supply,0.969200452773,Supply,2,0,1,1,0.521977580218,syringe,,,
48,2080,NITRIC OXIDE SUBSEQUENT DAY,nitric oxide subsequent day,Plan Benefit,RETROSPECTIVE,2016-07-12,subsequent,oxide,day,nitric,Plan Benefit,0.85,Plan Benefit,0.849587504081,Plan Benefit,0.997475511126,Plan Benefit,3,1,1,1,0.899021005069,subsequent,oxide,day,nitric
49,4,ALARIS PUMP IV,alaris pump intravenous,Capital Equipment,RETROSPECTIVE,2016-07-12,pump,alaris,intravenous,,Capital Equipment,0.93,Capital Equipment,0.711778592944,Capital Equipment,0.991148661489,Capital Equipment,3,1,1,1,0.877642418145,pump,alaris,iv,
50,6921,USN INIT,usn init,Respiratory Therapy,ONLINE,2016-10-12,usn,init,,,Respiratory Therapy,0.8,Supply,0.414311961556,Supply,0.365203964092,Supply,2,0,1,1,0.259838641883,usn,init,,
51,6055,ACT LR,Activated_Clotting_Time low_range,Laboratory,ONLINE,2016-08-29,lr,act,,,Pharmacy,0.75,Laboratory,0.665714388537,Laboratory,0.716209894316,Laboratory,2,0,1,1,0.460641427617,activated_clotting_time,low_range,,
52,3683,PROPOFOL PER 10MG/50ML INJ,propofol per 10_mg/50_ml injection,Pharmacy,RETROSPECTIVE,2016-07-12,inj,propofol,per,10_mg/50_ml,Pharmacy,0.96,Pharmacy,0.945178781276,Pharmacy,0.99978365067,Pharmacy,3,1,1,1,0.968320810648,inj,propofol,per,10_mg/50_ml
53,4288,HC THER PROPH/DX NJX EA SEQL IV PUSH SBST/DRUG FAC,therapist prophylactic/diagnostic injection each sequential intravenous push subsequent/drug facility,Nursing Services,RETROSPECTIVE,2016-07-12,push,ther,iv,,Nursing Services,0.98,Nursing Services,0.86944419586,Nursing Services,0.999468726097,Nursing Services,3,1,1,1,0.949637640652,subsequent,drug,diagnostic,ther
54,6891,SODIUM CHLORIDE 3 % INTRAVENOUS INJECTION SOLUTION,sodium chloride 3% intravenous injection solution,OR / Anesthesia / Recovery Room,ONLINE,2016-10-12,injection,chloride,intravenous,solution,Diluent / Flush / Irrigant,0.86,Diluent / Flush / Irrigant,0.686347338367,Diluent / Flush / Irrigant,0.642878700959,Diluent / Flush / Irrigant,3,1,1,1,0.729742013109,injection,chloride,intravenous,solution
55,1745,(CONTRAST) IOTHALAMATE MEGLUMINE 17.2% SOLN 250,contrast iothalamate meglumine 17.2% solution 250,Pharmacy,ONLINE,2016-09-16,soln,contrast,,,Pharmacy,0.7,Pharmacy,0.749700555294,Pharmacy,0.595339499963,Pharmacy,3,1,1,1,0.681680018419,soln,contrast,,
56,5737,INSULIN HUMAN LISPRO 5 UNI,insulin human lispro 5_units,Pharmacy,RETROSPECTIVE,2016-07-13,5_units,lispro,insulin,human,Pharmacy,0.84,Pharmacy,0.881129650666,Pharmacy,0.955479142594,Pharmacy,3,1,1,1,0.892202931087,5_units,lispro,insulin,human
57,2399,HBOL GLUCOSE MONITORING DE,glucose monitoring device,Monitoring,RETROSPECTIVE,2016-07-12,device,monitoring,glucose,,Monitoring,1.0,Monitoring,0.902103119706,Monitoring,0.999939296154,Monitoring,3,1,1,1,0.967347471954,de,monitoring,glucose,
58,3406,LOVENOX 40MG/0.4ML SYRINGE I,lovenox 40_mg/0.4_ml syringe i,Pharmacy,RETROSPECTIVE,2016-07-12,lovenox,syringe,40_mg/0.4ml,,Pharmacy,0.76,Pharmacy,0.874924768531,Pharmacy,0.994238182482,Pharmacy,3,1,1,1,0.876387650337,lovenox,syringe,40_mg/0.4_ml,
59,5881,POTASSIUM CHLORIDE 2 MEQ INJ,potassium chloride 2_meq injection,Pharmacy,RETROSPECTIVE,2016-07-13,2_meq,potassium,chloride,injection,Pharmacy,0.93,Pharmacy,0.895949561293,Pharmacy,0.997060535175,Pharmacy,3,1,1,1,0.941003365489,2_meq,potassium,chloride,inj
60,4067,KIT CEMENT MIXEVAC 3,kit cement mixevac 3,Supply,RETROSPECTIVE,2016-07-12,mixevac,cement,kit,,Supply,0.68,Supply,0.817203908861,Supply,0.994077264559,Supply,3,1,1,1,0.830427057807,mixevac,cement,kit,
61,2287,SODIUM C,sodium cap,Laboratory,RETROSPECTIVE,2016-07-12,c,sodium,,,Laboratory,0.95,Diluent / Flush / Irrigant,0.265419724793,Pharmacy,0.307980188145,Laboratory,1,1,0,0,0.316666666667,cap,sodium,,
62,4550,CELL CT  FLUID  W DIFF (FL,cell count fluid with differential flow,Laboratory,RETROSPECTIVE,2016-07-13,computed_tomography,differential,fluid,,Laboratory,0.74,Laboratory,0.911100054128,Laboratory,0.998855161991,Laboratory,3,1,1,1,0.883318405373,cell,count,diff,flow
63,6358,CATHERIZATION UMBILICAL ARTERY,catheterization umbilical artery,Procedure,ONLINE,2016-10-06,artery,catheterization,umbilical,,Supply,0.79,Supply,0.545824730703,Supply,0.569754822614,Supply,3,1,1,1,0.635193184439,artery,catheterization,umbilical,
64,6632,HCHG CH. PNEUMONIAE BY PCR,ch pneumoniae by pcr,OR / Anesthesia / Recovery Room,ONLINE,2016-10-12,pcr,ch,pneumoniae,,OR / Anesthesia / Recovery Room,0.73,Laboratory,0.739608889604,Laboratory,0.97428015543,Laboratory,2,0,1,1,0.571296348345,pcr,ch,pneumoniae,
65,3242,BLOOD GAS POTASSIUM,blood gas potassium,Monitoring,RETROSPECTIVE,2016-07-12,potassium,gas,blood,,Monitoring,0.8,Laboratory,0.503287810774,Monitoring,0.689820245897,Monitoring,2,1,0,1,0.496606748632,potassium,gas,blood,
66,4562,COMPATABILITY  IS,compatability is,Blood Products,RETROSPECTIVE,2016-07-13,compatability,,,,Laboratory,0.8,Supply,0.158861413605,Supply,0.348832005381,Supply,2,0,1,1,0.169231139662,compatability,,,
67,1176,ROOM 8016,room 8016,Room and Board,ONLINE,2016-09-16,room,,,,Room and Board,0.83,Room and Board,0.812972506285,Room and Board,0.998874315557,Room and Board,3,1,1,1,0.88061560728,room,,,
68,2457,OXIMETRY MULTIPLE,oximetry multiple,Monitoring,RETROSPECTIVE,2016-07-12,oximetry,multiple,,,Monitoring,0.83,Monitoring,0.715707584604,Monitoring,0.961015524666,Monitoring,3,1,1,1,0.835574369757,oximetry,multiple,,
69,613,HC OCCUPATIONAL THERAPY EVAL TIER I,occupational_therapy evaluation tier i,PT / OT / Speech Therapy,ONLINE,2016-09-16,evaluation,occupational,titer,therapy,PT / OT / Speech Therapy,0.88,PT / OT / Speech Therapy,0.847725151258,PT / OT / Speech Therapy,0.999783336329,PT / OT / Speech Therapy,3,1,1,1,0.909169495863,tier,evaluation,occupational_therapy,
70,1815,AB SCREEN RBC EA,antibody screen red_blood_cell each,Laboratory,ONLINE,2016-09-16,rbc,screen,antibody,,Laboratory,0.87,Laboratory,0.838223539413,Laboratory,0.978267038624,Laboratory,3,1,1,1,0.895496859346,rbc,screen,antibody,
71,1738,VACUTAINER 21GA,vacutainer 21_gauge,Supply,ONLINE,2016-08-30,vacutainer,21ga,,,OR / Anesthesia / Recovery Room,0.73,Supply,0.79519968669,Supply,0.926438162679,Supply,2,0,1,1,0.573879283123,vacutainer,21_gauge,,
72,2001,CATH QUAD 5MM JSN X 5FRX120CM,catheter quad 5mm jsn x 5frx120cm,Supply,ONLINE,2016-09-16,cath,,,,Supply,0.65,Supply,0.828622297832,Supply,0.982238318595,Supply,3,1,1,1,0.820286872143,5mm,cath,,
73,1392,US RETROPERITONEUM,ultrasound retroperitoneum,Radiology,ONLINE,2016-09-16,us,retroperitoneum,,,Radiology,0.91,Radiology,0.708441666714,Radiology,0.857564742953,Radiology,3,1,1,1,0.825335469889,us,retroperitoneum,,
74,3776,PANTOPRAZOLE SODIUM PER VIAL,pantoprazole sodium per vial,Pharmacy,RETROSPECTIVE,2016-07-12,vial,pantoprazole,per,sodium,Pharmacy,0.89,Pharmacy,0.831268342145,Pharmacy,0.962262455765,Pharmacy,3,1,1,1,0.89451026597,vial,pantoprazole,per,sodium
75,3870,PATIENT EDUCATION/15 MINUTES,patient education/15 minutes,Education / Training,RETROSPECTIVE,2016-07-12,minutes,patient,education/15,,Education / Training,0.87,Education / Training,0.350521558191,PT / OT / Speech Therapy,0.940518209815,Education / Training,2,1,1,0,0.406840519397,minutes,patient,education/15,
76,6451,SENSITIVITY STUDY AGAR 5 ADDITIONAL ETEST STRIPS,sensitivity study agar 5 additional etest strips,Laboratory,ONLINE,2016-10-06,additional,,,,Laboratory,0.71,Laboratory,0.531407763207,Laboratory,0.567552385554,Laboratory,3,1,1,1,0.602986716254,additional,,,
77,1158,RECOVERY CLASS 2,recovery class 2,OR / Anesthesia / Recovery Room,ONLINE,2016-09-16,recovery,class,,,OR / Anesthesia / Recovery Room,0.95,OR / Anesthesia / Recovery Room,0.425876643318,OR / Anesthesia / Recovery Room,0.518279799771,OR / Anesthesia / Recovery Room,3,1,1,1,0.63138548103,recovery,class,,
78,4157,HC HEMOGRAM CBC WITHOUT DIFF,hemogram complete_blood_count without differential,Laboratory,RETROSPECTIVE,2016-07-12,cbc,without,hemogram,,Monitoring,0.79,Laboratory,0.928204834505,Laboratory,0.997039119282,Laboratory,2,0,1,1,0.641747984596,cbc,without,hemogram,diff
79,6417,LIVER HEPATIC PANEL HEPATIC FUNCTION PANEL,liver hepatic panel hepatic function panel,Laboratory,ONLINE,2016-10-12,function,panel,hepatic,,Laboratory,0.71,Laboratory,0.949834706287,Laboratory,0.999749112235,Laboratory,3,1,1,1,0.886527939507,function,panel,hepatic,
80,421,HCHG DAILY NO PER HOUR/HCHG DAILY NO PER HOUR,daily nitric_oxide per hour/hchg daily nitric_oxide per hour,Plan Benefit,RETROSPECTIVE,2016-07-12,hour,per,daily,nitric_oxide,Plan Benefit,1.0,Plan Benefit,0.874047861117,Plan Benefit,0.999984258857,Plan Benefit,3,1,1,1,0.958010706658,hour,hchg,per,daily
81,5535,CULTURE FUNGAL,culture fungal,Laboratory,RETROSPECTIVE,2016-07-13,culture,fungal,,,Laboratory,0.83,Laboratory,0.897641853459,Laboratory,0.997412283585,Laboratory,3,1,1,1,0.908351379015,culture,fungal,,
82,2928,BREAST MILK  BANKED  PER OZ,breast milk banked per ounce,Supply,RETROSPECTIVE,2016-07-12,ounce,banked,breast,per,Supply,0.7,Supply,0.86875170906,Supply,0.993406758333,Supply,3,1,1,1,0.854052822465,oz,per,,
83,5085,11021082 - ACETAMINOPHEN 325MG,acetaminophen 325_mg,Pharmacy,RETROSPECTIVE,2016-07-13,325_mg,acetaminophen,,,Pharmacy,0.88,Pharmacy,0.956928691425,Pharmacy,0.999479410939,Pharmacy,3,1,1,1,0.945469367455,325_mg,acetaminophen,,
84,6545,CLONIDINE 0.3 MG/24 HR WEEKLY TRANSDERMAL PATCH,clonidine 0.3 mg/24 hour weekly transdermal patch,OR / Anesthesia / Recovery Room,ONLINE,2016-10-12,hr,patch,,,Laboratory,0.69,OR / Anesthesia / Recovery Room,0.34467168773,OR / Anesthesia / Recovery Room,0.861123109628,OR / Anesthesia / Recovery Room,2,0,1,1,0.401931599119,hr,patch,,
85,2022,CENTRAL LINE DRESSING KIT,central line dressing kit,Supply,ONLINE,2016-09-16,line,kit,central,dressing,Supply,0.87,Supply,0.876830933083,Supply,0.999492018958,Supply,3,1,1,1,0.915440984013,line,kit,central,dressing
