Id,Original Description,Normalized Description,Charge Class,FLAG,CREATE_DT,FTR1,FTR2,FTR3,FTR4
3657,CHEST 1 VW PA PORTABLE,chest 1 view posterior_anterior portable,Radiology,RETROSPECTIVE,2016-07-12,pa,,,
5307,65016001 - WBC DIFFERENTIAL AUTOMATED,white_blood_cells differential automated,Laboratory,RETROSPECTIVE,2016-07-13,differential,white_blood_cells,automated,
6332,BALANCED SALT SOL OPHTH 15ML BALANCED SALT SOLN OPHTH IRRIG 15 M,balanced salt solu ophth 15 ml balanced salt soln ophth irrig 15 m,Pharmacy,ONLINE,2016-10-06,15_ml,,,
5621,HB BASIC METABOLIC PANEL,basic_metabolic_panel,Laboratory,RETROSPECTIVE,2016-07-13,metabolic,panel,basic,
4957,HB DEXAMETHASONE NA PO4 INJ 4 MG/M,dexamethasone sodium phosphate injection 4_mg/m,Pharmacy,RETROSPECTIVE,2016-07-13,inj,na,dexamethasone,
2789,C CENTRAL/PERIPH BLOOD D,central/peripheral blood device,Nursing Services,RETROSPECTIVE,2016-07-12,dipped,central,peripheral,blood
5561,EPINEPHRINE 1:1 000 1 MG (,epinephrine 1 1 0 1_mg,Pharmacy,RETROSPECTIVE,2016-07-13,1_mg,epinephrine,,
3897,TAP CTN UMBILICAL U-11T,tape ctn umbilical up 11t,Supply,RETROSPECTIVE,2016-07-12,units,,,
4583,D5W/0.45%NACL 1000ML,dextrose_5%_in_water/0.45% sodium_chloride 1000_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-13,dextrose_5%_in_water/0.45%nacl,1000_ml,,
1842,ALBUMIN SERUM PLASMA/WHOLE BLOOD,albumin serum plasma/whole blood,Laboratory,ONLINE,2016-09-16,whole,albumin,plasma,serum
33,HB PUMP LVL 2,pump level 2,Capital Equipment,RETROSPECTIVE,2016-07-12,pump,level,,
5986,TTE WITH DOPPLER &AND COLOR FLOW IRP,transesophageal_echocardiogram with doppler &and color flow irp,Radiology,RETROSPECTIVE,2016-07-13,color,doppler,flow,
1999,CATH OCCLUSION,catheter occlusion,Supply,ONLINE,2016-09-16,cath,occlusion,,
2236,ISTAT K,istat potassium,Laboratory,RETROSPECTIVE,2016-07-12,potassium,istat,,
1111,POTASSIUM CHLORIDE IN STERILE WATER 40 MEQ/100 ML PGBK,potassium chloride in sterile water 40_meq/100_ml pgbk,Pharmacy,ONLINE,2016-09-16,water,potassium,sterile,chloride
2716,HC ROOM CHRG INTERMEDIAT,room charge intermediate,Room and Board,RETROSPECTIVE,2016-07-12,charge,intermediate,room,
4946,HB C REACTIVE PROTEIN,c reactive protein,Laboratory,RETROSPECTIVE,2016-07-13,reactive,protein,,
4674,IV THERAPY DX HR,intravenous therapy diagnostic hour,Nursing Services,RETROSPECTIVE,2016-07-13,therapy,intravenous,hour,diagnostic
6463,STERILE SUPPLY T3,sterile supply t3,Supply,ONLINE,2016-10-06,sterile,t3,supply,
5539,CYTOMEGALOVIRUS DFA,cytomegalovirus dfa,Laboratory,RETROSPECTIVE,2016-07-13,cytomegalovirus,dfa,,
1773,HB - VENT CIRCUIT CONV - CHG,ventilator circuit conventional change,Supply,ONLINE,2016-09-01,ventilator,conv,circuit,chg
4605,EKG 12-LEAD - ALL LOYOLA L,electrocardiogram 12 lead all loyola l,Cardiology,RETROSPECTIVE,2016-07-13,electrocardiogram,,,
1213,SMEAR GRAM STAIN,smear gram stain,Laboratory,ONLINE,2016-09-16,smear,stain,gram,
1517,LEVETIRACETAM 250 MG TAB,levetiracetam 250_mg tablet,Pharmacy,ONLINE,2016-09-19,250_mg,tab,levetiracetam,
4127,DOCUSATE SODIUM 100 MG C,docusate sodium 100_mg cap,Pharmacy,RETROSPECTIVE,2016-07-12,100_mg,c,docusate,
6508,AZITHROMYCIN 2 MG/D5W 1 ML AZITHROMYCIN 2 MG/D5W 1 ML,azithromycin 2 mg/d5w 1 ml azithromycin 2 mg/d5w 1 ml,Pharmacy,ONLINE,2016-10-12,1_ml,,,
598,HC IV INFUSION CONCURRENT ADDL MED ED,intravenous_infusion concurrent additional medication emergency_department,Nursing Services,ONLINE,2016-09-16,ed,addl,med,iv
3643,METRONIDAZOL,metronidazole,Pharmacy,RETROSPECTIVE,2016-07-12,metronidazol,,,
1978,CALCIUM GLUCONATE IN 0.9% SODIUM CHLORIDE 2 GRAM/120 ML SOLN,calcium gluconate in 0.9% sodium_chloride 2 gram/120_ml solution,Pharmacy,ONLINE,2016-09-16,calcium,sodium,chloride,soln
6713,HCHG OR TIME LEVEL C PER 30MIN TO 90MIN,operation room time level cap per 30min to 90min,OR / Anesthesia / Recovery Room,ONLINE,2016-10-12,cap,level,or,per
3166,TRAY IRRIGATION W/CATH,tray irrigation with catheter,Supply,RETROSPECTIVE,2016-07-12,irrigation,tray,catheter,
1890,ASSAY OF TRIGLYCERIDES,assay of triglycerides,Laboratory,ONLINE,2016-09-16,assay,triglycerides,,
6893,SODIUM NITROPRUSSIDE 25 MG/ML INTRAVENOUS SOLUTION,sodium nitroprusside 25 mg/ml intravenous solution,OR / Anesthesia / Recovery Room,ONLINE,2016-10-12,solution,intravenous,sodium,
1490,FOSPHENYTION 50 MG PE/ML I,fosphenytion 50_mg pe/ml i,Pharmacy,ONLINE,2016-09-19,fosphenytion,ml,50_mg,pe
3626,HEP PER 1000 UN(5000/ML)1 ML,heparin per 1000_units 5000/ml 1_ml,Pharmacy,RETROSPECTIVE,2016-07-12,heparin,1_ml,per,
6012,VENTILATOR MANAGEMENT,ventilator management,Respiratory Therapy,RETROSPECTIVE,2016-07-13,ventilator,management,,
1572,TRANSPORT TEAM CRITICAL CA,transport team critical care,Other,ONLINE,2016-09-19,ca,critical,transport,team
4874,WATER NON-BACT INJ 10ML,water non bacterial injection 10_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-13,water,non,10_ml,injection
483,HAEMOPHILUS B CONJUGATE VACCINE 7.5 MCG/0.5 ML,haemophilus b conjugate vaccine 7.5 mcg/0.5_ml,Pharmacy,ONLINE,2016-09-16,vaccine,,,
2321,END-TITAL C02 MONITORING,end tidal carbon_dioxide monitoring,Monitoring,RETROSPECTIVE,2016-07-12,tidal,monitoring,end,CO2
239,NS FLUSH 3 ML,normal_saline flush 3_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-12,flush,3_ml,NS,
1757,FER-IN-SOL 15MG/ML ORAL SOLN,iron_sulfate 15_mg/ml oral solution,Pharmacy,ONLINE,2016-09-01,injection,oral,soln,
6568,DIAZEPAM 5 MG/5 ML 5 ML ORAL SOLUTION,diazepam 5 mg/5 ml 5 ml oral solution,OR / Anesthesia / Recovery Room,ONLINE,2016-10-12,diazepam,oral,solution,5_ml
137,HEPARIN 10 UNIT/ML SOLN 3,heparin 10_units/ml solution 3,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-12,heparin,solution,10_units/ml,
3169,TRY DRS SUBCLV,try dressing subclavian,Supply,RETROSPECTIVE,2016-07-12,try,subclavian,dressing,
3889,RX PANTOPRAZOLE 40MG TB (,rx pantoprazole 40_mg tube,Pharmacy,RETROSPECTIVE,2016-07-12,tb,rx,pantoprazole,40_mg
4439,77051522 - RESTRNT FRARM WRIST LIMB 54YRS,restraint forearm wrist limb 54yrs,Supply,RETROSPECTIVE,2016-07-13,limb,restraint,54yrs,frarm
6719,HCHG PLATELET COUNT AUTO,platelet count automated,OR / Anesthesia / Recovery Room,ONLINE,2016-10-12,count,platelet,automated,
6615,HCHG BLOOD TYPING RH D ,blood typing rhesus daily,Laboratory,ONLINE,2016-10-12,rh,blood,daily,typing
6246,ENOXAPARIN 40 MG INJ,enoxaparin 40_mg injection,Pharmacy,ONLINE,2016-09-16,inj,enoxaparin,40_mg,
519,HC CATEGORY 3 INITIAL 15 MIN,category 3 initial 15_minutes,OR / Anesthesia / Recovery Room,ONLINE,2016-09-16,category,initial,min,
2303,ACCUCHECK,accucheck,Monitoring,RETROSPECTIVE,2016-07-12,accucheck,,,
6501,AMLODIPINE 2.5 MG TABLET,amlodipine 2.5 mg tablet,OR / Anesthesia / Recovery Room,ONLINE,2016-10-12,amlodipine test,tablet,2.5_mg,Test_sudarshan
2445,LACTIC ACID ISTAT,lactic acid istat,Monitoring,RETROSPECTIVE,2016-07-12,acid,istat,lactic,
6793,LIDOCAINE 2 % MUCOSAL GEL,lidocaine 2% mucosal gel,OR / Anesthesia / Recovery Room,ONLINE,2016-10-12,2%,mucosal,lidocaine,gel
5234,27048600 - CT FACE/SINUS AXIAL W/O CONTRS,computed_tomography face/sinus axial without contrast,Radiology,RETROSPECTIVE,2016-07-13,computed_tomography,without,,
648,HC SMEAR GRAM GIEMSA,smear gram giemsa,Laboratory,ONLINE,2016-09-16,smear,giemsa,gram,
4484,AAV CIPRO 400MG/200ML RTU,aav ciprofloxacin 400_mg/200_ml rtu,Pharmacy,RETROSPECTIVE,2016-07-13,rtu,400_mg/200_ml,aav,cipro
56,PCA PUMP,patient_controlled_analgesia pump,Capital Equipment,RETROSPECTIVE,2016-07-12,pump,PCA,,
5542,DEFINITY INJ 1 ML,definity injection 1_ml,Pharmacy,RETROSPECTIVE,2016-07-13,definity,injection,1_ml,
166,HEPARIN FLUSH 1UNIT/ML  3 ML,heparin flush 1_units/ml 3_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-12,heparin,1_units/ml,3_ml,flush
1696,CT HEAD WO CONTRAST,computed_tomography head without contrast,Radiology,ONLINE,2016-08-30,head,without,ct,contrast
5491,CATH SUCTION ELBOW 14FR,catheter suction elbow 14fr,Supply,RETROSPECTIVE,2016-07-13,elbow,catheter,suction,14fr
3484,GLYCOPYRROLATE 0.2MG/ML INJ,glycopyrrolate 0.2_mg/ml injection,Pharmacy,RETROSPECTIVE,2016-07-12,inj,0.2mg/ml,glycopyrrolate,
2941,CHLORHEXIDINE 0.12% MWSH,chlorhexidine 0.12% mouthwash,Supply,RETROSPECTIVE,2016-07-12,0.12%,chlorhexidine,mouthwash,
2728,NICU LEVEL III,neonatal_intensive_care_unit level iii,Room and Board,RETROSPECTIVE,2016-07-12,iii,NICU,level,
1167,RNL FUNCJ PANEL,renal function panel,Laboratory,ONLINE,2016-09-16,funcj,panel,rnl,
3228,SWABSTICK  NO-STING,swabstick nitric_oxide sting,Supply,RETROSPECTIVE,2016-07-12,swabstick,sting,nitric_oxide,
3442,AMIODARONE 200MG TAB,amiodarone 200_mg tablet,Pharmacy,RETROSPECTIVE,2016-07-12,amiodarone,tab,200_mg,
5834,NEOSTIGMINE 5MG INJ,neostigmine 5_mg injection,Pharmacy,RETROSPECTIVE,2016-07-13,neostigmine,injection,5_mg,
818,INTUBATION,intubation,Respiratory Therapy,ONLINE,2016-09-16,intubation,,,
3914,LIGACLIPS SMALL LT100,ligaclips small lt100,Supply,RETROSPECTIVE,2016-07-12,small,lt100,ligaclips,
3736,VITAMIN D SUPPLEMENT DROPS,vitamin daily supplement drops,Pharmacy,RETROSPECTIVE,2016-07-12,supplement,d,vitamin,drops
1944,BLOOD TYPE RH (D),blood type rhesus d,Laboratory,ONLINE,2016-09-16,rh,type,blood,
4209,BLOOD BAS (POINT OF CARE),blood gas point of care,Monitoring,RETROSPECTIVE,2016-07-12,point,blood,care,
5206,14755052 - QUETIAPINE FUMARATE TAB 100MG,quetiapine fumarate tablet 100_mg,Pharmacy,RETROSPECTIVE,2016-07-13,100_mg,quetiapine,fumarate,tablet
4371,58341000 - RESPIRATORY WEANING MECHANICS,respiratory weaning mechanics,Respiratory Therapy,RETROSPECTIVE,2016-07-13,mechanics,respiratory,weaning,
2156,CALCIUM IONIZED BLOOD,calcium ionized blood,Laboratory,RETROSPECTIVE,2016-07-12,calcium,ionized,blood,
2807,H RT OXYGEN PER DAY,respiratory_therapy oxygen per day,Respiratory Therapy,RETROSPECTIVE,2016-07-12,RT,per,oxygen,day
5573,FENTANYL CITRATE 0.1 MG INJ,fentanyl citrate 0.1_mg injection,Pharmacy,RETROSPECTIVE,2016-07-13,injection,fentanyl,0.1_mg,citrate
4413,64947000 - PROTECTED BRONCH BRUSH CULT,protected bronchial brush cult,Laboratory,RETROSPECTIVE,2016-07-13,cult,bronchial,protected,brush
1967,C-MULTI LUMEN CV KIT-45545703MCH.,multiple lumen cardiovascular kit 45545703mch,Supply,ONLINE,2016-09-16,kit,multiple,lumen,cardiovascular
2508,PULSE OXIMETRY/DAY,pulse oximetry/day,Monitoring,RETROSPECTIVE,2016-07-12,oximetry,day,pulse,
2908,VENIPUNCTURE; VENP,venipuncture venp,Nursing Services,RETROSPECTIVE,2016-07-12,venipuncture,venp,,
1113,POTASSIUM CHLORIDE PREMIXED 20 MEQ/50 ML BAG PG,potassium chloride premixed 20_meq/50_ml bag pg,Pharmacy,ONLINE,2016-09-16,bag,potassium,chloride,
5643,HB ELECTRONIC CROSSMATCH C16,electronic crossmatch c16,Laboratory,RETROSPECTIVE,2016-07-13,crossmatch,electronic,c16,
2692,CHLORHEXIDINE GLUCONATE 0.12 % MWSH,chlorhexidine gluconate 0.12% mouthwash,Supply,RETROSPECTIVE,2016-07-12,0.12%,chlorhexidine,mouthwash,gluconate
5851,OXYCODONE 5 MG TABLET,oxycodone 5_mg tablet,Pharmacy,RETROSPECTIVE,2016-07-13,5_mg,oxycodone,tablet,
417,HCHG DAILY NO  PER HOUR HCHG DAILY NO  PER HOUR,daily nitric_oxide per hour hchg daily nitric_oxide per hour,Plan Benefit,RETROSPECTIVE,2016-07-12,hour,per,daily,nitric_oxide
1231,SODIUM CHLORIDE 0.9% SOLP 250 ML BAG,sodium_chloride 0.9% solution 250_ml bag,Diluent / Flush / Irrigant,ONLINE,2016-09-16,250_ml,bag,chloride,solution
5427,ALBUTEROL-IPRATROPIUM 0.5-2.5 (3) MG/3ML SOLN,albuterol ipratropium 0.5 2.5 3_mg/3_ml solution,Pharmacy,RETROSPECTIVE,2016-07-13,albuterol,soln,,
736,HCHG POC STICK GLUCOSE HCHG POC STICK GLUCOSE,point_of_care stick glucose,Monitoring,ONLINE,2016-09-16,poc,glucose,,
1895,BACITRACIN 50 000 UNIT SOLR 1 EACH VIAL,bacitracin 50 000_units solution 1 each vial,Pharmacy,ONLINE,2016-09-16,vial,bacitracin,000_units,solution
5956,SURGIFOAM ABS GEL SPONGE H,surgifoam abs gel sponge h,Supply,RETROSPECTIVE,2016-07-13,sponge,h,abs,surgifoam
2137,TREPROSTINIL 1 MG/ML SOLN,treprostinil 1_mg/ml solution,Plan Benefit,RETROSPECTIVE,2016-07-12,1_mg/ml,solution,treprostinil,
3522,XR CHEST FRONTAL 1V,x-ray chest front one_view,Radiology,RETROSPECTIVE,2016-07-12,xr,frontal,chest,1v
642,HC SELF-CARE CURRENT STATUS,self care current status,PT / OT / Speech Therapy,ONLINE,2016-09-16,current,status,self,care
2114,SILDENAFIL 2.5 MG/ML SUSPENSION,sildenafil 2.5_mg/ml suspension,Plan Benefit,RETROSPECTIVE,2016-07-12,suspension,sildenafil,2.5mg/ml,
1362,TUBE FEEDING SET,tube feeding set,Supply,ONLINE,2016-09-16,tube,feeding,set,
3273,O2 UPTAKE EXPIRED GAS ANALYSIS,o2_uptake expired gas analysis,Monitoring,RETROSPECTIVE,2016-07-12,gas,o2_uptake,expired,analysis
6350,CALCIUM IONIZED POC NICU ACUTE PANEL C,calcium ionized poc nicu acute panel c,Laboratory,ONLINE,2016-10-06,calcium,ionized,panel,acute
4745,PLTS APH/PHER LR CMVN EA (,platlets apheresis/pheresis leukocyte_reduced CMV Negative eachced cmvn each,Blood Products,RETROSPECTIVE,2016-07-13,leukocyte_reduced,,,
5000,HB PERIPHERAL/CENTRAL LINE/CATHETER ASSESSMENT,peripheral/central line/catheter assessment,Nursing Services,RETROSPECTIVE,2016-07-13,catheter,peripheral,central,line
4084,PROSTHESIS PATELLA 38M,prosthesis patella 38m,Implant,RETROSPECTIVE,2016-07-12,prosthesis,38m,patella,
1043,PAH RECOVERY LEVEL II - STATIS,pah recovery level 2 statistician,Laboratory,ONLINE,2016-09-16,pah,statist,recovery,level
3686,SODIUM CHLORIDE 3% 500ML,sodium chloride 3% 500_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-12,chloride,500_ml,3%,sodium
2104,SILDENAFIL 2.5 MG/ 1,sildenafil 2.5_mg/1,Plan Benefit,RETROSPECTIVE,2016-07-12,2.5mg/,sildenafil,,
567,HC HEMODIALYSIS INPATIENT,hemodialysis inpatient,Dialysis,ONLINE,2016-09-16,inpatient,hemodialysis,,
2775,ABG DRAW BY RT,arterial_blood_gas draw by respiratory_therapy,Nursing Services,RETROSPECTIVE,2016-07-12,RT,draw,ABG,bay
86,D5W 250ML,dextrose_5%_in_water 250_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-12,250_ml,D5W,,
4038,HYDRALAZINE 100 MG TABS,hydralazine 100_mg tablets,Pharmacy,RETROSPECTIVE,2016-07-12,100_mg,tabs,hydralazine,
4432,69971002 - PROCALCITONIN,procalcitonin,Laboratory,RETROSPECTIVE,2016-07-13,procalcitonin,,,
2768,36415 VENIPUNCTURE,36415 venipuncture,Nursing Services,RETROSPECTIVE,2016-07-12,venipuncture,,,
2101,SILDENAFIL 100 MG TABLET,sildenafil 100_mg tablet,Plan Benefit,RETROSPECTIVE,2016-07-12,100_mg,sildenafil,tablet,
2809,HB AIRWAY CARE/15 MIN,airway care/15 minutes,Respiratory Therapy,RETROSPECTIVE,2016-07-12,care/15,minimum,airway,
6887,SODIUM BICARBONATE 1 MEQ/ML 8.4% INTRAVENOUS SOLUTION,sodium bicarbonate 1 meq/ml 8.4% intravenous solution,OR / Anesthesia / Recovery Room,ONLINE,2016-10-12,solution,intravenous,sodium,
2558,DEXMEDETOMIDINE 200 MCG/2ML 0409-1638-02,dexmedetomidine 200 mcg/2_ml 409 1638 2,Pharmacy,RETROSPECTIVE,2016-07-12,dexmedetomidine,,,
2249,LACTIC ACID,lactic acid,Laboratory,RETROSPECTIVE,2016-07-12,acid,lactic,,
4691,LYMPHOCYTO WITH TITR (GRET,lymphocytology with titer gret,Laboratory,RETROSPECTIVE,2016-07-13,lymphocyto,great,titr,
2247,LACTATE LACTIC ACID,lactate lactic acid,Laboratory,RETROSPECTIVE,2016-07-12,acid,lactic,lactate,
5593,GAIT TRAINING EA 15 MIN,gait training each 15_minutes,PT / OT / Speech Therapy,RETROSPECTIVE,2016-07-13,training,min,gait,
1915,BETAMETHASONE ACET & SOD PHOS 6 (3-3) MG/ML SUSP,betamethasone acetaminophen and sodium phosphate 6 3 3_mg/ml suspension,Pharmacy,ONLINE,2016-09-16,susp,phos,sodium,
3137,SUCROSE 24% ORAL SOLN,sucrose 24% oral solution,Supply,RETROSPECTIVE,2016-07-12,24%,oral,sucrose,solution
108,BUN,blood_urea_nitrogen,Laboratory,RETROSPECTIVE,2016-07-12,BUN,,,
4045,SIMVASTATIN 20MG TAB,simvastatin 20_mg tablet,Pharmacy,RETROSPECTIVE,2016-07-12,simvastatin,20_mg,tab,
4802,SLF CARE  HM MNG  EQU TR  EA 15 M,self care home managment equipment training each 15_minutes,PT / OT / Speech Therapy,RETROSPECTIVE,2016-07-13,care,,,
992,ONDANSETRON 2 MG/ML SOLN,ondansetron 2_mg/ml solution,Pharmacy,ONLINE,2016-09-16,ondansetron,2_mg/ml,soln,
6456,SPIRONOLACTONE ORAL SUS 4MG/ML SPIRONOLACTONE ORAL SUSPENSION 4 MG,spironolactone oral suspension 4 mg/ml spironolactone oral suspension 4 mg,Pharmacy,ONLINE,2016-10-06,spironolactone,suspension,oral,4_mg
4361,46740010 - POC BS GLUCOSE 6E,point_of_care blood_sugar glucose,Monitoring,RETROSPECTIVE,2016-07-13,point_of_care,blood_sugar,6e,glucose
2205,HBOL WB GLUCOSE,whole_blood glucose,Laboratory,RETROSPECTIVE,2016-07-12,glucose,WB,,
5041,PF-IMMUNOHISTOCHEMISTRY 1ST,Professional Fee -immunohistochemistry 1st,Laboratory,RETROSPECTIVE,2016-07-13,partial_fill,immunohistochemistry,1st,
724,HCHG MYCOPLASMA PNEUM BY PCR HCHG MYCOPLASMA PNEUM BY PCR,mycoplasma pneumoniae by pcr,Laboratory,ONLINE,2016-09-16,pneum,pcr,mycoplasma,hchg
107,DEXTROSE 5% IN WATER 250ML,dextrose 5% in water 250_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,2016-07-12,5%,water,dextrose,250_ml
3200,ELECTRODE ECG,electrode electrocardiogram,Supply,RETROSPECTIVE,2016-07-12,electrode,electrocardiogram,,
1904,BANDAGE SCISSORS,bandage scissors,Supply,ONLINE,2016-09-16,scissors,bandage,,
3316,HB GLUCOSE BLOOD TEST,glucose blood test,Laboratory,RETROSPECTIVE,2016-07-12,test,blood,glucose,
1527,NASAL/ORAL INTRO LONG GI T,nasal/oral intro long gastrointestinal t,Procedure,ONLINE,2016-09-19,oral,nasal,,
2097,SILDENAFIL 0.8 MG/ML SOLN,sildenafil 0.8_mg/ml solution,Plan Benefit,RETROSPECTIVE,2016-07-12,0.8mg/ml,sildenafil,solution,
5642,HB ELECTRODE 3FR X 105CM BUZZBY,electrode 3fr x 105cm buzzby,Supply,RETROSPECTIVE,2016-07-13,electrode,,,
5068,*IRON BINDING CAPACITY,iron binding capacity,Laboratory,RETROSPECTIVE,2016-07-13,capacity,binding,iron,
769,HEPARIN 5000 UNIT/ML SOLN,heparin 5000_units/ml solution,Diluent / Flush / Irrigant,ONLINE,2016-09-16,heparin,5000_units/ml,soln,
3405,ACETAMINOPHEN 320 MG/ML SO,acetaminophen 320_mg/ml so,Pharmacy,RETROSPECTIVE,2016-07-12,320_mg/ml,acetaminophen,,
2285,SODIUM  WHOLE BLOOD (BC),sodium whole blood blood_cells,Laboratory,RETROSPECTIVE,2016-07-12,BC,whole,blood,sodium
5696,HB SUCCINYLCHOLINE CL 20MG/ML10ML,succinylcholine chloride 20_mg/ml10_ml,Pharmacy,RETROSPECTIVE,2016-07-13,cl,succinylcholine,20_mg/ml10_ml,
1168,ROCURONIUM 10 MG/ML SOLN,rocuronium 10_mg/ml solution,Pharmacy,ONLINE,2016-09-16,rocuronium,soln,10_mg/ml,
3377,DORNASE ALPHA 1 MG/ML SOLN,dornase alpha 1_mg/ml solution,Plan Benefit,RETROSPECTIVE,2016-07-12,alpha,1_mg/ml,soln,dornase
1086,POLYETHYLENE GLYCOL 17 GRAM PWPK 8.5 G CUP,polyethylene glycol 17 gram powder_pack 8.5 g cup,Pharmacy,ONLINE,2016-09-16,polyethylene,cup,glycol,gram
5807,METOPROLOL TARTRATE 12.5 MG TABLET,metoprolol tartrate 12.5_mg tablet,Pharmacy,RETROSPECTIVE,2016-07-13,metoprolol,12.5_mg,tablet,tartrate
4425,67401000 - CYTOLOGY-NON-GYN W/THIN PREP,cytology non gynecology with thin preparation,Laboratory,RETROSPECTIVE,2016-07-13,non,,,
4855,TWO CAL HN 8-OZ (FC),two calorie high nutrition 8 ounce fc,Supply,RETROSPECTIVE,2016-07-13,calorie,ounce,hn,two
2537,CAFFEINE CITRATE 10 MG/ML S,caffeine citrate 10_mg/ml sigma,Pharmacy,RETROSPECTIVE,2016-07-12,caffeine,10_mg/ml,citrate,
515,HC CARD MRI VELOCITY FLOW,cardiac magnetic_resonance_imaging velocity flow,Radiology,ONLINE,2016-09-16,cardiac,velocity,mri,flow
4461,86611002 - SELF CARE,self care,PT / OT / Speech Therapy,RETROSPECTIVE,2016-07-13,self,care,,
3694,SUCRALFATE 1 GRAM TAB,sucralfate 1 gram tablet,Pharmacy,RETROSPECTIVE,2016-07-12,sucralfate,gram,tab,
1157,RECOVERY CLASS 1,recovery class 1,OR / Anesthesia / Recovery Room,ONLINE,2016-09-16,recovery,class,,
1753,ACT.PART THROMBOPLASTIN TI,activated_clotting_time partial thromboplastin time,Laboratory,ONLINE,2016-09-01,part,activated_clotting_time,thromboplastin,ti
1741,(CONTRAST) IODIXANOL 320 MG IODINE/ML SOLN 50 M,contrast iodixanol 320_mg iodine/ml solution 50 m,Pharmacy,ONLINE,2016-09-16,ml,soln,contrast,
2629,MAGNESIUM SULFATE INJ*PER 500MG,magnesium sulfate injection per 500_mg,Pharmacy,RETROSPECTIVE,2016-07-12,injection,500_mg,magnesium,per
4352,27687001 - US SCROTUMCONTENTS PORT,ultrasound scrotum contents portable,Radiology,RETROSPECTIVE,2016-07-13,27687001_us,scrotumcontents,portable,
3106,SET ENTERAL ONLY EXTENSION,set enteral only extension,Supply,RETROSPECTIVE,2016-07-12,set,extension,enteral,
6743,HCHG SUTR PROLENE 2 0 CT 2,suture prolene 2 0 computed tomography 2,OR / Anesthesia / Recovery Room,ONLINE,2016-10-12,prolene,ct,suture,
3235,HABITROL 21 MG,habitrol 21_mg,Plan Benefit,RETROSPECTIVE,2016-07-12,21_mg,habitrol,,
5958,SUT SOFSILK 0 TIES 18IN X12 BLK S176,suture sofsilk 0 ties 18 inches x12 blk s176,Supply,RETROSPECTIVE,2016-07-13,suture,inches,,
