DESC_ID,ORIG_DESC,NORM_DESC,CHRG_CLS
116,DISP: 5.000 ML; 100 UNIT/ML; USED NDC QTY: 50.000 PCK OF 5.000 ML SYRINGE HEPARIN LOCK FLUSH 10 UNITS SYRINGE HEPARIN  PORCINE (PF) 100 UNIT/ML IV SYRINGE,disposable 5.000_ml 100_units/ml_used ndc quantity 50 pack of 5.000_ml syringe heparin lock flush 10_units syringe heparin porcine partial_fill 100_units/ml intravenous syringe,Diluent / Flush / Irrigant
121,HB NORMAL SALINE 10ML VL (NACLO,normal saline 10_ml vial naclo,Diluent / Flush / Irrigant
122,HB SODIUM CHLORIDE 0.9% 10ML SYRN,sodium chloride 0.9% 10_ml syringe,Diluent / Flush / Irrigant
123,HB SODIUM CHLORIDE 0.9% IV,sodium_chloride 0.9% intravenous,Diluent / Flush / Irrigant
124,HB SODIUM CHLORIDE 4 MEQ/ML IV SOLN,sodium chloride 4_meq/ml intravenous solution,Pharmacy
125,HB STERILE WATER FOR INJ 1L,sterile water for injection 1l,Diluent / Flush / Irrigant
126,HB WATER STERILE INJ,water sterile injection,Diluent / Flush / Irrigant
127,HC-SODIUM CHLORIDE IV,sodium chloride intravenous,Diluent / Flush / Irrigant
128,HCHG STERILE WATER,sterile water,Diluent / Flush / Irrigant
129,HEP FLUSH 300UNIT; HEPARIN FLUSH 100 UNITS/ML 3ML SYR,heparin flush 300unit heparin flush 100_units/ml 3_ml syringe,Diluent / Flush / Irrigant
130,HEP-LOCK PF 100 U/ML IV TBX,heparin lock partial_fill 100_units/ml intravenous tubex,Diluent / Flush / Irrigant
131,HEPARIN (PORCINE) 10 UNI,heparin porcine 10_units,Diluent / Flush / Irrigant
132,HEPARIN (PORCINE) 10 UNIT/ML SOLN 3 ML SYRINGE,heparin porcine 10_units/ml solution 3_ml syringe,Diluent / Flush / Irrigant
133,HEPARIN (PORCINE) 100 UNIT/ML SOLN,heparin porcine 100_units/ml solution,Diluent / Flush / Irrigant
134,HEPARIN (PORCINE) LOCK FLU,heparin porcine lock flush,Diluent / Flush / Irrigant
135,HEPARIN 10 UNIT/ML INJ,heparin 10_units/ml injection,Diluent / Flush / Irrigant
136,HEPARIN 10 UNIT/ML SOLN,heparin 10_units/ml solution,Diluent / Flush / Irrigant
137,HEPARIN 10 UNIT/ML SOLN 3,heparin 10_units/ml solution 3,Diluent / Flush / Irrigant
138,HEPARIN 10 UNITS/ML INJ (10ML),heparin 10_units/ml injection 10_ml,Diluent / Flush / Irrigant
139,HEPARIN 10 UNITS/ML SOLN 3,heparin 10_units/ml solution 3,Diluent / Flush / Irrigant
140,HEPARIN 100 U INJ,heparin 100_units injection,Diluent / Flush / Irrigant
141,HEPARIN 100 U ML IN,heparin 100_units ml injection,Diluent / Flush / Irrigant
142,HEPARIN 100 UNIT/ML INJ (10ML),heparin 100_units/ml injection 10_ml,Diluent / Flush / Irrigant
143,HEPARIN 100 UNIT/ML SOLN,heparin 100_units/ml solution,Diluent / Flush / Irrigant
144,HEPARIN 100 UNITS/ML INJ,heparin 100_units/ml injection,Diluent / Flush / Irrigant
145,HEPARIN 100 UT/ML  3 ML SYRINGE-HEPARIN LOCK SYRINGE 100 UT/ML  3 M,heparin 100_units/ml 3_ml syringe heparin lock syringe 100_units/ml 3 m,Diluent / Flush / Irrigant
146,HEPARIN 10UNIT ML 3ML 3,heparin 10unit ml 3_ml 3,Diluent / Flush / Irrigant
147,HEPARIN 12.5 UNITS,heparin 12.5_units,Diluent / Flush / Irrigant
148,HEPARIN 2 UNIT/2ML FLUSH,heparin 2_units/2_ml flush,Diluent / Flush / Irrigant
149,HEPARIN 25000 UNIT/500ML 1/2NS; HEPARIN 25000 UNITS/NACL 0.45% 500,heparin 25000_units/500_ml 1/2ns heparin 25000_units/sodium_chloride 0.45% 500,Diluent / Flush / Irrigant
150,HEPARIN 2U/ML IN NS INJ (30ML),heparin 2_units/ml in normal_saline in 30_ml,Diluent / Flush / Irrigant
151,HEPARIN 50 UNITS/5 ML LO,heparin 50_units/5_ml lo,Diluent / Flush / Irrigant
152,HEPARIN FLUSH,heparin flush,Diluent / Flush / Irrigant
153,HEPARIN FLUSH (PORCINE) 100 UNIT/ML SOLN 3 ML SYRINGE,heparin flush porcine 100_units/ml solution 3_ml syringe,Diluent / Flush / Irrigant
154,HEPARIN FLUSH (PRES.-FREE) 0.5 UN,heparin flush pres free 0.5_units,Diluent / Flush / Irrigant
155,HEPARIN FLUSH 1 UNIT/ML SOL 64253-444-25,heparin flush 1_units/ml solution 64253 444 25,Diluent / Flush / Irrigant
156,HEPARIN FLUSH 10 UN/ML  1 ML,heparin flush 10_units/ml 1_ml,Diluent / Flush / Irrigant
157,HEPARIN FLUSH 10 UNIT/ML SOLUTION 5 ML SYRINGE,heparin flush 10_units/ml solution 5_ml syringe,Diluent / Flush / Irrigant
158,HEPARIN FLUSH 10 UNITS ,heparin flush 10_units,Diluent / Flush / Irrigant
159,HEPARIN FLUSH 10 UNITS/M,heparin flush 10_units/m,Diluent / Flush / Irrigant
160,HEPARIN FLUSH 100 UNIT/ML,heparin flush 100_units/ml,Diluent / Flush / Irrigant
7731,01015056 HB PHOSPHORUS SERUM,phosphorus serum,Laboratory
161,HEPARIN FLUSH 100U/ML 1ML SD,heparin flush 100_units/ml 1_ml sd,Diluent / Flush / Irrigant
162,HEPARIN FLUSH 100UNITS/ML INJ,heparin flush 100_units/ml injection,Diluent / Flush / Irrigant
163,HEPARIN FLUSH 10ML 00000005.000,heparin flush 10_ml 5,Diluent / Flush / Irrigant
164,HEPARIN FLUSH 10U/3ML PF SYRG,heparin flush 10_units/3_ml partial_fill syringe,Diluent / Flush / Irrigant
165,HEPARIN FLUSH 10U/ML 1-6ML SYR,heparin flush 10_units/ml 1 6_ml syringe,Diluent / Flush / Irrigant
166,HEPARIN FLUSH 1UNIT/ML  3 ML,heparin flush 1_units/ml 3_ml,Diluent / Flush / Irrigant
167,HEPARIN FLUSH 2 UNIT/2,heparin flush 2_units/2,Diluent / Flush / Irrigant
168,HEPARIN FLUSH 5,heparin flush 5,Diluent / Flush / Irrigant
169,HEPARIN FLUSH 500U/5ML,heparin flush 500_units/5_ml,Diluent / Flush / Irrigant
170,HEPARIN FLUSH PER 10 U,heparin flush per 10_units,Diluent / Flush / Irrigant
171,HEPARIN FLUSH PF 100U/ML 1ML VIA,heparin flush partial_fill 100_units/ml 1_ml vial,Diluent / Flush / Irrigant
172,HEPARIN INF 25000UN,heparin infusion 25000 units,Diluent / Flush / Irrigant
173,HEPARIN INJ 1 ,heparin injection 1,Diluent / Flush / Irrigant
174,HEPARIN INJECTION,heparin injection,Diluent / Flush / Irrigant
175,HEPARIN INJECTION  PER 10 UT,heparin injection per 10_units,Diluent / Flush / Irrigant
176,HEPARIN IV SOLN,heparin intravenous solution,Diluent / Flush / Irrigant
177,HEPARIN LOCK FLUSH (PORCINE) 10 UNIT/ML IV,heparin lock flush porcine 10_units/ml intravenous,Diluent / Flush / Irrigant
178,HEPARIN LOCK FLUSH 10 UNIT,heparin lock flush 10_units,Diluent / Flush / Irrigant
179,HEPARIN LOCK FLUSH 10 UNIT/ML SOLN,heparin lock flush 10_units/ml solution,Diluent / Flush / Irrigant
180,HEPARIN LOCK FLUSH 10 UNIT/ML SOLN 1 ML SYRINGE,heparin lock flush 10_units/ml solution 1_ml syringe,Diluent / Flush / Irrigant
181,HEPARIN LOCK FLUSH 100 UNIT,heparin lock flush 100_units,Diluent / Flush / Irrigant
182,HEPARIN LOCK FLUSH 100 UNIT/ML SOLN 5 ML SYRINGE,heparin lock flush 100_units/ml solution 5_ml syringe,Diluent / Flush / Irrigant
183,HEPARIN PER 10U-30 SYRNG,heparin per 10_units 30 syringe,Diluent / Flush / Irrigant
184,HEPARIN SOD 10U/ML 5ML VIA,heparin sodium 10_units/ml 5_ml vial,Diluent / Flush / Irrigant
185,HEPARIN SODIUM 50,heparin sodium 50,Diluent / Flush / Irrigant
186,HEPARIN SODIUM LOCK FLUSH 1,heparin sodium lock flush 1,Diluent / Flush / Irrigant
187,HEPARIN/1000UN (5000/ML)1 1 DOSE,heparin/1000un 5000/ml 1 1 dose,Diluent / Flush / Irrigant
188,INFUS D5W 100ML INJ,infusion dextrose_5%_in_water 100_ml injection,Diluent / Flush / Irrigant
189,INFUS D5W 250ML INJ,infusion dextrose_5%_in_water 250_ml injection,Diluent / Flush / Irrigant
190,INJ IV SOLN PIGGY BACK; SOD CHLORIDE,injection intravenous solution piggy back sodium chloride,Diluent / Flush / Irrigant
191,IV D5W 250ML,intravenous dextrose_5%_in_water 250_ml,Diluent / Flush / Irrigant
192,IV NACL 0.9% 100ML,intravenous sodium_chloride 0.9% 100_ml,Diluent / Flush / Irrigant
193,IV NS 100ML,intravenous normal_saline 100_ml,Diluent / Flush / Irrigant
194,IV-SODIUM CHLORIDE 0.9% 250ML,intravenous sodium chloride 0.9% 250_ml,Diluent / Flush / Irrigant
195,IVI NS 250 ML,intravenous_infusion normal_saline 250_ml,Diluent / Flush / Irrigant
196,NA CL 0.9% FLUSH 5ML,sodium chloride 0.9% flush 5_ml,Diluent / Flush / Irrigant
197,NACL .9 100 IVF,sodium_chloride 0.9 100 intravenous_fluid,Diluent / Flush / Irrigant
198,NACL .9 100IVF,sodium_chloride 0.9 100ivf,Diluent / Flush / Irrigant
199,NACL .9 100ML,sodium_chloride 0.9 100_ml,Diluent / Flush / Irrigant
200,NACL .9 1L IRR,sodium_chloride 0.9 1l irrigation,Diluent / Flush / Irrigant
201,NACL .9 250ML,sodium_chloride 0.9 250_ml,Diluent / Flush / Irrigant
202,NACL .9 50ML,sodium_chloride 0.9 50_ml,Diluent / Flush / Irrigant
203,NACL 0.9,sodium_chloride 0.9,Diluent / Flush / Irrigant
204,NACL 0.9 % PGBK 50 ML BAG,sodium_chloride 0.9% pgbk 50_ml bag,Diluent / Flush / Irrigant
205,NACL 0.9% *MBP* INJ 100ML,sodium_chloride 0.9% mini-bag_plus injection 100_ml,Diluent / Flush / Irrigant
206,NACL 0.9% 100ML,sodium_chloride 0.9% 100_ml,Diluent / Flush / Irrigant
207,NACL 0.9% 100ML MBP,sodium_chloride 0.9% 100_ml mini-bag_plus,Diluent / Flush / Irrigant
208,NACL 0.9% 250ML,sodium_chloride 0.9% 250_ml,Diluent / Flush / Irrigant
209,NACL 0.9% 250ML J,sodium_chloride 0.9% 250_ml j,Diluent / Flush / Irrigant
210,NACL 0.9% INJ 10ML,sodium_chloride 0.9% injection 10_ml,Diluent / Flush / Irrigant
211,NACL 0.9% INJ 250ML,sodium_chloride 0.9% injection 250_ml,Diluent / Flush / Irrigant
212,NACL 0.9% MINI BAG P,sodium_chloride 0.9% mini bag powder,Diluent / Flush / Irrigant
213,NACL 0.9% MINI BAG PLUS 100ML,sodium_chloride 0.9% mini bag plus 100_ml,Diluent / Flush / Irrigant
214,NORMAL SALINE 10 ML VIAL (NACL0,normal saline 10_ml vial sodium chloride,Diluent / Flush / Irrigant
215,NORMAL SALINE 100ML,normal saline 100_ml,Diluent / Flush / Irrigant
216,NORMAL SALINE 10ML FLU,normal saline 10_ml flush,Diluent / Flush / Irrigant
217,NORMAL SALINE 3ML FLUS,normal saline 3_ml flush,Diluent / Flush / Irrigant
218,NORMAL SALINE 50ML,normal saline 50_ml,Diluent / Flush / Irrigant
219,NORMAL SALINE FLUSH 10ML,normal saline flush 10_ml,Diluent / Flush / Irrigant
220,NORMAL SALINE FLUSH SYRING 5ML,normal saline flush syringe 5_ml,Diluent / Flush / Irrigant
221,NORMAL SALINE SOLUTION INFUSION 250CC,normal saline solution infusion 250_cc,Diluent / Flush / Irrigant
222,NS,normal_saline,Diluent / Flush / Irrigant
223,NS (0.9% NACL) IV SOLUTION,normal_saline 0.9% sodium_chloride intravenous solution,Diluent / Flush / Irrigant
224,NS 0.9 % SOLP,normal_saline 0.9% solution,Diluent / Flush / Irrigant
225,NS 0.9% 250ML,normal_saline 0.9% 250_ml,Diluent / Flush / Irrigant
226,NS 100ML,normal_saline 100_ml,Diluent / Flush / Irrigant
227,NS 100ML BAG,normal_saline 100_ml bag,Diluent / Flush / Irrigant
228,NS 100ML INJ,normal_saline 100_ml injection,Diluent / Flush / Irrigant
229,NS 100ML IV,normal_saline 100_ml intravenous,Diluent / Flush / Irrigant
230,NS 10ML INJ,normal_saline 10_ml injection,Diluent / Flush / Irrigant
231,NS 250 ML,normal_saline 250_ml,Diluent / Flush / Irrigant
232,NS 250ML,normal_saline 250_ml,Diluent / Flush / Irrigant
233,NS 50 ML,normal_saline 50_ml,Diluent / Flush / Irrigant
234,NS 50ML,normal_saline 50_ml,Diluent / Flush / Irrigant
235,NS 50ML ADD-A-,normal_saline 50_ml additional a,Diluent / Flush / Irrigant
236,NS 50ML IV,normal_saline 50_ml intravenous,Diluent / Flush / Irrigant
237,NS 50ML IV BAG,normal_saline 50_ml intravenous bag,Diluent / Flush / Irrigant
238,NS FLUSH 10ML IJ,normal_saline flush 10_ml injection,Diluent / Flush / Irrigant
239,NS FLUSH 3 ML,normal_saline flush 3_ml,Diluent / Flush / Irrigant
240,NS IRR 1L,normal_saline irrigation 1l,Diluent / Flush / Irrigant
241,NSS 100ML,normal_saline_sterile 100_ml,Diluent / Flush / Irrigant
242,NSS 100ML PF INDIVIDUAL,normal_saline_sterile 100_ml partial_fill individual,Diluent / Flush / Irrigant
243,SALINE FLUSH (NS) 0.9% NAC,saline flush normal_saline 0.9% sodium_chloride,Diluent / Flush / Irrigant
244,SALINE FLUSH (NS) 0.9% NACL 0.9% SOLN 5 ML SYR,saline flush normal_saline 0.9% sodium_chloride 0.9% solution 5_ml syringe,Diluent / Flush / Irrigant
245,SALINE FLUSH 0.45% 10ML,saline flush 0.45% 10_ml,Diluent / Flush / Irrigant
246,SOD CHL .9 25ML VL,sodium chloride 0.9 25_ml vial,Diluent / Flush / Irrigant
247,SOD CHL 0.9% 100ML BAG,sodium chloride 0.9% 100_ml bag,Diluent / Flush / Irrigant
248,SOD CHL 0.9% 50ML MINIPL,sodium chloride 0.9% 50_ml minipl,Diluent / Flush / Irrigant
249,SOD CHLOR .9% 100ML,sodium chloride 0.9% 100_ml,Diluent / Flush / Irrigant
250,SOD CHLOR .9% 10ML,sodium chloride 0.9% 10_ml,Diluent / Flush / Irrigant
251,SOD CHLOR 0.9%,sodium chloride 0.9%,Diluent / Flush / Irrigant
252,SOD CHLORIDE,sodium chloride,Diluent / Flush / Irrigant
253,SOD CHLORIDE 0.,sodium chloride 0,Diluent / Flush / Irrigant
254,SOD CHLORIDE 0.9% 10 ML FLUSH,sodium chloride 0.9% 10_ml flush,Diluent / Flush / Irrigant
255,SOD CHLORIDE 0.9% 100ML IN,sodium chloride 0.9% 100_ml injection,Diluent / Flush / Irrigant
256,SOD CHLORIDE 0.9% 10ML SYRINGE; SODIUM CHLORIDE 0.9% FLUSH 10 ML SY,sodium chloride 0.9% 10_ml syringe sodium chloride 0.9% flush 10_ml syringe,Diluent / Flush / Irrigant
257,AMIODARONE HCL TABLET 200MG,amiodarone hcl tablet 200_mg,Pharmacy
258,SOD CL .9% 10ML,sodium chloride 0.9% 10_ml,Diluent / Flush / Irrigant
259,SOD CL 0.9% 0.9%  2.5 ML,sodium chloride 0.9% 0.9% 2.5_ml,Diluent / Flush / Irrigant
260,SOD CL 0.9% SYRINGE-5ML,sodium chloride 0.9% syringe 5_ml,Diluent / Flush / Irrigant
261,SODIUM CHL 0,sodium chloride 0,Diluent / Flush / Irrigant
262,SODIUM CHL 0.9% INJ 100ML,sodium chloride 0.9% injection 100_ml,Diluent / Flush / Irrigant
263,SODIUM CHL PER,sodium chloride per,Diluent / Flush / Irrigant
264,SODIUM CHL SOL,sodium chloride solution,Diluent / Flush / Irrigant
265,SODIUM CHLOR,sodium chloride,Diluent / Flush / Irrigant
266,SODIUM CHLOR 3% INHAL SLN,sodium chloride 3% inhalation solution,Supply
267,SODIUM CHLOR INJ 100 M,sodium chloride injection 100 m,Diluent / Flush / Irrigant
268,SODIUM CHLORI,sodium chloride,Diluent / Flush / Irrigant
269,SODIUM CHLORID,sodium chloride,Diluent / Flush / Irrigant
270,SODIUM CHLORIDE,sodium chloride,Diluent / Flush / Irrigant
271,SODIUM CHLORIDE .9% 1000ML INJ,sodium chloride 0.9% 1000_ml injection,Diluent / Flush / Irrigant
272,SODIUM CHLORIDE .9% INJ 1,sodium chloride 0.9% injection 1,Diluent / Flush / Irrigant
273,SODIUM CHLORIDE .9% INJ 2,sodium chloride 0.9% injection 2,Diluent / Flush / Irrigant
274,SODIUM CHLORIDE 0,sodium chloride 0,Diluent / Flush / Irrigant
275,SODIUM CHLORIDE 0.,sodium chloride 0,Diluent / Flush / Irrigant
276,SODIUM CHLORIDE 0.45%,sodium chloride 0.45%,Diluent / Flush / Irrigant
