Original Description,Charge Class,Confidence Score,Matches
SODIUM CL 0.9% IRRIG 500 CC,Diluent / Flush / Irrigant,1,SODIUM CL 0.9% IRRIG 500 CC
VENTILATOR-SUBSEQUENT DAY,Respiratory Therapy,0.95,HCHG VENTILATOR SUBSEQUENT DAY
WIPES SKIN BARRIER ALLCARE,Supply,0.69,H CREAM SKIN SENSICARE 3 O
SPUTUM INDUCTION,Respiratory Therapy,1,SPUTUM INDUCTION
65 TY CENTRAL LINE DRSNG,Supply,0.87,KIT CENTRAL LINE DRESSING
NACL 0.9% INJ 100 ML,Diluent / Flush / Irrigant,0.98,NACL 0.9% INJ 10ML
MAGNESIUM,Laboratory,1,MAGNESIUM
CR CHEST SINGLE VIEW - PORTABL,Radiology,0.99,CR CHEST SINGLE VIEW PORTABLE
SET IVEX-2 HP FILTERSET,Supply,1,SET IVEX-2 HP FILTERSET
EVAL OF VOICE/RESONANCY,Radiology,0.68,CT ABD & PELVIS W/O CONTRA
SCISSORS S/B 5 DISP,Supply,1,SCISSORS S/B 5 DISP
ADAPTER CATH MULTI ST_E,Supply,1,ADAPTER CATH MULTI ST_E
TUBING SUCTION (STERILE),Supply,0.75,TUBING INSUFFLATION FILTER
ASSAY OF PHOSPHORUS,Laboratory,1,ASSAY OF PHOSPHORUS
EPOPROSTENOL SODIUM 500MCG INJ,Pharmacy,0.8,EPOPROSTENOL 0.5 MG SOLR
FENTANYL 100 MCG/2 ML INJ,Pharmacy,1,FENTANYL 100 MCG/2 ML INJ
KIT FECAL MANAGEMENT,PT / OT / Speech Therapy,0.79,WHEELCHAIR MANAGMNT
KIT TRANSDUCER SINGLE,Supply,0.84,TRANSDUCER
SPIKE ST EPUMP SAFETY SCR,Supply,1,SPIKE ST EPUMP SAFETY SCR
ASSAY OF LACTIC ACID,Laboratory,0.83,HC ASSAY OF LACTIC ACID
ASSAY OF SERUM POTASSIUM,Laboratory,1,ASSAY OF SERUM POTASSIUM
SPECIMEN CONTAINER,Nursing Services,0.85,SPECIMEN COLL-VENIPUNCTURE
ROOM 0471 A,Room and Board,0.93,ROOM 0473 A
TRAP MUCOUS SPECIMEN,Supply,1,TRAP MUCOUS SPECIMEN
ROUTINE VENIPUNCTURE,Nursing Services,1,ROUTINE VENIPUNCTURE
DRSG MEPILEX HEART SHAPE 9X9,Supply,0.73,DRSG MEPILEX BORDER 9.2IN X 9.2IN
NACL 0.9% INJ 50 ML,Diluent / Flush / Irrigant,1,NACL 0.9% INJ 50 ML
COMPREHENSIVE METABOLIC PANEL,Laboratory,1,*COMPREHENSIVE METABOLIC PANEL
SYRINGE,Supply,1,SYRINGE
DIALYSIS ADMIN DAILY,Dialysis,1,DIALYSIS ADMIN DAILY
LINEZOLID 600MG/300ML INJ,OR / Anesthesia / Recovery Room,0.8,LINEZOLID 600 MG TABLET
EVAL OF SPEECH PRODUCTION,OR / Anesthesia / Recovery Room,0.76,HCHG EVAL SPEECH PRODUCTION LEVEL 2
SOL NACL 0.9PCT 1000ML BG,Diluent / Flush / Irrigant,1,SOL NACL 0.9PCT 1000ML BG
LACTOBACILLUS GG CAP,Pharmacy,0.81,LACTOBACILLUS RHAMNOSUS (G
HEMATOCRIT,Laboratory,1,HEMATOCRIT
SENSOR DEPTH BIS 186-0100,Supply,1,SENSOR DEPTH BIS 186-0100
METHYLCELLULOSE 2 G/19 G PWD,Pharmacy,0.7,POLYETHYLENE GLYCOL 17GM PWD P
NATRIURETIC PEPTIDE,Laboratory,1,NATRIURETIC PEPTIDE
SET PRIMARY IV PLUMSET,Supply,0.85,SET PRIMARY PUMP CLAVE
PANTOPRAZOLE 40 MG INJECTION,Pharmacy,0.92,PANTOPRAZOLE 40MG EC T
MENTHOL/ZINC OXIDE OINT 113 G,Pharmacy,0.7,NITROGLYCERIN 2% OINT 1 G
SYSTEM CLOSED SUCTION 14FR WIT,Supply,1,SYSTEM CLOSED SUCTION 14FR WIT
BUMETANIDE 1 MG/4 ML INJ,Pharmacy,0.85,BUMETANIDE 0.25 MG/ML VI
COMPATIBILITY TEST ELECTRIC,Laboratory,1,COMPATIBILITY TEST ELECTRIC
CEFEPIME 2GM INJ,Pharmacy,0.85,CEFEPIME 500MG-1GM INJ
RBC LEUKOCYTES REDUCED,Blood Products,1,RBC LEUKOCYTES REDUCED
EPINEPHRINE 1MG/ML INJ 30ML,Pharmacy,0.9,EPINEPHRINE 1 MG/ML SOLN 3
THER ACTIVITIES EA 15 MIN,PT / OT / Speech Therapy,1,THER ACTIVITIES EA 15MIN
METABOLIC PANEL TOTAL CA,Laboratory,1,METABOLIC PANEL TOTAL CA
THROMBOPLASTIN TIME PARTIAL,Laboratory,1,THROMBOPLASTIN TIME PARTIAL
BLOOD TYPING RH (D),Laboratory,1,BLOOD TYPING RH D
SOL .9% NACL 250ML,Diluent / Flush / Irrigant,0.87,IV 0.9% NACL 250 ML
RISPERIDONE 1MG DIS TAB,Pharmacy,0.76,PREDNISONE 5 MG TAB
DIALYZER FRESENIUS F8,Plan Benefit,0.69,SILDENAFIL SUS
KIT SHROUD,Laboratory,0.78,TSH
LORAZEPAM 2 MG/1 ML INJECTION,Pharmacy,0.91,LORAZEPAM 2 MG/ML INJ
DEXTROSE 5% INJ 100ML,Diluent / Flush / Irrigant,0.94,DEXTROSE 5% 100ML
QUETIAPINE 25MG TAB,Pharmacy,0.98,QUETIAPINE 25 MG TABS
BLOOD SMEAR INTERPRETATION,Radiology,0.81,US ABDOMEN RETROPERITONEAL
NOREPINEPHRINE 4MG/4ML INJ,Pharmacy,0.89,NOREPINEPHRINE 4 MG IN 250
MIDAZOLAM 5MG/5ML INJ,Pharmacy,1,MIDAZOLAM 5MG/5ML INJ
DIPHENHYDRAMINE 50MG INJECTION,OR / Anesthesia / Recovery Room,0.91,DIPHENHYDRAMINE 50 MG/ML INJECTION SOLUTION
ANESTHESIA ADDL 15MIN,OR / Anesthesia / Recovery Room,0.89,ANESTHESIA EA MIN
LINER CANISTER W FILTER 1500ML,Supply,1,LINER CANISTER W FILTER 1500ML
BODY FLUID CELL COUNT W/DIFF,Laboratory,0.77,CSF/BODY FLUID CELL CTDIFF
BLOOD TRANSFUSION (ONCE DAILY),Nursing Services,0.88,BLOOD TRANSFUSION
PROTHROMBIN TIME,Laboratory,1,PROTHROMBIN TIME
FLOLAN DILUENT,Supply,0.72,H INFADENT
CULTURE AEROBIC IDENTIFY,Laboratory,0.88,CULTURE AEROBIC
CANNULA INNER #6 DIC,Supply,0.72,CANNULA NASAL HEATED HI FLOW
PIPERACILLIN-TAZO 3.375GM INJ,Pharmacy,1,PIPERACILLIN-TAZO 3.375GM INJ
BLOOD GASES W/O2 SATURATION,Laboratory,1,BLOOD GASES W/O2 SATURATION
VANCOMYCIN 1500MG/NACL 0.9% 25,Pharmacy,0.83,VANCOMYCIN 500 MG INJ
ACYCLOVIR 500 MG INJ,Pharmacy,0.75,VANCOMYCIN 500 MG INJ
HEMOGLOBIN,Laboratory,1,HEMOGLOBIN
HYDROCORTISONE 100 MG INJECTIO,OR / Anesthesia / Recovery Room,0.85,HYDROCORTISONE 100 MG SOLUTION FOR INJECTION
SOD BICARBONATE 8.4% 50 ML SYR,Pharmacy,1,SOD BICARBONATE 8.4% 50 ML SYR
ONDANSETRON 4 MG/2 ML INJ,Pharmacy,1,ONDANSETRON 4 MG/2 ML INJ
EPINEPHRINE 1 MG/1 ML PF INJ,Pharmacy,1,EPINEPHRINE 1 MG/1 ML PF INJ
SPONGES 4X4 STERILE 2/PK,Supply,0.95,SPONGE 4X4 STERILE 2/PK
SO COMPLEMENT ANTIGEN 2,OR / Anesthesia / Recovery Room,0.71,ANS MAC REGIONAL PER MINUTE
DEXTROSE 50% 50 ML INJ CART,Diluent / Flush / Irrigant,0.85,DEXTROSE 5% 50ML
CHLORHEXIDINE GLUC 0.12% LIQ 1,Pharmacy,0.85,CHLORHEXIDINE GLUCONATE 4 % LIQD
GAUZE VASELINE 3X9,Supply,0.74,GAUZE  KERLIX 4.5
BLISTEX OINT,Pharmacy,0.88,BLISTEX
MIDAZOLAM 2 MG/2 ML INJECTION,Pharmacy,1,MIDAZOLAM 2 MG/2 ML INJECTION
PLEUREVAC ATRIUM 2002 SINGLE,Supply,0.74,VISCERAL RETAINER LG
SET ARTERIAL/VENOUS LINES-9792,Supply,0.73,KIT ARTERIAL LINE
URINE CULTURE/COLONY COUNT,Laboratory,1,URINE CULTURE/COLONY COUNT
PATCH NEPTUNE 2X2,Laboratory,0.73,PTT
CHORIONIC GONADOTROPIN TEST,Laboratory,0.83,CHORIONIC GANADOTROPIN ASSAY
HOLDER TRACH TUBE,Laboratory,0.73,HCHG SED RATE RBC AUTO
GAUZE 4X4 STERILE (10 PK)_W,Supply,1,GAUZE 4X4 STERILE (10 PK)_W
INSULIN HUMAN REGULAR,Pharmacy,0.87,INSULIN REGULAR HUMAN 100
FLUCONAZOLE 200MG/NS 100ML INJ,Pharmacy,1,FLUCONAZOLE 200MG/NS 100ML INJ
ABD PAD,Nursing Services,0.75,ABG DRAW
MANNITOL 20% INJ 500ML,Pharmacy,0.85,MANNITOL 50ML
SO LEGION PNEUMOPHILIA AG IF,Laboratory,0.87,LEGION PNEUMOPHILIA AG IF 1
PT EVALUATION,PT / OT / Speech Therapy,1,PT EVALUATION
BAG AMBU CO2,Supply,0.7,BAG AMBU RESUS ADULT
OXISENSOR,Supply,1,OXISENSOR
EVALUATION SWALLOWING FUNCTION,PT / OT / Speech Therapy,0.81,EVALUATION OT
KIT TRACH CARE,Supply,0.83,TRACH CARE KIT
FLUMAZENIL 0.5 MG/5 ML INJ,Pharmacy,0.76,CEFAZOLIN 500MG/5ML INJ
SMEAR GRAM STAIN 2,Laboratory,0.98,SMEAR GRAM STAIN
MINI-NEB TX SUBSEQUENT,Plan Benefit,0.75,NITRIC OXIDE SUBSEQUENT DAY
NACL 0.9% INJ 250ML,Diluent / Flush / Irrigant,1,NACL 0.9% INJ 250ML
TRAY TRACH BLUE RHINO 6FR G125,Supply,0.73,TRAY TRACH CARE CLEANING
FENTANYL 2500MCG/NACL 0.9% 250,Pharmacy,0.82,FENTANYL 250MCG/5ML INJ
PROMETHAZINE 25 MG INJECTION,Pharmacy,1,PROMETHAZINE 25 MG INJECTION
NACL 0.9% INJ 500ML,Diluent / Flush / Irrigant,0.98,NACL 0.9% INJ 50 ML
CALCIUM GLUCONATE 1000MG/10ML,Pharmacy,0.95,CALCIUM GLUCONATE 100 MG/M
NACL 0.9% *ADV* INJ 100 ML,Diluent / Flush / Irrigant,0.93,NACL 0.9% INJ 10ML
RISPERIDONE 0.5MG DIS TAB,Pharmacy,0.78,PREDNISONE 5 MG TAB
TAPE TRANSPORE 1,Supply,0.74,CATHETER ASP NASOTR
SO N.GONORRHOEAE DNA AMP PROB,Laboratory,0.69,RH
ASSAY OF TROPONIN QUANT,Laboratory,0.81,ASSAY OF PROLACTIN
ACETAMINOPHEN 1000MG/100ML INJ,Pharmacy,1,ACETAMINOPHEN 1000MG/100ML INJ
INSULIN REG 100U/ML INJ 10ML,Diluent / Flush / Irrigant,0.81,HEPARIN 100 UNIT/ML INJ (10ML)
PROC LEV 2 @15 MIN ADDL,OR / Anesthesia / Recovery Room,0.75,OR LEVEL 2 ADD'L 15 MINUTES
COLOR DOPPLER,Cardiology,0.89,COLOR FLOW DOPPLER
SO BLOOD TYPING ABO,Laboratory,0.91,BLOOD TYPING ABO 1
ECHO TRANSESOPHAGEAL,Cardiology,0.78,HC TRANSESOPHAGEAL ECHO ENDO
VALVE TRACH VENT SPEAK PMV007,Supply,0.69,77045557 - VALVE  TRACH SPEAKING
ASSAY OF CK (CPK),Laboratory,0.8,ASSAY OF CALCIUM
CHLORAPREP W/TINT 10.5ML,Pharmacy,1,CHLORAPREP W/TINT 10.5ML
TAPE DUROPORO 2 SILK,Supply,0.7,SET PUMP LOW ABSORPTION
FUNGI IDENTIFICATION YEAST,Supply,0.71,BAG NUTRITION FEEDING SET
LIDOCAINE-PF 1% 30 ML INJ,Pharmacy,1,LIDOCAINE-PF 1% 30 ML INJ
POLYVIN ALCOH 1.4% OPHTH SOL 1,Pharmacy,0.68,PROPARACAINE HCL 0.5% OPHTH SOLN 15ML
IMMUNOHISTOCHEMISTRY,Laboratory,0.93,PF-IMMUNOHISTOCHEMISTRY 1ST
CATH SUCTION 14-16 FRAZIER,Supply,0.8,CATH SUCTION ELBOW 14FR
LIPID PROFILE,Laboratory,1,LIPID PROFILE
VANCOMYCIN 10 GRAM SOLR 1 EACH VIAL,Pharmacy,0.87,VANCOMYCIN 50 MG/ML SOLR 1 EACH VIAL
SPIRONOLACTONE 25 MG TAB 100 EACH BLI*,Pharmacy,0.93,SPIRONOLACTONE 25 MG TAB 500 EACH BOTTLE
MORPHOLOGY EXAM,Pharmacy,0.72,METOPROLOL ER TAB 50M
PRAVASTATIN 10 MG TAB 100 EACH BLIST *,Pharmacy,0.85,PRAVASTATIN 20 MG TABS
"HEPARIN (PORCINE) 5,000 UNIT/ML SOLN *",Diluent / Flush / Irrigant,0.97,HEPARIN (PORCINE) 100 UNIT/ML SOLN
CARVEDILOL 3.125 MG TAB 100 EACH BLIS*,Pharmacy,0.88,CARVEDILOL 3.125 MG TAB
ROOM ICU STEP DOWN,Room and Board,0.85,HC CCU ROOM - STEP DOWN
CHEM 10,OR / Anesthesia / Recovery Room,0.75,CHEST 1V
NAFCILLIN 2 GRAM/100 ML PGBK 100 ML B*,Pharmacy,0.77,VANCOMYCIN 1 GRAM/200 ML PGBK
COLCHICINE 0.6 MG TAB 100 EACH BOTTLE,Pharmacy,0.84,COLCHICINE 0.6 MG TABS
PIPERACILLIN-TAZOBACTAM 3.375 GRAM/50*,Pharmacy,0.93,PIPERACILLIN-TAZOBACTAM 3.375 GM/50ML SOLN
XRAY-PORTABLE CHEST 1 VIEW,Radiology,0.77,HC XRAY-CHEST ONE VIEW
CLOPIDOGREL 75 MG TAB 1 EACH BLIST PA*,Pharmacy,0.88,CLOPIDOGREL 75 MG TABS
BASIC METABOLIC PANEL,Laboratory,1,BASIC METABOLIC PANEL
OXYCODONE-ACETAMINOPHEN 5-325 MG TAB *,Pharmacy,0.99,OXYCODONE-ACETAMINOPHEN 5-325 MG TABS
KIT MANIFOLD AUTOMATED BT-2000,Pharmacy,0.75,FAMOTIDINE 20 MG TABLET
IOPAMIDOL 76 % SOLN 100 ML BOTTLE,Pharmacy,0.76,IOPAMIDOL 41% SOLN
LACTIC ACID,Laboratory,1,LACTIC ACID
$BILL BC GROUP PCR,Supply,0.7,GLYCERIN SUPP
FUROSEMIDE 20 MG TAB 100 EACH BLIST P*,Pharmacy,0.86,FUROSEMIDE 20 MG TAB
DRAWING FEE,Supply,0.74,SYRINGE
HEPATIC FUNCTION PANEL,Laboratory,1,HEPATIC FUNCTION PANEL
BLOOD CULTURE,Laboratory,0.93,BLOOD CULTURE (BLD)
PANTOPRAZOLE 40 MG TBEC 100 EACH BLIS*,Pharmacy,0.88,PANTOPRAZOLE 40 MG TBEC
"SODIUM CHLORIDE 0.9 % 0.9 % SOLP 1,00*",Diluent / Flush / Irrigant,0.97,SODIUM CHLORIDE 0.9% 0.9 % SOLP
"SODIDM CHLORIDE 0.9 % SOLN 1,000 ML B*",Diluent / Flush / Irrigant,0.89,SODIUM CHLORIDE 0.9% SOL 100ML
ACETAMINOPHEN 325 MG TAB 100 EACH BLI*,Pharmacy,0.89,ACETAMINOPHEN 325MG TAB
MORPHINE 4 MG/ML CRTG 1 ML SYRINGE,Pharmacy,0.84,MORPHINE 4MG/ML INJ
CPT JUDKINS CATH PACK,Diluent / Flush / Irrigant,0.7,NS
PRAVASTATIN 20 MG TAB 100 EACH BLIST *,Pharmacy,0.88,PRAVASTATIN 20 MG TABS
CARVEDILOL 12.5 MG TAB 100 EACH BLIST*,Pharmacy,0.84,CARVEDILOL 3.125 MG TAB
TSH,Laboratory,1,TSH
DEXTROSE 5% SOLP 500 ML BAG,Diluent / Flush / Irrigant,1,DEXTROSE 5% SOLP 500 ML BAG
LISINOPRIL 20 MG TAB 100 EACH BLIST P*,Pharmacy,0.84,LISINOPRIL 15.25 2.5 MG TAB 100 EACH BOTTLE
12 LEAD ECG INTERP (P/C),Cardiology,0.86,ECG 12 LEAD INTERP
POTASSIUM CHLORIDE 10 MEQ CPER 100 EA*,Pharmacy,0.89,POTASSIUM CHLORIDE 10 ME
LIDOCAINE 2 % SOLN 15 ML BLIST PACK,Pharmacy,0.85,LIDOCAINE 2 % SOLN
ASPIRIN 81 MG TBEC 100 EACH BLIST PACK,Pharmacy,0.89,ASPIRIN 81 MGCHEW 750 EACH BLIST PACK
MIDAZOLAM 1 MG/ML SOLN 5 ML VIAL,Pharmacy,0.99,MIDAZOLAM 5 MG/ML SOLN 1 ML VIAL
SODIUM CHLORIDE 0.9 % SYRG 10 ML SYRI*,Diluent / Flush / Irrigant,0.97,SODIUM CHLORIDE 0.9 % SYRG 10 ML SYRINGE
TROPONIN CHARGE,Laboratory,0.82,TROPONIN I
MORPHINE 2 MG/ML CRTG 1 ML SYRINGE,Pharmacy,0.84,MORPHINE 2 MG/ML SYRG
SODIUM CHLORIDE 0.9 % SOLN 500 ML BAG,Diluent / Flush / Irrigant,0.97,SODIUM CHLORIDE 0.9% SOLP 50 ML BAG
AUTOM URINE DIP W MICRO,Laboratory,0.72,HC URINALYSIS AUTOMATED WITH MICRO
AMLODIPINE 2.5 MG TAB 100 BACH BLIST *,OR / Anesthesia / Recovery Room,0.87,AMLODIPINE 2.5 MG TABLET
COCCI ABS CP (IGG) BY EIA,Monitoring,0.74,HC LACTIC ACID - BG SYRINGE
NITROGLYCERIN 0.4 MG SUBL 25 EACH BOT*,Pharmacy,0.97,NITROGLYCERIN 0.4 MG SUBL 25 EACH BOTTLE
GUIDEWIRE .035/260/FIXED 3MM J,Supply,0.78,GUIDE WIRE
CBC W/AUTOMATED DIFF,Laboratory,0.93,*CBC AUTOMATED WO DIFF
"D-DIMER, QUANTITATIVE",Laboratory,0.87,D-DIMER QUANT
ALUMINUM-MAGNESIUM HYDROXIDE-SIMETHIC*,Diluent / Flush / Irrigant,0.69,NS
FENTANYL 50 MCG/ML SOLN 2 ML VIAL,Pharmacy,1,FENTANYL 50 MCG/ML SOLN 2 ML VIAL
ENOXAPARIN 40 MG/0.4 ML SYRG 0.4 ML S*,Pharmacy,0.93,ENOXAPARIN 40 MG/0.4 ML SYRG
ISOSORBIDE MONONITRATE 60 MG TB24 100*,Pharmacy,0.8,ISOSORBIDE DINITRATE 20
COCCI ABS TP (IGM) BY EIA,Monitoring,0.7,HC LACTIC ACID - BG SYRINGE
CATH STRT 6FR 100X110CM,Supply,0.71,CATH VERTEBRAL 4FR 100CM
CARVEDILOL 6.25 MG TAB 100 EACH BOTTLE,Pharmacy,0.85,CARVEDILOL 6.25MG TB
DEXTROSE 5% SOLP 250 ML BAG,Diluent / Flush / Irrigant,1,DEXTROSE 5 % SOLP 250 ML BAG
QUANTIFERON-TB GOLD,Laboratory,0.94,QUANTIFERON GOLD TB
L HRT ARTERY/VENTRICLE ANGIO,Laboratory,0.74,HB C REACTIVE PROTEIN
CT-CONTRAST ORAL-RECTAL,Laboratory,0.75,HC THROMBOPLASTIN TIME PARTIAL
VANCOMYCIN (TROUGH),Laboratory,1,VANCOMYCIN TROUGH
LISINOPRIL 10 MG TAB 100 EACH BLIST P*,Pharmacy,0.84,LISINOPRIL 40 MG TABS
LIPASE,Laboratory,1,LIPASE
SYS 5 LEAD CNCT DISP,Supply,0.78,HC SENSOR ADULT DISP
SET LEAD DL CNCT DISP,Supply,0.71,SET IMED ADD-ON FILTER
CARVEDILOL 25 MG TAB 100 EACH BLIST P*,Pharmacy,0.81,CARVEDILOL TABLET 25MG
DOPPLER,Laboratory,0.85,COPPER
GRAM STAIN,Laboratory,1,GRAM STAIN
ISOSORBIDE MONONITRATE 30 MG TB24 1 E*,Pharmacy,0.8,ISOSORBIDE DINITRATE 20
DRESSING HEMOSTASIS V-PAD,Supply,0.79,DRESSING BIOPATCH
SODIUM CHLORIDE (PF) 0.9 % SOLN 10 ML*,Diluent / Flush / Irrigant,0.96,SODIUM CHLORIDE (PF) 0.9 % SOLN 10ML VIAL
SEMI-PRIVATE ROOM GENERAL,Room and Board,0.89,SEMI PRIVATE ROOM
MAGNESIUM SERUM,Laboratory,1,MAGNESIUM  SERUM
INJECT SUPRVLV AORTOGRAPHY,Cardiology,0.72,ELECTROCARDIOGRAM
"HEPARIN (PORCINE) 1,000 UNIT/ML SOLN *",Diluent / Flush / Irrigant,0.99,HEPARIN (PORCINE) 100 UNIT/ML SOLN
INSERT PICC WO PORT/PUMP>5YR,Procedure,0.8,INSERT PICC PER WO SQ PT 5+YRS
CT ABDOMEN & PELVIS W/CONTRAST,Radiology,0.95,CT ABDOMEN+PELVIS W/O CONTRAST
HIV - 2/HIV- 2 AB SCR,Laboratory,0.62,HC HEPATITIS C QUAN PCR
OBSERVATION HOURLY,Room and Board,0.83,OBSERVATION PER HR
BTYPE NATRIURETIC PEPTIDE BNP,Laboratory,0.99,B-TYPE NATRIURETIC PEPTIDE (BN
"CULT,BACT W/ISOL & PRESUMPT",Laboratory,0.77,AEROBIC CULT ISO & PRESUMPT ID
METOCLOPRAMIDE 5 MG/ML SOLN 2 ML VIAL,Pharmacy,0.92,METOCLOPRAMIDE 5 MG/ML SOLN
CT-CHEST COMPLETE W/CONTRAST,Radiology,0.78,CTA  CHEST W/ CONTRAST
"ECHOCARDIO, TRANSESOPHAGEAL (TEE",Cardiology,0.77,ECHOCARDIOGRAM
XRAY-CHEST 2 VIEWS,Radiology,0.84,CHEST 2 VW
CT-INJECTION KIT,Laboratory,0.76,HEPATIC FUNCTION
SENSITIVITY X 1 CHARGE,Laboratory,0.83,SENSITIVITY (MIC)
KIT CTRL PREM HAND AT-P5,Supply,0.71,KIT SUTRE REMOVL DSP
CONTRAST ISOVUE 300MG/100ML,Pharmacy,0.8,(CONTRAST) IOHEXOL 300 MG/
PAD-DEFIB RADIOLUCENT MULTIFUN,Supply,0.76,PAD DEFIB ADULT STAT-
ED-EXTENDED #5,OR / Anesthesia / Recovery Room,0.69,PACU PHASE 1 EXTEN ADDL 30 MIN
BLOOD GASES,Laboratory,0.94,HB BLOOD GASES
US-VASC DUPLEX ABD/PELV COMP,Radiology,0.73,U/S ABD VISERAL DOP/PELVIC
US-RETROPERITONEAL COMPLETE,Radiology,0.87,US RETROPERITIONEAL
MRSA PCR SCREEN,Laboratory,0.83,MRSA SCREEN PCR NASAL
ABG PERCUTANEOUS,Other,0.73,HB PRE-ICU TRANSPORT
ROOM POST-CCU,Room and Board,0.8,ROOM PNIC U
MIDAZOLAM (PF) 1 MG/ML SOLN 2 ML VIAL,Pharmacy,0.98,MIDAZOLAM 1 MG/ML SOLN 2 ML VIAL
NITROGLYCERIN 2 % OINT 1 G PACKET,Pharmacy,0.93,NITROGLYCERIN 2% OINT 1 G
ASPRIN 325 MG TAB 500 EACH BLIST PACK,Pharmacy,0.79,ASPIRIN 325 MG TABS
"TTE W/DOPPLER, COMPLETE",Cardiology,0.78,ECHO TTE W/DOPPLER  COMPLETE
DIPHENHYDRAMINE 50 MG/ML SOLN 1 ML VI*,Pharmacy,0.95,DIPHENHYDRAMINE 50 MG/ML SOLN
UR DRUGS OF ABUSE SCREEN,Supply,0.71,BAG PRESSURE INFUSOR EA.
TRAY PICC SAPIEN,Supply,0.77,TRAY P-PICC 5FR TRIPLE W/NSG
12 LEAD ECG (TRACING),Cardiology,0.76,HC EKG 12 LEAD TRACE ONLY
COLOR FLOW,Cardiology,0.85,COLOR FLOW DOPPLER
BUTAMBEN-TETRACAINE-BENZOCAINE 2 %-2 *,Laboratory,0.7,BUN
PHOSPHORUS SERUM OR PLASMA,Laboratory,0.88,PHOSPHORUS SERUM
LIDOCAINE (PF) 10 MG/ML (1 %) SOLN 5 *,Pharmacy,0.89,LIDOCAINE (PF) 20 MG/ML(2%) SOLN 5 ML VIAL
COUPLER VESSEL MICROVASCULAR ANASTOMIC O,Monitoring,0.71,HC CAPILLARY GLUCOSE NOVA METER
HC NONPRES INHAL TX FOR ACUTE AIR OBS SUBSQ,Respiratory Therapy,1,HC NONPRES INHAL TX FOR ACUTE AIR OBS SUBSQ
MIDAZOLAM 2 MG/2ML SOLN,Pharmacy,1,MIDAZOLAM 2 MG/2ML SOLN
ACETAMINOPHEN 160 MG/5ML SOLN,Pharmacy,1,ACETAMINOPHEN 160 MG/5ML SOLN
BLANKET HYPR/HYPOTHRM WRM AIR 36X60IN,Laboratory,0.69,PROTHROMBIN TIME W/INR
HEPARIN (PORCINE) 10000 UNIT/ML SOLN,Diluent / Flush / Irrigant,0.98,HEPARIN (PORCINE) 100 UNIT/ML SOLN
RETRACTOR STAY SGL HOOK SHARP SM 12MM,Supply,0.71,RETRACT-O-TAPE # 1041
PANTOPRAZOLE 40 MG SOLR,Pharmacy,1,PANTOPRAZOLE 40 MG SOLR
CATH FOL TEMP-SENS 400 MON-A-THRM 16FR,Supply,0.75,CATHETER ASP NASOTR
"HC GLUCOSE,QT BY METER FOR",Monitoring,1,HC GLUCOSE  QT BY METER FOR
ALBUTEROL (2.5 MG/3ML) 0.083% NEBU,Pharmacy,1,ALBUTEROL (2.5 MG/3ML) 0.083% NEBU
SODIUM CHLORIDE 0.9 % SOLN 100 ML FLEX CONT,Diluent / Flush / Irrigant,1,SODIUM CHLORIDE 0.9 % SOLN 100 ML FLEX CONT
