Original Description,Charge Class,Confidence Score,Matches,Counts
US ABDOMEN LIMITED,Radiology,0.9233333333333333,"US ABDOMEN LIMITED, US ABDOMEN, US ABDOMEN LTD",3
BELT GAIT,,,,0
PROCALCITONIN (PCT),Laboratory,0.9166666666666666,"PROCALCITONIN (PCT), 69971002 - PROCALCITONIN, PROCALCITONIN",3
PROTEIN SUPPLEMENT 15GM/30ML 1,,,,0
BARRIER PROTECTIVE SENSI CARE,,,,0
STOCKING ANTIEMB KNEE SM REGX1,,,,0
PROPOFOL 500MG/50ML INJ,Pharmacy,0.8526666666666668,"PROPOFOL 10 MG/ML EMUL, PROPOFOL 200MG/20ML INJ, PROPOFOL 10 MG/ML EMULSI, PROPOFOL 1000 MG INJ, PROPOFOL 10MG (50ML), PROPOFOL 1000MG/100ML, PROPOFOL PER 10MG/100ML INJ, PROPOFOL PER 10MG/50ML INJ, PROPOFOL 10MG INJ, PROPOFOL 500 MG INJ, 14668212 - PROPOFOL PER 10MG/ 5ML SYR INJ, 14668262 - PROPOFOL PER 10MG/100ML INJ, PROPOFOL 10 MG INJ, PROPOFOL 10 MG IV, PROPOFOL 10 MG/ML INJ",15
BLOOD CULTURE FOR BACTERIA,Laboratory,0.9,"BLOOD CULTURE FOR BACTERIA, BLOOD CULTURE (BLD), BLOOD CULTURE AEROBIC",3
SPONGE DRAIN T'SORB,Supply,1.0,SPONGE DRAIN T'SORB,1
DRX STERILWATER 500ML AQUALITE,,,,0
"GLUCOSE, BLOOD MONIT DEVICE","Laboratory, Monitoring",,"GLUCOSE  BLOOD  QUANT, GLUCOSE BLOOD ATP, CHG GLUCOSE BLOOD BY MONITORING DEV, GLUC BLD MNT DV, GLUCOSE  BLD BY MONITOR DEVICE, GLUCOSE  BLOOD BY GMD, GLUCOSE  BLOOD BY MONITORING D, GLUCOSE  BLOOD GLUCOSE MONITORING, GLUCOSE  BLOOD METER ASSA, GLUCOSE  BLOOD MONIT DEVICE, GLUCOSE BEDSIDE MONIT, GLUCOSE BLD BY MONITOR DEVICE, GLUCOSE BLD METER, GLUCOSE BLOOD BY GLU MONITOR, GLUCOSE BLOOD BY GMD, GLUCOSE BLOOD GLUCOSE MONITORING, GLUCOSE BY DEVICE, GLUCOSE BY MONITORING DEVICE, GLUCOSE-BLD BY MONITOR DEVICE, GLUCOSE-BLOOD MONITORING DEVIC, HC GLUCOSE BLD BY MONITOR DEVICE POC, GLUCOSE BLD QN, GLUCOSE BLOOD, GLUCOSE BLOOD BEDSIDE TESTING, GLUCOSE BLOOD TEST, GLUCOSE BLOOD TEST - EYER , GLUCOSE  BLOOD, GLUCOSE BLD, GLUCOSE BLOOD BY MONITORING DEV",29
RISPERIDONE 0.25 MG TAB,Pharmacy,0.8066666666666666,"DIGOXIN 0.125 MG TABS, PREDNISONE 20 MG TAB, PREDNISONE 5 MG TAB",3
SODIUM CL 0.9% IRRIG 500 CC,Diluent / Flush / Irrigant,0.8500000000000001,"SODIUM CHL 0.9% INJ 100ML, SODIUM CL 0.9% 100ML V, SODIUM CL 0.9% IRRIG 500 CC, SODIUM CHL 0.9% 100ML",4
VENTILATOR-SUBSEQUENT DAY,Respiratory Therapy,0.8675,"HCHG VENTILATOR SUBSEQUENT DAY HCHG VENTILATOR SUBSEQUENT DAY, HCHG VENTILATOR SUBSEQUENT DAY, VENTILATOR-PEDS SUBSEQ DAY, VENTILATOR-ADULT SUBSEQ DAY",4
WIPES SKIN BARRIER ALLCARE,,,,0
SPUTUM INDUCTION,Respiratory Therapy,0.9450000000000001,"SPUTUM INDUCTION, SPUTUM INDUCTION INITIAL",2
65 TY CENTRAL LINE DRSNG,Supply,0.835,"CENTRAL LINE DRESSING KIT, KIT CENTRAL LINE DRESSING",2
NACL 0.9% INJ 100 ML,Diluent / Flush / Irrigant,0.8727777777777778,"0.9% NACL 100ML, IV NACL 0.9% 100ML, NACL .9 100ML, NACL 0.9, NACL 0.9% *MBP* INJ 100ML, NACL 0.9% 100ML, NACL 0.9% 100ML MBP, NACL 0.9% 250ML, NACL 0.9% 250ML J, NACL 0.9% INJ 10ML, NACL 0.9% INJ 250ML, NACL 0.9% *MBP* INJ 100 ML, NACL 0.9% *MBP* INJ 50 ML, NACL 0.9% INJ 50 ML, NACL 0.9% *PF* INJ, NACL 0.9% 1000ML, NACL 0.9% INJ QS TO 250 ML, NACL 0.9 % PGBK 100 ML BAG",18
MAGNESIUM,"OR / Anesthesia / Recovery Room, Laboratory, Pharmacy",,"MAGNESIUM BLOOD, MAGNESIUM CITRATE LIQ, MAGNESIUM SULFATE 4.06 MEQ, MAGNESIUM SULFATE 500 MG/M, MAGNESIUM SULFATE 80 MG/ML, MAGNESIUM SO4 PRE 2GM, MAGNESIUM SULF 1% PRE, MAGNESIUM (MG/UMG/RUMG), MAGNESIUM SO4 INJ 50% 2ML, HB - MAGNESIUM, HC MAGNESIUM, MAGNESIUM, MAGNESIUM HYDROXIDE 400, MAGNESIUM 2 GM IN 50ML D5W, MAGNESIUM  SERUM, MAGNESIUM ASSAY, MAGNESIUM SULFATE 40 MG/ML, HCHG MAGNESIUM, MAGNESIUM MAGNESIUM",19
CR CHEST SINGLE VIEW - PORTABL,Radiology,0.8666666666666667,"HB - XRAY CHEST SINGLE VIEW FRONTAL, CHEST SINGLE VIEW, HB CHEST SINGLE VIEW FRONT, XR CHEST SNG VW PORTABLE, XRAY CHEST SINGLE VIEW FRONTAL, CR CHEST SINGLE VIEW PORTABLE",6
SET IVEX-2 HP FILTERSET,Supply,0.9,"SET IVEX-2 HP FILTERSET, SET  IV EXT FILTR0.2MIC",2
EVAL OF VOICE/RESONANCY,,,,0
SCISSORS S/B 5 DISP,Supply,1.0,SCISSORS S/B 5 DISP,1
ADAPTER CATH MULTI ST_E,Supply,1.0,ADAPTER CATH MULTI ST_E,1
TUBING SUCTION (STERILE),,,,0
ASSAY OF PHOSPHORUS,Laboratory,1.0,ASSAY OF PHOSPHORUS,1
EPOPROSTENOL SODIUM 500MCG INJ,Pharmacy,0.8,EPOPROSTENOL 0.5 MG SOLR,1
FENTANYL 100 MCG/2 ML INJ,Pharmacy,0.861,"FENTANYL IN 100MCG(10, FENTANYL 1000 MCG/100 ML SOLN, FENTANYL 0.05 MG/ML SOLN 2 ML VIAL, FENTANYL 0.1MG, FENTANYL 250MCG/5ML INJ, FENTANYL 100MCG/2ML INJ., FENTANY CIT 0.1MGINJ, FENTANYL 100 MCG INJ, FENTANYL 50MCG/ML 5ML, FENTANYL (PF) 0.05 MG/ML SOLN, FENTANYL 1:10 5 MCG/ML SOL, FENTANYL 100 MCG/2 ML INJ, FENTANYL 100 MCG/2ML SOLN, FENTANYL 100MCG/2ML BD SYRINGE, FENTANYL 250 MCG/5 ML INJ, FENTANYL 50 MCG/ML SOLN, FENTANYL 50 MCG/ML SOLN 2, FENTANYL 50 MCG/ML SOLN 2 ML VIAL, FENTANYL 50 MCG/ML SOLN 20, FENTANYL 50 MCG/ML SOLN 50",20
KIT FECAL MANAGEMENT,,,,0
KIT TRANSDUCER SINGLE,Supply,0.825,"TRANSDUCER, TRANSDUCER KIT",2
SPIKE ST EPUMP SAFETY SCR,Supply,1.0,SPIKE ST EPUMP SAFETY SCR,1
ASSAY OF LACTIC ACID,Laboratory,0.8166666666666668,"ASSAY OF PROLACTIN, ASSAY OF CALCIUM, HC ASSAY OF LACTIC ACID",3
ASSAY OF SERUM POTASSIUM,Laboratory,0.9075,"ASSAY OF SERUM POTASSIUM, ASSAY OF SERUM SODIUM, ASSAY SERUM NA, ASSAY SERUM POTASSIUM",4
SPECIMEN CONTAINER,Nursing Services,0.8266666666666667,"SPECIMEN COLL-VENIPUNCTURE, SPECIMEN COLLECTION - CHG ON, SPECIMEN COLLECTION FEE",3
ROOM 0471 A,Room and Board,0.8380000000000001,"ROOM 8016, ROOM T7W A, ROOM 0448 AB, ROOM 0473 A, ROOM 5011",5
TRAP MUCOUS SPECIMEN,Supply,1.0,TRAP MUCOUS SPECIMEN,1
ROUTINE VENIPUNCTURE,Nursing Services,0.985,"HC ROUTINE VENIPUNCTURE, ROUTINE VENIPUNCTURE",2
DRSG MEPILEX HEART SHAPE 9X9,,,,0
NACL 0.9% INJ 50 ML,Diluent / Flush / Irrigant,0.8600000000000001,"0.9% NACL 250ML, IV NACL 0.9% 100ML, NACL .9 100ML, NACL .9 50ML, NACL 0.9, NACL 0.9 % PGBK 50 ML BAG, NACL 0.9% *MBP* INJ 100ML, NACL 0.9% 100ML, NACL 0.9% 100ML MBP, NACL 0.9% 250ML, NACL 0.9% 250ML J, NACL 0.9% INJ 10ML, NACL 0.9% INJ 250ML, NS 0.9% 250ML, NACL 0.9% *MBP* INJ 100 ML, NACL 0.9% *MBP* INJ 50 ML, NACL 0.9% INJ 50 ML, NACL 0.9% *PF* INJ, NACL 0.9% 1000ML, NACL 0.9% INJ QS TO 250 ML, .9% NACL 500ML, NACL 0.9RIGATION 250ML BTL",22
COMPREHENSIVE METABOLIC PANEL,"Laboratory, Other",,"HC COMPREHENSIVE METABOLIC, HC COMPREHENSIVE METABOLIC PANEL, COMPREHENSIV, HCHG COMPREHENSIVE METABOLIC PANEL, COMPREH METABOLIC PANEL, COMPREHENSIVE ED VST, COMPREHENSIVE METABOLIC P, *COMPREHENSIVE METABOLIC PANEL, 63528001 - COMPREHENSIVE METABOLIC PANEL, COMPREHENSIVE MET PANEL, COMPREHENSIVE MET, COMPREHENSIVE METABOLIC PANEL, COMPREHENSIVE METABOL PANEL COMP METABOLIC PANEL",13
SYRINGE,"Capital Equipment, Supply",,"HB SYRINGE PUMP, HBC SYRINGE PUMP S/P, SYRINGE PUMP, SYRINGE PUMP  S/P, SYRINGE PUMP - S/P, SYRINGE PUMP S/P, SYRINGE ASEPTO, SYRINGE, SYRINGE FOR IV LABEL, SYRINGE-NEONATAL",10
DIALYSIS ADMIN DAILY,Dialysis,1.0,DIALYSIS ADMIN DAILY,1
LINEZOLID 600MG/300ML INJ,OR / Anesthesia / Recovery Room,0.8,LINEZOLID 600 MG TABLET,1
EVAL OF SPEECH PRODUCTION,,,,0
SOL NACL 0.9PCT 1000ML BG,"Diluent / Flush / Irrigant, Pharmacy",,"SOL D5 NACL 0.45PCT 1000ML, SOL LR 1000ML BG, SOL NACL 0.9PCT 250ML BG LF, SOL NACL 0.9PCT 500ML BG LF, SOL NACL 0.9PCT PF 50ML, SOL NACL 0.9PCT 1000ML BG, NACL 0.9 % SOLP 100 ML BAG",7
LACTOBACILLUS GG CAP,Pharmacy,0.81,LACTOBACILLUS RHAMNOSUS (G,1
HEMATOCRIT,"Laboratory, Monitoring",,"HEMATOCRIT POC I, BLD# HEMATOCRIT, HB HEMATOCRIT, HC HEMATOCRIT, HEMATOCRIT (HCT), HEMATOCRIT TEST, HEMATOCRIT POC, POC HEMATOCRIT, HEMATOCRIT AUTOMATED, HEMATOCRIT WHOLE BLOOD, HEMATOCRIT, 65003003 - HEMATOCRIT, HEMATOCRIT HGB AND HCT, HEMATOCRIT HGB AND HOT, HEMATOCRIT POC ACUTE PANEL A, HEMATOCRIT POC ACUTE PANEL C, HEMATOCRIT POC ACUTE PANEL V",17
SENSOR DEPTH BIS 186-0100,Supply,1.0,SENSOR DEPTH BIS 186-0100,1
METHYLCELLULOSE 2 G/19 G PWD,,,,0
NATRIURETIC PEPTIDE,Laboratory,0.93,"HC NATRIURETIC PEPTIDE, NATRIURETIC PEPTI, NATRIURETIC PEPTIDE, 63025212 - B-NATRIURETIC PEPTIDE",4
SET PRIMARY IV PLUMSET,Supply,0.85,SET PRIMARY PUMP CLAVE,1
PANTOPRAZOLE 40 MG INJECTION,"OR / Anesthesia / Recovery Room, Pharmacy",,"PANTOPRAZOLE 40 MG SOLR 1 EACH VIAL, PANTOPRAZOLE 40 MG SOLR, PANTOPRAZOLE 40 MG TBEC, PANTOPRAZOLE 40MG EC T, PANTOPRAZO 40MG ECTB, PANTOPRAZOLE 40 MG INJ, PANTOPRAZOLE 40 MG TAB, PANTOPRAZOLE 40 MG TAB DR, PANTOPRAZOLE 40 MG INTRAVENOUS SOLUTION",9
MENTHOL/ZINC OXIDE OINT 113 G,,,,0
SYSTEM CLOSED SUCTION 14FR WIT,Supply,1.0,SYSTEM CLOSED SUCTION 14FR WIT,1
BUMETANIDE 1 MG/4 ML INJ,Pharmacy,0.8200000000000001,"BUMETANIDE 0.25 MG/ML SOLN, BUMETANIDE 0.25 MG/ML VI, METHADONE 10 MG/ML, BUMETANIDE 1 MG TABS",4
COMPATIBILITY TEST ELECTRIC,Laboratory,0.9366666666666666,"HC COMPATIBILITY TEST ELECTRONIC, COMPATIBILITY TEST ELECTRIC, COMPATIBILITY TEST SPIN",3
CEFEPIME 2GM INJ,Pharmacy,0.85,CEFEPIME 500MG-1GM INJ,1
RBC LEUKOCYTES REDUCED,Blood Products,0.905,"RBC LEUKOCYTES REDUCED, RBC LEUKOREDUCED, RBC LEUKOREDUCED IR, RBC LEUKOCYTES REDUCED EA UNIT",4
EPINEPHRINE 1MG/ML INJ 30ML,"OR / Anesthesia / Recovery Room, Pharmacy",,"EPINEPHRINE 1 MG/ML SOLN, EPINEPHRINE 1 MG/ML SOLN 3, EPINEPHRINE 1 MG/1 ML PF INJ, EPINEPHRINE INJ 2.5 MG/2.5 ML, EPINEPHR 1MG-1ML INJ, EPINEPHRINE 1 MG/ML SOLN 30 ML VIAL, EPINEPHRINE 1 MG/ML 1 1 000 INJECTION SOLUTION",7
THER ACTIVITIES EA 15 MIN,PT / OT / Speech Therapy,0.882,"THER ACTIVITIES EA 15MIN, THERAPEUT ACTIVITIES EA 15, THERAPEUTIC ACTIVITIES EA 15 MI, THERAP ACTVTS-15 MIN, THERA ACTIVITIES 15 MIN",5
METABOLIC PANEL TOTAL CA,Laboratory,0.905,"METABOLIC PANEL TOTAL CA, HC METABOLIC PANEL TOTAL CA",2
THROMBOPLASTIN TIME PARTIAL,Laboratory,0.889,"HC THROMBOPLASTIN TIME (APTT), HC THROMBOPLASTIN TIME PARTIAL, THROMBOPLASTIN IN, THROMBOPLASTIN TIME PARTIAL, THROMBOPLASTIN TIME PARTIAL PLASMA/WHOLE BLOOD, THROMBOPLASTIN TM PRTL PLS, THROMBOPLASTIN TM PRTL PLSM/WHL BLD, THROMBOPLASTIN TIME PARTIA, PTT (PARTIAL THROMBOPLASTIN TIME), *PTT PARTIAL THROMBOPLASTIN TIME",10
BLOOD TYPING RH (D),Laboratory,0.8846666666666668,"HC BLOOD TYPING ABO, HC BLOOD TYPING RH D, HC BLOOD TYPING RH(D), BLD TYPING RH D, BLOOD TYPE RH (D), BLOOD TYPE RH I, BLOOD TYPING ABO 1, BLOOD TYPING RH D, BLOOD TYPING SEROLOGIC RH, HC BLOOD TYPING RH (D), ABO BLOOD TYPING, ABO TYPING, LAB BLOOD TYPING RH, BLOOD TYPING RH D T1 NEWBORN PROFILE, HCHG BLOOD TYPING RH D ",15
SOL .9% NACL 250ML,Diluent / Flush / Irrigant,0.835,"SOL .9 SOD CHL 500ML, IV 0.9% NACL 250 ML, IV 0.9% NACL 50 ML, IV 0.9% NACL 500 ML",4
RISPERIDONE 1MG DIS TAB,,,,0
DIALYZER FRESENIUS F8,,,,0
KIT SHROUD,,,,0
LORAZEPAM 2 MG/1 ML INJECTION,"OR / Anesthesia / Recovery Room, Pharmacy",,"LORAZEPAM 2 MG/ML CONC, LORAZEPAM 2 MG/ML CONC 30 ML BOTTLE, LORAZEPAM 2 MG/ML SOLN, MIDAZOLAM 2 MG/2 ML INJECTION, LORAZEPAM 2 MG/ML INJ, LORAZEPAM INJ* 2MG, LORAZEPAM 2MG INJ, LORAZEPAM 2 MG/ML INJECTION SOLUTION",8
DEXTROSE 5% INJ 100ML,"Diluent / Flush / Irrigant, Pharmacy",,"DEXTROSE 5 % SOLN, DEXTROSE 5%, DEXTROSE 5% 100ML, DEXTROSE 5% 250ML, DEXTROSE 5% 50ML, DEXTROSE 5% IN, DEXTROSE 5% IN W, DEXTROSE 5% IN WATER 100ML, DEXTROSE 5% IN WATER 250ML, DEXTROSE 5% SOLN, DEXTROSE 5% SOLP, DEXTROSE 5% IN WATER 50ML, DEXTROSE, DEX 5% IV 500ML, DEXTROSE 50% SOLN, DEXTROSE-50ML 50%, DEXTROSE 5% INJ 250 ML, DEXTROSE 5% SOLP 1 000 ML, DEXTROSE 5% SOLP 100 ML BA, DEXTROSE 50 % SOLN, DEXTROSE PER 500 ML",21
QUETIAPINE 25MG TAB,"OR / Anesthesia / Recovery Room, Pharmacy",,"QUETIAPINE 50 MG XR TAB, QUETIAPINE 300MG TAB, QUETIAPINE 25 MG TABS, QUETIAPINE 100 MG TABLET, QUETIAPINE 25 MG TABLET",5
BLOOD SMEAR INTERPRETATION,"Nursing Services, Radiology, Supply",,"US ABDOMEN RETROPERITONEAL, BLOOD ADMINISTRATION, BLOOD ADMINISTRATION (, BLOOD ADMINISTRATION SET",4
NOREPINEPHRINE 4MG/4ML INJ,Pharmacy,0.8459999999999999,"NOREPINEPHRINE I 1MG/, NOREPINEPHRINE 8MG/NS 250 ML K, NOREPINEPHRINE 1 MG/ML SOLN 4 ML VIAL, 13280212 - NOREPINEPHRINE INJ 1MG/ML 4ML, NOREPINEPHRINE 4 MG IN 250",5
MIDAZOLAM 5MG/5ML INJ,"OR / Anesthesia / Recovery Room, Pharmacy",,"MIDAZOLAM 1 MG/ML SOLN, MIDAZOLAM 10 MG/2ML SOLN, MIDAZOLAM 2 MG/2 ML INJECTION, MIDAZOLAM 2 MG/2ML SOLN, MIDAZOLAM 5 MG/5ML SOLN, MIDAZOLAM 5 MG/ML SOLN, MIDAZOLAM 5 MG/ML SOLN 1 ML VIAL, MIDAZOLAM 5 MG/ML SOLN 10, MIDAZOLAM 5 MG/ML SOLN 10 ML VIAL, MIDAZOLAM 5 MG/ML SOLN 2 M, MIDAZOLAM 5MG/5ML INJ, MIDAZOLAM 5 MG/ML INJECTION SOLUTION, MIDAZOLAM 50MG VL, MIDAZOLAM 2MG/2ML VIAL, MIDAZOLAM HCL 10MG/2ML INJ, MIDAZOLAM 2MG/2ML INJ, MIDAZOLAM 2 MG INJ, MIDAZOLAM 1 MG/ML SOLN 2 ML VIAL, MIDAZOL HCL 1MG INJ, MIDAZOLAM HCL 1 MG INJ, MIDAZOLAM PF 5 MG/ML INJECTION SOLUTION",21
DIPHENHYDRAMINE 50MG INJECTION,"OR / Anesthesia / Recovery Room, Pharmacy",,"DIPHENHYDRAMINE 50 MG CAP, DIPHENHYDRAMINE 50MG/ML INJ, DIPHENHYDRAMI25MG CP, DIPHENHYDRAMINE 25 MG CAPS, DIPHENHYDRAMINE 50 MG/ML SOLN, DIPHENHYDRAMINE 50 MG/ML INJECTION SOLUTION",6
ANESTHESIA ADDL 15MIN,OR / Anesthesia / Recovery Room,0.8433333333333334,"ANESTHESIA, ANESTHESIA EA MIN, ANESTHESIA TIME EA ADDL 30 MIN",3
LINER CANISTER W FILTER 1500ML,Supply,1.0,LINER CANISTER W FILTER 1500ML,1
BODY FLUID CELL COUNT W/DIFF,,,,0
BLOOD TRANSFUSION (ONCE DAILY),Nursing Services,0.88,BLOOD TRANSFUSION,1
PROTHROMBIN TIME,Laboratory,0.9115384615384616,"HC PROTHROMBIN TIME, PROTHROMBIN TIME 1, PROTHROMBIN TM, INR (PROTHROMBIN TIME), PROTHROMBIN TIME INR, HC PROTHROMBIN TIME (PT), HCHG PROTHROMBIN TIME (PT), PROTHROMBIN TIME W/INR, HC PROTHROMBIN, 65208000 - PROTHROMBIN TIME, PROTHROMBIN TIME, PROTHROMBIN TIME (PT), PROTHROMBIN TIME PT T1 PROTIME",13
FLOLAN DILUENT,,,,0
CULTURE AEROBIC IDENTIFY,Laboratory,0.855,"CULT AEROBIC IDENTIF, *CULTURE AEROBIC ONLY, CULTURE AEROBIC, CULTURE AEROBIC ID ADDL T2 GRAM NEG BACILLI ID",4
CANNULA INNER #6 DIC,,,,0
PIPERACILLIN-TAZO 3.375GM INJ,Pharmacy,0.835,"PIPERACILLIN-TAZO 3.375GM INJ, PIPERACILLIN-TAZOBACTAM 3.375 GM/50ML SOLN, HC PIPERACILLIN/TAZO 4 5 GM, PIPERACILLIN-TAZOBACTAM 4., PIPERACILLIN / TAZOBACTAM, PIPERACILLIN-TAZOBACTAM 1.125 G IV",6
BLOOD GASES W/O2 SATURATION,Laboratory,0.995,"BLOOD GASES W/O2 SATURATION, BLOOD GASES W O2 SATURATION",2
VANCOMYCIN 1500MG/NACL 0.9% 25,Pharmacy,0.81,"VANCOMYCIN PER 500 MG, VANCOMYCIN 1, VANCOMYCIN 500 MG INJ, VANCOMYCIN 500MG INJ, VANCOMYCIN 1G/D5W 200ML, VANCOMYCIN HCL 500 MG",6
ACYCLOVIR 500 MG INJ,,,,0
HEMOGLOBIN,"Laboratory, Monitoring, OR / Anesthesia / Recovery Room",,"HEMOGLOBIN GLYCOSYLATED A1, HB HEMOGLOBIN, HC HEMOGLOBIN, HCHG HEMOGLOBIN, HEMOGLOBIN, HEMOGLOBIN-ICU, HEMOGLOBIN  POC, HEMOGLOBIN/CRIT BG, METHEMOGLOBIN COOX, HEHOGLOBIN, 65002003 - HEMOGLOBIN, HEMOGLOBIN ALC, MYLOGOBIN, *HEMOGLOBIN A1C GLYCATED, HEMOGLOBIN HGB AND HCT, HCHG METHEMOGLOBIN QN",16
HYDROCORTISONE 100 MG INJECTIO,"OR / Anesthesia / Recovery Room, Pharmacy",,"HYDROCORTISONE SS UP TO 100MG, HYDROCORTISONE SODIUM SUCCINATE 100 MG SOLR, HYDROCORTISONE 100 MG SOLUTION FOR INJECTION",3
SOD BICARBONATE 8.4% 50 ML SYR,Pharmacy,0.852857142857143,"SODIUM BICARBONATE 4.2% 0., SODIUM BICARBONATE 5.4 % SOLN, SODIUM BICARBONATE 8.4% 1, SOD BICARB 8.4% 50MEQ, SOD BICARBONATE 8.4% 50 ML SYR, SOD BICARB 8 4% 50ML, SOD BICARBONATE 50MEQ",7
ONDANSETRON 4 MG/2 ML INJ,Pharmacy,0.8983333333333334,"ONDANSETRON 2 MG/ML SOLN, ONDANSETRON 4 MG/2 ML INJ, ONDANSETRON 4 MG/2 ML SOLN 2 ML VIAL, ONDANSETRON 4 MG/2ML SOLN, ONDANSETRON 4 MG/2 ML SOLN, ONDANSETRON 1 MG INJ, ONDANSETRON 4MG/2ML INJ, ONDANSETRON 4 MG TABS, ONDANSETRON 4 MG TBDL, ONDANSETRON 1MG INJ, ONDANSETRON 4 MG VL, ONDANSETRON HCL 1 MG INJ",12
EPINEPHRINE 1 MG/1 ML PF INJ,"OR / Anesthesia / Recovery Room, Pharmacy",,"PHENYLEPHRINE 1MG/10 ML-NS IV, EPINEPHRINE 1 MG/ML SOLN, EPINEPHRINE 1 MG/ML SOLN 3, EPINEPHRINE 1 MG/1 ML PF INJ, EPINEPHRINE 0.1 MG/ML SOSY, EPINEPHRINE INJ 2.5 MG/2.5 ML, EPINEPHR 1MG-1ML INJ, EPINEPHRINE 1 MG/ML SOLN 30 ML VIAL, EPINEPHRINE 1 MG/ML 1 1 000 INJECTION SOLUTION",9
SPONGES 4X4 STERILE 2/PK,Supply,0.95,SPONGE 4X4 STERILE 2/PK,1
SO COMPLEMENT ANTIGEN 2,,,,0
DEXTROSE 50% 50 ML INJ CART,"Diluent / Flush / Irrigant, Pharmacy",,"DEXTROSE 5 % SOLN, DEXTROSE 5%, DEXTROSE 5% 100ML, DEXTROSE 5% 250ML, DEXTROSE 5% 5 % SOLN, DEXTROSE 5% 50ML, DEXTROSE 5% IN, DEXTROSE 5% IN W, DEXTROSE 5% IN WATER 100ML, DEXTROSE 5% IN WATER 250ML, DEXTROSE 5% IN WATER INJ, DEXTROSE 5% SOLN, DEXTROSE 5% IN WATER 50ML, DEXTROSE 50% SOLN, DEXTROSE-50ML 50%, DEXTROSE 5% INJ 250 ML, DEXTROSE 50 % SOLN",17
