descrip	Rev_Code_Name	units	billed_amount	norm_billed_amount	NORM_DESC	CHRG_CLS
01621001 - RB 6E STEP DOWN ICU	Intensive Care	1.0	4032.0	4032.0	room_and_board 6e step down intensive_care_unit	Room and Board
018 CHIKAI WIRE	Implant/Supply	1.0	1727.65	1727.65	018 chikai wire	Supply
01855002 - RB 1MICU MEDICAL	Intensive Care	1.0	5565.0	5565.0	room_and_board medical intestive care unit medical	Room and Board
02 SATURATION	Laboratory	1.0	244.0	244.0	oxygen saturation	Monitoring
02 SATURATION	Respiratory Services	1.0	244.0	244.0	oxygen saturation	Monitoring
03400001 - RB 5 MAIN MS SEMI-PVT	Room & Board	1.0	1440.0	1440.0	room_and_board 5 main semi private	Room and Board
03500001 - RB 4 MS INTERMED CCU	Coronary Care	1.0	2688.0	2688.0	room_and_board 4 intermedial critical_care_unit	Room and Board
03600001 - RB 4 WEST MED ICU	Intensive Care	1.0	5565.0	5565.0	room_and_board 4 west medical intensive_care_unit	Room and Board
03600007 - RB 4 WEST ICU SURG	Intensive Care	1.0	5565.0	5565.0	room_and_board 4 west intensive_care_unit surgical	Room and Board
03666001 - RB 4 WEST STEP DOWN ICU	Intensive Care	1.0	4032.0	4032.0	room_and_board 4 west step down intensive_care_unit	Room and Board
04500010 - EMER GSH CRIT CARE 30-74MIN	Emergency Room	1.0	2795.0	2795.0	emergency gsh critical care 30-74min	Other
06500001 - POC BS GLUCOSE 4E TELE (GS)	Laboratory	3.0	0.0	0.0	point_of_care blood_sugar glucose 4e telemetry	Monitoring
06600001 - POC BS GLUCOSE 4W ICU (GS)	Laboratory	3.0	0.0	0.0	point_of_care blood_sugar glucose 4w intensive_care_unit general surgery	Monitoring
06660004 - RB 2 WEST ROUTINE	Room & Board	1.0	1440.0	1440.0	room_and_board 2 west routine	Room and Board
1 25 DIHYDROXY INCLUDES FR	Laboratory	1.0	503.0	503.0	1 25 dihydroxy includes fr	Laboratory
10508100 - DXTRSE 5%/WATER / 500ML (100ML	Pharmacy	1.0	25.2	25.2	dextrose 5%/water/500_ml 100_ml	Diluent / flush / Irrigant
10540800 - SOD CHLORIDE 0.9/500ML IV SOL	Pharmacy	1.0	5.04	5.04	sodium_chloride 0.9/500_ml intravenous solution	Diluent / flush / Irrigant
10541000 - SOD CHLORIDE 0.9% PER 250ML	Pharmacy	1.0	3.78	3.78	sodium_chloride 0.9% per 250_ml	Diluent / flush / Irrigant
10542000 - SOD CHLORIDE 0.9%/250ML 100ML	Pharmacy	1.0	15.21	12.6	sodium_chloride 0.9%/250_ml 100_ml	Diluent / flush / Irrigant
10543000 - SOD CHLORIDE 0.9%/250ML 50ML	Pharmacy	2.0	28.98	25.2	sodium_chloride 0.9%/250_ml 50_ml	Diluent / flush / Irrigant
10555312 - SOD CHLORIDE 3% FOR INHALATION	Pharmacy	10.0	6.1	0.61	sodium_chloride 3% for inhalation	Diluent / flush / Irrigant
10F CORPAK ULT-LITE SB7 209551	Implant/Supply	1.0	63.0	63.0	10 corpak ultra liter sb7 209551	Supply
10FR DILATOR	Implant/Supply	1.0	95.09	95.09	10fr dilator	Supply
11001212 - ACETAZOLAMIDE SOD UP TO 500MG	Pharmacy	1.0	96.62	96.62	acetazolamide sodium up to 500_mg	Pharmacy
11021032 - ACETAMINOPHEN SOLN 650MG	Pharmacy	1.0	1.06	1.06	acetaminophen solution 650_mg	Pharmacy
11021082 - ACETAMINOPHEN 325MG	Pharmacy	2.0	0.0	0.0	acetaminophen 325_mg	Pharmacy
11030002 - ACETYLCYSTEINE 200MG/ML 30ML	Pharmacy	2.0	63.56	31.78	acetylcysteine 200_mg/ml 30_ml	Pharmacy
11030012 - ACETYLCYSTEINE 200MG/ML 4ML	Pharmacy	2.0	33.14	16.57	acetylcysteine 200_mg/ml 4_ml	Pharmacy
11030222 - ACETYLCYSTEN INJ 100MG(30ML)VL	Pharmacy	60.0	888.46	14.8076666667	acetylcysteine injection 100_mg 30_ml vial	Pharmacy
11034272 - PROBIOTIC ORAL SUSP PER 1ML	Pharmacy	1.0	1.81	1.81	probiotic oral suspension per 1_ml	Pharmacy
11066132 - ALBUTEROL/IPRATRPIUM 25.MG/0.5	Pharmacy	5.0	5.6	1.13	albuterol/ipratropium 25.mg/0.5	Pharmacy
11066150 - ALBUTEROL HFA 90MCG INH	Pharmacy	1.0	77.28	77.28	albuterol hfa 90mcg inhaled	Pharmacy
11066252 - ALBUTEROL SULF 0.83MG/ML 3ML	Pharmacy	5.0	3.6	0.72	albuterol sulfate 0.83_mg/ml 3_ml	Pharmacy
11111132 - NON-CHARGEABLE MEDICATION	Pharmacy	3.0	0.0	0.0	non chargeable medication	Pharmacy
11142212 - AMIKACIN SULFATE 100MG INJ	Pharmacy	15.0	116.13	6.83117647059	amikacin sulfate 100_mg injection	Pharmacy
11192002 - AMMONIUM LACTATE LOTION 225GM	Pharmacy	1.0	6.96	6.96	ammonium lactate lotion 225_gm	Pharmacy
11265042 - ASPIRIN TAB CHEW 81MG	Pharmacy	1.0	0.0	0.0	aspirin tablet chew 81_mg	Pharmacy
11295012 - AZITHROMYCIN TABLET 250MG	Pharmacy	1.0	6.45	6.45	azithromycin tablet 250_mg	Pharmacy
11299622 - AZTREONAM 2GM INJ MB+	Pharmacy	3.0	675.87	225.29	aztreonam 2_gm injection mb and	Pharmacy
11332962 - IOHEXOL 240MG/ML ORAL 50ML	Pharmacy	1.0	0.0	0.0	iohexol 240_mg/ml oral 50_ml	Pharmacy
11395212 - BENGAY GREASELESS CREAM	Pharmacy	1.0	3.28	3.28	bengay greaseless cream	Pharmacy
11435002 - BISACODYL SUPP.RECT 10MG	Pharmacy	1.0	0.1	0.1	bisacodyl suppository rectal 10_mg	Pharmacy
11475062 - BUDESONIDE 0.5MG PER 2ML NEB	Pharmacy	2.0	59.78	29.89	budesonide 0.5_mg per 2_ml nebulizer	Pharmacy
11482002 - BUMETANIDE TABLET 2MG	Pharmacy	1.0	4.14	4.14	bumetanide tablet 2_mg	Pharmacy
11482022 - BUMETANIDE TABLET 1MG	Pharmacy	1.0	2.23	2.23	bumetanide tablet 1_mg	Pharmacy
11482052 - BUMETANIDE 1 MG	Pharmacy	1.5	15.09	10.06	bumetanide 1_mg	Pharmacy
11482222 - BUMETANIDE 0.25MG/ML 10ML	Pharmacy	3.0	26.16	8.72	bumetanide 0.25_mg/ml 10_ml	Pharmacy
11544012 - CALCIUM ACETATE TABLET 667MG	Pharmacy	3.0	5.4	1.8	calcium acetate tablet 667_mg	Pharmacy
11555222 - CALCIUM GLUCONATE PER 10 ML	Pharmacy	2.0	26.25	6.8	calcium gluconate per 10_ml	Pharmacy
11603152 - CARBXYMTHYLCELLLS .5%BX/30	Pharmacy	1.0	14.16	14.16	carboxymethylcellulose 0.5% box/30	Pharmacy
11613032 - CARVEDILOL TABLET 12.5MG	Pharmacy	2.0	0.78	0.39	carvedilol tablet 12.5_mg	Pharmacy
11625262 - INJ CEFEPIME PER 500MG MB+	Pharmacy	8.0	101.06	12.63	injection cefepime per 500_mg mb and	Pharmacy
11625272 - CEFEPIME PER 500MG MB+	Pharmacy	2.0	28.95	14.47	cefepime per 500_mg mb and	Pharmacy
11670002 - CHLORASEPTIC SPRAY 180ML	Pharmacy	1.0	4.25	4.25	chloraseptic spray 180_ml	Supply
11679032 - CHLORHEXIDINE ORAL RINSE 15ML	Pharmacy	3.0	7.92	2.64	chlorhexidine oral rinse 15_ml	Pharmacy
11774032 - CLONIDINE HCL 0.1MG TABLET	Pharmacy	2.0	0.4	0.2	clonidine hcl 0.1_mg tablet	Pharmacy
11791262 - CODLIVEROIL/ZINC OXD OINT113GM	Pharmacy	1.0	9.7	9.7	cod_liver_oil/zinc_oxide ointment 113_grams	Pharmacy
11885262 - CHOLECALCIFEROL 1000 IU TABLET	Pharmacy	2.0	0.12	0.06	cholecalciferol 1000 iu tablet	Pharmacy
12007216 - DARBEPOETIN (ESRD) 1MCG/ML	Pharmacy	100.0	1812.0	18.12	darbepoetin esrd 1_mcg/ml	Pharmacy
12037212 - PERFLUTREN LIPID MICROSPH/ML	Pharmacy	2.0	592.8	296.4	perflutren lipid microspheres per ml	Pharmacy
12085282 - DIAZEPAM UP TO 5 MG INJ	Pharmacy	3.0	138.72	34.68	diazepam up to 5_mg injection	Pharmacy
12155002 - DOCUSATE SODIUM CAPSULE 100MG	Pharmacy	2.0	0.1	0.05	docusate sodium capsule 100_mg	Pharmacy
12155022 - DOCUSATE SODIUM 150MG/15ML	Pharmacy	2.0	1.88	0.94	docusate sodium 150_mg/15_ml	Pharmacy
12248292 - FORMOTRL 5/MOMETAS200MCG 8.8GM	Pharmacy	1.0	238.64	238.64	formotrl 5/mometas200mcg 8.8_gm	Pharmacy
12432212 - BASE FLUID *QS* INJ	Pharmacy	2.0	0.0	0.0	base fluid quantity_sufficient injection	Diluent / flush / Irrigant
12455600 - VANCOMYCIN 50MG PER 1ML ORAL	Pharmacy	12.0	22.8	1.9	vancomycin 50_mg per 1_ml oral	Pharmacy
12465212 - ETOMIDATE 2MG/ML 10ML	Pharmacy	1.0	27.32	27.32	etomidate 2_mg/ml 10_ml	Pharmacy
12474072 - HYDROCERIN CREAM 113GM TOPICAL	Pharmacy	1.0	4.64	4.64	hydrocerin cream 113_gm topical	Pharmacy
12478012 - FAMOTIDINE TABLET 20MG	Pharmacy	2.0	0.66	0.33	famotidine tablet 20_mg	Pharmacy
12481222 - FENTANYL CITRATE 0.1MG INJ	Pharmacy	1.0	4.21	4.17	fentanyl citrate 0.1_mg injection	Pharmacy
12481592 - FENTANYL CITRATE 0.1MG INJ	Pharmacy	50.0	243.0	4.86	fentanyl citrate 0.1_mg injection	Pharmacy
12563192 - FLUTICASONE 0.05% NASAL  16GM	Pharmacy	1.0	25.61	25.61	fluticasone 0.05% nasal 16_grams	Pharmacy
12590032 - FUROSEMIDE TABLET 40MG	Pharmacy	1.0	0.19	0.19	furosemide tablet 40_mg	Pharmacy
12590042 - FUROSEMIDE TABLET 80MG	Pharmacy	2.0	0.7	0.35	furosemide tablet 80_mg	Pharmacy
12590192 - FUROSEMIDE PER 20MG INJ	Pharmacy	2.5	16.23	6.49	furosemide per 20_mg injection	Pharmacy
12671022 - GABAPENTIN CAPSULE 300MG	Pharmacy	3.0	1.95	0.65	gabapentin capsule 300_mg	Pharmacy
12671032 - GABAPENTIN CAPSULE 400MG	Pharmacy	6.0	3.42	0.57	gabapentin capsule 400_mg	Pharmacy
12671082 - GABAPENTIN SOLN 50MG/1ML	Pharmacy	6.0	2.82	0.47	gabapentin solution 50_mg/1_ml	Pharmacy
12675042 - GENTAMICIN 0.3% 5ML OPTH SOLN	Pharmacy	1.0	16.15	16.15	gentamicin 0.3% 5_ml ophth solution	Pharmacy
12676002 - GI COCKTAIL 30ML	Pharmacy	1.0	6.7	6.7	gastrointestinal cocktail 30_ml	Pharmacy
12737012 - GUAIFENESIN 600MG TABLET	Pharmacy	2.0	1.52	0.76	guaifenesin 600_mg tablet	Pharmacy
12737042 - GUAIFENESIN DM 10ML	Pharmacy	8.0	8.0	1.0	guaifenesin demo 10_ml	Pharmacy
12737152 - DXTMPHAN-GUIFENSIN 30/600MG TB	Pharmacy	2.0	2.1	1.05	dxtmphan-guaifenesin 30/600_mg tab	Pharmacy
12800222 - HALOPERIDOL UP TO 5MG INJ	Pharmacy	1.0	3.735	3.09	haloperidol up to 5_mg injection	Pharmacy
12820482 - HEPARIN PER 1000 UNITS PREMIX	Pharmacy	25.0	27.75	1.11	heparin per 1000_units premix	Pharmacy
12820582 - HEPARIN SODIUM PER 1000 UNITS	Pharmacy	1.0	17.64	15.12	heparin sodium per 1000_units	Diluent / flush / Irrigant
12820632 - HEPARIN/1000UN (5000/ML)1ML VL	Pharmacy	15.0	12.45	1.15	heparin/1000units 5000/ml 1_ml vial	Diluent / flush / Irrigant
12820652 - HEPARIN SODIUM PER 1000 UNITS	Pharmacy	3.0	5.28	0.88	heparin sodium per 1000_units	Diluent / flush / Irrigant
12858252 - HYDROCODONE/ACETAMIN 5/325 TAB	Pharmacy	3.0	5.88	1.96	hydrocodone/acetamin 5/325 tablet	Pharmacy
12882012 - HYDROPHOR OINTMENT 454GM	Pharmacy	1.0	12.12	12.12	hydrophor ointment 454_gm	Pharmacy
12895032 - HYDROXYZINE PAMOATE 25MG ORAL	Pharmacy	1.0	0.45	0.45	hydroxyzine pamoate 25_mg oral	Pharmacy
12895042 - HYDROXYZINE PAMOATE 50MG ORAL	Pharmacy	1.0	0.49	0.49	hydroxyzine pamoate 50_mg oral	Pharmacy
13080472 - INSLIN LISPRO (HUMLOG) PER 5 U	Pharmacy	3.0	3.36	1.12	insulin lispro humalog per 5_units	Pharmacy
13111002 - IRON POLYSACCHARIDES CAP 150MG	Pharmacy	3.0	0.48	0.16	iron polysaccharides capture 150_mg	Pharmacy
13250212 - LIDOCAINE 2% TOPICAL JELLY 5ML	Pharmacy	1.0	19.67	19.67	lidocaine 2% topical jelly 5_ml	Pharmacy
13255012 - LACTINEX-ACIDOPHILUS	Pharmacy	3.0	2.58	0.86	lactinex acidophilus	Pharmacy
13256042 - LACTULOSE 20GM/30ML	Pharmacy	2.0	4.0	2.0	lactulose 20_gm/30_ml	Pharmacy
13280212 - NOREPINEPHRINE INJ 1MG/ML 4ML	Pharmacy	2.0	29.12	13.97	norepinephrine injection 1_mg/ml 4_ml	Pharmacy
13284022 - LEVOFLOXACIN TABLET 500MG	Pharmacy	1.0	1.03	1.03	levofloxacin tablet 500_mg	Pharmacy
13290632 - LIDOCAINE 1% MDV 20ML INJ	Pharmacy	1.0	4.64	4.64	lidocaine 1% mdv 20_ml injection	Pharmacy
13294212 - LEVOFLOXACIN 750MG TAB	Pharmacy	1.0	1.84	1.84	levofloxacin 750_mg tablet	Pharmacy
13295252 - LIDOCAINE 1% W/EPI 1:100000 30	Pharmacy	1.0	12.7	12.7	lidocaine 1% with epinephrine 1:100000	Pharmacy
13322042 - ATORVASTATIN 40MG TABLET	Pharmacy	1.0	1.71	1.71	atorvastatin 40_mg tablet	Pharmacy
13508002 - MAGNESIUM OXIDE TABLET 400MG	Pharmacy	2.0	0.24	0.12	magnesium oxide tablet 400_mg	Pharmacy
13509012 - MAGNESIUM GLUCONATE TAB 400MG	Pharmacy	2.0	0.18	0.09	magnesium gluconate tablet 400_mg	Pharmacy
13510592 - MGSO4 PER 500MG (100ML)	Pharmacy	2.0	29.24	9.83	13510592_mag si;fate per 500_mg 100_ml	Pharmacy
13607012 - METOPROLOL TAB 50MG	Pharmacy	2.0	0.4	0.2	metoprolol tablet 50_mg	Pharmacy
13607082 - METOPROLOL 25MG TABLET	Pharmacy	2.0	0.5	0.25	metoprolol 25_mg tablet	Pharmacy
13690412 - NATURAL TEARS LUBRICANT 15ML	Pharmacy	1.0	2.91	2.91	natural tears lubricant 15_ml	Supply
13715242 - METHYLPREDNSLNE SS UP TO 125MG	Pharmacy	2.0	42.18	21.09	methylprednisolone ss up to 125_mg	Pharmacy
13729002 - METOLAZONE TABLET 10MG	Pharmacy	1.0	5.97	5.97	metolazone tablet 10_mg	Pharmacy
13729012 - METOLAZONE TABLET 2.5MG	Pharmacy	1.0	7.26	7.26	metolazone tablet 2.5_mg	Pharmacy
13729022 - METOLAZONE TABLET 5MG	Pharmacy	1.0	8.25	8.25	metolazone tablet 5_mg	Pharmacy
13730462 - MICAFUNGIN SODIUM/1MG (100MG)	Pharmacy	100.0	307.0	3.07	micafungin units/1_mg 100_mg	Pharmacy
13730572 - METRONIDAZOLE/NSS PREMIX 500MG	Pharmacy	3.0	15.12	5.04	metronidazole/normal_saline_sterile premix 500_mg	Pharmacy
13735212 - MIDAZOLAM PER 1MG INJ	Pharmacy	100.0	114.0	1.14	midazolam per 1_mg injection	Pharmacy
13753012 - MOLASSES 60ML	Pharmacy	1.0	3.6	3.6	molasses 60_ml	Pharmacy
13754012 - MONTELUKAST SODIUM TABLET 10MG	Pharmacy	1.0	1.43	1.43	montelukast sodium tablet 10_mg	Pharmacy
13755224 - MORPHINE 2MG-4MG INJ VARIABLE	Pharmacy	2.0	21.6	10.8	morphine 2_mg 4_mg injection variable	Pharmacy
13802212 - MUPIROCIN 2% OINT 22GM	Pharmacy	1.0	25.08	25.08	mupirocin 2% ointment 22_gm	Pharmacy
13945262 - ESOMEPRAZOLE 40MG PWD PKT ORAL	Pharmacy	1.0	15.16	15.16	esomeprazole 40_mg powder packet oral	Pharmacy
13986222 - PHOS-NAK ORAL PACKET	Pharmacy	2.0	1.3	0.65	phosphate nak oral packet	Pharmacy
13995092 - NICOTINE PATCH 21MG	Pharmacy	1.0	3.79	3.79	nicotine patch 21_mg	Plan Benefit
14105002 - OCEAN NASAL 45ML	Pharmacy	1.0	1.17	1.17	ocean nasal 45_ml	Supply
14114062 - ONDANSETRON/1MG (4MG)TAB DSNT	Pharmacy	4.0	2.36	0.59	ondansetron/1_mg 4_mg tablet dsnt	Pharmacy
14151132 - OXYCODONE SA TAB 10MG	Pharmacy	2.0	19.78	9.89	oxycodone slow_action tablet 10_mg	Pharmacy
14151142 - OXYCODONE SA TAB 20MG	Pharmacy	2.0	38.1	19.05	oxycodone slow_action tablet 20_mg	Pharmacy
14151172 - OXYCODONE HCL 1MG/ML 5ML	Pharmacy	4.0	84.08	21.02	oxycodone hcl 1_mg/ml 5_ml	Pharmacy
14151192 - OXYCODONE HCL TABLET 5MG	Pharmacy	6.0	7.2	1.64857142857	oxycodone hcl tablet 5_mg	Pharmacy
14152002 - OXYCODONE HCL/ACETAMIN 5/325MG	Pharmacy	5.0	6.81	1.45	oxycodone hcl/acetamin 5/325_mg	Pharmacy
14152102 - OXYCODONE HCL/ACETAMIN 10/325	Pharmacy	6.0	33.96	5.66	oxycodone hcl/acetamin 10/325	Pharmacy
14269002 - PANTOPRAZOLE SODIUM 40MG	Pharmacy	1.0	0.99	0.94	pantoprazole sodium 40_mg	Pharmacy
14269042 - PANTOPRAZOLE/VIAL (40MG)	Pharmacy	1.0	17.43	17.43	pantoprazole/vial 40_mg	Pharmacy
14351002 - PEPPERMINT OIL 30ML	Pharmacy	1.0	30.18	30.18	peppermint oil 30_ml	Pharmacy
14375002 - PETROLATUM LACRILUBE EYE 3.5G	Pharmacy	1.0	3.5	3.5	petrolatum lacrilube eye 3.5_gm	Supply
14382113 - PHARM THERAPEUTIC DRUG MONITOR	Pharmacy	1.0	0.0	0.0	pharmacy therapeutic drug monitoring	Laboratory
14382119 - PHARM ANTICOAG COMP CONSULT	Pharmacy	1.0	0.0	0.0	pharmacist anticoagulation computer consultation	Professional Fee
14382121 - PHARMACY TDM COMP CONSULT	Pharmacy	1.0	0.0	0.0	pharmacy tdm compounding consult	Pharmacy
14455262 - PHENYLEPHRN->1ML (.1MG/ML-10ML	Pharmacy	10.0	22.7	2.27	phenylephrine greater_than 1_ml 0.1_mg/ml 10_ml	Pharmacy
14512002 - POLYETHYLENE GLYCOL 17GM PWD	Pharmacy	1.0	1.32	1.32	polyethylene glucol 17_gm powder	Pharmacy
14520002 - POLYSTYRENE SUSP 15GM	Pharmacy	2.0	67.26	33.35	polystyrene suspension 15_gm	Pharmacy
14542272 - POTASSIUM CHL 20 MEQ ER	Pharmacy	2.0	4.62	2.31	potassium chloride 20_meq emergency_room	Pharmacy
14594212 - DEXMEDETOMIDINE 200MCG/2ML INJ	Pharmacy	17.5	3519.18	201.096	dexmedetomidine 200_mcg/2_ml injection	Pharmacy
14594232 - DEXMEDETOMIDN 400MCG/100ML INJ	Pharmacy	1.0	374.98	374.98	dexmedetomidine 400_mcg/100_ml injection	Pharmacy
14595302 - PREDNISONE PER 5MG TAB (10MG)	Pharmacy	3.0	0.78	0.26	prednisone per 5_mg tablet 10_mg	Pharmacy
14595322 - PREDNISONE PER 5MG TAB(20MG)	Pharmacy	6.0	1.53	0.1925	prednisone per 5_mg tablet 20_mg	Pharmacy
14630002 - POTASSIUM CHLOR TAB SA 10MEQ	Pharmacy	4.0	6.68	1.67	potassium chloride tablet slow_action 10_meq	Pharmacy
14630032 - POTASSIUM CHLORIDE 20MEQ/15ML	Pharmacy	2.0	37.9	18.95	potassium chloride 20_meq/15_ml	Pharmacy
14630052 - POTASSIUM CHLORIDE PWD 20MEQ	Pharmacy	2.0	85.32	42.66	potassium chloride powder 20_meq	Pharmacy
14668212 - PROPOFOL PER 10MG/ 5ML SYR INJ	Pharmacy	5.0	2.68	0.536	propofol per 10_mg/5_ml syringe injection	Pharmacy
14668262 - PROPOFOL PER 10MG/100ML INJ	Pharmacy	200.0	106.0	0.53	propofol per 10_mg/100_ml injection	Pharmacy
14755052 - QUETIAPINE FUMARATE TAB 100MG	Pharmacy	2.0	4.0	2.0	quetiapine fumarate tablet 100_mg	Pharmacy
14755062 - QUETIAPINE FUMARATE TAB 200 MG	Pharmacy	2.0	8.4	4.2	quetiapine fumarate tablet 200_mg	Pharmacy
14867002 - ROCURONIUM BROMIDE 10MG/ML 5ML	Pharmacy	2.0	27.78	13.89	rocuronium bromide 10_mg/ml 5_ml	Pharmacy
14944022 - SENNA W/DOC TAB 8.6-50MG	Pharmacy	2.0	0.12	0.06	senna with doc tablet 8.6 50_mg	Pharmacy
14944062 - SENNA 8.6MG TABLET	Pharmacy	2.0	0.12	0.06	senna 8.6_mg tablet	Pharmacy
14944082 - SENNA 8.8MG/5ML ORAL LIQ 5ML	Pharmacy	2.0	0.76	0.38	senna 8.8_mg/5_ml oral liquid 5_ml	Pharmacy
14944142 - SENNA 8.8MG/1ML ORAL SOLN	Pharmacy	2.0	0.74	0.37	senna 8.8_mg/1_ml oral solution	Pharmacy
14954082 - SEVELAMER 0.8GM ORAL PWD	Pharmacy	3.0	204.21	68.07	sevelamer 0.8_gm oral powder	Pharmacy
14966212 - SIMETHCNE 80MG PER 1.2ML OL LQ	Pharmacy	3.0	0.42	0.14	simethicone 80_mg per 1.2_ml ol lq	Pharmacy
14980012 - SODIUM BICARB TAB 650MG	Pharmacy	4.0	0.5	0.13	sodium bicarb tablet 650_mg	Pharmacy
14985722 - SOD CHLORIDE FOR INHALATION 7%	Pharmacy	1.0	1.35	1.35	sodium_chloride for inhalation 7%	Diluent / flush / Irrigant
14987242 - SODIUM CITRATE SOLN 4% 3ML	Pharmacy	1.0	0.31	0.3	sodium citrate solution 4% 3_ml	Pharmacy
14GA DLP PED AORTIC ROOT CANN.	Implant/Supply	1.0	136.0	136.0	14 ga dlp pediatric aortic root cannula	Supply
15035012 - SPIRONOLACTONE TABLET 25MG	Pharmacy	1.0	0.56	0.56	spironolactone tablet 25_mg	Pharmacy
15319092 - TIOTROPIUM BROMIDE 18MCG	Pharmacy	1.0	220.97	220.97	tiotropium bromide 18mcg	Pharmacy
15324312 - TOBRAMYCIN 300MG/4ML INH SOLN	Pharmacy	2.0	597.74	298.87	tobramycin 300_mg/4_ml inhaled solution	Pharmacy
15600242 - VANCOMYCIN HCL 500MG INJ	Pharmacy	3.0	129.87	37.1061904762	vancomycin hcl 500_mg injection	Pharmacy
15600362 - VANCMYCN UP TO 500MG 1GM/200ML	Pharmacy	4.0	74.6	18.65	vancomycin up to 500_mg 1_gm/200_ml	Pharmacy
15600442 - VANCO/500MG (2GM/250ML)	Pharmacy	4.0	175.0	43.75	vanco/500_mg 2_gm/250_ml	Pharmacy
15601252 - VANOMYCIN NEBS FOR INH	Pharmacy	2.0	1649.48	824.74	vancomycin nebulizer for inhalation	Pharmacy
15610212 - VASOPRESSIN 20U/ML 1ML	Pharmacy	2.0	787.365	431.4	vasopressin 20_units/ml 1_ml	Pharmacy
15700002 - WARFARIN SODIUM TABLET 10MG	Pharmacy	1.0	0.25	0.25	warfarin sodium tablet 10_mg	Pharmacy
15700012 - WARFARIN SODIUM TABLET 2.5MG	Pharmacy	1.0	0.17	0.17	warfarin sodium tablet 2.5_mg	Pharmacy
15700032 - WARFARIN SODIUM TABLET 5MG	Pharmacy	1.0	0.18	0.18	warfarin sodium tablet 5_mg	Pharmacy
