Procedure Code,# of desciptions,Unique charge classes,Unique rev codes names
J1940,18,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification, Outpatient or Home"
86850,17,Laboratory,"Laboratory, Blood"
J2405,17,"Pharmacy, Diluent / Flush / Irrigant","Drugs Requiring Specific Identification, Pharmacy"
80202,16,"Pharmacy, Laboratory","Laboratory, Implant/Supply, EKG/ECG/EEG"
87070,16,Laboratory,Laboratory
J1815,16,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification, Patient Conv Items"
85025,16,Laboratory,Laboratory
36600,16,Nursing Services,"Laboratory, Respiratory Services, Emergency Room, Pulmonary Function, Treatment/Observation Room, Other Diagnostic Services, OR Services, Other Therapeutic Services"
J7120,16,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy, IV Therapy, Outpatient or Home"
85018,16,Laboratory,Laboratory
J2270,16,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
J1650,15,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
85730,15,Laboratory,Laboratory
J1170,15,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy, Osteopathic Services"
25000002,15,"Pharmacy, Diluent / Flush / Irrigant",Pharmacy
H2590002,14,Pharmacy,Pharmacy
P9045,14,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification, Blood"
250000002,14,"Pharmacy, Supply",Pharmacy
97530,14,PT / OT / Speech Therapy,PT/OT/Speech
J2370,14,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
93005,14,Cardiology,"EKG/ECG/EEG, Laboratory, Drugs Requiring Specific Identification, Organ Acquisition"
00000,13,"Pharmacy, Diluent / Flush / Irrigant, Respiratory Therapy","Pharmacy, Drugs Requiring Specific Identification, Implant/Supply"
5040067,13,"Pharmacy, Diluent / Flush / Irrigant",Pharmacy
87205,13,Laboratory,"Implant/Supply, Laboratory, Other Imaging Services"
63600006,13,Pharmacy,Drugs Requiring Specific Identification
25000000,13,Pharmacy,"Drugs Requiring Specific Identification, Outpatient or Home, Pharmacy"
25000407,13,Pharmacy,Pharmacy
02500003,13,"Pharmacy, Diluent / Flush / Irrigant",Pharmacy
97110,13,PT / OT / Speech Therapy,PT/OT/Speech
8000001,13,"Pharmacy, Laboratory, Diluent / Flush / Irrigant","Pharmacy, Laboratory"
82805,13,"Monitoring, Laboratory",Laboratory
84484,13,Laboratory,"Laboratory, Implant/Supply, EKG/ECG/EEG"
94003,13,"Respiratory Therapy, Monitoring","Respiratory Services, Laboratory, EKG/ECG/EEG, Gastro-Intestinal Services"
J3475,12,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
300000008,12,"Pharmacy, Diluent / Flush / Irrigant",Drugs Requiring Specific Identification
84134,12,Laboratory,"Laboratory, Hospice Services, EKG/ECG/EEG"
80076,12,Laboratory,"Laboratory, Implant/Supply"
25000049,12,"Pharmacy, Diluent / Flush / Irrigant",Pharmacy
97003,12,PT / OT / Speech Therapy,"PT/OT/Speech, Treatment/Observation Room, Preventive Care Services"
94760,12,Monitoring,"Pulmonary Function, Implant/Supply, Cardiology, Respiratory Services, OR Services"
82435,11,Laboratory,Laboratory
43000637,11,Pharmacy,Pharmacy
90000008,11,"Pharmacy, Supply","Drugs Requiring Specific Identification, Pharmacy"
250636001,11,"Pharmacy, Diluent / Flush / Irrigant",Pharmacy
250637001,11,Pharmacy,Pharmacy
25000003,11,"Pharmacy, Diluent / Flush / Irrigant",Pharmacy
P9047,11,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy, Blood"
C9113,11,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
C1769,11,Supply,Implant/Supply
7000005,11,"Pharmacy, Diluent / Flush / Irrigant",Pharmacy
86920,10,Laboratory,"Laboratory, Pharmacy, Blood"
83690,10,Laboratory,"Laboratory, Implant/Supply"
97001,10,PT / OT / Speech Therapy,"PT/OT/Speech, Outpatient or Home"
250000001,10,"Diluent / Flush / Irrigant, Pharmacy",Pharmacy
90000005,10,"Pharmacy, Diluent / Flush / Irrigant",Drugs Requiring Specific Identification
A4216,10,Diluent / Flush / Irrigant,"Pharmacy, Implant/Supply"
J 1940,10,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
J0690,10,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification, IV Therapy"
25800001,10,"Pharmacy, Diluent / Flush / Irrigant",Pharmacy
600000,10,Pharmacy,Pharmacy
86140,10,Laboratory,Laboratory
J0171,10,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
J2060,10,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
RX011,10,Pharmacy,Pharmacy
84443,10,Laboratory,"Laboratory, EKG/ECG/EEG"
81001,9,Laboratory,"Laboratory, EKG/ECG/EEG"
82948,9,"Monitoring, Laboratory",Laboratory
85384,9,Laboratory,Laboratory
20800280,9,Pharmacy,Pharmacy
25000525,9,Pharmacy,"Pharmacy, IV Therapy"
J 1650,9,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification, Outpatient or Home"
87086,9,Laboratory,Laboratory
36416,9,Nursing Services,"Laboratory, Implant/Supply"
6400005,9,Pharmacy,Pharmacy
2503000,9,Pharmacy,"Pharmacy, Medical Equipment"
25000524,9,Pharmacy,"Pharmacy, IV Therapy"
80069,9,"Laboratory, Supply","Laboratory, Implant/Supply"
J2001,8,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
74000,8,Radiology,Radiology
RX001,8,"Pharmacy, Diluent / Flush / Irrigant",Pharmacy
J3430,8,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
83880,8,Laboratory,"Laboratory, Implant/Supply"
82310,8,Laboratory,"Laboratory, Pharmacy"
63600004,8,Pharmacy,Drugs Requiring Specific Identification
82140,8,Laboratory,"Implant/Supply, Laboratory"
J0610,8,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
86923,8,Laboratory,"Blood, Laboratory"
87206,8,Laboratory,Laboratory
J1100,8,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
84145,8,Laboratory,Laboratory
A9270GY,8,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
6360001,8,Pharmacy,Drugs Requiring Specific Identification
97001GP,8,PT / OT / Speech Therapy,"PT/OT/Speech, Treatment/Observation Room"
94799,8,"Respiratory Therapy, Supply","Respiratory Services, Pulmonary Function"
80061,8,Laboratory,"Laboratory, EKG/ECG/EEG"
RX014,8,"Diluent / Flush / Irrigant, Pharmacy","Pharmacy, Drugs Requiring Specific Identification"
82248,8,Laboratory,Laboratory
71020,7,Radiology,Radiology
92526,7,PT / OT / Speech Therapy,PT/OT/Speech
J0706,7,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
63600001,7,"Diluent / Flush / Irrigant, Pharmacy",Drugs Requiring Specific Identification
25000524 -,7,Pharmacy,"Pharmacy, IV Therapy"
94660,7,Respiratory Therapy,Respiratory Services
87075,7,Laboratory,Laboratory
J0330,7,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
J1644,7,"Pharmacy, Diluent / Flush / Irrigant","Drugs Requiring Specific Identification, Pharmacy"
J3360,7,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
97003GO,7,PT / OT / Speech Therapy,"Nuclear Medicine, PT/OT/Speech"
82150,7,Laboratory,Laboratory
97116,7,PT / OT / Speech Therapy,PT/OT/Speech
87186,7,Laboratory,Laboratory
84478,7,Laboratory,"Laboratory, Drugs Requiring Specific Identification"
32405,7,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
RX024,7,"Pharmacy, Plan Benefit","Drugs Requiring Specific Identification, Pharmacy"
TC250,6,"Pharmacy, Plan Benefit",Pharmacy
25000525 -,6,Pharmacy,Pharmacy
J7639,6,Plan Benefit,"Pharmacy, Drugs Requiring Specific Identification"
Q9967,6,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
31500,6,Respiratory Therapy,"Treatment/Observation Room, Respiratory Services, Emergency Room, OR Services"
33605,6,"Laboratory, Monitoring",Laboratory
J 1642,6,Diluent / Flush / Irrigant,"Pharmacy, Drugs Requiring Specific Identification"
36430,6,Nursing Services,"Blood, Emergency Room"
01481803,6,Pharmacy,Pharmacy
1007992,6,Pharmacy,Pharmacy
94668,6,Respiratory Therapy,Respiratory Services
94002,6,Respiratory Therapy,Respiratory Services
26030001,6,Pharmacy,Pharmacy
90000001,6,Pharmacy,Pharmacy
87077,6,Laboratory,Laboratory
09990,6,"Pharmacy, Diluent / Flush / Irrigant, Respiratory Therapy","Drugs Requiring Specific Identification, Pharmacy, Implant/Supply"
82533,6,Laboratory,"Laboratory, Hospice Services"
C1894,6,Supply,"Implant/Supply, Cast/Recovery/Labor Room"
63600175,6,Pharmacy,Drugs Requiring Specific Identification
84520,6,Laboratory,Laboratory
P9016,6,Blood Products,Blood
RX250,6,Pharmacy,Pharmacy
80051,6,Laboratory,"Laboratory, Pharmacy"
1501015,6,Pharmacy,Pharmacy
34100,5,Laboratory,Laboratory
J2543,5,"Supply, Pharmacy","Implant/Supply, Pharmacy, Drugs Requiring Specific Identification"
94667,5,Respiratory Therapy,Respiratory Services
25000523,5,"Pharmacy, Diluent / Flush / Irrigant","Pharmacy, IV Therapy"
34132,5,"Monitoring, Laboratory",Laboratory
97110GP,5,PT / OT / Speech Therapy,"Other Imaging Services, PT/OT/Speech, Treatment/Observation Room"
82550,5,Laboratory,Laboratory
83036,5,Laboratory,"Laboratory, Hospice Services, EKG/ECG/EEG"
87102,5,Laboratory,Laboratory
82247,5,Laboratory,Laboratory
87015,5,Laboratory,Laboratory
X7700,5,Diluent / Flush / Irrigant,Pharmacy
01445402,5,Pharmacy,Pharmacy
01300375,5,"Nursing Services, Supply","Other Diagnostic Services, Other Therapeutic Services"
J 1815,5,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
5040080,5,Diluent / Flush / Irrigant,Pharmacy
86141,5,Laboratory,Laboratory
364 5,5,Nursing Services,Laboratory
84439,5,Laboratory,Laboratory
6040066,5,Pharmacy,Pharmacy
94761,5,Monitoring,Pulmonary Function
94762,5,Monitoring,"Pulmonary Function, Respiratory Services, Implant/Supply"
01481647,5,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
1007991,5,Pharmacy,Pharmacy
81003,5,Laboratory,Laboratory
460000002,5,"Supply, Pharmacy",Implant/Supply
31720,5,"Supply, Respiratory Therapy","Implant/Supply, Respiratory Services, Treatment/Observation Room"
J2185,5,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
85045,5,Laboratory,Laboratory
J0696,5,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
82728,5,Laboratory,"Implant/Supply, Laboratory"
J7131,5,"Supply, Pharmacy, Diluent / Flush / Irrigant","Drugs Requiring Specific Identification, Pharmacy"
11642,5,Diluent / Flush / Irrigant,"Pharmacy, Drugs Requiring Specific Identification, OR Services"
94770,5,"Laboratory, Monitoring",Pulmonary Function
S0164,5,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification, Cast/Recovery/Labor Room"
70450,5,Radiology,CT Scan
82607,5,"Pharmacy, Laboratory",Laboratory
01300409,5,Monitoring,Nursing
890001,5,"Diluent / Flush / Irrigant, Pharmacy",Pharmacy
12405,4,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
00250,4,"Pharmacy, Diluent / Flush / Irrigant","Pharmacy, Drugs Requiring Specific Identification"
6400006,4,Pharmacy,Drugs Requiring Specific Identification
01481540,4,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
82945,4,Laboratory,Laboratory
82746,4,Laboratory,Laboratory
T8499,4,Pharmacy,Pharmacy
00001,4,"Diluent / Flush / Irrigant, Capital Equipment, Nursing Services","Drugs Requiring Specific Identification, Pharmacy, Implant/Supply, Laboratory"
P9041,4,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
3 6415,4,Nursing Services,Laboratory
33735,4,Laboratory,Laboratory
015724,4,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
28B250,4,OR / Anesthesia / Recovery Room,"Anesthesia, OR Services, Cast/Recovery/Labor Room"
1003578,4,Pharmacy,Pharmacy
637000,4,Pharmacy,Pharmacy
J0360,4,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
J7506,4,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
J1580,4,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
J7512,4,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
258000002,4,"Diluent / Flush / Irrigant, Pharmacy",Pharmacy
J1885,4,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
J0282,4,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
Q0162,4,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
890000,4,Pharmacy,Pharmacy
38370001,4,Pharmacy,Pharmacy
P9017,4,Blood Products,Blood
T1642,4,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy"
80074,4,Laboratory,Laboratory
86706,4,Laboratory,Laboratory
J7042,4,"Pharmacy, Diluent / Flush / Irrigant",Pharmacy
7000000,4,"Pharmacy, Diluent / Flush / Irrigant",Pharmacy
Q0163,4,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
17030,4,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy"
83700001,4,Pharmacy,Pharmacy
30690,4,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy, IV Therapy"
58734,4,"Laboratory, Nursing Services",Laboratory
87045,4,Laboratory,Laboratory
25110000,4,Pharmacy,Pharmacy
J1450,4,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
82553,4,Laboratory,Laboratory
80018,4,Laboratory,Laboratory
84296,4,"Laboratory, Monitoring",Laboratory
93325,4,Cardiology,Cardiology
J0713,4,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
32330,4,Laboratory,Laboratory
84460,4,Laboratory,Laboratory
82565,4,Laboratory,Laboratory
30B742,4,Laboratory,Laboratory
83615,4,Laboratory,Laboratory
82784,4,Laboratory,Laboratory
25050001,4,Diluent / Flush / Irrigant,Pharmacy
J1200,4,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
63735,4,Laboratory,Laboratory
85347,4,Laboratory,Laboratory
96375,4,Nursing Services,"Emergency Room, IV Therapy"
18499,4,Pharmacy,Pharmacy
31940,4,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
85396,4,"Laboratory, Radiology",Laboratory
71642,4,Diluent / Flush / Irrigant,"Pharmacy, Drugs Requiring Specific Identification, OR Services"
J 7050,4,"Diluent / Flush / Irrigant, Pharmacy",Drugs Requiring Specific Identification
92610,4,PT / OT / Speech Therapy,PT/OT/Speech
HCRX250636001,4,Pharmacy,Pharmacy
J2765,4,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
87340,4,Laboratory,Laboratory
93306,4,"Radiology, Cardiology",Cardiology
J0692,4,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
27B979,4,"Laboratory, Nursing Services",Laboratory
06006360,4,Pharmacy,Drugs Requiring Specific Identification
250 - 0001,4,Pharmacy,Pharmacy
84075,4,Laboratory,Laboratory
01428291,4,Pharmacy,Pharmacy
6111258,4,Pharmacy,Pharmacy
82570,4,Laboratory,Laboratory
01482620,4,Pharmacy,Pharmacy
91275,4,Laboratory,Laboratory
78499,4,Pharmacy,Pharmacy
35415,4,Nursing Services,Laboratory
99285,3,"Other, Room and Board",Emergency Room
03 B 149,3,"Laboratory, Nursing Services",Laboratory
J7613,3,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
J2710,3,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
83540,3,Laboratory,Laboratory
29B344,3,Laboratory,Laboratory
03416195,3,Monitoring,Pulmonary Function
35610,3,Laboratory,Laboratory
J2260,3,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
856 0,3,Laboratory,Laboratory
J7611,3,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
009139,3,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
00311004,3,Room and Board,"Room & Board, Intensive Care"
82803.0,3,Laboratory,Laboratory
25000523 -,3,Pharmacy,Pharmacy
01024637,3,Laboratory,Laboratory
85651,3,Laboratory,Laboratory
64100,3,Laboratory,Laboratory
B0048,3,Laboratory,Laboratory
30500051,3,Laboratory,Laboratory
A6402,3,Supply,Implant/Supply
87116,3,Laboratory,Laboratory
82952,3,Monitoring,Laboratory
85379,3,Laboratory,Laboratory
03010,3,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
77030,3,Diluent / Flush / Irrigant,"Pharmacy, Drugs Requiring Specific Identification"
83 605,3,Laboratory,"Implant/Supply, Laboratory, EKG/ECG/EEG"
82947.0,3,"Laboratory, Monitoring",Laboratory
31170,3,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
86704,3,Laboratory,Laboratory
80170,3,Laboratory,Laboratory
01024066,3,Laboratory,Laboratory
890008,3,"Pharmacy, Diluent / Flush / Irrigant",Pharmacy
11503488,3,Supply,Implant/Supply
30048,3,Laboratory,Laboratory
C1725,3,Supply,Implant/Supply
30610,3,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
82248.0,3,Laboratory,Laboratory
32704,3,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
00636,3,Pharmacy,Drugs Requiring Specific Identification
85049,3,Laboratory,Laboratory
82040,3,Laboratory,"Laboratory, Hospice Services"
84450,3,Laboratory,Laboratory
04B416,3,"Laboratory, Nursing Services",Laboratory
84132.0,3,"Laboratory, Monitoring",Laboratory
16415,3,"Laboratory, Nursing Services",Laboratory
85014.0,3,Laboratory,Laboratory
85520,3,Laboratory,Laboratory
90378,3,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
80043,3,Laboratory,Laboratory
80302,3,Laboratory,Laboratory
ASSIGNED,3,"Pharmacy, Diluent / Flush / Irrigant","Drugs Requiring Specific Identification, Pharmacy"
T3490,3,Pharmacy,Pharmacy
J 1644,3,"Pharmacy, Diluent / Flush / Irrigant","Pharmacy, Drugs Requiring Specific Identification"
31650,3,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
01495032,3,Diluent / Flush / Irrigant,Pharmacy
11500005,3,Supply,Implant/Supply
00311000,3,Room and Board,Room & Board
11510985,3,Supply,Implant/Supply
82982,3,Monitoring,Laboratory
015716,3,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
A6449,3,"Capital Equipment, Diluent / Flush / Irrigant","Implant/Supply, Pharmacy"
50125755,3,Supply,Implant/Supply
RX636,3,Pharmacy,Drugs Requiring Specific Identification
85007,3,Laboratory,Laboratory
37050,3,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
2500001,3,Pharmacy,Pharmacy
J84 99,3,Pharmacy,Pharmacy
03624467,3,Supply,Implant/Supply
94610,3,Respiratory Therapy,"Respiratory Services, Gastro-Intestinal Services, Pharmacy"
4110151247,3,Diluent / Flush / Irrigant,"Pharmacy, Drugs Requiring Specific Identification"
01B899,3,"Laboratory, Nursing Services",Laboratory
30B604,3,Laboratory,Laboratory
8373S,3,Laboratory,Laboratory
J2795,3,"Supply, Pharmacy, Diluent / Flush / Irrigant","Implant/Supply, Pharmacy"
J2440,3,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
93799,3,"Cardiology, Professional Fee",Other Therapeutic Services
50116730,3,OR / Anesthesia / Recovery Room,"Radiology, OR Services"
01482482,3,Plan Benefit,Pharmacy
01481618,3,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
77050,3,Diluent / Flush / Irrigant,"Pharmacy, Drugs Requiring Specific Identification"
064178,3,Pharmacy,Drugs Requiring Specific Identification
5040086,3,Pharmacy,Pharmacy
J3735,3,Laboratory,Laboratory
5040081,3,Diluent / Flush / Irrigant,Implant/Supply
87081,3,Laboratory,Laboratory
28B040,3,"Laboratory, Nursing Services",Laboratory
HCRX250000001,3,Pharmacy,Pharmacy
83330,3,Laboratory,Laboratory
8373591,3,Laboratory,Laboratory
33490,3,"Pharmacy, Diluent / Flush / Irrigant","Pharmacy, Drugs Requiring Specific Identification"
13490,3,Pharmacy,Pharmacy
82525,3,Laboratory,Laboratory
01025002,3,Laboratory,Laboratory
17050,3,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy"
80197,3,"Laboratory, Pharmacy",Laboratory
73490,3,Pharmacy,Pharmacy
00048,3,Laboratory,Laboratory
=,3,Pharmacy,Pharmacy
03751682,3,PT / OT / Speech Therapy,PT/OT/Speech
J 1100,3,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
84630,3,Laboratory,Laboratory
70553,3,Radiology,MRI
66850,3,Laboratory,"Laboratory, Blood"
J2997,3,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
11502999,3,Supply,Implant/Supply
30100007,3,Laboratory,Laboratory
01482801,3,Pharmacy,Pharmacy
25010000,3,Pharmacy,"Pharmacy, IV Therapy"
C1713,3,Implant,Implant/Supply
25800002,3,"Pharmacy, Diluent / Flush / Irrigant",Pharmacy
6370002,3,Pharmacy,Pharmacy
01481656,3,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
6370000,3,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
32962,3,Monitoring,Laboratory
97116GP,3,PT / OT / Speech Therapy,PT/OT/Speech
02 B017,3,"Laboratory, Nursing Services",Laboratory
01437706,3,Pharmacy,Pharmacy
34134,3,Laboratory,Laboratory
A4217,3,Diluent / Flush / Irrigant,"Implant/Supply, Pharmacy"
4047000055,3,Laboratory,Laboratory
94003.0,3,Respiratory Therapy,Respiratory Services
J 2704,3,Pharmacy,"Pharmacy, Drugs Requiring Specific Identification"
90048,3,Laboratory,Laboratory
01481646,3,Pharmacy,Pharmacy
