,cleaned_descrip,NORM_DESC,CHRG_CLS,Predicted_Class_Jaro,Prob_Jaro,Correct_Jaro,Predicted_Class_DLevenshtein,Prob_DLevenshtein,Correct_DLevenshtein,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Correct_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Correct_DeepNN,Voted Output,Voting Algorithm,Confidence Score
10,01481665 HB VANCOMYCIN 5GM VIAL LEDERLE,vancomycin 5 gm vial lederle,Pharmacy,Pharmacy,0.87,1,Pharmacy,0.76,1,Pharmacy,0.932161082022,1,Pharmacy,0.997489262806,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.889912586207
11,01481794 HB DIAZEPAM 5MG/ML VIAL,diazepam 5 mg ml vial,Pharmacy,Pharmacy,0.83,1,Pharmacy,0.68,1,Pharmacy,0.989902430949,1,Pharmacy,0.999501696667,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.874851031904
12,01481886 HB DEXTROSE 10% 1/2 NS IV SOLN,dextrose 10% 1/2 normal_saline intravenous solution,Pharmacy,Pharmacy,0.8,1,Pharmacy,0.69,1,Pharmacy,0.772125370801,1,Pharmacy,0.978800045852,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.810231354163
13,01482213 HB DEXTROSE NACL 10 0.225 % IV SOLN,dextrose sodium_chloride 10 0.225% intravenous solution,Pharmacy,Pharmacy,0.79,1,Pharmacy,0.72,1,Pharmacy,0.603179992614,1,Pharmacy,0.935557558891,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.762184387876
14,01482576 HB ACETAMINOPHEN 10 MG/ML IV SOLN,acetaminophen 10 mg ml intravenous solution,Pharmacy,Pharmacy,0.83,1,Pharmacy,0.78,1,Pharmacy,0.986017071037,1,Pharmacy,0.999364727453,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.898845449623
15,01484602 HB LEVOCARNITINE 50 MG/ML DILUTION IN SW FOR TPN,levocarnitine 50 mg ml dilution sterile water total_parenteral_nutrition,Pharmacy,Pharmacy,0.84,1,Pharmacy,0.73,1,Pharmacy,0.963298033871,1,Pharmacy,0.974917647332,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.877053920301
16,01522077 HB VERIGENE PROBE EACH ORGANISM,verigene probe organism,Laboratory,Other,0.71,0,Laboratory,0.34,1,Laboratory,0.885146815246,1,Laboratory,0.999899270912,1,Laboratory,"DLevenshtein, Logistic_OvR, DeepNN",0.741682028719
17,02 SATURATION ,oxygen saturation,Monitoring,Monitoring,1.0,1,Monitoring,1.0,1,Monitoring,0.562999613965,1,Monitoring,0.994069583007,1,Monitoring,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.889267299243
18,02336923 HB ABO TYPING C30,abo typing c30,Laboratory,Laboratory,0.68,1,Laboratory,0.5,1,Laboratory,0.981503915208,1,Laboratory,0.999854189798,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.790339526252
19,03400001 RB 5 MAIN MS SEMI PVT,room_and_board 5 main semi private,Room and Board,Room and Board,0.78,1,Room and Board,0.54,1,Room and Board,0.922001322741,1,Room and Board,0.999990463542,1,Room and Board,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.810497946571
20,03412137 HB MEDICAL GAS ADMINISTRATION,medical gas administration,Respiratory Therapy,Respiratory Therapy,0.9,1,Respiratory Therapy,0.71,1,Supply,0.531193812614,0,Plan Benefit,0.758740191247,0,Respiratory Therapy,"Jaro, DLevenshtein",0.4025
21,03600001 RB 4 WEST MED ICU,room_and_board 4 west medical intensive_care_unit,Room and Board,Room and Board,0.86,1,Room and Board,0.69,1,Room and Board,0.832559338926,1,Room and Board,0.999788811747,1,Room and Board,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.845587037668
22,06660004 RB 2 WEST ROUTINE,room_and_board 2 west routine,Room and Board,Room and Board,0.79,1,Room and Board,0.55,1,Room and Board,0.863438415406,1,Room and Board,0.999804293709,1,Room and Board,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.800810677279
23,1 25 DIHYDROXY INCLUDES FR,1 25 dihydroxy includes fr,Laboratory,Laboratory,0.72,1,Laboratory,0.45,1,Laboratory,0.889661101619,1,Laboratory,0.711451677854,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.692778194868
24,10540800 SOD CHLORIDE 0.9/500ML IV SOL,sodium_chloride 0.9/500_ml intravenous solution,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.89,1,Diluent / Flush / Irrigant,0.74,1,Diluent / Flush / Irrigant,0.786295637392,1,Diluent / Flush / Irrigant,0.970865256127,1,Diluent / Flush / Irrigant,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.84679022338
25,11030222 ACETYLCYSTEN INJ 100MG 30ML VL,acetylcysteine injection 100_mg 30_ml vial,Pharmacy,Pharmacy,0.81,1,Pharmacy,0.74,1,Pharmacy,0.989371945682,1,Pharmacy,0.999920845442,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.884823197781
26,11265042 ASPIRIN TAB CHEW 81MG,aspirin tablet chew 81_mg,Pharmacy,Pharmacy,0.9,1,Pharmacy,0.69,1,Pharmacy,0.978924672035,1,Pharmacy,0.999181361738,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.892026508443
27,11332962 IOHEXOL 240MG/ML ORAL 50ML,iohexol 240_mg/ml oral 50_ml,Pharmacy,Pharmacy,0.75,1,Pharmacy,0.58,1,Pharmacy,0.955134165318,1,Pharmacy,0.993944553233,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.819769679638
28,11395212 BENGAY GREASELESS CREAM,bengay greaseless cream,Pharmacy,Pharmacy,0.64,1,Pharmacy,0.35,1,Pharmacy,0.747997404523,1,Pharmacy,0.794688609434,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.633171503489
29,11482222 BUMETANIDE 0.25MG/ML 10ML,bumetanide 0.25_mg/ml 10_ml,Pharmacy,Pharmacy,0.75,1,Pharmacy,0.65,1,Pharmacy,0.987136895938,1,Pharmacy,0.999527983119,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.846666219764
30,11502970 HB KIT IV 3 4 YR PREOP,kit intravenous 3 4 years preoperative,Supply,Supply,0.86,1,Supply,0.58,1,Supply,0.944821067476,1,Supply,0.990482667429,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.843825933726
31,11514641 HB CANN NSL CO2 W/DEHUMID PED,cannula nasal carbon_dioxide dehumid pediatric,Supply,Supply,0.92,1,Supply,0.88,1,Supply,0.985685481148,1,Supply,0.999253612314,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.946234773365
32,11555222 CALCIUM GLUCONATE PER 10 ML,calcium gluconate per 10_ml,Pharmacy,Pharmacy,0.91,1,Pharmacy,0.74,1,Pharmacy,0.958747011833,1,Pharmacy,0.999206412053,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.901988355971
33,11625272 CEFEPIME PER 500MG MB+,cefepime per 500_mg mb,Pharmacy,Pharmacy,0.9,1,Pharmacy,0.87,1,Pharmacy,0.916757007015,1,Pharmacy,0.996778786374,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.920883948347
34,12386332 ENOXAPARIN SODIUM 10MG INJ,enoxaparin sodium 10_mg injection,Pharmacy,Pharmacy,0.96,1,Pharmacy,0.94,1,Pharmacy,0.969595318976,1,Pharmacy,0.996841701608,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.966609255146
35,12455600 VANCOMYCIN 50MG PER 1ML ORAL,vancomycin 50_mg per 1_ml oral,Pharmacy,Laboratory,0.77,0,Pharmacy,0.53,1,Pharmacy,0.974656256221,1,Pharmacy,0.999962728159,1,Pharmacy,"DLevenshtein, Logistic_OvR, DeepNN",0.834872994793
36,12675042 GENTAMICIN 0.3% 5ML OPTH SOLN,gentamicin 0.3% 5_ml ophth solution,Pharmacy,Pharmacy,0.72,1,Pharmacy,0.48,1,Pharmacy,0.976044118985,1,Pharmacy,0.99946988782,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.793878501701
37,12737152 DXTMPHAN GUIFENSIN 30/600MG TB,dxtmphan-guaifenesin 30/600_mg tab,Pharmacy,Pharmacy,0.76,1,Pharmacy,0.55,1,Pharmacy,0.942611181942,1,Pharmacy,0.999600019994,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.813052800484
38,12820632 HEPARIN/1000UN 5000/ML 1ML VL,heparin/1000units 5000/ml 1_ml vial,Diluent / Flush / Irrigant,Pharmacy,0.73,1,Pharmacy,0.56,1,Pharmacy,0.742981838606,1,Diluent / Flush / Irrigant,0.709435465661,0,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR",0.677660612869
39,12858252 HYDROCODONE/ACETAMIN 5/325 TAB,hydrocodone acetamin 5/325 tablet,Pharmacy,Pharmacy,0.83,1,Pharmacy,0.56,1,Pharmacy,0.967810358203,1,Pharmacy,0.998800597513,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.839152738929
40,13280212 NOREPINEPHRINE INJ 1MG/ML 4ML,norepinephrine injection 1_mg/ml 4_ml,Pharmacy,Pharmacy,0.75,1,Pharmacy,0.5,1,Pharmacy,0.97974476993,1,Pharmacy,0.996814942839,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.806639928192
41,13284022 LEVOFLOXACIN TABLET 500MG,levofloxacin tablet 500_mg,Pharmacy,Pharmacy,0.86,1,Pharmacy,0.58,1,Pharmacy,0.9581481335,1,Pharmacy,0.981621631847,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.844942441337
42,13290632 LIDOCAINE 1% MDV 20ML INJ,lidocaine 1% mdv 20_ml injection,Pharmacy,Pharmacy,0.77,1,Pharmacy,0.62,1,Pharmacy,0.93492391271,1,Pharmacy,0.994391755436,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.829828917037
43,13510222 MAGNESIUM SULFATE PER 500 MG ,magnesium sulfate per 500_mg,Pharmacy,Pharmacy,0.92,1,Pharmacy,0.75,1,Pharmacy,0.954466871323,1,Pharmacy,0.999935141807,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.906100503283
44,13607082 METOPROLOL 25MG TABLET,metoprolol 25_mg tablet,Pharmacy,Pharmacy,0.87,1,Pharmacy,0.68,1,Pharmacy,0.979446403797,1,Pharmacy,0.999588663646,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.882258766861
45,13729002 METOLAZONE TABLET 10MG,metolazone tablet 10_mg,Pharmacy,Pharmacy,0.94,1,Pharmacy,0.89,1,Pharmacy,0.978113587987,1,Pharmacy,0.992654387554,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.950191993885
46,13730572 METRONIDAZOLE/NSS PREMIX 500MG,metronidazole normal_saline_sterile premix 500_mg,Pharmacy,Pharmacy,0.78,1,Pharmacy,0.44,1,Pharmacy,0.962618094709,1,Pharmacy,0.999401326904,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.795504855403
47,13945262 ESOMEPRAZOLE 40MG PWD PKT ORAL,esomeprazole 40_mg powder packet oral,Pharmacy,Pharmacy,0.84,1,Pharmacy,0.76,1,Pharmacy,0.959264382381,1,Pharmacy,0.99991599942,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.88979509545
48,14105002 OCEAN NASAL 45ML,ocean nasal 45_ml,Supply,Pharmacy,0.67,1,Pharmacy,0.43,1,Supply,0.506601204355,0,Diluent / Flush / Irrigant,0.620494443166,0,Pharmacy,"Jaro, DLevenshtein",0.275
49,14269002 PANTOPRAZOLE SODIUM 40MG,pantoprazole sodium 40_mg,Pharmacy,Pharmacy,0.86,1,Pharmacy,0.8,1,Pharmacy,0.93433865879,1,Pharmacy,0.998555640264,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.898223574763
50,14630032 POTASSIUM CHLORIDE 20MEQ/15ML,potassium chloride 20_meq/15_ml,Pharmacy,Pharmacy,0.9,1,Pharmacy,0.77,1,Pharmacy,0.927921680479,1,Pharmacy,0.999682627313,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.899401076948
51,14755052 QUETIAPINE FUMARATE TAB 100MG,quetiapine fumarate tablet 100_mg,Pharmacy,Pharmacy,0.96,1,Pharmacy,0.94,1,Pharmacy,0.936861092224,1,Pharmacy,0.990993398215,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95696362261
52,15700322 WARFARIN 8MG 2 X 4MG TAB,warfarin 8_mg 2 x 4_mg tablet,Pharmacy,Pharmacy,0.86,1,Pharmacy,0.67,1,Pharmacy,0.979822786715,1,Pharmacy,0.998960341446,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.87719578204
53,17122771 HB OXIMETRY DAILY,hemoglobin oximetry daily,Monitoring,Monitoring,0.78,1,Monitoring,0.52,1,Monitoring,0.906179217659,1,Monitoring,0.999937442354,1,Monitoring,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.801529165003
54,20800207 PF NS 0.9% 0.9 % SOLN 10 ML VIAL,partial_fill normal_saline 0.9% 0.9% solution 10_ml vial,Diluent / Flush / Irrigant,Pharmacy,0.69,1,Pharmacy,0.5,1,Pharmacy,0.510944224627,1,Diluent / Flush / Irrigant,0.873919411183,0,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR",0.566981408209
55,27045000 CT HEAD/BRAIN W/O CONTRAST,computed_tomography head brain without contrast,Radiology,Radiology,0.83,1,Radiology,0.68,1,Radiology,0.929922644643,1,Radiology,0.999968218644,1,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.859972715822
56,27125000 CT CHEST W/O CONTRAST,computed_tomography chest without contrast,Radiology,Radiology,0.85,1,Radiology,0.74,1,Radiology,0.910483982741,1,Radiology,0.997157543483,1,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.874410381556
57,27303007 XR SHOULDER MIN 2VWS LT,x-ray shoulder minimum 2 views left,Radiology,Radiology,0.83,1,Radiology,0.63,1,Radiology,0.844455558895,1,Radiology,0.934765049912,1,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.809805152202
58,27417600 CT ABD/PELVIS W/O CONTRAST,computed_tomography abdomen pelvis without contrast,Radiology,Radiology,0.8,1,Radiology,0.65,1,Radiology,0.955431529029,1,Radiology,0.99998866822,1,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.851355049312
59,27677000 US RETROPERITONEAL COMP,ultrasound retroperitoneal comprehensive,Radiology,Radiology,0.73,1,Radiology,0.52,1,Radiology,0.869839920785,1,Radiology,0.980648411729,1,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.775122083129
60,27907888 ANGIO PACK,angiography pack,Supply,Pharmacy,0.67,0,Pharmacy,0.32,0,Supply,0.969068672012,1,Supply,0.99979935557,1,Supply,"Logistic_OvR, DeepNN",0.492217006895
61,27907918 REM TUN CVC W/O PORT/PUMP,removal tunneled central_venous_catheter without port pump,Procedure,Procedure,0.78,1,Procedure,0.58,1,Procedure,0.528994195322,1,Procedure,0.593112467669,1,Procedure,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.620526665748
62,30000091 HC ROUTINE VENIPUNCTURE,hc routine venipuncture,Nursing Services,Nursing Services,0.76,1,Nursing Services,0.66,1,Nursing Services,0.912168173513,1,Nursing Services,0.999123270518,1,Nursing Services,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.832822861008
63,3D RENDERING W/INTERP&POSTPROC DIFF WORK STATION,3 rendering interpretation_&_postprocedure differential work station,Cardiology,Radiology,0.77,0,Radiology,0.51,0,Laboratory,0.673972223546,1,Laboratory,0.987456598828,1,Laboratory,"Logistic_OvR, DeepNN",0.415357205594
64,46110000 RB 5 SOUTH ROUTINE,room_and_board 5 south routine,Room and Board,Laboratory,0.73,0,Laboratory,0.48,0,Room and Board,0.860108377031,1,Room and Board,0.999713687464,1,Room and Board,"Logistic_OvR, DeepNN",0.464955516124
65,46130010 POC BS GLUCOSE 5S,point_of_care blood_sugar glucose,Monitoring,Monitoring,0.86,1,Monitoring,0.82,1,Monitoring,0.953231024506,1,Monitoring,0.999947340943,1,Monitoring,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.908294591362
66,5%DEXTROSE/1/2NS+KCL 10MEQ/L 1,5%dextrose/1/2 normal_saline potassium_chloride 10_meq/liter 1,Pharmacy,Pharmacy,1.0,1,Pharmacy,1.0,1,Pharmacy,0.502812223013,1,Pharmacy,0.653848873356,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.789165274092
67,53193000 PULSE OXIMETRY PER HOUR,pulse oximetry per hour,Monitoring,Monitoring,0.9,1,Monitoring,0.71,1,Monitoring,0.916254094313,1,Monitoring,0.999734794254,1,Monitoring,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.881497222142
68,53277000 ARTERIAL BLD DRAW FOR ANALYSIS,arterial blood draw analysis,Nursing Services,Monitoring,0.74,0,Nursing Services,0.38,1,Nursing Services,0.904910295029,1,Nursing Services,0.999974141392,1,Nursing Services,"DLevenshtein, Logistic_OvR, DeepNN",0.761628145474
69,55551015 OR GEN LEVEL 1 EA ADD 15MIN,operation_room general level 1 additional 15_minutes,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,0.78,1,OR / Anesthesia / Recovery Room,0.72,1,OR / Anesthesia / Recovery Room,0.897305789432,1,OR / Anesthesia / Recovery Room,0.99999550641,1,OR / Anesthesia / Recovery Room,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.84932532396
70,58111000 NEBULIZER ULTRASONIC TREATMENT,nebulizer ultrasonic treatment,Respiratory Therapy,Respiratory Therapy,0.94,1,Respiratory Therapy,0.92,1,Respiratory Therapy,0.786767406093,1,Respiratory Therapy,0.996752286828,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.91087992323
71,58193000 INTUBATION,intubation,Respiratory Therapy,Respiratory Therapy,0.85,1,Respiratory Therapy,0.56,1,Respiratory Therapy,0.595257226787,1,Respiratory Therapy,0.981037903356,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.746573782536
72,58304000 BRONCHOSCOPY,bronchoscopy,Procedure,Procedure,0.87,1,Procedure,0.6,1,Procedure,0.765395276695,1,Procedure,0.951431221119,1,Procedure,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.796706624453
73,58341000 RESPIRATORY WEANING MECHANICS,respiratory weaning mechanics,Respiratory Therapy,Respiratory Therapy,0.79,1,Respiratory Therapy,0.53,1,Respiratory Therapy,0.602644118149,1,Monitoring,0.720897539963,0,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR",0.640881372716
74,58370000 MASK CANNULA DAILY SERVICE,mask cannula daily service,Respiratory Therapy,Respiratory Therapy,0.72,0,Respiratory Therapy,0.42,0,Supply,0.770038427014,1,Supply,0.843857716632,1,Supply,"Logistic_OvR, DeepNN",0.403474035911
75,58862000 TRANSPORT VENT PATIENT ADULT,transport ventilator patient adult,Respiratory Therapy,Respiratory Therapy,0.92,1,Respiratory Therapy,0.76,1,Respiratory Therapy,0.801624056005,1,Respiratory Therapy,0.976938525481,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.864640645371
76,58864000 SUCTION ONLY,suction,Respiratory Therapy,Respiratory Therapy,0.86,1,Respiratory Therapy,0.58,1,Respiratory Therapy,0.458704217106,1,Respiratory Therapy,0.897793425439,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.699124410636
77,58887000 CALL RESPONSE,call response,Other,Respiratory Therapy,0.87,1,Respiratory Therapy,0.6,1,Supply,0.297180071209,0,Respiratory Therapy,0.616069305197,1,Respiratory Therapy,"Jaro, DLevenshtein, DeepNN",0.695356435066
78,58890000 OXYGEN PER 12 HOURS,oxygen per 12 hours,Respiratory Therapy,Respiratory Therapy,0.93,1,Respiratory Therapy,0.79,1,Respiratory Therapy,0.902366631907,1,Respiratory Therapy,0.965223751341,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.896897595812
79,59250000 GEN ANES OR 1ST HR,general anesthesia operation_room 1st hour,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,0.88,1,OR / Anesthesia / Recovery Room,0.64,1,OR / Anesthesia / Recovery Room,0.865239744269,1,OR / Anesthesia / Recovery Room,0.999997865956,1,OR / Anesthesia / Recovery Room,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.846309402556
80,62002000 BLOOD GROUP D RH,blood group device rhesus,Laboratory,Laboratory,0.87,1,Laboratory,0.81,1,Laboratory,0.900054105185,1,Laboratory,0.995212295861,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.893816600262
81,62210000 RED BLOOD CELLS LEUKO RED CKBC,red_blood_cells leukocyte_reduced ckbc,Blood Products,Blood Products,0.92,1,Blood Products,0.76,1,Blood Products,0.844364792044,1,Blood Products,0.999370470034,1,Blood Products,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.880933815519
82,62975000 RBC AG TYPING NOT ABO/RH D ,red_blood_cell ag typing abo rhesus device,Laboratory,Laboratory,0.69,1,Laboratory,0.34,1,Laboratory,0.966311676849,1,Laboratory,0.999229014271,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.74888517278
83,62999001 ABRR STATISTICAL ,abrr statistical,Laboratory,Laboratory,0.7,1,Laboratory,0.48,1,Laboratory,0.720599764483,1,Laboratory,0.799651806798,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.67506289282
84,63023001 AMYLASE,amylase,Laboratory,Laboratory,0.74,1,Laboratory,0.6,1,Laboratory,0.970759641198,1,Laboratory,0.996330805638,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.826772611709
85,63025212 B NATRIURETIC PEPTIDE,b natriuretic peptide,Laboratory,Laboratory,0.7,1,Laboratory,0.67,1,Laboratory,0.925209424042,1,Laboratory,0.965465185738,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.815168652445
86,632A,632a,Room and Board,Laboratory,0.76,0,Laboratory,0.29,0,Room and Board,0.480908024461,1,Room and Board,0.943247672328,1,Room and Board,"Logistic_OvR, DeepNN",0.356038924197
87,63406001 HEPATIC FUNCTION PANEL,hepatic function panel,Laboratory,Laboratory,0.9,1,Laboratory,0.71,1,Laboratory,0.985765503485,1,Laboratory,0.999922545068,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.898922012138
88,63527001 BASIC METABOLIC PANEL,basic_metabolic_panel,Laboratory,Laboratory,0.9,1,Laboratory,0.7,1,Laboratory,0.890283631632,1,Laboratory,0.995159860501,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.871360873033
89,63714001 VITAMIN B12,vitamin b12,Pharmacy,Pharmacy,0.73,1,Pharmacy,0.56,1,Laboratory,0.686223097998,0,Pharmacy,0.641203197867,1,Pharmacy,"Jaro, DLevenshtein, DeepNN",0.643734399289
90,63721001 FOLATE,folate,Laboratory,Laboratory,0.77,1,Laboratory,0.5,1,Laboratory,0.920602434853,1,Laboratory,0.992959403128,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.795890459495
91,63739101 PREALBUMIN,prealbumin,Laboratory,Laboratory,0.85,1,Laboratory,0.56,1,Laboratory,0.957791791629,1,Laboratory,0.998381896435,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.841543422016
