,cleaned_descrip,NORM_DESC,amount_bins,CHRG_CLS,Dominant CC1,Dominant CC2,# of descriptions,% Dominance1,% Dominance2,Predicted_Class_Jaro,Prob_Jaro,Correct_Jaro,Predicted_Class_DLevenshtein,Prob_DLevenshtein,Correct_DLevenshtein,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Correct_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Correct_DeepNN,Voted Output,Voting Algorithm,Confidence Score
29,11395212 BENGAY GREASELESS CREAM,bengay greaseless cream,"(0, 5]",Pharmacy,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Pharmacy,0.64,1,Pharmacy,0.35,1,Pharmacy,0.76,1,Pharmacy,0.841766318474,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.647941579618
30,11482222 BUMETANIDE 0.25MG/ML 10ML,bumetanide 0.25_mg/ml 10_ml,"(5, 20]",Pharmacy,Pharmacy,Supply,1924.0,52.9106029106,27.2869022869,Pharmacy,0.75,1,Pharmacy,0.88,1,Pharmacy,0.986981618015,1,Pharmacy,0.999941752481,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.904230842624
31,11502970 HB KIT IV 3 4 YR PREOP,kit intravenous 3 4 years preoperative,"(60, 100]",Supply,Laboratory,Pharmacy,1751.0,37.4643061108,21.7018846374,Supply,0.86,1,Supply,0.81,1,Supply,0.901379680852,1,Supply,0.942288371063,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.878417012979
32,11514641 HB CANN NSL CO2 W/DEHUMID PED,cannula nasal carbon_dioxide dehumid pediatric,"(100, 300]",Supply,Laboratory,Supply,3192.0,38.5338345865,17.4498746867,Supply,0.92,1,Supply,0.96,1,Supply,0.976157292156,1,Supply,0.997965858798,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.963530787739
33,11555222 CALCIUM GLUCONATE PER 10 ML,calcium gluconate per 10_ml,"(5, 20]",Pharmacy,Pharmacy,Supply,1924.0,52.9106029106,27.2869022869,Pharmacy,0.91,1,Pharmacy,0.93,1,Pharmacy,0.935832253049,1,Pharmacy,0.998980465498,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.943703179637
34,11625272 CEFEPIME PER 500MG MB+,cefepime per 500_mg mb,"(5, 20]",Pharmacy,Pharmacy,Supply,1924.0,52.9106029106,27.2869022869,Pharmacy,0.9,1,Pharmacy,0.96,1,Pharmacy,0.940179649163,1,Pharmacy,0.997688772978,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.949467105535
35,12386332 ENOXAPARIN SODIUM 10MG INJ,enoxaparin sodium 10_mg injection,"(5, 20]",Pharmacy,Pharmacy,Supply,1924.0,52.9106029106,27.2869022869,Pharmacy,0.96,1,Pharmacy,0.94,1,Pharmacy,0.970190963157,1,Pharmacy,0.99948773721,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.967419675092
36,12455600 VANCOMYCIN 50MG PER 1ML ORAL,vancomycin 50_mg per 1_ml oral,"(0, 5]",Pharmacy,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Laboratory,0.77,0,Pharmacy,0.81,1,Pharmacy,0.973408445368,1,Pharmacy,0.999906348314,1,Pharmacy,"DLevenshtein, Logistic_OvR, DeepNN",0.927771597894
37,12675042 GENTAMICIN 0.3% 5ML OPTH SOLN,gentamicin 0.3% 5_ml ophth solution,"(5, 20]",Pharmacy,Pharmacy,Supply,1924.0,52.9106029106,27.2869022869,Pharmacy,0.72,1,Pharmacy,0.48,1,Pharmacy,0.969901849157,1,Pharmacy,0.99852379639,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.792106411387
38,12737152 DXTMPHAN GUIFENSIN 30/600MG TB,dxtmphan-guaifenesin 30/600_mg tab,"(0, 5]",Pharmacy,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Pharmacy,0.76,1,Pharmacy,0.81,1,Pharmacy,0.940139505052,1,Pharmacy,0.999891709969,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.877507803755
39,12820632 HEPARIN/1000UN 5000/ML 1ML VL,heparin/1000units 5000/ml 1_ml vial,"(0, 5]",Diluent / Flush / Irrigant,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Pharmacy,0.73,1,Pharmacy,0.81,1,Pharmacy,0.92,1,Pharmacy,0.556242140523,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.754060535131
40,12858252 HYDROCODONE/ACETAMIN 5/325 TAB,hydrocodone acetamin 5/325 tablet,"(0, 5]",Pharmacy,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Pharmacy,0.85,1,Pharmacy,0.81,1,Pharmacy,0.971157367947,1,Pharmacy,0.998819408481,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.907494194107
41,13280212 NOREPINEPHRINE INJ 1MG/ML 4ML,norepinephrine injection 1_mg/ml 4_ml,"(5, 20]",Pharmacy,Pharmacy,Supply,1924.0,52.9106029106,27.2869022869,Pharmacy,0.75,1,Pharmacy,0.81,1,Pharmacy,0.978845941466,1,Pharmacy,0.999512664826,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.884589651573
42,13284022 LEVOFLOXACIN TABLET 500MG,levofloxacin tablet 500_mg,"(0, 5]",Pharmacy,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Pharmacy,0.86,1,Pharmacy,0.81,1,Pharmacy,0.964148571932,1,Pharmacy,0.992208650091,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.906589305506
43,13290632 LIDOCAINE 1% MDV 20ML INJ,lidocaine 1% mdv 20_ml injection,"(0, 5]",Pharmacy,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Pharmacy,0.77,1,Pharmacy,0.88,1,Pharmacy,0.929012884725,1,Pharmacy,0.999560632573,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.894643379325
44,13510222 MAGNESIUM SULFATE PER 500 MG ,magnesium sulfate per 500_mg,"(0, 5]",Pharmacy,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Pharmacy,0.92,1,Pharmacy,0.93,1,Pharmacy,0.956479087315,1,Pharmacy,0.999888067204,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95159178863
45,13607082 METOPROLOL 25MG TABLET,metoprolol 25_mg tablet,"(0, 5]",Pharmacy,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Pharmacy,0.87,1,Pharmacy,0.88,1,Pharmacy,0.98158331403,1,Pharmacy,0.999679119929,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.93281560849
46,13729002 METOLAZONE TABLET 10MG,metolazone tablet 10_mg,"(5, 20]",Pharmacy,Pharmacy,Supply,1924.0,52.9106029106,27.2869022869,Pharmacy,0.94,1,Pharmacy,0.96,1,Pharmacy,0.982863248832,1,Pharmacy,0.990377357565,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.968310151599
47,13730572 METRONIDAZOLE/NSS PREMIX 500MG,metronidazole normal_saline_sterile premix 500_mg,"(5, 20]",Pharmacy,Pharmacy,Supply,1924.0,52.9106029106,27.2869022869,Pharmacy,0.78,1,Pharmacy,0.44,1,Pharmacy,0.963916217436,1,Pharmacy,0.998986373211,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.795725647662
48,13945262 ESOMEPRAZOLE 40MG PWD PKT ORAL,esomeprazole 40_mg powder packet oral,"(5, 20]",Pharmacy,Pharmacy,Supply,1924.0,52.9106029106,27.2869022869,Pharmacy,0.85,1,Pharmacy,0.93,1,Pharmacy,0.96612637498,1,Pharmacy,0.999975329904,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.936525426221
49,14105002 OCEAN NASAL 45ML,ocean nasal 45_ml,"(0, 5]",Supply,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Pharmacy,0.67,1,Pharmacy,0.43,1,Supply,0.599821662835,0,Procedure,0.539173475283,0,Pharmacy,"Jaro, DLevenshtein",0.275
50,14269002 PANTOPRAZOLE SODIUM 40MG,pantoprazole sodium 40_mg,"(0, 5]",Pharmacy,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Pharmacy,0.86,1,Pharmacy,0.96,1,Pharmacy,0.905018427803,1,Pharmacy,0.996271642943,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.930322517687
51,14630032 POTASSIUM CHLORIDE 20MEQ/15ML,potassium chloride 20_meq/15_ml,"(5, 20]",Pharmacy,Pharmacy,Supply,1924.0,52.9106029106,27.2869022869,Pharmacy,0.9,1,Pharmacy,0.93,1,Pharmacy,0.917238138472,1,Pharmacy,0.999468495241,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.936676658428
52,14755052 QUETIAPINE FUMARATE TAB 100MG,quetiapine fumarate tablet 100_mg,"(0, 5]",Pharmacy,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Pharmacy,0.96,1,Pharmacy,0.94,1,Pharmacy,0.955118020508,1,Pharmacy,0.993519469266,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.962159372444
53,15700322 WARFARIN 8MG 2 X 4MG TAB,warfarin 8_mg 2 x 4_mg tablet,"(0, 5]",Pharmacy,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Pharmacy,0.86,1,Pharmacy,0.88,1,Pharmacy,0.982288699533,1,Pharmacy,0.999430997182,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.930429924179
54,17122771 HB OXIMETRY DAILY,hemoglobin oximetry daily,"(300, 650]",Monitoring,Laboratory,Supply,1035.0,24.2512077295,21.8357487923,Monitoring,0.78,1,Monitoring,0.81,1,Monitoring,0.96,1,Monitoring,0.927796552214,1,Monitoring,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.869449138054
55,20800207 PF NS 0.9% 0.9 % SOLN 10 ML VIAL,partial_fill normal_saline 0.9% 0.9% solution 10_ml vial,"(0, 5]",Diluent / Flush / Irrigant,Pharmacy,Supply,1962.0,68.3995922528,19.9796126402,Pharmacy,0.69,1,Pharmacy,0.81,1,Diluent / Flush / Irrigant,0.536479118509,0,Diluent / Flush / Irrigant,0.926935366967,0,Pharmacy,"Jaro, DLevenshtein",0.375
56,27045000 CT HEAD/BRAIN W/O CONTRAST,computed_tomography head brain without contrast,"(1000, 2500]",Radiology,Radiology,Supply,461.0,21.0412147505,13.6659436009,Radiology,0.85,1,Radiology,0.88,1,Radiology,0.928928006185,1,Radiology,0.999548036777,1,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.91461901074
57,27125000 CT CHEST W/O CONTRAST,computed_tomography chest without contrast,"(1000, 2500]",Radiology,Radiology,Supply,461.0,21.0412147505,13.6659436009,Radiology,0.85,1,Radiology,0.93,1,Radiology,0.96,1,Radiology,0.994358378463,1,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.933589594616
58,27303007 XR SHOULDER MIN 2VWS LT,x-ray shoulder minimum 2 views left,"(300, 650]",Radiology,Laboratory,Supply,1035.0,24.2512077295,21.8357487923,Radiology,0.85,1,Radiology,0.88,1,Radiology,0.92,1,Radiology,0.977072962228,1,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.906768240557
59,27417600 CT ABD/PELVIS W/O CONTRAST,computed_tomography abdomen pelvis without contrast,"(2500, 9000]",Radiology,Room and Board,Radiology,395.0,38.2278481013,15.1898734177,Radiology,0.85,1,Radiology,0.88,1,Radiology,0.956185342283,1,Radiology,0.99992455206,1,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.921527473586
60,27677000 US RETROPERITONEAL COMP,ultrasound retroperitoneal comprehensive,"(1000, 2500]",Radiology,Radiology,Supply,461.0,21.0412147505,13.6659436009,Radiology,0.73,1,Radiology,0.81,1,Radiology,0.96,1,Radiology,0.962365896464,1,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.865591474116
61,27907888 ANGIO PACK,angiography pack,"(100, 300]",Supply,Laboratory,Supply,3192.0,38.5338345865,17.4498746867,Pharmacy,0.67,0,Pharmacy,0.32,0,Supply,0.96,1,Supply,0.939725335945,1,Supply,"Logistic_OvR, DeepNN",0.474931333986
62,27907918 REM TUN CVC W/O PORT/PUMP,removal tunneled central_venous_catheter without port pump,"(1000, 2500]",Procedure,Radiology,Supply,461.0,21.0412147505,13.6659436009,Procedure,0.78,1,Procedure,0.81,1,Capital Equipment,0.489244943787,0,Procedure,0.912930642061,1,Procedure,"Jaro, DLevenshtein, DeepNN",0.83431021402
63,30000091 HC ROUTINE VENIPUNCTURE,hc routine venipuncture,"(20, 40]",Nursing Services,Pharmacy,Supply,1443.0,40.4019404019,22.2453222453,Nursing Services,0.76,1,Nursing Services,0.88,1,Nursing Services,0.96,1,Nursing Services,0.999837577604,1,Nursing Services,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.899959394401
64,3D RENDERING W/INTERP&POSTPROC DIFF WORK STATION,3 rendering interpretation_&_postprocedure differential work station,"(650, 1000]",Cardiology,Supply,Laboratory,344.0,21.2209302326,15.4069767442,Radiology,0.77,0,Radiology,0.81,0,Laboratory,0.96,1,Laboratory,0.999178058299,1,Laboratory,"Logistic_OvR, DeepNN",0.489794514575
65,46110000 RB 5 SOUTH ROUTINE,room_and_board 5 south routine,"(1000, 2500]",Room and Board,Radiology,Supply,461.0,21.0412147505,13.6659436009,Laboratory,0.73,0,Laboratory,0.48,0,Room and Board,0.92,1,Room and Board,0.996643892943,1,Room and Board,"Logistic_OvR, DeepNN",0.479160973236
66,46130010 POC BS GLUCOSE 5S,point_of_care blood_sugar glucose,"(-10, 0]",Monitoring,Supply,Pharmacy,253.0,24.9011857708,21.3438735178,Monitoring,0.86,1,Monitoring,0.96,1,Monitoring,0.940976247053,1,Monitoring,0.999659015914,1,Monitoring,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.940158815742
67,5%DEXTROSE/1/2NS+KCL 10MEQ/L 1,5%dextrose/1/2 normal_saline potassium_chloride 10_meq/liter 1,"(40, 60]",Pharmacy,Laboratory,Pharmacy,1050.0,29.0476190476,29.0476190476,Pharmacy,1.0,1,Pharmacy,1.0,1,Pharmacy,0.47718099734,1,Pharmacy,0.923144412586,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.850081352481
68,53193000 PULSE OXIMETRY PER HOUR,pulse oximetry per hour,"(-10, 0]",Monitoring,Supply,Pharmacy,253.0,24.9011857708,21.3438735178,Monitoring,0.9,1,Monitoring,0.93,1,Monitoring,0.96,1,Monitoring,0.98972873409,1,Monitoring,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.944932183523
69,53277000 ARTERIAL BLD DRAW FOR ANALYSIS,arterial blood draw analysis,"(100, 300]",Nursing Services,Laboratory,Supply,3192.0,38.5338345865,17.4498746867,Monitoring,0.74,0,Nursing Services,0.38,1,Nursing Services,0.92,1,Nursing Services,0.999954181587,1,Nursing Services,"DLevenshtein, Logistic_OvR, DeepNN",0.766651393862
70,55551015 OR GEN LEVEL 1 EA ADD 15MIN,operation_room general level 1 additional 15_minutes,"(650, 1000]",OR / Anesthesia / Recovery Room,Supply,Laboratory,344.0,21.2209302326,15.4069767442,OR / Anesthesia / Recovery Room,0.78,1,OR / Anesthesia / Recovery Room,0.93,1,OR / Anesthesia / Recovery Room,0.96,1,OR / Anesthesia / Recovery Room,0.999986667026,1,OR / Anesthesia / Recovery Room,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.917496666756
71,58111000 NEBULIZER ULTRASONIC TREATMENT,nebulizer ultrasonic treatment,"(100, 300]",Respiratory Therapy,Laboratory,Supply,3192.0,38.5338345865,17.4498746867,Respiratory Therapy,0.94,1,Respiratory Therapy,0.92,1,Respiratory Therapy,0.76,1,Respiratory Therapy,0.999478334379,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.904869583595
