,cleaned_descrip,NORM_DESC,rev_code,CHRG_CLS,Dominant CC,# of descriptions,% Dominance,Predicted_Class_Jaro,Prob_Jaro,Correct_Jaro,Predicted_Class_DLevenshtein,Prob_DLevenshtein,Correct_DLevenshtein,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Correct_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Correct_DeepNN,Voted Output,Voting Algorithm,Confidence Score
22,03600001 RB 4 WEST MED ICU,room_and_board 4 west medical intensive_care_unit,202.0,Room and Board,Room and Board,8.0,87.5,Room and Board,0.86,1,Room and Board,0.69,1,Room and Board,0.828820942411,1,Room and Board,0.999837797407,1,Room and Board,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.844664684954
23,06660004 RB 2 WEST ROUTINE,room_and_board 2 west routine,121.0,Room and Board,Room and Board,11.0,90.9090909091,Room and Board,0.79,1,Room and Board,0.55,1,Room and Board,0.778717211096,1,Room and Board,0.997435302355,1,Room and Board,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.779038128363
24,1 25 DIHYDROXY INCLUDES FR,1 25 dihydroxy includes fr,300.0,Laboratory,Laboratory,1097.0,79.1248860529,Laboratory,0.72,1,Laboratory,0.45,1,Laboratory,0.527060366373,1,Laboratory,0.981914515304,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.669743720419
25,10540800 SOD CHLORIDE 0.9/500ML IV SOL,sodium_chloride 0.9/500_ml intravenous solution,258.0,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,392.0,55.612244898,Diluent / Flush / Irrigant,0.89,1,Diluent / Flush / Irrigant,0.74,1,Diluent / Flush / Irrigant,0.79229794145,1,Diluent / Flush / Irrigant,0.977668667776,1,Diluent / Flush / Irrigant,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.849991652306
26,11030222 ACETYLCYSTEN INJ 100MG 30ML VL,acetylcysteine injection 100_mg 30_ml vial,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.81,1,Pharmacy,0.74,1,Pharmacy,0.987569411344,1,Pharmacy,0.999977512142,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.884386730871
27,11265042 ASPIRIN TAB CHEW 81MG,aspirin tablet chew 81_mg,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.9,1,Pharmacy,0.69,1,Pharmacy,0.981744176031,1,Pharmacy,0.999170663589,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.892728709905
28,11332962 IOHEXOL 240MG/ML ORAL 50ML,iohexol 240_mg/ml oral 50_ml,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.75,1,Pharmacy,0.58,1,Pharmacy,0.947701017037,1,Pharmacy,0.998937300963,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.8191595795
29,11395212 BENGAY GREASELESS CREAM,bengay greaseless cream,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.64,1,Pharmacy,0.35,1,Pharmacy,0.690761918659,1,Pharmacy,0.841766318474,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.630632059283
30,11482222 BUMETANIDE 0.25MG/ML 10ML,bumetanide 0.25_mg/ml 10_ml,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.75,1,Pharmacy,0.65,1,Pharmacy,0.986981618015,1,Pharmacy,0.999941752481,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.846730842624
31,11502970 HB KIT IV 3 4 YR PREOP,kit intravenous 3 4 years preoperative,270.0,Supply,Supply,1919.0,86.294945284,Supply,0.86,1,Supply,0.58,1,Supply,0.901379680852,1,Supply,0.942288371063,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.820917012979
32,11514641 HB CANN NSL CO2 W/DEHUMID PED,cannula nasal carbon_dioxide dehumid pediatric,270.0,Supply,Supply,1919.0,86.294945284,Supply,0.92,1,Supply,0.88,1,Supply,0.976157292156,1,Supply,0.997965858798,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.943530787739
33,11555222 CALCIUM GLUCONATE PER 10 ML,calcium gluconate per 10_ml,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.91,1,Pharmacy,0.74,1,Pharmacy,0.935832253049,1,Pharmacy,0.998980465498,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.896203179637
34,11625272 CEFEPIME PER 500MG MB+,cefepime per 500_mg mb,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.9,1,Pharmacy,0.87,1,Pharmacy,0.940179649163,1,Pharmacy,0.997688772978,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.926967105535
35,12386332 ENOXAPARIN SODIUM 10MG INJ,enoxaparin sodium 10_mg injection,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.96,1,Pharmacy,0.94,1,Pharmacy,0.970190963157,1,Pharmacy,0.99948773721,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.967419675092
36,12455600 VANCOMYCIN 50MG PER 1ML ORAL,vancomycin 50_mg per 1_ml oral,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Laboratory,0.77,0,Pharmacy,0.53,1,Pharmacy,0.973408445368,1,Pharmacy,0.999906348314,1,Pharmacy,"DLevenshtein, Logistic_OvR, DeepNN",0.834438264561
37,12675042 GENTAMICIN 0.3% 5ML OPTH SOLN,gentamicin 0.3% 5_ml ophth solution,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.72,1,Pharmacy,0.48,1,Pharmacy,0.969901849157,1,Pharmacy,0.99852379639,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.792106411387
38,12737152 DXTMPHAN GUIFENSIN 30/600MG TB,dxtmphan-guaifenesin 30/600_mg tab,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.76,1,Pharmacy,0.55,1,Pharmacy,0.940139505052,1,Pharmacy,0.999891709969,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.812507803755
39,12820632 HEPARIN/1000UN 5000/ML 1ML VL,heparin/1000units 5000/ml 1_ml vial,250.0,Diluent / Flush / Irrigant,Pharmacy,2692.0,76.0401188707,Pharmacy,0.73,1,Pharmacy,0.56,1,Pharmacy,0.706081219066,1,Pharmacy,0.556242140523,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.638080839897
40,12858252 HYDROCODONE/ACETAMIN 5/325 TAB,hydrocodone acetamin 5/325 tablet,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.83,1,Pharmacy,0.56,1,Pharmacy,0.971157367947,1,Pharmacy,0.998819408481,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.839994194107
41,13280212 NOREPINEPHRINE INJ 1MG/ML 4ML,norepinephrine injection 1_mg/ml 4_ml,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.75,1,Pharmacy,0.5,1,Pharmacy,0.978845941466,1,Pharmacy,0.999512664826,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.807089651573
42,13284022 LEVOFLOXACIN TABLET 500MG,levofloxacin tablet 500_mg,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.86,1,Pharmacy,0.58,1,Pharmacy,0.964148571932,1,Pharmacy,0.992208650091,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.849089305506
43,13290632 LIDOCAINE 1% MDV 20ML INJ,lidocaine 1% mdv 20_ml injection,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.77,1,Pharmacy,0.62,1,Pharmacy,0.929012884725,1,Pharmacy,0.999560632573,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.829643379325
44,13510222 MAGNESIUM SULFATE PER 500 MG ,magnesium sulfate per 500_mg,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.92,1,Pharmacy,0.75,1,Pharmacy,0.956479087315,1,Pharmacy,0.999888067204,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.90659178863
45,13607082 METOPROLOL 25MG TABLET,metoprolol 25_mg tablet,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.87,1,Pharmacy,0.68,1,Pharmacy,0.98158331403,1,Pharmacy,0.999679119929,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.88281560849
46,13729002 METOLAZONE TABLET 10MG,metolazone tablet 10_mg,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.94,1,Pharmacy,0.89,1,Pharmacy,0.982863248832,1,Pharmacy,0.990377357565,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.950810151599
47,13730572 METRONIDAZOLE/NSS PREMIX 500MG,metronidazole normal_saline_sterile premix 500_mg,258.0,Pharmacy,Diluent / Flush / Irrigant,392.0,55.612244898,Pharmacy,0.78,1,Pharmacy,0.44,1,Pharmacy,0.963916217436,1,Pharmacy,0.998986373211,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.795725647662
48,13945262 ESOMEPRAZOLE 40MG PWD PKT ORAL,esomeprazole 40_mg powder packet oral,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.84,1,Pharmacy,0.76,1,Pharmacy,0.96612637498,1,Pharmacy,0.999975329904,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.891525426221
49,14105002 OCEAN NASAL 45ML,ocean nasal 45_ml,250.0,Supply,Pharmacy,2692.0,76.0401188707,Pharmacy,0.67,1,Pharmacy,0.43,1,Supply,0.599821662835,0,Procedure,0.539173475283,0,Pharmacy,"Jaro, DLevenshtein",0.275
50,14269002 PANTOPRAZOLE SODIUM 40MG,pantoprazole sodium 40_mg,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.86,1,Pharmacy,0.8,1,Pharmacy,0.905018427803,1,Pharmacy,0.996271642943,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.890322517687
51,14630032 POTASSIUM CHLORIDE 20MEQ/15ML,potassium chloride 20_meq/15_ml,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.9,1,Pharmacy,0.77,1,Pharmacy,0.917238138472,1,Pharmacy,0.999468495241,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.896676658428
52,14755052 QUETIAPINE FUMARATE TAB 100MG,quetiapine fumarate tablet 100_mg,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.96,1,Pharmacy,0.94,1,Pharmacy,0.955118020508,1,Pharmacy,0.993519469266,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.962159372444
53,15700322 WARFARIN 8MG 2 X 4MG TAB,warfarin 8_mg 2 x 4_mg tablet,250.0,Pharmacy,Pharmacy,2692.0,76.0401188707,Pharmacy,0.86,1,Pharmacy,0.67,1,Pharmacy,0.982288699533,1,Pharmacy,0.999430997182,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.877929924179
54,17122771 HB OXIMETRY DAILY,hemoglobin oximetry daily,460.0,Monitoring,Monitoring,103.0,66.9902912621,Monitoring,0.78,1,Monitoring,0.52,1,Monitoring,0.843492822759,1,Monitoring,0.927796552214,1,Monitoring,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.767822343743
55,20800207 PF NS 0.9% 0.9 % SOLN 10 ML VIAL,partial_fill normal_saline 0.9% 0.9% solution 10_ml vial,250.0,Diluent / Flush / Irrigant,Pharmacy,2692.0,76.0401188707,Pharmacy,0.69,0,Pharmacy,0.5,0,Diluent / Flush / Irrigant,0.536479118509,1,Diluent / Flush / Irrigant,0.926935366967,1,Diluent / Flush / Irrigant,"Logistic_OvR, DeepNN",0.365853621369
56,27045000 CT HEAD/BRAIN W/O CONTRAST,computed_tomography head brain without contrast,351.0,Radiology,Radiology,12.0,100.0,Radiology,0.83,1,Radiology,0.68,1,Radiology,0.928928006185,1,Radiology,0.999548036777,1,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.85961901074
57,27125000 CT CHEST W/O CONTRAST,computed_tomography chest without contrast,352.0,Radiology,Radiology,20.0,90.0,Radiology,0.85,1,Radiology,0.74,1,Radiology,0.892310453982,1,Radiology,0.994358378463,1,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.869167208111
58,27303007 XR SHOULDER MIN 2VWS LT,x-ray shoulder minimum 2 views left,320.0,Radiology,Radiology,111.0,75.6756756757,Radiology,0.83,1,Radiology,0.63,1,Radiology,0.770572329352,1,Radiology,0.977072962228,1,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.801911322895
59,27417600 CT ABD/PELVIS W/O CONTRAST,computed_tomography abdomen pelvis without contrast,352.0,Radiology,Radiology,20.0,90.0,Radiology,0.8,1,Radiology,0.65,1,Radiology,0.956185342283,1,Radiology,0.99992455206,1,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.851527473586
60,27677000 US RETROPERITONEAL COMP,ultrasound retroperitoneal comprehensive,402.0,Radiology,Radiology,64.0,54.6875,Radiology,0.73,1,Radiology,0.52,1,Radiology,0.838319609204,1,Radiology,0.962365896464,1,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.762671376417
61,27907888 ANGIO PACK,angiography pack,272.0,Supply,Supply,833.0,84.393757503,Pharmacy,0.67,0,Pharmacy,0.32,0,Supply,0.881568492613,1,Supply,0.939725335945,1,Supply,"Logistic_OvR, DeepNN",0.455323457139
62,27907918 REM TUN CVC W/O PORT/PUMP,removal tunneled central_venous_catheter without port pump,361.0,Procedure,Procedure,47.0,51.0638297872,Procedure,0.78,1,Procedure,0.58,1,Capital Equipment,0.489244943787,0,Procedure,0.912930642061,1,Procedure,"Jaro, DLevenshtein, DeepNN",0.757643547354
63,30000091 HC ROUTINE VENIPUNCTURE,hc routine venipuncture,300.0,Nursing Services,Laboratory,1097.0,79.1248860529,Nursing Services,0.76,1,Nursing Services,0.66,1,Nursing Services,0.896299176059,1,Nursing Services,0.999837577604,1,Nursing Services,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.829034188416
64,3D RENDERING W/INTERP&POSTPROC DIFF WORK STATION,3 rendering interpretation_&_postprocedure differential work station,350.0,Cardiology,Pharmacy,40.0,45.0,Radiology,0.77,0,Radiology,0.51,0,Laboratory,0.886615129184,1,Laboratory,0.999178058299,1,Laboratory,"Logistic_OvR, DeepNN",0.471448296871
65,46110000 RB 5 SOUTH ROUTINE,room_and_board 5 south routine,121.0,Room and Board,Room and Board,11.0,90.9090909091,Laboratory,0.73,0,Laboratory,0.48,0,Room and Board,0.767606150326,1,Room and Board,0.996643892943,1,Room and Board,"Logistic_OvR, DeepNN",0.441062510817
66,46130010 POC BS GLUCOSE 5S,point_of_care blood_sugar glucose,300.0,Monitoring,Laboratory,1097.0,79.1248860529,Monitoring,0.86,1,Monitoring,0.82,1,Monitoring,0.940976247053,1,Monitoring,0.999659015914,1,Monitoring,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.905158815742
67,5%DEXTROSE/1/2NS+KCL 10MEQ/L 1,5%dextrose/1/2 normal_saline potassium_chloride 10_meq/liter 1,258.0,Pharmacy,Diluent / Flush / Irrigant,392.0,55.612244898,Pharmacy,1.0,1,Pharmacy,1.0,1,Pharmacy,0.47718099734,1,Pharmacy,0.923144412586,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.850081352481
68,53193000 PULSE OXIMETRY PER HOUR,pulse oximetry per hour,270.0,Monitoring,Supply,1919.0,86.294945284,Monitoring,0.9,1,Monitoring,0.71,1,Monitoring,0.882326533614,1,Monitoring,0.98972873409,1,Monitoring,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.870513816926
69,53277000 ARTERIAL BLD DRAW FOR ANALYSIS,arterial blood draw analysis,450.0,Nursing Services,Nursing Services,67.0,40.2985074627,Monitoring,0.74,0,Nursing Services,0.38,1,Nursing Services,0.76525200076,1,Nursing Services,0.999954181587,1,Nursing Services,"DLevenshtein, Logistic_OvR, DeepNN",0.715068727449
70,55551015 OR GEN LEVEL 1 EA ADD 15MIN,operation_room general level 1 additional 15_minutes,360.0,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,116.0,58.6206896552,OR / Anesthesia / Recovery Room,0.78,1,OR / Anesthesia / Recovery Room,0.72,1,OR / Anesthesia / Recovery Room,0.884005998235,1,OR / Anesthesia / Recovery Room,0.999986667026,1,OR / Anesthesia / Recovery Room,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.845998166315
71,58111000 NEBULIZER ULTRASONIC TREATMENT,nebulizer ultrasonic treatment,410.0,Respiratory Therapy,Respiratory Therapy,279.0,64.1577060932,Respiratory Therapy,0.94,1,Respiratory Therapy,0.92,1,Respiratory Therapy,0.617485710273,1,Respiratory Therapy,0.999478334379,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.869241011163
72,58193000 INTUBATION,intubation,270.0,Respiratory Therapy,Supply,1919.0,86.294945284,Respiratory Therapy,0.85,1,Respiratory Therapy,0.56,1,Respiratory Therapy,0.789462169131,1,Respiratory Therapy,0.999164216677,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.799656596452
73,58304000 BRONCHOSCOPY,bronchoscopy,361.0,Procedure,Procedure,47.0,51.0638297872,Procedure,0.87,1,Procedure,0.6,1,Procedure,0.716473784505,1,Procedure,0.997856030458,1,Procedure,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.796082453741
74,58341000 RESPIRATORY WEANING MECHANICS,respiratory weaning mechanics,460.0,Respiratory Therapy,Monitoring,103.0,66.9902912621,Respiratory Therapy,0.79,1,Respiratory Therapy,0.53,1,Supply,0.423058256291,0,Respiratory Therapy,0.400950972593,1,Respiratory Therapy,"Jaro, DLevenshtein, DeepNN",0.573650324198
75,58370000 MASK CANNULA DAILY SERVICE,mask cannula daily service,410.0,Respiratory Therapy,Respiratory Therapy,279.0,64.1577060932,Respiratory Therapy,0.72,0,Respiratory Therapy,0.42,0,Supply,0.914795165256,1,Supply,0.998193409764,1,Supply,"Logistic_OvR, DeepNN",0.478247143755
76,58862000 TRANSPORT VENT PATIENT ADULT,transport ventilator patient adult,410.0,Respiratory Therapy,Respiratory Therapy,279.0,64.1577060932,Respiratory Therapy,0.92,1,Respiratory Therapy,0.76,1,Respiratory Therapy,0.64011850545,1,Respiratory Therapy,0.996724894051,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.829210849875
77,58864000 SUCTION ONLY,suction,410.0,Respiratory Therapy,Respiratory Therapy,279.0,64.1577060932,Respiratory Therapy,0.86,1,Respiratory Therapy,0.58,1,Supply,0.788546988255,0,Respiratory Therapy,0.745272576033,1,Respiratory Therapy,"Jaro, DLevenshtein, DeepNN",0.728424192011
