descrip	cleaned_descrip	Rev_Code_Name	units	billed_amount	norm_billed_amount	NORM_DESC	CHRG_CLS	billed_categories	units_categories
0.9% NACL 0.9% SOLN	0.9% NACL 0.9% SOLN	Pharmacy	1.0	7.03	7.03	0.9% sodium_chloride 0.9% solution	Diluent / Flush / Irrigant	(4, 17]	Units <= 1
0.9% NACL 100ML	0.9% NACL 100ML	IV Solutions	1.0	11.8	11.8	0.9% sodium_chloride 100_ml	Diluent / Flush / Irrigant	(4, 17]	Units <= 1
0.9% NACL 100ML	0.9% NACL 100ML	Pharmacy	1.0	11.8	11.8	0.9% sodium_chloride 100_ml	Diluent / Flush / Irrigant	(4, 17]	Units <= 1
0.9% NACL 250ML	0.9% NACL 250ML	IV Solutions	1.0	8.7	8.7	0.9% sodium_chloride 250_ml	Diluent / Flush / Irrigant	(4, 17]	Units <= 1
0.9% NACL 250ML	0.9% NACL 250ML	Pharmacy	1.0	5.145	3.43	0.9% sodium_chloride 250_ml	Diluent / Flush / Irrigant	(0, 4]	Units <= 1
HB 0.9% NACL 250ML 2B1322Q INJ	0.9% NACL 250ML 2B1322Q INJ	IV Solutions	1.0	73.0	73.0	0.9% sodium_chloride 250_ml 2b1322q injection	Diluent / Flush / Irrigant	(61, 92]	Units <= 1
HB 0.9% NACL 250ML 2B1322Q INJ	0.9% NACL 250ML 2B1322Q INJ	Pharmacy	1.0	73.0	73.0	0.9% sodium_chloride 250_ml 2b1322q injection	Diluent / Flush / Irrigant	(61, 92]	Units <= 1
0.9% SODIUM CHLORIDE 0.9 % SOLN	0.9% SODIUM CHLORIDE 0.9 % SOLN	IV Solutions	1.0	152.75	152.75	0.9% sodium chloride 0.9% solution	Diluent / Flush / Irrigant	(92, 287]	Units <= 1
0.9% SODIUM CHLORIDE 0.9 % SOLN	0.9% SODIUM CHLORIDE 0.9 % SOLN	Pharmacy	1.0	144.25	144.25	0.9% sodium chloride 0.9% solution	Diluent / Flush / Irrigant	(92, 287]	Units <= 1
0.9% SODIUM CHLORIDE 0.9 % SOLN 50 ML FLEX CONT	0.9% SODIUM CHLORIDE 0.9 % SOLN 50 ML FLEX CONT	IV Solutions	1.0	61.5	61.5	0.9% sodium chloride 0.9% solution 50_ml flex control	Diluent / Flush / Irrigant	(61, 92]	Units <= 1
0.9% SODIUM CHLORIDE 0.9 % SOLN 50 ML FLEX CONT	0.9% SODIUM CHLORIDE 0.9 % SOLN 50 ML FLEX CONT	Pharmacy	1.0	73.0	73.0	0.9% sodium chloride 0.9% solution 50_ml flex control	Diluent / Flush / Irrigant	(61, 92]	Units <= 1
00299285-HB COMPREHENSIVE EMERGENCY ROOM VISIT	00299285 HB COMPREHENSIVE EMERGENCY ROOM VISIT	Emergency Room	1.0	1078.0	1078.0	comprehensive emergency_room visit	Other	(997, 2496]	Units <= 1
00506709-HB ANES MATERIALS ADD'L 15 MIN	00506709 HB ANES MATERIALS ADD L 15 MIN	Anesthesia	6.5	754.0	116.0	anesthesia materials additional 15_minutes	OR / Anesthesia / Recovery Room	(92, 287]	Units > 1
00925149-HB ACTIVATED PAR THROMBOPLAS TIME	00925149 HB ACTIVATED PAR THROMBOPLAS TIME	Laboratory	1.0	82.51	82.51	activated partial thromboplastin time	Laboratory	(61, 92]	Units <= 1
00925339-HB URINALYSIS W/ MICROSCOPIC	00925339 HB URINALYSIS W/ MICROSCOPIC	Laboratory	1.0	60.35	60.35	urinalysis w microscopic	Laboratory	(41, 61]	Units <= 1
00926618-HB COMPLETE BLOOD COUNT,ONLY	00926618 HB COMPLETE BLOOD COUNT ONLY	Laboratory	1.0	36.32	36.32	complete_blood_count only	Laboratory	(17, 41]	Units <= 1
00926766-HB LOW MOLECULAR WEIGHT HEPARIN	00926766 HB LOW MOLECULAR WEIGHT HEPARIN	Laboratory	1.0	180.32	180.32	lower molecular weight heparin	Pharmacy	(92, 287]	Units <= 1
01015031-HB POTASSIUM, SERUM	01015031 HB POTASSIUM SERUM	Laboratory	1.0	50.5	50.5	potassium serum	Laboratory	(41, 61]	Units <= 1
01015056-HB PHOSPHORUS SERUM	01015056 HB PHOSPHORUS SERUM	Laboratory	1.0	33.33	33.33	phosphorus serum	Laboratory	(17, 41]	Units <= 1
01015064-HB ALKALINE PHOSPHATASE	01015064 HB ALKALINE PHOSPHATASE	Laboratory	1.0	21.32	21.32	alkaline phosphatase	Laboratory	(17, 41]	Units <= 1
01015098-HB BILIRUBIN TOTAL	01015098 HB BILIRUBIN TOTAL	Laboratory	1.0	29.85	29.85	bilirubin total	Laboratory	(17, 41]	Units <= 1
01015106-HB BILIRUBIN DIRECT	01015106 HB BILIRUBIN DIRECT	Laboratory	1.0	22.39	22.39	bilirubin direct	Laboratory	(17, 41]	Units <= 1
01015122-HB TOTAL PROTEIN SERUM	01015122 HB TOTAL PROTEIN SERUM	Laboratory	1.0	33.05	33.05	total protein serum	Laboratory	(17, 41]	Units <= 1
01015379-HB CREATININE, OTHER SOURCE	01015379 HB CREATININE OTHER SOURCE	Laboratory	1.0	63.47	63.47	creatinine other source	Laboratory	(61, 92]	Units <= 1
01015510-HB MAGNESIUM SERUM	01015510 HB MAGNESIUM SERUM	Laboratory	1.0	61.06	61.06	magnesium serum	Laboratory	(61, 92]	Units <= 1
01016096-HB THYROID STIMULATING HORMONE (TSH)	01016096 HB THYROID STIMULATING HORMONE TSH 	Laboratory	1.0	116.0	116.0	thyroid stimulating hormone thyroid stimulating hormone	Laboratory	(92, 287]	Units <= 1
01017441-HB GAMMA GT	01017441 HB GAMMA GT	Laboratory	1.0	41.44	41.44	gamma glutamyl transferase	Laboratory	(41, 61]	Units <= 1
01017458-HB LIPASE - SERUM	01017458 HB LIPASE SERUM	Laboratory	1.0	89.44	89.44	lipase serum	Laboratory	(61, 92]	Units <= 1
01019207-HB VANCOMYCIN SINGLE LEVEL	01019207 HB VANCOMYCIN SINGLE LEVEL	Laboratory	1.0	161.57	161.57	vancomycin single level	Laboratory	(92, 287]	Units <= 1
01019595-HB FERRITIN	01019595 HB FERRITIN	Laboratory	1.0	131.91	131.91	ferritin	Laboratory	(92, 287]	Units <= 1
01118850-HB THYROGLOBULIN	01118850 HB THYROGLOBULIN	Laboratory	1.0	23.08	23.08	thyroglobulin	Laboratory	(17, 41]	Units <= 1
01119098-HB CERULOPLASMIN	01119098 HB CERULOPLASMIN	Laboratory	1.0	18.66	18.66	ceruloplasmin	Laboratory	(17, 41]	Units <= 1
01119213-HB ZINC, BLOOD	01119213 HB ZINC BLOOD	Laboratory	1.0	17.37	17.37	zinc blood	Laboratory	(17, 41]	Units <= 1
01119817-HB SELENIUM BLOOD	01119817 HB SELENIUM BLOOD	Laboratory	1.0	37.03	37.03	selenium blood	Laboratory	(17, 41]	Units <= 1
01136186-HB THYROGLOBULIN SERUM/PLASMA	01136186 HB THYROGLOBULIN SERUM/PLASMA	Laboratory	1.0	23.3	23.3	thyroglobulin serum/plasma	Laboratory	(17, 41]	Units <= 1
01300011-HB CVC DRESSING CHANGE	01300011 HB CVC DRESSING CHANGE	Other Therapeutic Services	1.0	115.13	115.13	central venous catheter dressing change	Supply	(92, 287]	Units <= 1
01300375-HB PERIPHERAL/CENTRAL LINE/CATHETER ASSESSMENT	01300375 HB PERIPHERAL/CENTRAL LINE/CATHETER ASSESSMENT	Other Diagnostic Services	1.0	172.69	172.69	peripheral/central line/catheter assessment	Nursing Services	(92, 287]	Units <= 1
01300375-HB PERIPHERAL/CENTRAL LINE/CATHETER ASSESSMENT	01300375 HB PERIPHERAL/CENTRAL LINE/CATHETER ASSESSMENT	Other Therapeutic Services	1.0	172.69	172.69	peripheral/central line/catheter assessment	Nursing Services	(92, 287]	Units <= 1
014 CHIKAI WIRE	014 CHIKAI WIRE	Implant/Supply	1.0	1727.65	1727.65	014 chikai wire	Supply	(997, 2496]	Units <= 1
01410935-HB MORPHINE 30 MG/30 ML PCA 1 MG/ML	01410935 HB MORPHINE 30 MG/30 ML PCA 1 MG/ML	Pharmacy	3.0	45.11	15.03666667	morphine 30 mg/30 ml patient controlled analgesia 1 mg/ml	Pharmacy	(4, 17]	Units > 1
01428291-HB 5%DEXTROSE/1/2NS+KCL 10MEQ/L 1	01428291 HB 5%DEXTROSE/1/2NS+KCL 10MEQ/L 1	IV Solutions	1.0	41.73	41.73	5% dextrose/1/2 normal_saline and potassuim_chloride 10 meq/l 1	Pharmacy	(41, 61]	Units <= 1
01428523-HB STERILE WATER FOR INJ 1L	01428523 HB STERILE WATER FOR INJ 1L	IV Solutions	834.0	16.23	0.019340659	sterile water for injection 1 liter	Diluent / Flush / Irrigant	(0, 4]	Units > 1
01431899-HB NYSTATIN 100,000U/GM OINT 15GM	01431899 HB NYSTATIN 100 000U/GM OINT 15GM	Pharmacy	1.0	80.0	80.0	nystatin 100 000u/gram ointment 15 gm	Pharmacy	(61, 92]	Units <= 1
01433309-HB TRIAMCINOLONE 0.1% CR 454GM	01433309 HB TRIAMCINOLONE 0.1% CR 454GM	Pharmacy	1.0	26.34	26.34	triamcinolone 0.1% cream 454 gm	Pharmacy	(17, 41]	Units <= 1
01435262-HB FERROUS SO4 220MG/5ML ELIXIR4	01435262 HB FERROUS SO4 220MG/5ML ELIXIR4	Pharmacy	2.0	0.02	0.01	ferrous sulfate 220 mg/5 ml elixir4	Pharmacy	(0, 4]	Units > 1
01435569-HB GLYCOPYRROLATE 0.2MG/ML 1ML	01435569 HB GLYCOPYRROLATE 0.2MG/ML 1ML	Pharmacy	1.0	47.555	47.555	glycopyrrolate 0.2 mg/ml 1 ml	Pharmacy	(41, 61]	Units <= 1
01445402-HB ACETAMINOPHEN 160MG/5ML TYLEN	01445402 HB ACETAMINOPHEN 160MG/5ML TYLEN	Pharmacy	2.0	1.2	0.6	acetaminophen 160 mg/5 ml tylenol	Pharmacy	(0, 4]	Units > 1
01453505-HB ALBUMIN 5%	01453505 HB ALBUMIN 5%	Pharmacy	1.0	153.56	153.56	albumin 5%	Pharmacy	(92, 287]	Units <= 1
01465939-HB DEXTROSE 70% WATER	01465939 HB DEXTROSE 70% WATER	Pharmacy	1.0	38.67	38.67	dextrose 70% water	Pharmacy	(17, 41]	Units <= 1
01466275-HB CISATRACURIUM 2MG/ML 10ML VL	01466275 HB CISATRACURIUM 2MG/ML 10ML VL	Pharmacy	1.0	15.46	15.46	cisatracurium 2 mg/ml 10 ml vial	Pharmacy	(4, 17]	Units <= 1
01467299-HB DIAZEPAM 5MG/5ML CUP	01467299 HB DIAZEPAM 5MG/5ML CUP	Pharmacy	1.0	12.7	12.7	diazepam 5 mg/5 ml cup	Pharmacy	(4, 17]	Units <= 1
01467315-HB OXYCODONE 5MG/5ML CUP	01467315 HB OXYCODONE 5MG/5ML CUP	Pharmacy	1.0	6.38	6.38	oxycodone 5 mg/5 ml cup	Pharmacy	(4, 17]	Units <= 1
01468891-HB RIFAXIMIN 200MG TABLET	01468891 HB RIFAXIMIN 200MG TABLET	Pharmacy	1.0	87.76	87.76	rifaximin 200 mg tablet	Pharmacy	(61, 92]	Units <= 1
01481540-HB FENTANYL 50ML INJ 0.05MG/ML	01481540 HB FENTANYL 50ML INJ 0.05MG/ML	Pharmacy	1.0	2.31	2.31	fentanyl 50 ml injection 0.05 mg/ml	Pharmacy	(0, 4]	Units <= 1
01481621-HB 5% DEXTROSE/WATER 1000ML	01481621 HB 5% DEXTROSE/WATER 1000ML	IV Solutions	1.0	35.9	35.9	5% dextrose/water 1000 ml	Diluent / Flush / Irrigant	(17, 41]	Units <= 1
01481665-HB VANCOMYCIN 5GM VIAL LEDERLE	01481665 HB VANCOMYCIN 5GM VIAL LEDERLE	Pharmacy	1.0	9.36	9.36	vancomycin 5 gm vial lederle	Pharmacy	(4, 17]	Units <= 1
01481666-HB MORPHINE SO4 15MG/ML INJ 20ML	01481666 HB MORPHINE SO4 15MG/ML INJ 20ML	Pharmacy	1.0	2.35	2.35	morphine_sulfate 15 mg/ml injection 20 ml	Pharmacy	(0, 4]	Units <= 1
01481794-HB DIAZEPAM 5MG/ML VIAL	01481794 HB DIAZEPAM 5MG/ML VIAL	Pharmacy	1.0	6.76	6.76	diazepam 5 mg/ml vial	Pharmacy	(4, 17]	Units <= 1
01481835-HB NEOSTIGMINE 1MG/ML VIAL	01481835 HB NEOSTIGMINE 1MG/ML VIAL	Pharmacy	2.0	42.18	21.09	neostigmine 1 mg/ml vial	Pharmacy	(17, 41]	Units > 1
01481886-HB DEXTROSE 10%-1/2 NS IV SOLN	01481886 HB DEXTROSE 10% 1/2 NS IV SOLN	Pharmacy	2.0	54.74	27.37	dextrose 10% 1/2 normal_saline intravenous solution	Pharmacy	(17, 41]	Units > 1
01482023-HB ZOFRAN 4MG/2ML IV SOLN	01482023 HB ZOFRAN 4MG/2ML IV SOLN	Pharmacy	2.0	2.77	1.6425	zofran 4 mg/2 ml intravenous solution	Pharmacy	(0, 4]	Units > 1
01482029-HB HEPARIN SOD 10U/ML DISPSYR 1ML	01482029 HB HEPARIN SOD 10U/ML DISPSYR 1ML	Pharmacy	3.0	0.0	0.0	heparin sodium 10 units/ml dispsyr 1 ml	Pharmacy	(-10, 0]	Units > 1
01482102-HB LOPERAMIDE HCL 2 MG PO TABS	01482102 HB LOPERAMIDE HCL 2 MG PO TABS	Pharmacy	2.0	0.67	0.335	loperamide hydrochloride 2 mg by_mouth tablets	Pharmacy	(0, 4]	Units > 1
01482213-HB DEXTROSE-NACL 10-0.225 % IV SOLN	01482213 HB DEXTROSE NACL 10 0.225 % IV SOLN	Pharmacy	2.0	81.74	40.87	dextrose sodium_chloride 10 0.225% intravenous solution	Pharmacy	(17, 41]	Units > 1
01482221-HB ALBUTEROL SULFATE HFA 108 (90 BASE) MCG/ACT IN AERS	01482221 HB ALBUTEROL SULFATE HFA 108 90 BASE MCG/ACT IN AERS	Pharmacy	1.0	245.53	245.53	albuterol sulfate hfa 108 90 base mcg act	Pharmacy	(92, 287]	Units <= 1
01482404-HB LIDOCAINE HCL 2% EX GEL	01482404 HB LIDOCAINE HCL 2% EX GEL	Pharmacy	1.0	36.33	36.33	lidocaine hydrochloride 2% ex gel	Pharmacy	(17, 41]	Units <= 1
01482546-HB FERROUS SULFATE 75 (15 FE) MG/ML PO	01482546 HB FERROUS SULFATE 75 15 FE MG/ML PO	Pharmacy	1.0	0.15	0.15	ferrous sulfate 75 15 fe mg/ml by_mouth	Pharmacy	(0, 4]	Units <= 1
01482576-HB ACETAMINOPHEN 10 MG/ML IV SOLN	01482576 HB ACETAMINOPHEN 10 MG/ML IV SOLN	Pharmacy	19.0	56.51	2.974210526	acetaminophen 10 mg/ml intravenous solution	Pharmacy	(0, 4]	Units > 1
01482615-HB MIDAZOLAM HCL 2 MG/2ML IJ SOLN	01482615 HB MIDAZOLAM HCL 2 MG/2ML IJ SOLN	Pharmacy	2.0	5.77	2.885	midazolam hydrochloride 2 mg/2 ml injection solution	Pharmacy	(0, 4]	Units > 1
01484079-HB LANSOPRAZOLE 3MG/ML ORAL SUSPENSION K	01484079 HB LANSOPRAZOLE 3MG/ML ORAL SUSPENSION K	Pharmacy	5.0	10.09	2.018	lansoprazole 3 mg/ml oral suspension k	Pharmacy	(0, 4]	Units > 1
01484105-HB ENOXAPARIN SODIUM 300 MG/3ML IJ SOLN	01484105 HB ENOXAPARIN SODIUM 300 MG/3ML IJ SOLN	Pharmacy	2.0	22.78	11.39	enoxaparin sodium 300 mg/3 ml injection solution	Pharmacy	(4, 17]	Units > 1
01484602-HB LEVOCARNITINE 50 MG/ML DILUTION IN SW FOR TPN	01484602 HB LEVOCARNITINE 50 MG/ML DILUTION IN SW FOR TPN	Pharmacy	6.0	65.6	10.93333333	levocarnitine 50 mg/ml dilution in sterile water for total_parenteral_nutrition	Pharmacy	(4, 17]	Units > 1
01484738-HB CEFEPIME-DEXTROSE 2 GM/50 ML	01484738 HB CEFEPIME DEXTROSE 2 GM/50 ML	Pharmacy	2.0	30.75	15.375	cefepime dextrose 2 gm/50 ml	Pharmacy	(4, 17]	Units > 1
01495032-HB DISTILLED WATER PO LIQD	01495032 HB DISTILLED WATER PO LIQD	Pharmacy	10.0	0.7	0.07	distilled_water by_mouth liquid	Diluent / Flush / Irrigant	(0, 4]	Units > 1
01495045-HB METRONIDAZOLE BENZOATE POWD	01495045 HB METRONIDAZOLE BENZOATE POWD	Pharmacy	1.0	8.52	8.52	metronidazole benzoate powder	Pharmacy	(4, 17]	Units <= 1
01518026-HB URINE CULTURE	01518026 HB URINE CULTURE	Laboratory	1.0	87.3	87.3	urine culture	Laboratory	(61, 92]	Units <= 1
01522061-HB AUTOMATED MIC	01522061 HB AUTOMATED MIC	Laboratory	1.0	61.07	61.07	automated minimal inhibitory concentration	Laboratory	(61, 92]	Units <= 1
01522077-HB VERIGENE PROBE, EACH ORGANISM	01522077 HB VERIGENE PROBE EACH ORGANISM	Laboratory	11.0	479.71	43.61	verigene probe each organism	Laboratory	(41, 61]	Units > 1
01612290-HB SDS NURSING PREP FOR MR OTHER	01612290 HB SDS NURSING PREP FOR MR OTHER	MRI	1.0	588.7	588.7	same day surgery nursing preparation for mr other	Nursing Services	(287, 641]	Units <= 1
01612435-HB SENSOR OXIM INF L18IN ADH S	01612435 HB SENSOR OXIM INF L18IN ADH S	Implant/Supply	1.0	75.01	75.01	sensor oximetry infusion length 18 inches adhesive strip	Supply	(61, 92]	Units <= 1
01621001 - RB 6E STEP DOWN ICU	01621001 RB 6E STEP DOWN ICU	Intensive Care	1.0	4032.0	4032.0	room_and_board 6e step down intensive_care_unit	Room and Board	(2496, 9320]	Units <= 1
018 CHIKAI WIRE	018 CHIKAI WIRE	Implant/Supply	1.0	1727.65	1727.65	018 chikai wire	Supply	(997, 2496]	Units <= 1
01855002 - RB 1MICU MEDICAL	01855002 RB 1MICU MEDICAL	Intensive Care	1.0	5565.0	5565.0	room_and_board medical intestive care unit medical	Room and Board	(2496, 9320]	Units <= 1
02 SATURATION	02 SATURATION	Laboratory	1.0	90.88	90.88	oxygen saturation	Monitoring	(61, 92]	Units <= 1
02 SATURATION	02 SATURATION	Respiratory Services	1.0	244.0	244.0	oxygen saturation	Monitoring	(92, 287]	Units <= 1
02 SATURATION -	02 SATURATION 	Pulmonary Function	1.0	163.0	163.0	oxygen saturation	Monitoring	(92, 287]	Units <= 1
02336923-HB ABO TYPING, C30	02336923 HB ABO TYPING C30	Laboratory	1.0	38.41	38.41	abo typing c30	Laboratory	(17, 41]	Units <= 1
03400001 - RB 5 MAIN MS SEMI-PVT	03400001 RB 5 MAIN MS SEMI PVT	Room & Board	1.0	1440.0	1440.0	room_and_board 5 main semi private	Room and Board	(997, 2496]	Units <= 1
03412137-HB MEDICAL GAS ADMINISTRATION	03412137 HB MEDICAL GAS ADMINISTRATION	Implant/Supply	1.0	192.07	192.07	medical gas administration	Respiratory Therapy	(92, 287]	Units <= 1
03412194-HB OXIMETRY SPOT CHECK,SINGLE	03412194 HB OXIMETRY SPOT CHECK SINGLE	Pulmonary Function	1.0	115.27	115.27	oximetry spot check single	Monitoring	(92, 287]	Units <= 1
03500001 - RB 4 MS INTERMED CCU	03500001 RB 4 MS INTERMED CCU	Coronary Care	1.0	2688.0	2688.0	room_and_board 4 intermedial critical_care_unit	Room and Board	(2496, 9320]	Units <= 1
03600001 - RB 4 WEST MED ICU	03600001 RB 4 WEST MED ICU	Intensive Care	1.0	5565.0	5565.0	room_and_board 4 west medical intensive_care_unit	Room and Board	(2496, 9320]	Units <= 1
03600007 - RB 4 WEST ICU SURG	03600007 RB 4 WEST ICU SURG	Intensive Care	1.0	5565.0	5565.0	room_and_board 4 west intensive_care_unit surgical	Room and Board	(2496, 9320]	Units <= 1
03650070-HB OXIMETRY, CONTINUOUS OVERNIGHT	03650070 HB OXIMETRY CONTINUOUS OVERNIGHT	Pulmonary Function	1.0	507.64	507.64	oximetry continuous overnight	Monitoring	(287, 641]	Units <= 1
03650080-HB OXIMETRY SPOT CHECK,SINGLE	03650080 HB OXIMETRY SPOT CHECK SINGLE	Pulmonary Function	1.0	115.27	115.27	oximetry spot check single	Monitoring	(92, 287]	Units <= 1
03650471-HB OXIMETRY SPOT CHECK, MULTIPLE	03650471 HB OXIMETRY SPOT CHECK MULTIPLE	Pulmonary Function	1.0	507.64	507.64	oximetry spot check multiple	Monitoring	(287, 641]	Units <= 1
03666001 - RB 4 WEST STEP DOWN ICU	03666001 RB 4 WEST STEP DOWN ICU	Intensive Care	1.0	4032.0	4032.0	room_and_board 4 west step down intensive_care_unit	Room and Board	(2496, 9320]	Units <= 1
04500010 - EMER GSH CRIT CARE 30-74MIN	04500010 EMER GSH CRIT CARE 30 74MIN	Emergency Room	1.0	2795.0	2795.0	emergency gsh critical care 30-74min	Other	(2496, 9320]	Units <= 1
06200653-HB C. DIFFICILE TOXIN	06200653 HB C. DIFFICILE TOXIN	Laboratory	1.0	196.67	196.67	c difficile toxin	Laboratory	(92, 287]	Units <= 1
06500001 - POC BS GLUCOSE 4E TELE (GS)	06500001 POC BS GLUCOSE 4E TELE GS 	Laboratory	3.0	0.0	0.0	point_of_care blood_sugar glucose 4e telemetry	Monitoring	(-10, 0]	Units > 1
06600001 - POC BS GLUCOSE 4W ICU (GS)	06600001 POC BS GLUCOSE 4W ICU GS 	Laboratory	3.0	0.0	0.0	point_of_care blood_sugar glucose 4w intensive_care_unit general surgery	Monitoring	(-10, 0]	Units > 1
06660004 - RB 2 WEST ROUTINE	06660004 RB 2 WEST ROUTINE	Room & Board	1.0	1440.0	1440.0	room_and_board 2 west routine	Room and Board	(997, 2496]	Units <= 1
1 25 DIHYDROXY INCLUDES FR	1 25 DIHYDROXY INCLUDES FR	Laboratory	1.0	503.0	503.0	1 25 dihydroxy includes fr	Laboratory	(287, 641]	Units <= 1
HB 10% DEXTROSE/0.9% NACL 1000ML	10% DEXTROSE/0.9% NACL 1000ML	IV Solutions	1.0	32.73	32.73	10% dextrose/0.9% sodium_chloride 1000 ml	Pharmacy	(17, 41]	Units <= 1
10508100 - DXTRSE 5%/WATER / 500ML (100ML	10508100 DXTRSE 5%/WATER / 500ML 100ML	IV Solutions	1.0	25.2	25.2	dextrose 5%/water/500_ml 100_ml	Diluent / Flush / Irrigant	(17, 41]	Units <= 1
