,cleaned_descrip,NORM_DESC,rev_code,CHRG_CLS,Dominant CC1,Dominant CC2,# of descriptions,% Dominance1,% Dominance2,Predicted_Class_Jaro,Prob_Jaro,Correct_Jaro,Predicted_Class_DLevenshtein,Prob_DLevenshtein,Correct_DLevenshtein,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Correct_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Correct_DeepNN,Voted Output,Voting Algorithm,Confidence Score
10,01481540 HB FENTANYL 50ML INJ 0.05MG/ML,fentanyl 50 ml injection 0.05 mg ml,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.78,1,Pharmacy,0.93,1,Pharmacy,0.993490965513,1,Pharmacy,0.999990405575,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
11,01481665 HB VANCOMYCIN 5GM VIAL LEDERLE,vancomycin 5 gm vial lederle,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.87,1,Pharmacy,0.93,1,Pharmacy,0.919573778042,1,Pharmacy,0.99693562859,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
12,01481794 HB DIAZEPAM 5MG/ML VIAL,diazepam 5 mg ml vial,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.85,1,Pharmacy,0.88,1,Pharmacy,0.990803365578,1,Pharmacy,0.999886624835,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
13,01481886 HB DEXTROSE 10% 1/2 NS IV SOLN,dextrose 10% 1/2 normal_saline intravenous solution,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.85,1,Pharmacy,0.88,1,Pharmacy,0.92,1,Pharmacy,0.997371558398,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
14,01482213 HB DEXTROSE NACL 10 0.225 % IV SOLN,dextrose sodium_chloride 10 0.225% intravenous solution,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.79,1,Pharmacy,0.93,1,Pharmacy,0.76,1,Pharmacy,0.988199118895,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
15,01482576 HB ACETAMINOPHEN 10 MG/ML IV SOLN,acetaminophen 10 mg ml intravenous solution,252.0,Pharmacy,Pharmacy,Supply,182.0,85.1648351648,5.49450549451,Pharmacy,0.85,1,Pharmacy,0.93,1,Pharmacy,0.988134621593,1,Pharmacy,0.999368704123,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
16,01484602 HB LEVOCARNITINE 50 MG/ML DILUTION IN SW FOR TPN,levocarnitine 50 mg ml dilution sterile water total_parenteral_nutrition,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.85,1,Pharmacy,0.93,1,Pharmacy,0.971390005977,1,Pharmacy,0.997858950943,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
17,01522077 HB VERIGENE PROBE EACH ORGANISM,verigene probe organism,300.0,Laboratory,Laboratory,Monitoring,1097.0,79.1248860529,9.93618960802,Other,0.71,0,Laboratory,0.34,1,Laboratory,0.96,1,Laboratory,0.995013708309,1,Laboratory,"DLevenshtein, Logistic_OvR, DeepNN",0.95
18,02 SATURATION ,oxygen saturation,460.0,Monitoring,Monitoring,Respiratory Therapy,103.0,66.9902912621,20.3883495146,Monitoring,1.0,1,Monitoring,1.0,1,Monitoring,0.371133081425,1,Monitoring,0.577598755257,1,Monitoring,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
19,02336923 HB ABO TYPING C30,abo typing c30,302.0,Laboratory,Laboratory,Blood Products,180.0,96.1111111111,1.66666666667,Laboratory,0.68,1,Laboratory,0.81,1,Laboratory,0.978569414515,1,Laboratory,0.999937113284,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
20,03400001 RB 5 MAIN MS SEMI PVT,room_and_board 5 main semi private,121.0,Room and Board,Room and Board,Capital Equipment,11.0,90.9090909091,9.09090909091,Room and Board,0.78,1,Room and Board,0.81,1,Room and Board,0.905613498094,1,Room and Board,0.999991775317,1,Room and Board,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
21,03412137 HB MEDICAL GAS ADMINISTRATION,medical gas administration,272.0,Respiratory Therapy,Supply,Diluent / Flush / Irrigant,833.0,84.393757503,3.36134453782,Respiratory Therapy,0.9,1,Respiratory Therapy,0.93,1,Respiratory Therapy,0.454462490984,1,Respiratory Therapy,0.854504472234,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.784741740805
22,03600001 RB 4 WEST MED ICU,room_and_board 4 west medical intensive_care_unit,202.0,Room and Board,Room and Board,Supply,8.0,87.5,12.5,Room and Board,0.86,1,Room and Board,0.88,1,Room and Board,0.96,1,Room and Board,0.999837797407,1,Room and Board,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
23,06660004 RB 2 WEST ROUTINE,room_and_board 2 west routine,121.0,Room and Board,Room and Board,Capital Equipment,11.0,90.9090909091,9.09090909091,Room and Board,0.79,1,Room and Board,0.81,1,Room and Board,0.92,1,Room and Board,0.997435302355,1,Room and Board,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
24,1 25 DIHYDROXY INCLUDES FR,1 25 dihydroxy includes fr,300.0,Laboratory,Laboratory,Monitoring,1097.0,79.1248860529,9.93618960802,Laboratory,0.72,1,Laboratory,0.45,1,Laboratory,0.527060366373,1,Laboratory,0.981914515304,1,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
25,10540800 SOD CHLORIDE 0.9/500ML IV SOL,sodium_chloride 0.9/500_ml intravenous solution,258.0,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,Pharmacy,392.0,55.612244898,39.7959183673,Diluent / Flush / Irrigant,0.89,1,Diluent / Flush / Irrigant,0.93,1,Diluent / Flush / Irrigant,0.92,1,Diluent / Flush / Irrigant,0.977668667776,1,Diluent / Flush / Irrigant,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
26,11030222 ACETYLCYSTEN INJ 100MG 30ML VL,acetylcysteine injection 100_mg 30_ml vial,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.85,1,Pharmacy,0.93,1,Pharmacy,0.987569411344,1,Pharmacy,0.999977512142,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
27,11265042 ASPIRIN TAB CHEW 81MG,aspirin tablet chew 81_mg,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.9,1,Pharmacy,0.88,1,Pharmacy,0.981744176031,1,Pharmacy,0.999170663589,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
28,11332962 IOHEXOL 240MG/ML ORAL 50ML,iohexol 240_mg/ml oral 50_ml,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.75,1,Pharmacy,0.81,1,Pharmacy,0.947701017037,1,Pharmacy,0.998937300963,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
29,11395212 BENGAY GREASELESS CREAM,bengay greaseless cream,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.64,1,Pharmacy,0.35,1,Pharmacy,0.76,1,Pharmacy,0.841766318474,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
30,11482222 BUMETANIDE 0.25MG/ML 10ML,bumetanide 0.25_mg/ml 10_ml,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.75,1,Pharmacy,0.88,1,Pharmacy,0.986981618015,1,Pharmacy,0.999941752481,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
31,11502970 HB KIT IV 3 4 YR PREOP,kit intravenous 3 4 years preoperative,270.0,Supply,Supply,Respiratory Therapy,1919.0,86.294945284,2.55341323606,Supply,0.86,1,Supply,0.81,1,Supply,0.901379680852,1,Supply,0.942288371063,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
32,11514641 HB CANN NSL CO2 W/DEHUMID PED,cannula nasal carbon_dioxide dehumid pediatric,270.0,Supply,Supply,Respiratory Therapy,1919.0,86.294945284,2.55341323606,Supply,0.92,1,Supply,0.96,1,Supply,0.976157292156,1,Supply,0.997965858798,1,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
33,11555222 CALCIUM GLUCONATE PER 10 ML,calcium gluconate per 10_ml,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.91,1,Pharmacy,0.93,1,Pharmacy,0.935832253049,1,Pharmacy,0.998980465498,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
34,11625272 CEFEPIME PER 500MG MB+,cefepime per 500_mg mb,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.9,1,Pharmacy,0.96,1,Pharmacy,0.940179649163,1,Pharmacy,0.997688772978,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
35,12386332 ENOXAPARIN SODIUM 10MG INJ,enoxaparin sodium 10_mg injection,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.96,1,Pharmacy,0.94,1,Pharmacy,0.970190963157,1,Pharmacy,0.99948773721,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
36,12455600 VANCOMYCIN 50MG PER 1ML ORAL,vancomycin 50_mg per 1_ml oral,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Laboratory,0.77,0,Pharmacy,0.81,1,Pharmacy,0.973408445368,1,Pharmacy,0.999906348314,1,Pharmacy,"DLevenshtein, Logistic_OvR, DeepNN",0.95
37,12675042 GENTAMICIN 0.3% 5ML OPTH SOLN,gentamicin 0.3% 5_ml ophth solution,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.72,1,Pharmacy,0.48,1,Pharmacy,0.969901849157,1,Pharmacy,0.99852379639,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
38,12737152 DXTMPHAN GUIFENSIN 30/600MG TB,dxtmphan-guaifenesin 30/600_mg tab,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.76,1,Pharmacy,0.81,1,Pharmacy,0.940139505052,1,Pharmacy,0.999891709969,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
39,12820632 HEPARIN/1000UN 5000/ML 1ML VL,heparin/1000units 5000/ml 1_ml vial,250.0,Diluent / Flush / Irrigant,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.73,1,Pharmacy,0.81,1,Pharmacy,0.92,1,Pharmacy,0.556242140523,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
40,12858252 HYDROCODONE/ACETAMIN 5/325 TAB,hydrocodone acetamin 5/325 tablet,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.85,1,Pharmacy,0.81,1,Pharmacy,0.971157367947,1,Pharmacy,0.998819408481,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
41,13280212 NOREPINEPHRINE INJ 1MG/ML 4ML,norepinephrine injection 1_mg/ml 4_ml,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.75,1,Pharmacy,0.81,1,Pharmacy,0.978845941466,1,Pharmacy,0.999512664826,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
42,13284022 LEVOFLOXACIN TABLET 500MG,levofloxacin tablet 500_mg,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.86,1,Pharmacy,0.81,1,Pharmacy,0.964148571932,1,Pharmacy,0.992208650091,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
43,13290632 LIDOCAINE 1% MDV 20ML INJ,lidocaine 1% mdv 20_ml injection,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.77,1,Pharmacy,0.88,1,Pharmacy,0.929012884725,1,Pharmacy,0.999560632573,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
44,13510222 MAGNESIUM SULFATE PER 500 MG ,magnesium sulfate per 500_mg,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.92,1,Pharmacy,0.93,1,Pharmacy,0.956479087315,1,Pharmacy,0.999888067204,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
45,13607082 METOPROLOL 25MG TABLET,metoprolol 25_mg tablet,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.87,1,Pharmacy,0.88,1,Pharmacy,0.98158331403,1,Pharmacy,0.999679119929,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
46,13729002 METOLAZONE TABLET 10MG,metolazone tablet 10_mg,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.94,1,Pharmacy,0.96,1,Pharmacy,0.982863248832,1,Pharmacy,0.990377357565,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
47,13730572 METRONIDAZOLE/NSS PREMIX 500MG,metronidazole normal_saline_sterile premix 500_mg,258.0,Pharmacy,Diluent / Flush / Irrigant,Pharmacy,392.0,55.612244898,39.7959183673,Pharmacy,0.78,1,Pharmacy,0.44,1,Pharmacy,0.963916217436,1,Pharmacy,0.998986373211,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.795725647662
48,13945262 ESOMEPRAZOLE 40MG PWD PKT ORAL,esomeprazole 40_mg powder packet oral,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.85,1,Pharmacy,0.93,1,Pharmacy,0.96612637498,1,Pharmacy,0.999975329904,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
49,14105002 OCEAN NASAL 45ML,ocean nasal 45_ml,250.0,Supply,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.67,1,Pharmacy,0.43,1,Supply,0.599821662835,0,Procedure,0.539173475283,0,Pharmacy,"Jaro, DLevenshtein",0.275
50,14269002 PANTOPRAZOLE SODIUM 40MG,pantoprazole sodium 40_mg,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.86,1,Pharmacy,0.96,1,Pharmacy,0.905018427803,1,Pharmacy,0.996271642943,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
51,14630032 POTASSIUM CHLORIDE 20MEQ/15ML,potassium chloride 20_meq/15_ml,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.9,1,Pharmacy,0.93,1,Pharmacy,0.917238138472,1,Pharmacy,0.999468495241,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
52,14755052 QUETIAPINE FUMARATE TAB 100MG,quetiapine fumarate tablet 100_mg,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.96,1,Pharmacy,0.94,1,Pharmacy,0.955118020508,1,Pharmacy,0.993519469266,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
53,15700322 WARFARIN 8MG 2 X 4MG TAB,warfarin 8_mg 2 x 4_mg tablet,250.0,Pharmacy,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.86,1,Pharmacy,0.88,1,Pharmacy,0.982288699533,1,Pharmacy,0.999430997182,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
54,17122771 HB OXIMETRY DAILY,hemoglobin oximetry daily,460.0,Monitoring,Monitoring,Respiratory Therapy,103.0,66.9902912621,20.3883495146,Monitoring,0.78,1,Monitoring,0.81,1,Monitoring,0.96,1,Monitoring,0.927796552214,1,Monitoring,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
55,20800207 PF NS 0.9% 0.9 % SOLN 10 ML VIAL,partial_fill normal_saline 0.9% 0.9% solution 10_ml vial,250.0,Diluent / Flush / Irrigant,Pharmacy,Diluent / Flush / Irrigant,2692.0,76.0401188707,12.7043090639,Pharmacy,0.69,1,Pharmacy,0.81,1,Diluent / Flush / Irrigant,0.536479118509,0,Diluent / Flush / Irrigant,0.926935366967,0,Pharmacy,"Jaro, DLevenshtein",0.375
56,27045000 CT HEAD/BRAIN W/O CONTRAST,computed_tomography head brain without contrast,351.0,Radiology,Radiology,,12.0,100.0,0.0,Radiology,0.85,1,Radiology,0.88,1,Radiology,0.928928006185,1,Radiology,0.999548036777,1,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
57,27125000 CT CHEST W/O CONTRAST,computed_tomography chest without contrast,352.0,Radiology,Radiology,Pharmacy,20.0,90.0,10.0,Radiology,0.85,1,Radiology,0.93,1,Radiology,0.96,1,Radiology,0.994358378463,1,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
58,27303007 XR SHOULDER MIN 2VWS LT,x-ray shoulder minimum 2 views left,320.0,Radiology,Radiology,Laboratory,111.0,75.6756756757,6.30630630631,Radiology,0.85,1,Radiology,0.88,1,Radiology,0.92,1,Radiology,0.977072962228,1,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
59,27417600 CT ABD/PELVIS W/O CONTRAST,computed_tomography abdomen pelvis without contrast,352.0,Radiology,Radiology,Pharmacy,20.0,90.0,10.0,Radiology,0.85,1,Radiology,0.88,1,Radiology,0.956185342283,1,Radiology,0.99992455206,1,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
60,27677000 US RETROPERITONEAL COMP,ultrasound retroperitoneal comprehensive,402.0,Radiology,Radiology,Laboratory,64.0,54.6875,32.8125,Radiology,0.73,1,Radiology,0.81,1,Radiology,0.96,1,Radiology,0.962365896464,1,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
61,27907888 ANGIO PACK,angiography pack,272.0,Supply,Supply,Diluent / Flush / Irrigant,833.0,84.393757503,3.36134453782,Pharmacy,0.67,0,Pharmacy,0.32,0,Supply,0.96,1,Supply,0.939725335945,1,Supply,"Logistic_OvR, DeepNN",0.474931333986
62,27907918 REM TUN CVC W/O PORT/PUMP,removal tunneled central_venous_catheter without port pump,361.0,Procedure,Procedure,Radiology,47.0,51.0638297872,21.2765957447,Procedure,0.78,1,Procedure,0.81,1,Capital Equipment,0.489244943787,0,Procedure,0.912930642061,1,Procedure,"Jaro, DLevenshtein, DeepNN",0.95
63,30000091 HC ROUTINE VENIPUNCTURE,hc routine venipuncture,300.0,Nursing Services,Laboratory,Monitoring,1097.0,79.1248860529,9.93618960802,Nursing Services,0.76,1,Nursing Services,0.88,1,Nursing Services,0.96,1,Nursing Services,0.999837577604,1,Nursing Services,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.899959394401
64,3D RENDERING W/INTERP&POSTPROC DIFF WORK STATION,3 rendering interpretation_&_postprocedure differential work station,350.0,Cardiology,Pharmacy,Radiology,40.0,45.0,45.0,Radiology,0.77,0,Radiology,0.81,0,Laboratory,0.96,1,Laboratory,0.999178058299,1,Laboratory,"Logistic_OvR, DeepNN",0.489794514575
65,46110000 RB 5 SOUTH ROUTINE,room_and_board 5 south routine,121.0,Room and Board,Room and Board,Capital Equipment,11.0,90.9090909091,9.09090909091,Laboratory,0.73,0,Laboratory,0.48,0,Room and Board,0.92,1,Room and Board,0.996643892943,1,Room and Board,"Logistic_OvR, DeepNN",0.479160973236
66,46130010 POC BS GLUCOSE 5S,point_of_care blood_sugar glucose,300.0,Monitoring,Laboratory,Monitoring,1097.0,79.1248860529,9.93618960802,Monitoring,0.86,1,Monitoring,0.96,1,Monitoring,0.940976247053,1,Monitoring,0.999659015914,1,Monitoring,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.940158815742
67,5%DEXTROSE/1/2NS+KCL 10MEQ/L 1,5%dextrose/1/2 normal_saline potassium_chloride 10_meq/liter 1,258.0,Pharmacy,Diluent / Flush / Irrigant,Pharmacy,392.0,55.612244898,39.7959183673,Pharmacy,1.0,1,Pharmacy,1.0,1,Pharmacy,0.47718099734,1,Pharmacy,0.923144412586,1,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.850081352481
68,53193000 PULSE OXIMETRY PER HOUR,pulse oximetry per hour,270.0,Monitoring,Supply,Respiratory Therapy,1919.0,86.294945284,2.55341323606,Monitoring,0.9,1,Monitoring,0.93,1,Monitoring,0.96,1,Monitoring,0.98972873409,1,Monitoring,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.944932183523
69,53277000 ARTERIAL BLD DRAW FOR ANALYSIS,arterial blood draw analysis,450.0,Nursing Services,Nursing Services,Other,67.0,40.2985074627,20.8955223881,Monitoring,0.74,0,Nursing Services,0.38,1,Nursing Services,0.92,1,Nursing Services,0.999954181587,1,Nursing Services,"DLevenshtein, Logistic_OvR, DeepNN",0.95
70,55551015 OR GEN LEVEL 1 EA ADD 15MIN,operation_room general level 1 additional 15_minutes,360.0,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,Procedure,116.0,58.6206896552,12.9310344828,OR / Anesthesia / Recovery Room,0.78,1,OR / Anesthesia / Recovery Room,0.93,1,OR / Anesthesia / Recovery Room,0.96,1,OR / Anesthesia / Recovery Room,0.999986667026,1,OR / Anesthesia / Recovery Room,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
71,58111000 NEBULIZER ULTRASONIC TREATMENT,nebulizer ultrasonic treatment,410.0,Respiratory Therapy,Respiratory Therapy,Monitoring,279.0,64.1577060932,10.0358422939,Respiratory Therapy,0.94,1,Respiratory Therapy,0.92,1,Respiratory Therapy,0.76,1,Respiratory Therapy,0.999478334379,1,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.95
