descrip	cleaned_descrip	rev_code	units	billed_amount	norm_billed_amount	NORM_DESC	CHRG_CLS	amount_bins	Dominant CC1	Dominant CC2	# of descriptions	% Dominance1	% Dominance2
*PTT PARTIAL THROMBOPLASTIN TIME	 PTT PARTIAL THROMBOPLASTIN TIME	306.0	1.0	96.0	96.0	partial_prothrombaplastin_time partial thromboplastin time	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
*URINALYSIS AUTOMATED W/O MICRO	 URINALYSIS AUTOMATED W/O MICRO	307.0	1.0	44.0	44.0	urinalysis automated without miscroscopic	Laboratory	(40, 60]	Laboratory	Pharmacy	1050.0	29.0476190476	29.0476190476
.9% NACL 500ML	.9% NACL 500ML	250.0	1.0	3.63	3.63	.9% sodium_chloride 500_ml	Diluent / Flush / Irrigant	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
.9% NACL 500ML	.9% NACL 500ML	258.0	1.0	3.63	2.89	.9% sodium_chloride 500_ml	Diluent / Flush / Irrigant	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
0.9% NACL 0.9 % SOLN 50 ML FLEX CONT	0.9% NACL 0.9 % SOLN 50 ML FLEX CONT	636.0	1.0	31.8	31.8	0.9% sodium_chloride 0.9% solution 50_ml flex cont	Diluent / Flush / Irrigant	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
0.9% NACL 0.9% SOLN	0.9% NACL 0.9% SOLN	250.0	1.0	7.03	7.03	0.9% sodium_chloride 0.9% solution	Diluent / Flush / Irrigant	(5, 20]	Pharmacy	Supply	1924.0	52.9106029106	27.2869022869
0.9% NACL 0.9% SOLN	0.9% NACL 0.9% SOLN	251.0	1.0	16.5	16.5	0.9% sodium_chloride 0.9% solution	Diluent / Flush / Irrigant	(5, 20]	Pharmacy	Supply	1924.0	52.9106029106	27.2869022869
0.9% NACL 0.9% SOLN	0.9% NACL 0.9% SOLN	258.0	1.0	83.0	83.0	0.9% sodium_chloride 0.9% solution	Diluent / Flush / Irrigant	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
0.9% NACL 0.9% SOLN	0.9% NACL 0.9% SOLN	636.0	1.0	31.8	31.8	0.9% sodium_chloride 0.9% solution	Diluent / Flush / Irrigant	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
0.9% NACL 100ML	0.9% NACL 100ML	250.0	1.0	11.8	11.8	0.9% sodium_chloride 100_ml	Diluent / Flush / Irrigant	(5, 20]	Pharmacy	Supply	1924.0	52.9106029106	27.2869022869
0.9% NACL 100ML	0.9% NACL 100ML	258.0	1.0	11.8	11.8	0.9% sodium_chloride 100_ml	Diluent / Flush / Irrigant	(5, 20]	Pharmacy	Supply	1924.0	52.9106029106	27.2869022869
0.9% NACL 250ML	0.9% NACL 250ML	250.0	1.0	5.145	3.43	0.9% sodium_chloride 250_ml	Diluent / Flush / Irrigant	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
0.9% NACL 250ML	0.9% NACL 250ML	258.0	1.0	8.7	8.7	0.9% sodium_chloride 250_ml	Diluent / Flush / Irrigant	(5, 20]	Pharmacy	Supply	1924.0	52.9106029106	27.2869022869
HB 0.9% NACL 250ML 2B1322Q INJ	0.9% NACL 250ML 2B1322Q INJ	250.0	1.0	73.0	73.0	0.9% sodium_chloride 250_ml 2b1322q injection	Diluent / Flush / Irrigant	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
HB 0.9% NACL 250ML 2B1322Q INJ	0.9% NACL 250ML 2B1322Q INJ	258.0	1.0	73.0	73.0	0.9% sodium_chloride 250_ml 2b1322q injection	Diluent / Flush / Irrigant	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
0.9% SODIUM CHLORIDE 0.9 % SOLN	0.9% SODIUM CHLORIDE 0.9 % SOLN	250.0	1.0	144.25	144.25	0.9% sodium chloride 0.9% solution	Diluent / Flush / Irrigant	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
0.9% SODIUM CHLORIDE 0.9 % SOLN	0.9% SODIUM CHLORIDE 0.9 % SOLN	258.0	1.0	152.75	152.75	0.9% sodium chloride 0.9% solution	Diluent / Flush / Irrigant	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
0.9% SODIUM CHLORIDE 0.9 % SOLN 50 ML FLEX CONT	0.9% SODIUM CHLORIDE 0.9 % SOLN 50 ML FLEX CONT	250.0	1.0	73.0	73.0	0.9% sodium chloride 0.9% solution 50_ml flex control	Diluent / Flush / Irrigant	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
0.9% SODIUM CHLORIDE 0.9 % SOLN 50 ML FLEX CONT	0.9% SODIUM CHLORIDE 0.9 % SOLN 50 ML FLEX CONT	258.0	1.0	61.5	61.5	0.9% sodium chloride 0.9% solution 50_ml flex control	Diluent / Flush / Irrigant	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
00299285-HB COMPREHENSIVE EMERGENCY ROOM VISIT	00299285 HB COMPREHENSIVE EMERGENCY ROOM VISIT	450.0	1.0	1078.0	1078.0	comprehensive emergency_room visit	Other	(1000, 2500]	Radiology	Supply	461.0	21.0412147505	13.6659436009
00506709-HB ANES MATERIALS ADD'L 15 MIN	00506709 HB ANES MATERIALS ADD L 15 MIN	370.0	6.5	754.0	116.0	anesthesia materials additional 15_minutes	OR / Anesthesia / Recovery Room	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
00925149-HB ACTIVATED PAR THROMBOPLAS TIME	00925149 HB ACTIVATED PAR THROMBOPLAS TIME	305.0	1.0	82.51	82.51	activated partial thromboplastin time	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
00925339-HB URINALYSIS W/ MICROSCOPIC	00925339 HB URINALYSIS W/ MICROSCOPIC	307.0	1.0	60.35	60.35	urinalysis w microscopic	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
00926618-HB COMPLETE BLOOD COUNT,ONLY	00926618 HB COMPLETE BLOOD COUNT ONLY	300.0	1.0	36.32	36.32	complete_blood_count only	Laboratory	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
00926766-HB LOW MOLECULAR WEIGHT HEPARIN	00926766 HB LOW MOLECULAR WEIGHT HEPARIN	305.0	1.0	180.32	180.32	lower molecular weight heparin	Pharmacy	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
01015031-HB POTASSIUM, SERUM	01015031 HB POTASSIUM SERUM	301.0	1.0	50.5	50.5	potassium serum	Laboratory	(40, 60]	Laboratory	Pharmacy	1050.0	29.0476190476	29.0476190476
01015056-HB PHOSPHORUS SERUM	01015056 HB PHOSPHORUS SERUM	301.0	1.0	33.33	33.33	phosphorus serum	Laboratory	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
01015064-HB ALKALINE PHOSPHATASE	01015064 HB ALKALINE PHOSPHATASE	301.0	1.0	21.32	21.32	alkaline phosphatase	Laboratory	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
01015098-HB BILIRUBIN TOTAL	01015098 HB BILIRUBIN TOTAL	300.0	1.0	29.85	29.85	bilirubin total	Laboratory	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
01015106-HB BILIRUBIN DIRECT	01015106 HB BILIRUBIN DIRECT	300.0	1.0	22.39	22.39	bilirubin direct	Laboratory	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
01015122-HB TOTAL PROTEIN SERUM	01015122 HB TOTAL PROTEIN SERUM	301.0	1.0	33.05	33.05	total protein serum	Laboratory	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
01015379-HB CREATININE, OTHER SOURCE	01015379 HB CREATININE OTHER SOURCE	301.0	1.0	63.47	63.47	creatinine other source	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
01015510-HB MAGNESIUM SERUM	01015510 HB MAGNESIUM SERUM	301.0	1.0	61.06	61.06	magnesium serum	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
01016096-HB THYROID STIMULATING HORMONE (TSH)	01016096 HB THYROID STIMULATING HORMONE TSH 	300.0	1.0	116.0	116.0	thyroid stimulating hormone thyroid stimulating hormone	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
01017441-HB GAMMA GT	01017441 HB GAMMA GT	301.0	1.0	41.44	41.44	gamma glutamyl transferase	Laboratory	(40, 60]	Laboratory	Pharmacy	1050.0	29.0476190476	29.0476190476
01017458-HB LIPASE - SERUM	01017458 HB LIPASE SERUM	301.0	1.0	89.44	89.44	lipase serum	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
01019207-HB VANCOMYCIN SINGLE LEVEL	01019207 HB VANCOMYCIN SINGLE LEVEL	301.0	1.0	161.57	161.57	vancomycin single level	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
01019595-HB FERRITIN	01019595 HB FERRITIN	301.0	1.0	131.91	131.91	ferritin	Laboratory	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
01118850-HB THYROGLOBULIN	01118850 HB THYROGLOBULIN	300.0	1.0	23.08	23.08	thyroglobulin	Laboratory	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
01119098-HB CERULOPLASMIN	01119098 HB CERULOPLASMIN	300.0	1.0	18.66	18.66	ceruloplasmin	Laboratory	(5, 20]	Pharmacy	Supply	1924.0	52.9106029106	27.2869022869
01119213-HB ZINC, BLOOD	01119213 HB ZINC BLOOD	300.0	1.0	17.37	17.37	zinc blood	Laboratory	(5, 20]	Pharmacy	Supply	1924.0	52.9106029106	27.2869022869
01119817-HB SELENIUM BLOOD	01119817 HB SELENIUM BLOOD	300.0	1.0	37.03	37.03	selenium blood	Laboratory	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
01136186-HB THYROGLOBULIN SERUM/PLASMA	01136186 HB THYROGLOBULIN SERUM/PLASMA	300.0	1.0	23.3	23.3	thyroglobulin serum/plasma	Laboratory	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
01300011-HB CVC DRESSING CHANGE	01300011 HB CVC DRESSING CHANGE	940.0	1.0	115.13	115.13	central venous catheter dressing change	Supply	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
01300375-HB PERIPHERAL/CENTRAL LINE/CATHETER ASSESSMENT	01300375 HB PERIPHERAL/CENTRAL LINE/CATHETER ASSESSMENT	920.0	1.0	172.69	172.69	peripheral/central line/catheter assessment	Nursing Services	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
01300375-HB PERIPHERAL/CENTRAL LINE/CATHETER ASSESSMENT	01300375 HB PERIPHERAL/CENTRAL LINE/CATHETER ASSESSMENT	940.0	1.0	172.69	172.69	peripheral/central line/catheter assessment	Nursing Services	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
014 CHIKAI WIRE	014 CHIKAI WIRE	621.0	1.0	1727.65	1727.65	014 chikai wire	Supply	(1000, 2500]	Radiology	Supply	461.0	21.0412147505	13.6659436009
01410935-HB MORPHINE 30 MG/30 ML PCA 1 MG/ML	01410935 HB MORPHINE 30 MG/30 ML PCA 1 MG/ML	250.0	3.0	45.11	15.0366666667	morphine 30 mg/30 ml patient controlled analgesia 1 mg/ml	Pharmacy	(5, 20]	Pharmacy	Supply	1924.0	52.9106029106	27.2869022869
01428291-HB 5%DEXTROSE/1/2NS+KCL 10MEQ/L 1	01428291 HB 5%DEXTROSE/1/2NS+KCL 10MEQ/L 1	258.0	1.0	41.73	41.73	5% dextrose/1/2 normal_saline and potassuim_chloride 10 meq/l 1	Pharmacy	(40, 60]	Laboratory	Pharmacy	1050.0	29.0476190476	29.0476190476
01428523-HB STERILE WATER FOR INJ 1L	01428523 HB STERILE WATER FOR INJ 1L	258.0	834.0	16.23	0.0193406593407	sterile water for injection 1 liter	Diluent / Flush / Irrigant	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
01431899-HB NYSTATIN 100,000U/GM OINT 15GM	01431899 HB NYSTATIN 100 000U/GM OINT 15GM	250.0	1.0	80.0	80.0	nystatin 100 000u/gram ointment 15 gm	Pharmacy	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
01433309-HB TRIAMCINOLONE 0.1% CR 454GM	01433309 HB TRIAMCINOLONE 0.1% CR 454GM	250.0	1.0	26.34	26.34	triamcinolone 0.1% cream 454 gm	Pharmacy	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
01435262-HB FERROUS SO4 220MG/5ML ELIXIR4	01435262 HB FERROUS SO4 220MG/5ML ELIXIR4	250.0	2.0	0.02	0.01	ferrous sulfate 220 mg/5 ml elixir4	Pharmacy	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
01435569-HB GLYCOPYRROLATE 0.2MG/ML 1ML	01435569 HB GLYCOPYRROLATE 0.2MG/ML 1ML	250.0	1.0	47.555	47.555	glycopyrrolate 0.2 mg/ml 1 ml	Pharmacy	(40, 60]	Laboratory	Pharmacy	1050.0	29.0476190476	29.0476190476
01445402-HB ACETAMINOPHEN 160MG/5ML TYLEN	01445402 HB ACETAMINOPHEN 160MG/5ML TYLEN	250.0	2.0	1.2	0.6	acetaminophen 160 mg/5 ml tylenol	Pharmacy	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
01453505-HB ALBUMIN 5%	01453505 HB ALBUMIN 5%	250.0	1.0	153.56	153.56	albumin 5%	Pharmacy	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
01465939-HB DEXTROSE 70% WATER	01465939 HB DEXTROSE 70% WATER	250.0	1.0	38.67	38.67	dextrose 70% water	Pharmacy	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
01466275-HB CISATRACURIUM 2MG/ML 10ML VL	01466275 HB CISATRACURIUM 2MG/ML 10ML VL	250.0	1.0	15.46	15.46	cisatracurium 2 mg/ml 10 ml vial	Pharmacy	(5, 20]	Pharmacy	Supply	1924.0	52.9106029106	27.2869022869
01467299-HB DIAZEPAM 5MG/5ML CUP	01467299 HB DIAZEPAM 5MG/5ML CUP	250.0	1.0	12.7	12.7	diazepam 5 mg/5 ml cup	Pharmacy	(5, 20]	Pharmacy	Supply	1924.0	52.9106029106	27.2869022869
01467315-HB OXYCODONE 5MG/5ML CUP	01467315 HB OXYCODONE 5MG/5ML CUP	250.0	1.0	6.38	6.38	oxycodone 5 mg/5 ml cup	Pharmacy	(5, 20]	Pharmacy	Supply	1924.0	52.9106029106	27.2869022869
01468891-HB RIFAXIMIN 200MG TABLET	01468891 HB RIFAXIMIN 200MG TABLET	252.0	1.0	87.76	87.76	rifaximin 200 mg tablet	Pharmacy	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
01481540-HB FENTANYL 50ML INJ 0.05MG/ML	01481540 HB FENTANYL 50ML INJ 0.05MG/ML	250.0	1.0	2.31	2.31	fentanyl 50 ml injection 0.05 mg/ml	Pharmacy	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
01481621-HB 5% DEXTROSE/WATER 1000ML	01481621 HB 5% DEXTROSE/WATER 1000ML	258.0	1.0	35.9	35.9	5% dextrose/water 1000 ml	Diluent / Flush / Irrigant	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
01481665-HB VANCOMYCIN 5GM VIAL LEDERLE	01481665 HB VANCOMYCIN 5GM VIAL LEDERLE	250.0	1.0	9.36	9.36	vancomycin 5 gm vial lederle	Pharmacy	(5, 20]	Pharmacy	Supply	1924.0	52.9106029106	27.2869022869
01481666-HB MORPHINE SO4 15MG/ML INJ 20ML	01481666 HB MORPHINE SO4 15MG/ML INJ 20ML	250.0	1.0	2.35	2.35	morphine_sulfate 15 mg/ml injection 20 ml	Pharmacy	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
01481794-HB DIAZEPAM 5MG/ML VIAL	01481794 HB DIAZEPAM 5MG/ML VIAL	250.0	1.0	6.76	6.76	diazepam 5 mg/ml vial	Pharmacy	(5, 20]	Pharmacy	Supply	1924.0	52.9106029106	27.2869022869
01481835-HB NEOSTIGMINE 1MG/ML VIAL	01481835 HB NEOSTIGMINE 1MG/ML VIAL	250.0	2.0	42.18	21.09	neostigmine 1 mg/ml vial	Pharmacy	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
01481886-HB DEXTROSE 10%-1/2 NS IV SOLN	01481886 HB DEXTROSE 10% 1/2 NS IV SOLN	250.0	2.0	54.74	27.37	dextrose 10% 1/2 normal_saline intravenous solution	Pharmacy	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
01482023-HB ZOFRAN 4MG/2ML IV SOLN	01482023 HB ZOFRAN 4MG/2ML IV SOLN	250.0	2.0	2.77	1.6425	zofran 4 mg/2 ml intravenous solution	Pharmacy	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
01482029-HB HEPARIN SOD 10U/ML DISPSYR 1ML	01482029 HB HEPARIN SOD 10U/ML DISPSYR 1ML	250.0	3.0	0.0	0.0	heparin sodium 10 units/ml dispsyr 1 ml	Pharmacy	(-10, 0]	Supply	Pharmacy	253.0	24.9011857708	21.3438735178
01482102-HB LOPERAMIDE HCL 2 MG PO TABS	01482102 HB LOPERAMIDE HCL 2 MG PO TABS	251.0	2.0	0.67	0.335	loperamide hydrochloride 2 mg by_mouth tablets	Pharmacy	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
01482213-HB DEXTROSE-NACL 10-0.225 % IV SOLN	01482213 HB DEXTROSE NACL 10 0.225 % IV SOLN	250.0	2.0	81.74	40.87	dextrose sodium_chloride 10 0.225% intravenous solution	Pharmacy	(40, 60]	Laboratory	Pharmacy	1050.0	29.0476190476	29.0476190476
01482221-HB ALBUTEROL SULFATE HFA 108 (90 BASE) MCG/ACT IN AERS	01482221 HB ALBUTEROL SULFATE HFA 108 90 BASE MCG/ACT IN AERS	250.0	1.0	245.53	245.53	albuterol sulfate hfa 108 90 base mcg act	Pharmacy	(100, 300]	Laboratory	Supply	3192.0	38.5338345865	17.4498746867
01482404-HB LIDOCAINE HCL 2% EX GEL	01482404 HB LIDOCAINE HCL 2% EX GEL	251.0	1.0	36.33	36.33	lidocaine hydrochloride 2% ex gel	Pharmacy	(20, 40]	Pharmacy	Supply	1443.0	40.4019404019	22.2453222453
01482546-HB FERROUS SULFATE 75 (15 FE) MG/ML PO	01482546 HB FERROUS SULFATE 75 15 FE MG/ML PO	251.0	1.0	0.15	0.15	ferrous sulfate 75 15 fe mg/ml by_mouth	Pharmacy	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
01482576-HB ACETAMINOPHEN 10 MG/ML IV SOLN	01482576 HB ACETAMINOPHEN 10 MG/ML IV SOLN	252.0	19.0	56.51	2.97421052632	acetaminophen 10 mg/ml intravenous solution	Pharmacy	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
01482615-HB MIDAZOLAM HCL 2 MG/2ML IJ SOLN	01482615 HB MIDAZOLAM HCL 2 MG/2ML IJ SOLN	251.0	2.0	5.77	2.885	midazolam hydrochloride 2 mg/2 ml injection solution	Pharmacy	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
01484079-HB LANSOPRAZOLE 3MG/ML ORAL SUSPENSION K	01484079 HB LANSOPRAZOLE 3MG/ML ORAL SUSPENSION K	251.0	5.0	10.09	2.018	lansoprazole 3 mg/ml oral suspension k	Pharmacy	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
01484105-HB ENOXAPARIN SODIUM 300 MG/3ML IJ SOLN	01484105 HB ENOXAPARIN SODIUM 300 MG/3ML IJ SOLN	251.0	2.0	22.78	11.39	enoxaparin sodium 300 mg/3 ml injection solution	Pharmacy	(5, 20]	Pharmacy	Supply	1924.0	52.9106029106	27.2869022869
01484602-HB LEVOCARNITINE 50 MG/ML DILUTION IN SW FOR TPN	01484602 HB LEVOCARNITINE 50 MG/ML DILUTION IN SW FOR TPN	250.0	6.0	65.6	10.9333333333	levocarnitine 50 mg/ml dilution in sterile water for total_parenteral_nutrition	Pharmacy	(5, 20]	Pharmacy	Supply	1924.0	52.9106029106	27.2869022869
01484738-HB CEFEPIME-DEXTROSE 2 GM/50 ML	01484738 HB CEFEPIME DEXTROSE 2 GM/50 ML	251.0	2.0	30.75	15.375	cefepime dextrose 2 gm/50 ml	Pharmacy	(5, 20]	Pharmacy	Supply	1924.0	52.9106029106	27.2869022869
01495032-HB DISTILLED WATER PO LIQD	01495032 HB DISTILLED WATER PO LIQD	250.0	10.0	0.7	0.07	distilled_water by_mouth liquid	Diluent / Flush / Irrigant	(0, 5]	Pharmacy	Supply	1962.0	68.3995922528	19.9796126402
01495045-HB METRONIDAZOLE BENZOATE POWD	01495045 HB METRONIDAZOLE BENZOATE POWD	250.0	1.0	8.52	8.52	metronidazole benzoate powder	Pharmacy	(5, 20]	Pharmacy	Supply	1924.0	52.9106029106	27.2869022869
01518026-HB URINE CULTURE	01518026 HB URINE CULTURE	300.0	1.0	87.3	87.3	urine culture	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
01522061-HB AUTOMATED MIC	01522061 HB AUTOMATED MIC	300.0	1.0	61.07	61.07	automated minimal inhibitory concentration	Laboratory	(60, 100]	Laboratory	Pharmacy	1751.0	37.4643061108	21.7018846374
