descrip	cleaned_descrip	rev_code	units	billed_amount	norm_billed_amount	NORM_DESC	CHRG_CLS	Dominant CC	# of descriptions	% Dominance
0.9% NACL 250ML	0.9% NACL 250ML	258.0	1.0	8.7	8.7	0.9% sodium_chloride 250_ml	Diluent / Flush / Irrigant	Diluent / Flush / Irrigant	392.0	55.612244898
HB 0.9% NACL 250ML 2B1322Q INJ	0.9% NACL 250ML 2B1322Q INJ	250.0	1.0	73.0	73.0	0.9% sodium_chloride 250_ml 2b1322q injection	Diluent / Flush / Irrigant	Pharmacy	2692.0	76.0401188707
HB 0.9% NACL 250ML 2B1322Q INJ	0.9% NACL 250ML 2B1322Q INJ	258.0	1.0	73.0	73.0	0.9% sodium_chloride 250_ml 2b1322q injection	Diluent / Flush / Irrigant	Diluent / Flush / Irrigant	392.0	55.612244898
0.9% SODIUM CHLORIDE 0.9 % SOLN	0.9% SODIUM CHLORIDE 0.9 % SOLN	250.0	1.0	144.25	144.25	0.9% sodium chloride 0.9% solution	Diluent / Flush / Irrigant	Pharmacy	2692.0	76.0401188707
0.9% SODIUM CHLORIDE 0.9 % SOLN	0.9% SODIUM CHLORIDE 0.9 % SOLN	258.0	1.0	152.75	152.75	0.9% sodium chloride 0.9% solution	Diluent / Flush / Irrigant	Diluent / Flush / Irrigant	392.0	55.612244898
0.9% SODIUM CHLORIDE 0.9 % SOLN 50 ML FLEX CONT	0.9% SODIUM CHLORIDE 0.9 % SOLN 50 ML FLEX CONT	250.0	1.0	73.0	73.0	0.9% sodium chloride 0.9% solution 50_ml flex control	Diluent / Flush / Irrigant	Pharmacy	2692.0	76.0401188707
0.9% SODIUM CHLORIDE 0.9 % SOLN 50 ML FLEX CONT	0.9% SODIUM CHLORIDE 0.9 % SOLN 50 ML FLEX CONT	258.0	1.0	61.5	61.5	0.9% sodium chloride 0.9% solution 50_ml flex control	Diluent / Flush / Irrigant	Diluent / Flush / Irrigant	392.0	55.612244898
00299285-HB COMPREHENSIVE EMERGENCY ROOM VISIT	00299285 HB COMPREHENSIVE EMERGENCY ROOM VISIT	450.0	1.0	1078.0	1078.0	comprehensive emergency_room visit	Other	Nursing Services	67.0	40.2985074627
00506709-HB ANES MATERIALS ADD'L 15 MIN	00506709 HB ANES MATERIALS ADD L 15 MIN	370.0	6.5	754.0	116.0	anesthesia materials additional 15_minutes	OR / Anesthesia / Recovery Room	OR / Anesthesia / Recovery Room	72.0	66.6666666667
00925149-HB ACTIVATED PAR THROMBOPLAS TIME	00925149 HB ACTIVATED PAR THROMBOPLAS TIME	305.0	1.0	82.51	82.51	activated partial thromboplastin time	Laboratory	Laboratory	271.0	92.6199261993
00925339-HB URINALYSIS W/ MICROSCOPIC	00925339 HB URINALYSIS W/ MICROSCOPIC	307.0	1.0	60.35	60.35	urinalysis w microscopic	Laboratory	Laboratory	39.0	94.8717948718
00926618-HB COMPLETE BLOOD COUNT,ONLY	00926618 HB COMPLETE BLOOD COUNT ONLY	300.0	1.0	36.32	36.32	complete_blood_count only	Laboratory	Laboratory	1097.0	79.1248860529
00926766-HB LOW MOLECULAR WEIGHT HEPARIN	00926766 HB LOW MOLECULAR WEIGHT HEPARIN	305.0	1.0	180.32	180.32	lower molecular weight heparin	Pharmacy	Laboratory	271.0	92.6199261993
01015031-HB POTASSIUM, SERUM	01015031 HB POTASSIUM SERUM	301.0	1.0	50.5	50.5	potassium serum	Laboratory	Laboratory	924.0	79.2207792208
01015056-HB PHOSPHORUS SERUM	01015056 HB PHOSPHORUS SERUM	301.0	1.0	33.33	33.33	phosphorus serum	Laboratory	Laboratory	924.0	79.2207792208
01015064-HB ALKALINE PHOSPHATASE	01015064 HB ALKALINE PHOSPHATASE	301.0	1.0	21.32	21.32	alkaline phosphatase	Laboratory	Laboratory	924.0	79.2207792208
01015098-HB BILIRUBIN TOTAL	01015098 HB BILIRUBIN TOTAL	300.0	1.0	29.85	29.85	bilirubin total	Laboratory	Laboratory	1097.0	79.1248860529
01015106-HB BILIRUBIN DIRECT	01015106 HB BILIRUBIN DIRECT	300.0	1.0	22.39	22.39	bilirubin direct	Laboratory	Laboratory	1097.0	79.1248860529
01015122-HB TOTAL PROTEIN SERUM	01015122 HB TOTAL PROTEIN SERUM	301.0	1.0	33.05	33.05	total protein serum	Laboratory	Laboratory	924.0	79.2207792208
01015379-HB CREATININE, OTHER SOURCE	01015379 HB CREATININE OTHER SOURCE	301.0	1.0	63.47	63.47	creatinine other source	Laboratory	Laboratory	924.0	79.2207792208
01015510-HB MAGNESIUM SERUM	01015510 HB MAGNESIUM SERUM	301.0	1.0	61.06	61.06	magnesium serum	Laboratory	Laboratory	924.0	79.2207792208
01016096-HB THYROID STIMULATING HORMONE (TSH)	01016096 HB THYROID STIMULATING HORMONE TSH 	300.0	1.0	116.0	116.0	thyroid stimulating hormone thyroid stimulating hormone	Laboratory	Laboratory	1097.0	79.1248860529
01017441-HB GAMMA GT	01017441 HB GAMMA GT	301.0	1.0	41.44	41.44	gamma glutamyl transferase	Laboratory	Laboratory	924.0	79.2207792208
01017458-HB LIPASE - SERUM	01017458 HB LIPASE SERUM	301.0	1.0	89.44	89.44	lipase serum	Laboratory	Laboratory	924.0	79.2207792208
01019207-HB VANCOMYCIN SINGLE LEVEL	01019207 HB VANCOMYCIN SINGLE LEVEL	301.0	1.0	161.57	161.57	vancomycin single level	Laboratory	Laboratory	924.0	79.2207792208
01019595-HB FERRITIN	01019595 HB FERRITIN	301.0	1.0	131.91	131.91	ferritin	Laboratory	Laboratory	924.0	79.2207792208
01118850-HB THYROGLOBULIN	01118850 HB THYROGLOBULIN	300.0	1.0	23.08	23.08	thyroglobulin	Laboratory	Laboratory	1097.0	79.1248860529
01119098-HB CERULOPLASMIN	01119098 HB CERULOPLASMIN	300.0	1.0	18.66	18.66	ceruloplasmin	Laboratory	Laboratory	1097.0	79.1248860529
01119213-HB ZINC, BLOOD	01119213 HB ZINC BLOOD	300.0	1.0	17.37	17.37	zinc blood	Laboratory	Laboratory	1097.0	79.1248860529
01119817-HB SELENIUM BLOOD	01119817 HB SELENIUM BLOOD	300.0	1.0	37.03	37.03	selenium blood	Laboratory	Laboratory	1097.0	79.1248860529
01136186-HB THYROGLOBULIN SERUM/PLASMA	01136186 HB THYROGLOBULIN SERUM/PLASMA	300.0	1.0	23.3	23.3	thyroglobulin serum/plasma	Laboratory	Laboratory	1097.0	79.1248860529
01300011-HB CVC DRESSING CHANGE	01300011 HB CVC DRESSING CHANGE	940.0	1.0	115.13	115.13	central venous catheter dressing change	Supply	Nursing Services	19.0	42.1052631579
01300375-HB PERIPHERAL/CENTRAL LINE/CATHETER ASSESSMENT	01300375 HB PERIPHERAL/CENTRAL LINE/CATHETER ASSESSMENT	920.0	1.0	172.69	172.69	peripheral/central line/catheter assessment	Nursing Services	Nursing Services	40.0	30.0
01300375-HB PERIPHERAL/CENTRAL LINE/CATHETER ASSESSMENT	01300375 HB PERIPHERAL/CENTRAL LINE/CATHETER ASSESSMENT	940.0	1.0	172.69	172.69	peripheral/central line/catheter assessment	Nursing Services	Nursing Services	19.0	42.1052631579
014 CHIKAI WIRE	014 CHIKAI WIRE	621.0	1.0	1727.65	1727.65	014 chikai wire	Supply	Supply	10.0	100.0
01410935-HB MORPHINE 30 MG/30 ML PCA 1 MG/ML	01410935 HB MORPHINE 30 MG/30 ML PCA 1 MG/ML	250.0	3.0	45.11	15.0366666667	morphine 30 mg/30 ml patient controlled analgesia 1 mg/ml	Pharmacy	Pharmacy	2692.0	76.0401188707
01428291-HB 5%DEXTROSE/1/2NS+KCL 10MEQ/L 1	01428291 HB 5%DEXTROSE/1/2NS+KCL 10MEQ/L 1	258.0	1.0	41.73	41.73	5% dextrose/1/2 normal_saline and potassuim_chloride 10 meq/l 1	Pharmacy	Diluent / Flush / Irrigant	392.0	55.612244898
01428523-HB STERILE WATER FOR INJ 1L	01428523 HB STERILE WATER FOR INJ 1L	258.0	834.0	16.23	0.0193406593407	sterile water for injection 1 liter	Diluent / Flush / Irrigant	Diluent / Flush / Irrigant	392.0	55.612244898
01431899-HB NYSTATIN 100,000U/GM OINT 15GM	01431899 HB NYSTATIN 100 000U/GM OINT 15GM	250.0	1.0	80.0	80.0	nystatin 100 000u/gram ointment 15 gm	Pharmacy	Pharmacy	2692.0	76.0401188707
01433309-HB TRIAMCINOLONE 0.1% CR 454GM	01433309 HB TRIAMCINOLONE 0.1% CR 454GM	250.0	1.0	26.34	26.34	triamcinolone 0.1% cream 454 gm	Pharmacy	Pharmacy	2692.0	76.0401188707
01435262-HB FERROUS SO4 220MG/5ML ELIXIR4	01435262 HB FERROUS SO4 220MG/5ML ELIXIR4	250.0	2.0	0.02	0.01	ferrous sulfate 220 mg/5 ml elixir4	Pharmacy	Pharmacy	2692.0	76.0401188707
01435569-HB GLYCOPYRROLATE 0.2MG/ML 1ML	01435569 HB GLYCOPYRROLATE 0.2MG/ML 1ML	250.0	1.0	47.555	47.555	glycopyrrolate 0.2 mg/ml 1 ml	Pharmacy	Pharmacy	2692.0	76.0401188707
01445402-HB ACETAMINOPHEN 160MG/5ML TYLEN	01445402 HB ACETAMINOPHEN 160MG/5ML TYLEN	250.0	2.0	1.2	0.6	acetaminophen 160 mg/5 ml tylenol	Pharmacy	Pharmacy	2692.0	76.0401188707
01453505-HB ALBUMIN 5%	01453505 HB ALBUMIN 5%	250.0	1.0	153.56	153.56	albumin 5%	Pharmacy	Pharmacy	2692.0	76.0401188707
01465939-HB DEXTROSE 70% WATER	01465939 HB DEXTROSE 70% WATER	250.0	1.0	38.67	38.67	dextrose 70% water	Pharmacy	Pharmacy	2692.0	76.0401188707
01466275-HB CISATRACURIUM 2MG/ML 10ML VL	01466275 HB CISATRACURIUM 2MG/ML 10ML VL	250.0	1.0	15.46	15.46	cisatracurium 2 mg/ml 10 ml vial	Pharmacy	Pharmacy	2692.0	76.0401188707
01467299-HB DIAZEPAM 5MG/5ML CUP	01467299 HB DIAZEPAM 5MG/5ML CUP	250.0	1.0	12.7	12.7	diazepam 5 mg/5 ml cup	Pharmacy	Pharmacy	2692.0	76.0401188707
01467315-HB OXYCODONE 5MG/5ML CUP	01467315 HB OXYCODONE 5MG/5ML CUP	250.0	1.0	6.38	6.38	oxycodone 5 mg/5 ml cup	Pharmacy	Pharmacy	2692.0	76.0401188707
01468891-HB RIFAXIMIN 200MG TABLET	01468891 HB RIFAXIMIN 200MG TABLET	252.0	1.0	87.76	87.76	rifaximin 200 mg tablet	Pharmacy	Pharmacy	182.0	85.1648351648
01481540-HB FENTANYL 50ML INJ 0.05MG/ML	01481540 HB FENTANYL 50ML INJ 0.05MG/ML	250.0	1.0	2.31	2.31	fentanyl 50 ml injection 0.05 mg/ml	Pharmacy	Pharmacy	2692.0	76.0401188707
01481621-HB 5% DEXTROSE/WATER 1000ML	01481621 HB 5% DEXTROSE/WATER 1000ML	258.0	1.0	35.9	35.9	5% dextrose/water 1000 ml	Diluent / Flush / Irrigant	Diluent / Flush / Irrigant	392.0	55.612244898
01481665-HB VANCOMYCIN 5GM VIAL LEDERLE	01481665 HB VANCOMYCIN 5GM VIAL LEDERLE	250.0	1.0	9.36	9.36	vancomycin 5 gm vial lederle	Pharmacy	Pharmacy	2692.0	76.0401188707
01481666-HB MORPHINE SO4 15MG/ML INJ 20ML	01481666 HB MORPHINE SO4 15MG/ML INJ 20ML	250.0	1.0	2.35	2.35	morphine_sulfate 15 mg/ml injection 20 ml	Pharmacy	Pharmacy	2692.0	76.0401188707
01481794-HB DIAZEPAM 5MG/ML VIAL	01481794 HB DIAZEPAM 5MG/ML VIAL	250.0	1.0	6.76	6.76	diazepam 5 mg/ml vial	Pharmacy	Pharmacy	2692.0	76.0401188707
01481835-HB NEOSTIGMINE 1MG/ML VIAL	01481835 HB NEOSTIGMINE 1MG/ML VIAL	250.0	2.0	42.18	21.09	neostigmine 1 mg/ml vial	Pharmacy	Pharmacy	2692.0	76.0401188707
01481886-HB DEXTROSE 10%-1/2 NS IV SOLN	01481886 HB DEXTROSE 10% 1/2 NS IV SOLN	250.0	2.0	54.74	27.37	dextrose 10% 1/2 normal_saline intravenous solution	Pharmacy	Pharmacy	2692.0	76.0401188707
01482023-HB ZOFRAN 4MG/2ML IV SOLN	01482023 HB ZOFRAN 4MG/2ML IV SOLN	250.0	2.0	2.77	1.6425	zofran 4 mg/2 ml intravenous solution	Pharmacy	Pharmacy	2692.0	76.0401188707
01482029-HB HEPARIN SOD 10U/ML DISPSYR 1ML	01482029 HB HEPARIN SOD 10U/ML DISPSYR 1ML	250.0	3.0	0.0	0.0	heparin sodium 10 units/ml dispsyr 1 ml	Pharmacy	Pharmacy	2692.0	76.0401188707
01482102-HB LOPERAMIDE HCL 2 MG PO TABS	01482102 HB LOPERAMIDE HCL 2 MG PO TABS	251.0	2.0	0.67	0.335	loperamide hydrochloride 2 mg by_mouth tablets	Pharmacy	Pharmacy	403.0	90.570719603
01482213-HB DEXTROSE-NACL 10-0.225 % IV SOLN	01482213 HB DEXTROSE NACL 10 0.225 % IV SOLN	250.0	2.0	81.74	40.87	dextrose sodium_chloride 10 0.225% intravenous solution	Pharmacy	Pharmacy	2692.0	76.0401188707
01482221-HB ALBUTEROL SULFATE HFA 108 (90 BASE) MCG/ACT IN AERS	01482221 HB ALBUTEROL SULFATE HFA 108 90 BASE MCG/ACT IN AERS	250.0	1.0	245.53	245.53	albuterol sulfate hfa 108 90 base mcg act	Pharmacy	Pharmacy	2692.0	76.0401188707
01482404-HB LIDOCAINE HCL 2% EX GEL	01482404 HB LIDOCAINE HCL 2% EX GEL	251.0	1.0	36.33	36.33	lidocaine hydrochloride 2% ex gel	Pharmacy	Pharmacy	403.0	90.570719603
01482546-HB FERROUS SULFATE 75 (15 FE) MG/ML PO	01482546 HB FERROUS SULFATE 75 15 FE MG/ML PO	251.0	1.0	0.15	0.15	ferrous sulfate 75 15 fe mg/ml by_mouth	Pharmacy	Pharmacy	403.0	90.570719603
01482576-HB ACETAMINOPHEN 10 MG/ML IV SOLN	01482576 HB ACETAMINOPHEN 10 MG/ML IV SOLN	252.0	19.0	56.51	2.97421052632	acetaminophen 10 mg/ml intravenous solution	Pharmacy	Pharmacy	182.0	85.1648351648
01482615-HB MIDAZOLAM HCL 2 MG/2ML IJ SOLN	01482615 HB MIDAZOLAM HCL 2 MG/2ML IJ SOLN	251.0	2.0	5.77	2.885	midazolam hydrochloride 2 mg/2 ml injection solution	Pharmacy	Pharmacy	403.0	90.570719603
01484079-HB LANSOPRAZOLE 3MG/ML ORAL SUSPENSION K	01484079 HB LANSOPRAZOLE 3MG/ML ORAL SUSPENSION K	251.0	5.0	10.09	2.018	lansoprazole 3 mg/ml oral suspension k	Pharmacy	Pharmacy	403.0	90.570719603
01484105-HB ENOXAPARIN SODIUM 300 MG/3ML IJ SOLN	01484105 HB ENOXAPARIN SODIUM 300 MG/3ML IJ SOLN	251.0	2.0	22.78	11.39	enoxaparin sodium 300 mg/3 ml injection solution	Pharmacy	Pharmacy	403.0	90.570719603
01484602-HB LEVOCARNITINE 50 MG/ML DILUTION IN SW FOR TPN	01484602 HB LEVOCARNITINE 50 MG/ML DILUTION IN SW FOR TPN	250.0	6.0	65.6	10.9333333333	levocarnitine 50 mg/ml dilution in sterile water for total_parenteral_nutrition	Pharmacy	Pharmacy	2692.0	76.0401188707
01484738-HB CEFEPIME-DEXTROSE 2 GM/50 ML	01484738 HB CEFEPIME DEXTROSE 2 GM/50 ML	251.0	2.0	30.75	15.375	cefepime dextrose 2 gm/50 ml	Pharmacy	Pharmacy	403.0	90.570719603
01495032-HB DISTILLED WATER PO LIQD	01495032 HB DISTILLED WATER PO LIQD	250.0	10.0	0.7	0.07	distilled_water by_mouth liquid	Diluent / Flush / Irrigant	Pharmacy	2692.0	76.0401188707
01495045-HB METRONIDAZOLE BENZOATE POWD	01495045 HB METRONIDAZOLE BENZOATE POWD	250.0	1.0	8.52	8.52	metronidazole benzoate powder	Pharmacy	Pharmacy	2692.0	76.0401188707
01518026-HB URINE CULTURE	01518026 HB URINE CULTURE	300.0	1.0	87.3	87.3	urine culture	Laboratory	Laboratory	1097.0	79.1248860529
01522061-HB AUTOMATED MIC	01522061 HB AUTOMATED MIC	300.0	1.0	61.07	61.07	automated minimal inhibitory concentration	Laboratory	Laboratory	1097.0	79.1248860529
01522077-HB VERIGENE PROBE, EACH ORGANISM	01522077 HB VERIGENE PROBE EACH ORGANISM	300.0	11.0	479.71	43.61	verigene probe each organism	Laboratory	Laboratory	1097.0	79.1248860529
01612290-HB SDS NURSING PREP FOR MR OTHER	01612290 HB SDS NURSING PREP FOR MR OTHER	610.0	1.0	588.7	588.7	same day surgery nursing preparation for mr other	Nursing Services	Radiology	26.0	61.5384615385
01612435-HB SENSOR OXIM INF L18IN ADH S	01612435 HB SENSOR OXIM INF L18IN ADH S	270.0	1.0	75.01	75.01	sensor oximetry infusion length 18 inches adhesive strip	Supply	Supply	1919.0	86.294945284
01621001 - RB 6E STEP DOWN ICU	01621001 RB 6E STEP DOWN ICU	206.0	1.0	4032.0	4032.0	room_and_board 6e step down intensive_care_unit	Room and Board	Room and Board	25.0	92.0
018 CHIKAI WIRE	018 CHIKAI WIRE	621.0	1.0	1727.65	1727.65	018 chikai wire	Supply	Supply	10.0	100.0
01855002 - RB 1MICU MEDICAL	01855002 RB 1MICU MEDICAL	202.0	1.0	5565.0	5565.0	room_and_board medical intestive care unit medical	Room and Board	Room and Board	8.0	87.5
02 SATURATION	02 SATURATION	300.0	1.0	256.0	250.0	oxygen saturation	Monitoring	Laboratory	1097.0	79.1248860529
02 SATURATION	02 SATURATION	301.0	1.0	90.88	90.88	oxygen saturation	Monitoring	Laboratory	924.0	79.2207792208
02 SATURATION	02 SATURATION	410.0	1.0	244.0	244.0	oxygen saturation	Monitoring	Respiratory Therapy	279.0	64.1577060932
02 SATURATION -	02 SATURATION 	460.0	1.0	163.0	163.0	oxygen saturation	Monitoring	Monitoring	103.0	66.9902912621
02336923-HB ABO TYPING, C30	02336923 HB ABO TYPING C30	302.0	1.0	38.41	38.41	abo typing c30	Laboratory	Laboratory	180.0	96.1111111111
03400001 - RB 5 MAIN MS SEMI-PVT	03400001 RB 5 MAIN MS SEMI PVT	121.0	1.0	1440.0	1440.0	room_and_board 5 main semi private	Room and Board	Room and Board	11.0	90.9090909091
03412137-HB MEDICAL GAS ADMINISTRATION	03412137 HB MEDICAL GAS ADMINISTRATION	272.0	1.0	192.07	192.07	medical gas administration	Respiratory Therapy	Supply	833.0	84.393757503
03412194-HB OXIMETRY SPOT CHECK,SINGLE	03412194 HB OXIMETRY SPOT CHECK SINGLE	460.0	1.0	115.27	115.27	oximetry spot check single	Monitoring	Monitoring	103.0	66.9902912621
03500001 - RB 4 MS INTERMED CCU	03500001 RB 4 MS INTERMED CCU	214.0	1.0	2688.0	2688.0	room_and_board 4 intermedial critical_care_unit	Room and Board	Room and Board	6.0	83.3333333333
03600001 - RB 4 WEST MED ICU	03600001 RB 4 WEST MED ICU	202.0	1.0	5565.0	5565.0	room_and_board 4 west medical intensive_care_unit	Room and Board	Room and Board	8.0	87.5
03600007 - RB 4 WEST ICU SURG	03600007 RB 4 WEST ICU SURG	201.0	1.0	5565.0	5565.0	room_and_board 4 west intensive_care_unit surgical	Room and Board	Room and Board	8.0	87.5
03650070-HB OXIMETRY, CONTINUOUS OVERNIGHT	03650070 HB OXIMETRY CONTINUOUS OVERNIGHT	460.0	1.0	507.64	507.64	oximetry continuous overnight	Monitoring	Monitoring	103.0	66.9902912621
03650080-HB OXIMETRY SPOT CHECK,SINGLE	03650080 HB OXIMETRY SPOT CHECK SINGLE	460.0	1.0	115.27	115.27	oximetry spot check single	Monitoring	Monitoring	103.0	66.9902912621
03650471-HB OXIMETRY SPOT CHECK, MULTIPLE	03650471 HB OXIMETRY SPOT CHECK MULTIPLE	460.0	1.0	507.64	507.64	oximetry spot check multiple	Monitoring	Monitoring	103.0	66.9902912621
03666001 - RB 4 WEST STEP DOWN ICU	03666001 RB 4 WEST STEP DOWN ICU	206.0	1.0	4032.0	4032.0	room_and_board 4 west step down intensive_care_unit	Room and Board	Room and Board	25.0	92.0
04500010 - EMER GSH CRIT CARE 30-74MIN	04500010 EMER GSH CRIT CARE 30 74MIN	450.0	1.0	2795.0	2795.0	emergency gsh critical care 30-74min	Other	Nursing Services	67.0	40.2985074627
06200653-HB C. DIFFICILE TOXIN	06200653 HB C. DIFFICILE TOXIN	306.0	1.0	196.67	196.67	c difficile toxin	Laboratory	Laboratory	290.0	96.8965517241
