ORIG_DESC	NORM_DESC	CHRG_CLS	FTR1	FTR2	FTR3	FTR4
0.45% NACL 500ML; 0.45% SOD CHLORIDE 500 ML BAG	0.45% sodium_chloride 500_ml 0.45% sodium chloride 500_ml bag	Diluent / Flush / Irrigant	bag	sodium	chloride	500_ml
0.45% NS 500ML BAG B/1L	0.45% normal_saline 500_ml bag b/1l	Diluent / Flush / Irrigant	bag	500_ml	ns	
0.45% SOD CL W KCL 2OMEQ 1000	0.45% sodium chloride with potassuim_chloride 2omeq 1000	Diluent / Flush / Irrigant	cl	sodium		
0.465 MEQ/ML VIAL	0.465_meq/ml vial	Pharmacy	vial	0.465_meq/ml		
0.9 % NACL 0.9 % SOLN	0.9% sodium_chloride 0.9% solution	Diluent / Flush / Irrigant	0.90%	soln	nacl	
0.9 % NACL 0.9 % SOLN 100 ML FLEX CONT	0.9% sodium_chloride 0.9% solution 100_ml flex cont	Diluent / Flush / Irrigant	100_ml	cont	soln	flex
0.9% NACL (MINI-BAG PLUS) SOLN 100 ML FLEX CONT	0.9% sodium_chloride mini bag plus solution 100_ml flex cont	Diluent / Flush / Irrigant	mini	cont	flex	soln
0.9% NACL 100 ML (MINIBAG PLUS)	0.9% sodium_chloride 100_ml minibag plus	Diluent / Flush / Irrigant	100_ml	plus	nacl	
0.9% NACL 100ML; 0.9% SOD CHLORIDE 100 ML BAG	0.9% sodium_chloride 100_ml 0.9% sodium chloride 100_ml bag	Diluent / Flush / Irrigant	100_ml	sodium	chloride	bag
0.9% NACL 10ML; SODIUM CHLORIDE 0.9% 10ML VIAL	0.9% sodium_chloride 10_ml sodium chloride 0.9% 10_ml vial	Diluent / Flush / Irrigant	vial	chloride	sodium	10_ml
0.9% NACL 250ML; 0.9% SOD CHLORIDE 250 ML BAG	0.9% sodium_chloride 250_ml 0.9% sodium chloride 250_ml bag	Diluent / Flush / Irrigant	250_ml	sodium	chloride	bag
0.9% NACL 50ML; 0.9% SOD CHLORIDE 50 ML BAG	0.9% sodium_chloride 50_ml 0.9% sodium chloride 50_ml bag	Diluent / Flush / Irrigant	50_ml	bag	sodium	chloride
0.9% NS 100ML BAG B/250ML	0.9% normal_saline 100_ml bag b/250_ml	Diluent / Flush / Irrigant	100_ml	bag	ns	
0.9% NS 25ML BAG B/250ML	0.9% normal_saline 25_ml bag b/250_ml	Diluent / Flush / Irrigant	bag	25_ml	ns	
01621001 - RB 6E STEP DOWN ICU	room_and_board 6e step down intensive_care_unit	OR / Anesthesia / Recovery Room	step	intensive_care_unit	room_and_board	6e
01855002 - RB 1MICU MEDICAL	room_and_board medical intestive care unit medical	OR / Anesthesia / Recovery Room	medical	room_and_board	1micu	
02 CONT AERO PT SYSTEM ASSESS	2 cont aero physical_therapy system assess	Supply	cont	pt	system	
02.124.410S - PLATE BONE	02.124.410s plate bone	Supply	plate	bone	02.124.410s	
02.205.295 - SCREW BONE	02.205.295 screw bone	Supply	screw	bone	02.205.295	
02441SEMI-PRIVATE ROOM	02441semi private room	Room and Board	02441semi	room	private	
03.010.061 - BIT DRILL 3	03.010.061 bit drill 3	Supply	03.010.061	bit	drill	
0.9% NS 250ML BAG B/250ML	0.9% normal_saline 250_ml bag b/250_ml	Diluent / Flush / Irrigant	250_ml	bag	ns	
0.9% SODIUM C	0.9% sodium cap	Laboratory	0.90%	cap	sodium	
0.9NACL 250 CC	0.9nacl 250 cubic_centimeters	Pharmacy	0.9nacl	cc		
0.9NS 100 ML BAG	0.9ns 100_ml bag	Supply	100_ml	0.9ns	bag	
01 MINOR ROOM TIME < 30 M	1 minor room time less_than 30 m	Room and Board	less_than	room	minor	time
01894 SHEATH	1894 sheath	Supply	sheath			
02 SET UP SUPPLIES	2 set up supplies	Supply	supplies	set		
02 VIA BLENDER PER DAY	2 vial blender per day	Radiology	vial	day	per	blender
02071PCU SEMI PRIVATE	02071pcu semi private	Room and Board	02071pcu	private	semi	
02441ICCU PRIVATE	02441iccu private	Room and Board	private	02441iccu		
03400001 - RB 5 MAIN MS SEMI-PVT	room_and_board 5 main semi private	OR / Anesthesia / Recovery Room	room_and_board	private		
03600007 - RB 4 WEST ICU SURG	room_and_board 4 west intensive_care_unit surgical	OR / Anesthesia / Recovery Room	west	surgical	intensive_care_unit	room_and_board
03666001 - RB 4 WEST STEP DOWN ICU	room_and_board 4 west step down intensive_care_unit	OR / Anesthesia / Recovery Room	west	step	intensive_care_unit	room_and_board
04.003.030S - SCREW BONE	04.003.030s screw bone	Supply	screw	04.003.030s	bone	
04.003.468S - NAIL 11MM	04.003.468s nail 11mm	Supply	nail	11mm	04.003.468s	
613	613	Laboratory				
06500001 - POC BS GLUCOSE 4E TELE (GS)	point_of_care blood_sugar glucose 4e telemetry	Monitoring	point_of_care	telemetry	glucose	
072230 - DRAIN 19FR HUBLESS FUL	drain 19fr hubless full	Supply	hubless	drain	full	19fr
1 000 UNIT SOLN	1 000_units solution	Pharmacy	000_units	soln		
1.6MM KWIRE	1.6mm kwire	Supply	kwire	1.6mm		
1/2 NORMAL SOD ACETAT 60ML INJ	1/2 normal sodium acetate 60_ml injection	Diluent / Flush / Irrigant	inj	sodium	acetate	normal
1/2 NRMAL SOD ACETATE 60ML INJ	1/2 normal sodium acetate 60_ml injection	Diluent / Flush / Irrigant	inj	sodium	acetate	normal
1/2 NS + HEPARIN 25 UNITS	1/2 normal_saline and heparin 25_units	Diluent / Flush / Irrigant	heparin	25_units	01-Feb	ns
10 FR ABCESSION	10 free abscession	Laboratory	abscession	free		
10 MCG/ML SOLN	10 mcg/ml solution	Pharmacy	mcg	ml	soln	
10 MM TI LTERAL ENTRY FEMORAL RECON NAIL 04.003	10 mm ti lateral entry femoral recon nail 4.003	Supply	4.003	femoral	mm	lateral
100 MG/2ML SOLN	100_mg/2_ml solution	Pharmacy	100_mg/2_ml	soln		
100 MG/ML SOLN	100_mg/ml solution	Pharmacy	100_mg/ml	soln		
1000 MG/100ML SOLN	1000_mg/100_ml solution	Pharmacy	1000_mg/100_ml	soln		
1000 UNITS/ML SOLN	1000_units/ml solution	Pharmacy	1000_units/ml	soln		
10020000-HC WH ADULT ICU	hc whole adult intensive_care_unit	Room and Board	hc	icu	wh	adult
10022	10022	Supply				
10541000 - SOD CHLORIDE 0.9% PER 250ML	sodium_chloride 0.9% per 250_ml	OR / Anesthesia / Recovery Room	250_ml	chloride	per	sodium
10542000 - SOD CHLORIDE 0.9%/250ML 100ML	sodium_chloride 0.9%/250_ml 100_ml	OR / Anesthesia / Recovery Room	100_ml	0.9%/250_ml	chloride	sodium
10555312 - SOD CHLORIDE 3% FOR INHALATION	sodium_chloride 3% for inhalation	OR / Anesthesia / Recovery Room	chloride	inhalation	3%	sodium
10F CORPAK ULT-LITE SB7 209551	10 corpak ultra liter sb7 209551	OR / Anesthesia / Recovery Room	liter	ultra	sb7	corpak
11001212 - ACETAZOLAMIDE SOD UP TO 500MG	acetazolamide sodium up to 500_mg	OR / Anesthesia / Recovery Room	500_mg	acetazolamide	sodium	
11021	11021	Supply				
11021032 - ACETAMINOPHEN SOLN 650MG	acetaminophen solution 650_mg	OR / Anesthesia / Recovery Room	solution	650_mg	acetaminophen	
11021082 - ACETAMINOPHEN 325MG	acetaminophen 325_mg	OR / Anesthesia / Recovery Room	325_mg	acetaminophen		
11030002 - ACETYLCYSTEINE 200MG/ML 30ML	acetylcysteine 200_mg/ml 30_ml	OR / Anesthesia / Recovery Room	200_mg/ml	30_ml	acetylcysteine	
11041282 - ALTEPLASE 1MG INJ	alteplase 1_mg injection	OR / Anesthesia / Recovery Room	1_mg	inj	alteplase	
11066132 - ALBUTEROL/IPRATRPIUM 25.MG/0.5	albuterol/ipratropium 25.mg/0.5	OR / Anesthesia / Recovery Room	25.mg/0.5	albuterol	ipratropium	
11142212 - AMIKACIN SULFATE 100MG INJ	amikacin sulfate 100_mg injection	OR / Anesthesia / Recovery Room	100_mg	injection	sulfate	amikacin
11192002 - AMMONIUM LACTATE LOTION 225GM	ammonium lactate lotion 225_gm	OR / Anesthesia / Recovery Room	225_gm	lactate	lotion	ammonium
11332962 - IOHEXOL 240MG/ML ORAL 50ML	iohexol 240_mg/ml oral 50_ml	OR / Anesthesia / Recovery Room	50_ml	iohexol	oral	240_mg/ml
11395212 - BENGAY GREASELESS CREAM	bengay greaseless cream	OR / Anesthesia / Recovery Room	bengay	greaseless	cream	
11435002 - BISACODYL SUPP.RECT 10MG	bisacodyl suppository rectal 10_mg	OR / Anesthesia / Recovery Room	suppository	bisacodyl	rect	10_mg
11475062 - BUDESONIDE 0.5MG PER 2ML NEB	budesonide 0.5_mg per 2_ml nebulizer	OR / Anesthesia / Recovery Room	budesonide	2_ml	nebulizer	per
11482022 - BUMETANIDE TABLET 1MG	bumetanide tablet 1_mg	OR / Anesthesia / Recovery Room	1_mg	bumetanide	tablet	
11555222 - CALCIUM GLUCONATE PER 10 ML	calcium gluconate per 10_ml	OR / Anesthesia / Recovery Room	calcium	10_ml	per	gluconate
11625272 - CEFEPIME PER 500MG MB+	cefepime per 500_mg mb and	OR / Anesthesia / Recovery Room	cefepime	500_mg	per	mb
11670002 - CHLORASEPTIC SPRAY 180ML	chloraseptic spray 180_ml	OR / Anesthesia / Recovery Room	180_ml	spray	chloraseptic	
11679032 - CHLORHEXIDINE ORAL RINSE 15ML	chlorhexidine oral rinse 15_ml	OR / Anesthesia / Recovery Room	chlorhexidine	oral	rinse	15_ml
11774032 - CLONIDINE HCL 0.1MG TABLET	clonidine hcl 0.1_mg tablet	OR / Anesthesia / Recovery Room	clonidine	0.1_mg	tablet	hcl
03.010.104 - BIT DRILL 1	03.010.104 bit drill 1	Supply	bit	drill	03.010.104	
03500001 - RB 4 MS INTERMED CCU	room_and_board 4 intermedial critical_care_unit	OR / Anesthesia / Recovery Room	critical_care_unit	morphine_sulfate	room_and_board	intermedial
03600001 - RB 4 WEST MED ICU	room_and_board 4 west medical intensive_care_unit	OR / Anesthesia / Recovery Room	west	medical	intensive_care_unit	room_and_board
038 MECONIUM (IH) DRUG SCREEN	38 meconium ih drug screen	Laboratory	meconium	screen	drug	ih
04.003.029S - SCREW BONE	04.003.029s screw bone	Supply	04.003.029s	screw	bone	
04500010 - EMER GSH CRIT CARE 30-74MIN	emergency gsh critical care 30-74min	OR / Anesthesia / Recovery Room	critical	emergency	care	
06381R&B PRIVATE TELEM	06381r&b private telem	Room and Board	telem	06381r&b	private	
06381ROOM & BOARD PR	06381room and_insert board pressure	Supply	06381room	pr	&	board
06600001 - POC BS GLUCOSE 4W ICU (GS)	point_of_care blood_sugar glucose 4w intensive_care_unit general surgery	Monitoring	point_of_care	intensive_care_unit	glucose	
06660004 - RB 2 WEST ROUTINE	room_and_board 2 west routine	OR / Anesthesia / Recovery Room	west	room_and_board	routine	
1 BAG SOLN	1 bag solution	Supply	bag	soln		
1 MG/ML SOLN	1_mg/ml solution	Pharmacy	soln	1_mg/ml		
1 MG/ML SYRINGE	1_mg/ml syringe	Pharmacy	syringe	1_mg/ml		
1/2 NS + HEPARIN 50 UNITS +	1/2 normal_saline and heparin 50_units and	Diluent / Flush / Irrigant	heparin	50_units	01-Feb	ns
1/2 X 1/2 CONNECTOR	1/2 x 1/2 connector	Supply	connector	x	01-Feb	
10 MCG/ML #SYRINGE	10 mcg/ml syringe	Pharmacy	mcg	ml	syringe	
10 MG/ML SOLN	10_mg/ml solution	Pharmacy	soln	10_mg/ml		
1000 MG/10 ML SOLN	1000_mg/10_ml solution	Pharmacy	soln	1000_mg/10_ml		
1000CC SOD CHLORIDE INJ	1000_cc sodium chloride injection	Diluent / Flush / Irrigant	inj	sodium	chloride	1000_cc
10011700-HC WH PVT ONCOLOGY	hc whole private oncology	Room and Board	hc	oncology	wh	private
10022	10022	Laboratory				
100ML OMNIPAQUE 350 PER 1M	100_ml omnipaque 350 per 1m	Pharmacy	100_ml	omnipaque	per	1m
10508100 - DXTRSE 5%/WATER / 500ML (100ML	dextrose 5%/water/500_ml 100_ml	OR / Anesthesia / Recovery Room	5%/water/500_ml	dextrose	100_ml	
10540800 - SOD CHLORIDE 0.9/500ML IV SOL	sodium_chloride 0.9/500_ml intravenous solution	OR / Anesthesia / Recovery Room	solution	chloride	intravenous	sodium
10543000 - SOD CHLORIDE 0.9%/250ML 50ML	sodium_chloride 0.9%/250_ml 50_ml	OR / Anesthesia / Recovery Room	50_ml	0.9%/250_ml	chloride	sodium
11021	11021	Laboratory				
11030012 - ACETYLCYSTEINE 200MG/ML 4ML	acetylcysteine 200_mg/ml 4_ml	OR / Anesthesia / Recovery Room	200_mg/ml	4_ml	acetylcysteine	
11030222 - ACETYLCYSTEN INJ 100MG(30ML)VL	acetylcysteine injection 100_mg 30_ml vial	OR / Anesthesia / Recovery Room	vial	injection	100_mg	30_ml
11065262 - INFUSION ALBUMIN 25% 50 ML	infusion albumin 25% 50_ml	Pharmacy	50_ml	albumin	infusion	25%
11066150 - ALBUTEROL HFA 90MCG INH	albuterol hfa 90mcg inhaled	OR / Anesthesia / Recovery Room	hfa	albuterol	inhaled	90mcg
11066252 - ALBUTEROL SULF 0.83MG/ML 3ML	albuterol sulfate 0.83_mg/ml 3_ml	OR / Anesthesia / Recovery Room	albuterol	sulfate	0.83_mg/ml	3_ml
11111132 - NON-CHARGEABLE MEDICATION	non chargeable medication	OR / Anesthesia / Recovery Room	non	medication	chargeable	
11265042 - ASPIRIN TAB CHEW 81MG	aspirin tablet chew 81_mg	OR / Anesthesia / Recovery Room	81_mg	chew	tablet	aspirin
11295012 - AZITHROMYCIN TABLET 250MG	azithromycin tablet 250_mg	OR / Anesthesia / Recovery Room	azithromycin	250_mg	tablet	
11299622 - AZTREONAM 2GM INJ MB+	aztreonam 2_gm injection mb and	OR / Anesthesia / Recovery Room	injection	aztreonam	2_gm	mb
11482002 - BUMETANIDE TABLET 2MG	bumetanide tablet 2_mg	OR / Anesthesia / Recovery Room	2_mg	bumetanide	tablet	
11482052 - BUMETANIDE 1 MG	bumetanide 1_mg	OR / Anesthesia / Recovery Room	1_mg	bumetanide		
11482222 - BUMETANIDE 0.25MG/ML 10ML	bumetanide 0.25_mg/ml 10_ml	OR / Anesthesia / Recovery Room	10_ml	bumetanide	0.25_mg/ml	
11544012 - CALCIUM ACETATE TABLET 667MG	calcium acetate tablet 667_mg	OR / Anesthesia / Recovery Room	calcium	667_mg	tablet	acetate
11603152 - CARBXYMTHYLCELLLS .5%BX/30	carboxymethylcellulose 0.5% box/30	OR / Anesthesia / Recovery Room	carboxymethylcellulose	0.5%bx/30		
11613032 - CARVEDILOL TABLET 12.5MG	carvedilol tablet 12.5_mg	OR / Anesthesia / Recovery Room	12.5_mg	tablet	carvedilol	
11625262 - INJ CEFEPIME PER 500MG MB+	injection cefepime per 500_mg mb and	OR / Anesthesia / Recovery Room	injection	cefepime	500_mg	per
12.5 GM/50 ML SOLP	12.5_gm/50_ml solution	Pharmacy	12.5_gm/50_ml	solution		
12007216 - DARBEPOETIN (ESRD) 1MCG/ML	darbepoetin esrd 1_mcg/ml	OR / Anesthesia / Recovery Room	darbepoetin	esrd	1_mcg/ml	
12155022 - DOCUSATE SODIUM 150MG/15ML	docusate sodium 150_mg/15_ml	OR / Anesthesia / Recovery Room	150_mg/15_ml	docusate	sodium	
12248292 - FORMOTRL 5/MOMETAS200MCG 8.8GM	formotrl 5/mometas200mcg 8.8_gm	OR / Anesthesia / Recovery Room	formotrl	5/mometas200mcg	8.8_gm	
12386292 - ENOXAPARIN SODIUM 10 MG INJ	enoxaparin sodium 10_mg injection	OR / Anesthesia / Recovery Room	inj	10_mg	enoxaparin	sodium
12386332 - ENOXAPARIN SODIUM 10MG INJ	enoxaparin sodium 10_mg injection	OR / Anesthesia / Recovery Room	inj	10_mg	enoxaparin	sodium
12432212 - BASE FLUID *QS* INJ	base fluid quantity_sufficient injection	OR / Anesthesia / Recovery Room	injection	base	fluid	quantity_sufficient
12455600 - VANCOMYCIN 50MG PER 1ML ORAL	vancomycin 50_mg per 1_ml oral	OR / Anesthesia / Recovery Room	1_ml	50_mg	oral	vancomycin
12474072 - HYDROCERIN CREAM 113GM TOPICAL	hydrocerin cream 113_gm topical	OR / Anesthesia / Recovery Room	topical	hydrocerin	113_gm	cream
11791262 - CODLIVEROIL/ZINC OXD OINT113GM	cod_liver_oil/zinc_oxide ointment 113_grams	OR / Anesthesia / Recovery Room	codliveroil	oxide	oint113_gm	zinc
11885262 - CHOLECALCIFEROL 1000 IU TABLET	cholecalciferol 1000 iu tablet	OR / Anesthesia / Recovery Room	iu	cholecalciferol	tablet	
12 FR ABCESSION	12 free abscession	Nursing Services	abscession	free		
12037212 - PERFLUTREN LIPID MICROSPH/ML	perflutren lipid microspheres per ml	OR / Anesthesia / Recovery Room	perflutren	ml	lipid	microsph
12085282 - DIAZEPAM UP TO 5 MG INJ	diazepam up to 5_mg injection	OR / Anesthesia / Recovery Room	diazepam	injection	5_mg	
12155002 - DOCUSATE SODIUM CAPSULE 100MG	docusate sodium capsule 100_mg	OR / Anesthesia / Recovery Room	capsule	100_mg	docusate	sodium
12386212 - ENOXAPARIN SODIUM 10 MG INJ	enoxaparin sodium 10_mg injection	OR / Anesthesia / Recovery Room	inj	10_mg	enoxaparin	sodium
12465212 - ETOMIDATE 2MG/ML 10ML	etomidate 2_mg/ml 10_ml	OR / Anesthesia / Recovery Room	10_ml	etomidate	2_mg/ml	
12478012 - FAMOTIDINE TABLET 20MG	famotidine tablet 20_mg	OR / Anesthesia / Recovery Room	famotidine	20_mg	tablet	
12481592 - FENTANYL CITRATE 0.1MG INJ	fentanyl citrate 0.1_mg injection	OR / Anesthesia / Recovery Room	injection	fentanyl	0.1_mg	citrate
12590042 - FUROSEMIDE TABLET 80MG	furosemide tablet 80_mg	OR / Anesthesia / Recovery Room	80_mg	furosemide	tablet	
