descrip,rev_code,proc_code,units,billed_amount,norm_billed_amount,﻿DESC_ID,ORIG_DESC,NORM_DESC,CHRG_CLS
CATH BALLOON 6X2 TYSHAKII (AKA 611531),-100.0,-100.0,1.0,1962.3,1962.3,,,,
CATH DIAG IMAGER 5FR PIG 65CM,272.0,-100.0,1.0,85.85,85.85,,,,
CATH DIAG MULTI PK FL4/FR4/PIG,-100.0,-100.0,1.0,238.0,238.0,,,,
CATH DUAL POLY RAD PICC 4FR,-100.0,-100.0,1.0,329.0,329.0,,,,
CATH EXPO DIAGNOSTIC,-100.0,-100.0,1.0,89.0,89.0,,,,
CATH PATTERN INFUSION 5FRX135,-100.0,-100.0,1.0,1269.0,1269.0,,,,
CATH PICC 1LUM 1.9FR,278.0,-100.0,1.5,325.5,217.0,,,,
CATH RENEGADE F/G 150/20 2RO,272.0,-100.0,1.0,4657.32,4657.32,,,,
CATH RUNWAY/WISEGUIDE 6FR(ALL),-100.0,-100.0,1.0,447.0,447.0,,,,
CATH SINGLE POLY RAD PICC 3FR,-100.0,-100.0,1.0,382.5,382.5,,,,
CATH SOLENT OMNI W/PUMP THROMB,-100.0,-100.0,1.0,7582.0,7582.0,,,,
CATH TYSHAK II 4X2 BALLOON (AKA 611529),-100.0,-100.0,1.0,1962.3,1962.3,,,,
CATH TYSHAK II BALLOON 5X2 (AKA 611530),-100.0,-100.0,1.0,1962.3,1962.3,,,,
CATHETER CLOSED SUCTION,270.0,-100.0,1.0,84.4,84.4,,,,
CATHETER EXPORT,-100.0,-100.0,1.0,3500.0,3500.0,,,,
CATHETER GUIDING IMPULSE,278.0,-100.0,1.0,56.25,56.25,,,,
CATHETER GUIDING VISTA BRI,278.0,-100.0,1.0,218.0,218.0,,,,
CATHETER HICKMAN 7FR D/L,278.0,-100.0,1.0,604.8,604.8,,,,
CATHETER SUCTION 8FR PED,270.0,-100.0,1.0,3.0,3.0,,,,
"CATHETER, MAHURKUR 8FR 15CM",-100.0,-100.0,1.0,395.1,395.1,,,,
CBC & AUTO DIFFERENTIAL,305.0,85025,1.0,44.0,44.0,,,,
CBC & PLT & AUTO COMP DIFF,301.0,-100.0,1.0,225.0,225.0,,,,
CBC & PLT ONLY,305.0,-100.0,1.0,194.0,194.0,,,,
CBC AND MANUAL DIFF B,305.0,85007,1.0,19.0,19.0,,,,
CBC COMPLETE BLD CNT AUTO DIFF,305.0,-100.0,1.0,181.0,181.0,6405.0,CBC COMPLETE BLD CNT AUTO DIFF,complete_blood_count complete_blood_count urine automated differential,Laboratory
CBC NO DIFFERENTIAL,-100.0,-100.0,1.0,105.0,105.0,4446.0,CBC NO DIFFERENTIAL,complete_blood_count no differential,Laboratory
CBC WITH AUTODIFF,-100.0,-100.0,1.0,123.5,123.5,,,,
CBC WITH DIFF,300.0,-100.0,1.0,80.0,80.0,,,,
CBC WITH DIFFERENTIAL,-100.0,-100.0,1.0,150.9,150.9,,,,
CD3/19/45 DIRECT IF STAIN/RUN/ANALYSIS,-100.0,-100.0,1.0,156.0,156.0,,,,
CEFAZOLIN 1 GM VIAL; CEFAZOLIN 1 GM VIAL,-100.0,-100.0,1.0,7.69,7.69,,,,
CEFAZOLIN 1GM/10ML VIAL IN,636.0,-100.0,1.0,36.5,36.5,,,,
CEFAZOLIN 500 MG INJ,250.0,-100.0,4.0,335.52,83.88,2365.0,CEFAZOLIN 500 MG INJ,cefazolin 500_mg injection,Pharmacy
CEFAZOLIN 500MG INJ,250.0,-100.0,4.0,84.9,21.225,3816.0,CEFAZOLIN 500MG INJ,cefazolin 500_mg injection,Pharmacy
CEFAZOLIN FLUID RESTRICT 100MG/ML 1GM VL,-100.0,-100.0,1.0,215.6,215.6,,,,
CEFAZOLIN INJ 1 G VIAL,-100.0,-100.0,2.0,73.8,36.9,,,,
CEFAZOLIN INJ 100MG 10GM VL,-100.0,-100.0,5.0,243.6,48.72,,,,
CEFAZOLIN INJ 20MG/ML D5W 10GM VL,-100.0,-100.0,30.0,244.4,8.14666666667,,,,
CEFAZOLIN STAND CONC 20MG/ML IN D5W 1GM VL,-100.0,-100.0,1.0,215.6,215.6,,,,
CEFEPIME 2GM PMB,250.0,J0692,1.0,77.3,77.3,,,,
CEFEPIME HCL 2 GRAM; CEFEPIME HCL 2 GM VIAL,-100.0,-100.0,3.0,386.25,128.75,,,,
CEFEPIME PER 500MG INJ (100MG,250.0,-100.0,3.0,10.05,3.35,,,,
CEFTAZIDIME 1 GRAM SOLR 1 EACH VIAL,250.0,-100.0,2.0,67.05,33.525,2174.0,CEFTAZIDIME 1 GRAM SOLR 1 EACH VIAL,ceftazidime 1 gram solution 1 each vial,Pharmacy
CEFTAZIDIME 180MG/ML INJ,636.0,-100.0,14.0,290.6,20.7571428571,6409.0,CEFTAZIDIME 180MG/ML INJ,ceftazidime 180 mg/ml injection,Pharmacy
CEFTOLOZANE-TAZOBACTAM 1.5 GRAM SOLR 1 EACH VIAL,250.0,-100.0,20.0,497.97,24.8985,,,,
CEFTRIAXONE 1 GRAM SOLR 1 EACH VIAL,250.0,-100.0,4.0,5.6,1.4,,,,
CEFTRIAXONE 2 GRAM SOLR 1 EACH VIAL,250.0,-100.0,8.0,13.8,1.725,,,,
CEFTRIAXONE 40MG/1ML INJ,636.0,-100.0,28.0,130.5,4.66071428571,6411.0,CEFTRIAXONE 40MG/1ML INJ,ceftriaxone 40 mg/1 ml injection,Pharmacy
CESS THROMB THERAPY CATH REMOV,-100.0,-100.0,1.0,9432.5,9432.5,,,,
CH-BONE MARROW ASP PROFEE,-100.0,-100.0,1.0,957.0,957.0,,,,
CH-INP SUBSEQ HIGH COMPLEX PRO,-100.0,-100.0,1.0,206.0,206.0,,,,
CH-INP SUBSEQ LOW COMPLEX PROB,-100.0,-100.0,1.0,89.0,89.0,,,,
CH-INP SUBSEQ MODERATE COMPLEX,-100.0,-100.0,1.0,144.0,144.0,,,,
CHAMBER POT X_MR290HFV,270.0,-100.0,1.0,57.6,57.6,,,,
CHECK IV NC,260.0,-100.0,1.0,0.0,0.0,,,,
CHEST & ABD INF 2 VIEWS,-100.0,-100.0,1.0,451.4,451.4,,,,
CHEST 1 VIEW,324.0,-100.0,1.0,228.0,228.0,3823.0,CHEST 1 VIEW,chest 1 view,Radiology
CHEST 1 VIEW,324.0,71010,1.0,162.0,162.0,3823.0,CHEST 1 VIEW,chest 1 view,Radiology
CHEST 1 VIEW,-100.0,-100.0,1.0,380.1,380.1,3823.0,CHEST 1 VIEW,chest 1 view,Radiology
CHEST 1 VIEW INCLUDE ABD,324.0,-100.0,1.0,228.0,228.0,,,,
CHEST 2 VIEW,324.0,71020,1.0,318.0,318.0,,,,
CHEST 2V AP/LAT,-100.0,-100.0,1.0,456.1,456.1,,,,
CHEST PHYSIOTHERAPY,-100.0,-100.0,1.0,260.8,260.8,,,,
CHEST PHYSIOTHERAPY SUBSEQ,410.0,-100.0,1.0,251.0,251.0,6414.0,CHEST PHYSIOTHERAPY SUBSEQ,chest physiotherapy subsequent,Respiratory Therapy
CHEST SINGLE VIEW,-100.0,-100.0,1.0,429.0,429.0,4870.0,CHEST SINGLE VIEW,chest single view,Radiology
CHEST SINGLE VIEW (PA/AP),320.0,-100.0,1.0,376.0,376.0,,,,
CHLORHEXIDINE 0.12% ORAL TOP L,250.0,-100.0,1.0,2.86,2.86,,,,
CHLORHEXIDINE GLUC 0.12% 15ML UD,-100.0,-100.0,1.0,33.15,33.15,,,,
CHLORHEXIDINE GLUCONATE 0.12% MWSH,999.0,-100.0,15.0,3.51,0.234,,,,
CHLOROTHIAZIDE 28MG/ML 500MG,-100.0,-100.0,1.0,252.725,252.725,,,,
CHLOROTHIAZIDE SUSP 50MG/1ML,250.0,-100.0,4.0,3.34,0.835,1113.0,CHLOROTHIAZIDE SUSP 50MG/1ML,chlorothiazide suspension 50_mg/1_ml,Pharmacy
CHOLECALCIF LIQ 400UNITS/ML UD,-100.0,-100.0,1.0,28.15,28.15,,,,
