cleaned_descrip,NORM_DESC,CHRG_CLS,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Correct_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Correct_DeepNN,Predicted_Class_Jaro,Prob_Jaro,Correct_Jaro,Predicted_Class_DLevenshtein,Prob_DLevenshtein,Correct_DLevenshtein,Voted Output,Voting Algorithm,Confidence Score
13280212 NOREPINEPHRINE INJ 1MG/ML 4ML,norepinephrine injection 1_mg/ml 4_ml,Pharmacy,Pharmacy,0.98137644674,1,Pharmacy,0.996033005084,1,Pharmacy,0.75,1,Pharmacy,0.81,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.884352362956
13284022 LEVOFLOXACIN TABLET 500MG,levofloxacin tablet 500_mg,Pharmacy,Pharmacy,0.978561915646,1,Pharmacy,0.999802279655,1,Pharmacy,0.86,1,Pharmacy,0.81,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.912091048825
13290632 LIDOCAINE 1% MDV 20ML INJ,lidocaine 1% mdv 20_ml injection,Pharmacy,Pharmacy,0.96,1,Pharmacy,0.966908858864,1,Pharmacy,0.77,1,Pharmacy,0.81,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.876727214716
13607082 METOPROLOL 25MG TABLET,metoprolol 25_mg tablet,Pharmacy,Pharmacy,0.978947028741,1,Pharmacy,0.999616313947,1,Pharmacy,0.87,1,Pharmacy,0.88,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.932140835672
13729002 METOLAZONE TABLET 10MG,metolazone tablet 10_mg,Pharmacy,Pharmacy,0.991000550388,1,Pharmacy,0.999977917833,1,Pharmacy,0.94,1,Pharmacy,0.96,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.972744617055
13730572 METRONIDAZOLE/NSS PREMIX 500MG,metronidazole normal_saline_sterile premix 500_mg,Pharmacy,Pharmacy,0.978942607095,1,Pharmacy,0.999211434708,1,Pharmacy,0.93,1,Pharmacy,0.93,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.959538510451
13945262 ESOMEPRAZOLE 40MG PWD PKT ORAL,esomeprazole 40_mg powder packet oral,Pharmacy,Pharmacy,0.954369036554,1,Pharmacy,0.999963466242,1,Pharmacy,0.85,1,Pharmacy,0.93,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.933583125699
14269002 PANTOPRAZOLE SODIUM 40MG,pantoprazole sodium 40_mg,Pharmacy,Pharmacy,0.902343664917,1,Pharmacy,0.993932506332,1,Pharmacy,0.86,1,Pharmacy,0.96,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.929069042812
14382119 PHARM ANTICOAG COMP CONSULT,pharmacist anticoagulation computer consultation,Professional Fee,Pharmacy,0.76,1,Pharmacy,0.854031611435,1,Pharmacy,0.85,1,Pharmacy,0.93,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.848507902859
14595322 PREDNISONE PER 5MG TAB 20MG ,prednisone per 5_mg tablet 20_mg,Pharmacy,Pharmacy,0.958021568598,1,Pharmacy,0.999751853965,1,Pharmacy,0.96,1,Pharmacy,0.94,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.964443355641
14630032 POTASSIUM CHLORIDE 20MEQ/15ML,potassium chloride 20_meq/15_ml,Pharmacy,Pharmacy,0.9546429723,1,Pharmacy,0.999987081286,1,Pharmacy,0.9,1,Pharmacy,0.93,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.946157513396
14755052 QUETIAPINE FUMARATE TAB 100MG,quetiapine fumarate tablet 100_mg,Pharmacy,Pharmacy,0.962304408947,1,Pharmacy,0.998985770669,1,Pharmacy,0.96,1,Pharmacy,0.94,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.965322544904
14867002 ROCURONIUM BROMIDE 10MG/ML 5ML,rocuronium bromide 10_mg/ml 5_ml,Pharmacy,Pharmacy,0.98624405408,1,Pharmacy,0.999198048132,1,Pharmacy,0.85,1,Pharmacy,0.93,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.941360525553
15700012 WARFARIN SODIUM TABLET 2.5MG,warfarin sodium tablet 2.5_mg,Pharmacy,Pharmacy,0.97954385367,1,Pharmacy,0.99796750347,1,Pharmacy,0.96,1,Pharmacy,0.94,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.969377839285
15700322 WARFARIN 8MG 2 X 4MG TAB,warfarin 8_mg 2 x 4_mg tablet,Pharmacy,Pharmacy,0.98618186855,1,Pharmacy,0.999739742999,1,Pharmacy,0.86,1,Pharmacy,0.88,1,Pharmacy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.931480402887
17122771 HB OXIMETRY DAILY,hemoglobin oximetry daily,Monitoring,Monitoring,0.923837109117,1,Monitoring,0.999987769964,1,Monitoring,0.78,1,Monitoring,0.81,1,Monitoring,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.87845621977
20G SITE RITE NEEDLE,20_gauge site rite needle,Supply,Supply,0.956127213725,1,Supply,0.999693797573,1,Supply,0.71,1,Supply,0.47,1,Supply,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.783955252825
27045000 CT HEAD/BRAIN W/O CONTRAST,computed_tomography head brain without contrast,Radiology,Radiology,0.929589866949,1,Radiology,0.999954642827,1,Radiology,0.85,1,Radiology,0.88,1,Radiology,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.914886127444
27054009 FLUORO GDE CVAD ACCESS/REM,fluroscopy guide cvad access ream,Radiology,Radiology,0.50803155358,1,Radiology,0.746013630614,1,Radiology,0.76,1,Radiology,0.42,1,Radiology,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.608511296048
27303007 XR SHOULDER MIN 2VWS LT,x-ray shoulder minimum 2 views left,Radiology,Radiology,0.96,1,Radiology,0.992441030779,1,Radiology,0.85,1,Radiology,0.88,1,Radiology,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.920610257695
27400001 XR ABDOMEN 1 AP VW PORT,x-ray abdomen 1 anterior_posterior view portable,Radiology,Radiology,0.941586154481,1,Radiology,0.999986325919,1,Radiology,0.85,1,Radiology,0.96,1,Radiology,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.9378931201
27417600 CT ABD/PELVIS W/O CONTRAST,computed_tomography abdomen pelvis without contrast,Radiology,Radiology,0.959932615028,1,Radiology,0.999996991025,1,Radiology,0.85,1,Radiology,0.88,1,Radiology,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.922482401513
27423000 XR SWALLOW FUNC W/CINE VIDEO,x-ray swallow func cine video,Radiology,Radiology,0.96,1,Radiology,0.995720826117,1,Radiology,0.68,1,Radiology,0.38,1,Radiology,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.753930206529
27907888 ANGIO PACK,angiography pack,Supply,Supply,0.968640202626,1,Supply,0.999937371249,1,Pharmacy,0.67,0,Pharmacy,0.32,0,Supply,"DeepNN, Logistic_OvR",0.492144393469
27939750 ULTRASD ABDOMEN VENOUS/ARTERL,ultrasound abdomen venous arterial,Radiology,Radiology,0.927107939365,1,Radiology,0.999989743349,1,Radiology,0.7,1,Supply,0.43,0,Radiology,"DeepNN, Logistic_OvR, DLevenshtein",0.875699227571
30000091 HC ROUTINE VENIPUNCTURE,hc routine venipuncture,Nursing Services,Nursing Services,0.941615801967,1,Nursing Services,0.999789785865,1,Nursing Services,0.76,1,Nursing Services,0.88,1,Nursing Services,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.895351396958
30MM BONE SCREWS,30_millimeters bone screws,Implant,Implant,0.96,1,Implant,0.998326314609,1,Implant,0.9,1,Implant,0.96,1,Implant,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.954581578652
3D RENDERING W/INTERP&POSTPROC DIFF WORK STATION,3 rendering interpretation_&_postprocedure differential work station,Cardiology,Laboratory,0.96,1,Laboratory,0.992565674981,1,Procedure,0.69,0,Supply,0.35,0,Laboratory,"DeepNN, Logistic_OvR",0.488141418745
3D RENDERING W/POSTPROCESS,3d rendering postprocess,Radiology,Laboratory,0.96,1,Laboratory,0.749722246377,1,Procedure,0.71,0,Supply,0.38,0,Laboratory,"DeepNN, Logistic_OvR",0.427430561594
3D RENDERING W/POSTPROCESS,3d rendering postprocess,Radiology,Laboratory,0.96,1,Laboratory,0.926551488035,1,Procedure,0.71,0,Supply,0.38,0,Laboratory,"DeepNN, Logistic_OvR",0.471637872009
46130010 POC BS GLUCOSE 5S,point_of_care blood_sugar glucose,Monitoring,Monitoring,0.963015384306,1,Monitoring,0.999950676418,1,Monitoring,0.85,1,Monitoring,0.88,1,Monitoring,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.923241515181
46740010 POC BS GLUCOSE 6E,point_of_care blood_sugar glucose,Monitoring,Monitoring,0.963015384306,1,Monitoring,0.999950676418,1,Monitoring,0.85,1,Monitoring,0.88,1,Monitoring,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.923241515181
5% DEXTROSE/WATER,5% dextrose water,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.96,1,Diluent / Flush / Irrigant,0.999754760501,1,Diluent / Flush / Irrigant,0.91,1,Diluent / Flush / Irrigant,0.93,1,Diluent / Flush / Irrigant,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.949938690125
5%DEXTROSE/1/2NS+KCL 10MEQ/L 1,5%dextrose/1/2 normal_saline potassium_chloride 10_meq/liter 1,Pharmacy,Pharmacy,0.508718921304,1,Diluent / Flush / Irrigant,0.596315196559,0,Pharmacy,1.0,1,Pharmacy,1.0,1,Pharmacy,"DeepNN, DLevenshtein, Jaro",0.836239640435
52109000 RB CDU GROUND STEP DOWN ICU,room_and_board cdu ground step intensive_care_unit,Room and Board,Room and Board,0.908383160687,1,Room and Board,0.995846170053,1,Room and Board,0.71,1,Room and Board,0.81,1,Room and Board,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.856057332685
53261000 INJECT IVP 1ST/INITIAL,inject intravenous_push 1st/initial,Nursing Services,Nursing Services,0.76,1,Nursing Services,0.995360003621,1,Pharmacy,0.72,0,Pharmacy,0.81,0,Nursing Services,"DeepNN, Logistic_OvR",0.438840000905
53277000 ARTERIAL BLD DRAW FOR ANALYSIS,arterial blood draw analysis,Nursing Services,Nursing Services,0.901034216402,1,Nursing Services,0.999999322567,1,Monitoring,0.74,0,Monitoring,0.38,0,Nursing Services,"DeepNN, Logistic_OvR",0.475258384742
58111000 NEBULIZER ULTRASONIC TREATMENT,nebulizer ultrasonic treatment,Respiratory Therapy,Respiratory Therapy,0.96,1,Respiratory Therapy,0.999276428758,1,Respiratory Therapy,0.94,1,Respiratory Therapy,0.92,1,Respiratory Therapy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.954819107189
58193000 INTUBATION,intubation,Respiratory Therapy,Supply,0.92,0,Respiratory Therapy,0.742047488595,1,Laboratory,0.71,0,Monitoring,0.44,0,Respiratory Therapy,Logistic_OvR,0.185511872149
58304000 BRONCHOSCOPY,bronchoscopy,Procedure,Procedure,0.96,1,Procedure,0.995256917892,1,Procedure,0.87,1,Procedure,0.88,1,Procedure,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.926314229473
58369000 AEROSOL DAILY,aerosol daily,Respiratory Therapy,Supply,0.438336204654,0,Respiratory Therapy,0.877301606268,1,Respiratory Therapy,0.87,1,Respiratory Therapy,0.88,1,Respiratory Therapy,"Logistic_OvR, DLevenshtein, Jaro",0.875767202089
58826000 ARTERIAL PUNCTURE,arterial puncture,Nursing Services,Nursing Services,0.539930898832,1,Nursing Services,0.72082689341,1,Nursing Services,0.85,1,Nursing Services,0.81,1,Nursing Services,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.73018944806
58862000 TRANSPORT VENT PATIENT ADULT,transport ventilator patient adult,Respiratory Therapy,Respiratory Therapy,0.92,1,Respiratory Therapy,0.985761200934,1,Respiratory Therapy,0.92,1,Respiratory Therapy,0.93,1,Respiratory Therapy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.938940300234
58866000 BIPAP W/OXYGEN MUE 1/DAY,bipap oxygen mue 1/day,Respiratory Therapy,Respiratory Therapy,0.96,1,Respiratory Therapy,0.992111614762,1,Respiratory Therapy,0.67,1,Respiratory Therapy,0.45,1,Respiratory Therapy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.76802790369
58890000 OXYGEN PER 12 HOURS,oxygen per 12 hours,Respiratory Therapy,Respiratory Therapy,0.96,1,Respiratory Therapy,0.999369638714,1,Respiratory Therapy,0.93,1,Respiratory Therapy,0.93,1,Respiratory Therapy,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.954842409678
58892000 RETAPING/SECURING AIRWAY,retaping securing airway,Respiratory Therapy,Supply,0.76,1,Supply,0.886333851825,1,Respiratory Therapy,0.73,0,Respiratory Therapy,0.39,0,Supply,"DeepNN, Logistic_OvR",0.411583462956
59706000 480 LOW VOL MRI TUBING,480 low volume magnetic_resonance_imagery tubing,Supply,Supply,0.973928508961,1,Supply,0.999712197966,1,Nursing Services,0.68,0,Room and Board,0.38,0,Supply,"DeepNN, Logistic_OvR",0.493410176732
6.5X4500 POLY SCREW,6.5 4500 poly screw,Implant,Implant,0.956159501783,1,Implant,0.999988389174,1,Implant,0.96,1,Implant,0.94,1,Implant,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.964036972739
62002000 BLOOD GROUP D RH,blood group device rhesus,Laboratory,Laboratory,0.92506404829,1,Laboratory,0.965711284922,1,Laboratory,0.87,1,Laboratory,0.96,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.930193833303
62014000 AB ID EACH PANEL,antibody id panel,Laboratory,Laboratory,0.963784038532,1,Laboratory,0.998946573174,1,Laboratory,0.74,1,Pharmacy,0.43,0,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein",0.900910203902
62210000 RED BLOOD CELLS LEUKO RED CKBC,red_blood_cells leukocyte_reduced ckbc,Blood Products,Blood Products,0.96,1,Blood Products,0.999946479946,1,Blood Products,0.92,1,Blood Products,0.93,1,Blood Products,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.952486619987
62975000 RBC AG TYPING NOT ABO/RH D ,red_blood_cell ag typing abo rhesus device,Laboratory,Laboratory,0.967429742955,1,Laboratory,0.958403717357,1,Laboratory,0.69,1,Laboratory,0.34,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.738958365078
62999001 ABRR STATISTICAL ,abrr statistical,Laboratory,Laboratory,0.76,1,Laboratory,0.917373385146,1,Laboratory,0.7,1,Laboratory,0.48,1,Laboratory,"DeepNN, Logistic_OvR, DLevenshtein, Jaro",0.714343346287
