descrip	cleaned_descrip	Rev_Code_Name	units	billed_amount	norm_billed_amount	NORM_DESC	CHRG_CLS
*PTT  PARTIAL  THROMBOPLASTIN    TIME	 PTT PARTIAL THROMBOPLASTIN TIME	Laboratory	1	96	96	partial_prothrombaplastin_time partial thromboplastin time	Laboratory
*URINALYSIS AUTOMATED W/O MICRO	 URINALYSIS AUTOMATED W/O MICRO	Laboratory	1	44	44	urinalysis automated without miscroscopic	Laboratory
.9% NACL 500ML	.9% NACL 500ML	IV Solutions	1	3.63	2.89	.9% sodium_chloride 500_ml	Diluent / Flush / Irrigant
.9% NACL 500ML	.9% NACL 500ML	Pharmacy	1	3.63	3.63	.9% sodium_chloride 500_ml	Diluent / Flush / Irrigant
0.9% NACL 0.9 % SOLN 50 ML FLEX CONT	0.9% NACL 0.9 % SOLN 50 ML FLEX CONT	Drugs Requiring Detailed Coding	1	31.8	31.8	0.9% sodium_chloride 0.9% solution 50_ml flex cont	Diluent / Flush / Irrigant
0.9% NACL 0.9% SOLN	0.9% NACL 0.9% SOLN	Drugs Requiring Detailed Coding	1	31.8	31.8	0.9% sodium_chloride 0.9% solution	Diluent / Flush / Irrigant
0.9% NACL 0.9% SOLN	0.9% NACL 0.9% SOLN	IV Solutions	1	83	83	0.9% sodium_chloride 0.9% solution	Diluent / Flush / Irrigant
0.9% NACL 0.9% SOLN	0.9% NACL 0.9% SOLN	Pharmacy	1	7.03	7.03	0.9% sodium_chloride 0.9% solution	Diluent / Flush / Irrigant
0.9% NACL 100ML	0.9% NACL 100ML	IV Solutions	1	11.8	11.8	0.9% sodium_chloride 100_ml	Diluent / Flush / Irrigant
0.9% NACL 100ML	0.9% NACL 100ML	Pharmacy	1	11.8	11.8	0.9% sodium_chloride 100_ml	Diluent / Flush / Irrigant
0.9% NACL 250ML	0.9% NACL 250ML	IV Solutions	1	8.7	8.7	0.9% sodium_chloride 250_ml	Diluent / Flush / Irrigant
0.9% NACL 250ML	0.9% NACL 250ML	Pharmacy	1	5.145	3.43	0.9% sodium_chloride 250_ml	Diluent / Flush / Irrigant
HB 0.9% NACL 250ML 2B1322Q INJ	0.9% NACL 250ML 2B1322Q INJ	IV Solutions	1	73	73	0.9% sodium_chloride 250_ml 2b1322q injection	Diluent / Flush / Irrigant
HB 0.9% NACL 250ML 2B1322Q INJ	0.9% NACL 250ML 2B1322Q INJ	Pharmacy	1	73	73	0.9% sodium_chloride 250_ml 2b1322q injection	Diluent / Flush / Irrigant
0.9% SODIUM CHLORIDE 0.9 % SOLN	0.9% SODIUM CHLORIDE 0.9 % SOLN	IV Solutions	1	152.75	152.75	0.9% sodium chloride 0.9% solution	Diluent / Flush / Irrigant
0.9% SODIUM CHLORIDE 0.9 % SOLN	0.9% SODIUM CHLORIDE 0.9 % SOLN	Pharmacy	1	144.25	144.25	0.9% sodium chloride 0.9% solution	Diluent / Flush / Irrigant
0.9% SODIUM CHLORIDE 0.9 % SOLN 50 ML FLEX CONT	0.9% SODIUM CHLORIDE 0.9 % SOLN 50 ML FLEX CONT	IV Solutions	1	61.5	61.5	0.9% sodium chloride 0.9% solution 50_ml flex control	Diluent / Flush / Irrigant
0.9% SODIUM CHLORIDE 0.9 % SOLN 50 ML FLEX CONT	0.9% SODIUM CHLORIDE 0.9 % SOLN 50 ML FLEX CONT	Pharmacy	1	73	73	0.9% sodium chloride 0.9% solution 50_ml flex control	Diluent / Flush / Irrigant
00299285-HB COMPREHENSIVE EMERGENCY ROOM VISIT	00299285 HB COMPREHENSIVE EMERGENCY ROOM VISIT	Emergency Room	1	1078	1078	comprehensive emergency_room visit	Other
00506709-HB ANES MATERIALS ADD'L 15 MIN	00506709 HB ANES MATERIALS ADD L 15 MIN	Anesthesia	6.5	754	116	anesthesia materials additional 15_minutes	OR / Anesthesia / Recovery Room
00925149-HB ACTIVATED PAR THROMBOPLAS TIME	00925149 HB ACTIVATED PAR THROMBOPLAS TIME	Laboratory	1	82.51	82.51	activated partial thromboplastin time	Laboratory
00925339-HB URINALYSIS W/ MICROSCOPIC	00925339 HB URINALYSIS W/ MICROSCOPIC	Laboratory	1	60.35	60.35	urinalysis w microscopic	Laboratory
"00926618-HB COMPLETE BLOOD COUNT,ONLY"	00926618 HB COMPLETE BLOOD COUNT ONLY	Laboratory	1	36.32	36.32	complete_blood_count only	Laboratory
00926766-HB LOW MOLECULAR WEIGHT HEPARIN	00926766 HB LOW MOLECULAR WEIGHT HEPARIN	Laboratory	1	180.32	180.32	lower molecular weight heparin	Pharmacy
"01015031-HB POTASSIUM, SERUM"	01015031 HB POTASSIUM SERUM	Laboratory	1	50.5	50.5	potassium serum	Laboratory
01015056-HB PHOSPHORUS SERUM	01015056 HB PHOSPHORUS SERUM	Laboratory	1	33.33	33.33	phosphorus serum	Laboratory
01015064-HB ALKALINE PHOSPHATASE	01015064 HB ALKALINE PHOSPHATASE	Laboratory	1	21.32	21.32	alkaline phosphatase	Laboratory
01015098-HB BILIRUBIN TOTAL	01015098 HB BILIRUBIN TOTAL	Laboratory	1	29.85	29.85	bilirubin total	Laboratory
01015106-HB BILIRUBIN DIRECT	01015106 HB BILIRUBIN DIRECT	Laboratory	1	22.39	22.39	bilirubin direct	Laboratory
01015122-HB TOTAL PROTEIN SERUM	01015122 HB TOTAL PROTEIN SERUM	Laboratory	1	33.05	33.05	total protein serum	Laboratory
"01015379-HB CREATININE, OTHER SOURCE"	01015379 HB CREATININE OTHER SOURCE	Laboratory	1	63.47	63.47	creatinine other source	Laboratory
01015510-HB MAGNESIUM SERUM	01015510 HB MAGNESIUM SERUM	Laboratory	1	61.06	61.06	magnesium serum	Laboratory
01016096-HB THYROID STIMULATING HORMONE (TSH)	01016096 HB THYROID STIMULATING HORMONE TSH 	Laboratory	1	116	116	thyroid stimulating hormone thyroid stimulating hormone	Laboratory
01017441-HB GAMMA GT	01017441 HB GAMMA GT	Laboratory	1	41.44	41.44	gamma glutamyl transferase	Laboratory
01017458-HB LIPASE - SERUM	01017458 HB LIPASE SERUM	Laboratory	1	89.44	89.44	lipase serum	Laboratory
01019207-HB VANCOMYCIN SINGLE LEVEL	01019207 HB VANCOMYCIN SINGLE LEVEL	Laboratory	1	161.57	161.57	vancomycin single level	Laboratory
01019595-HB FERRITIN	01019595 HB FERRITIN	Laboratory	1	131.91	131.91	ferritin	Laboratory
01118850-HB THYROGLOBULIN	01118850 HB THYROGLOBULIN	Laboratory	1	23.08	23.08	thyroglobulin	Laboratory
01119098-HB CERULOPLASMIN	01119098 HB CERULOPLASMIN	Laboratory	1	18.66	18.66	ceruloplasmin	Laboratory
"01119213-HB ZINC, BLOOD"	01119213 HB ZINC BLOOD	Laboratory	1	17.37	17.37	zinc blood	Laboratory
01119817-HB SELENIUM BLOOD	01119817 HB SELENIUM BLOOD	Laboratory	1	37.03	37.03	selenium blood	Laboratory
01136186-HB THYROGLOBULIN SERUM/PLASMA	01136186 HB THYROGLOBULIN SERUM/PLASMA	Laboratory	1	23.3	23.3	thyroglobulin serum/plasma	Laboratory
01300011-HB CVC DRESSING CHANGE	01300011 HB CVC DRESSING CHANGE	Other Therapeutic Services	1	115.13	115.13	central venous catheter dressing change	Supply
01300375-HB PERIPHERAL/CENTRAL LINE/CATHETER ASSESSMENT	01300375 HB PERIPHERAL/CENTRAL LINE/CATHETER ASSESSMENT	Other Diagnostic Services	1	172.69	172.69	peripheral/central line/catheter assessment	Nursing Services
01300375-HB PERIPHERAL/CENTRAL LINE/CATHETER ASSESSMENT	01300375 HB PERIPHERAL/CENTRAL LINE/CATHETER ASSESSMENT	Other Therapeutic Services	1	172.69	172.69	peripheral/central line/catheter assessment	Nursing Services
014 CHIKAI WIRE	014 CHIKAI WIRE	Implant/Supply	1	1727.65	1727.65	014 chikai wire	Supply
01410935-HB MORPHINE 30 MG/30 ML PCA 1 MG/ML	01410935 HB MORPHINE 30 MG/30 ML PCA 1 MG/ML	Pharmacy	3	45.11	15.03666667	morphine 30 mg/30 ml patient controlled analgesia 1 mg/ml	Pharmacy
01428291-HB 5%DEXTROSE/1/2NS+KCL 10MEQ/L 1	01428291 HB 5%DEXTROSE/1/2NS+KCL 10MEQ/L 1	IV Solutions	1	41.73	41.73	5% dextrose/1/2 normal_saline and potassuim_chloride 10 meq/l 1	Pharmacy
01428523-HB STERILE WATER FOR INJ 1L	01428523 HB STERILE WATER FOR INJ 1L	IV Solutions	834	16.23	0.019340659	sterile water for injection 1 liter	Diluent / Flush / Irrigant
"01431899-HB NYSTATIN 100,000U/GM OINT 15GM"	01431899 HB NYSTATIN 100 000U/GM OINT 15GM	Pharmacy	1	80	80	nystatin 100 000u/gram ointment 15 gm	Pharmacy
01433309-HB TRIAMCINOLONE 0.1% CR 454GM	01433309 HB TRIAMCINOLONE 0.1% CR 454GM	Pharmacy	1	26.34	26.34	triamcinolone 0.1% cream 454 gm	Pharmacy
01435262-HB FERROUS SO4 220MG/5ML ELIXIR4	01435262 HB FERROUS SO4 220MG/5ML ELIXIR4	Pharmacy	2	0.02	0.01	ferrous sulfate 220 mg/5 ml elixir4	Pharmacy
01435569-HB GLYCOPYRROLATE 0.2MG/ML 1ML	01435569 HB GLYCOPYRROLATE 0.2MG/ML 1ML	Pharmacy	1	47.555	47.555	glycopyrrolate 0.2 mg/ml 1 ml	Pharmacy
01445402-HB ACETAMINOPHEN 160MG/5ML TYLEN	01445402 HB ACETAMINOPHEN 160MG/5ML TYLEN	Pharmacy	2	1.2	0.6	acetaminophen 160 mg/5 ml tylenol	Pharmacy
01453505-HB ALBUMIN 5%	01453505 HB ALBUMIN 5%	Pharmacy	1	153.56	153.56	albumin 5%	Pharmacy
01465939-HB DEXTROSE 70% WATER	01465939 HB DEXTROSE 70% WATER	Pharmacy	1	38.67	38.67	dextrose 70% water	Pharmacy
01466275-HB CISATRACURIUM 2MG/ML 10ML VL	01466275 HB CISATRACURIUM 2MG/ML 10ML VL	Pharmacy	1	15.46	15.46	cisatracurium 2 mg/ml 10 ml vial	Pharmacy
01467299-HB DIAZEPAM 5MG/5ML CUP	01467299 HB DIAZEPAM 5MG/5ML CUP	Pharmacy	1	12.7	12.7	diazepam 5 mg/5 ml cup	Pharmacy
01467315-HB OXYCODONE 5MG/5ML CUP	01467315 HB OXYCODONE 5MG/5ML CUP	Pharmacy	1	6.38	6.38	oxycodone 5 mg/5 ml cup	Pharmacy
01468891-HB RIFAXIMIN 200MG TABLET	01468891 HB RIFAXIMIN 200MG TABLET	Pharmacy	1	87.76	87.76	rifaximin 200 mg tablet	Pharmacy
01481540-HB FENTANYL 50ML INJ 0.05MG/ML	01481540 HB FENTANYL 50ML INJ 0.05MG/ML	Pharmacy	1	2.31	2.31	fentanyl 50 ml injection 0.05 mg/ml	Pharmacy
01481621-HB 5% DEXTROSE/WATER 1000ML	01481621 HB 5% DEXTROSE/WATER 1000ML	IV Solutions	1	35.9	35.9	5% dextrose/water 1000 ml	Diluent / Flush / Irrigant
01481665-HB VANCOMYCIN 5GM VIAL LEDERLE	01481665 HB VANCOMYCIN 5GM VIAL LEDERLE	Pharmacy	1	9.36	9.36	vancomycin 5 gm vial lederle	Pharmacy
01481666-HB MORPHINE SO4 15MG/ML INJ 20ML	01481666 HB MORPHINE SO4 15MG/ML INJ 20ML	Pharmacy	1	2.35	2.35	morphine_sulfate 15 mg/ml injection 20 ml	Pharmacy
01481794-HB DIAZEPAM 5MG/ML VIAL	01481794 HB DIAZEPAM 5MG/ML VIAL	Pharmacy	1	6.76	6.76	diazepam 5 mg/ml vial	Pharmacy
01481835-HB NEOSTIGMINE 1MG/ML VIAL	01481835 HB NEOSTIGMINE 1MG/ML VIAL	Pharmacy	2	42.18	21.09	neostigmine 1 mg/ml vial	Pharmacy
01481886-HB DEXTROSE 10%-1/2 NS IV SOLN	01481886 HB DEXTROSE 10% 1/2 NS IV SOLN	Pharmacy	2	54.74	27.37	dextrose 10% 1/2 normal_saline intravenous solution	Pharmacy
01482023-HB ZOFRAN 4MG/2ML IV SOLN	01482023 HB ZOFRAN 4MG/2ML IV SOLN	Pharmacy	2	2.77	1.6425	zofran 4 mg/2 ml intravenous solution	Pharmacy
01482029-HB HEPARIN SOD 10U/ML DISPSYR 1ML	01482029 HB HEPARIN SOD 10U/ML DISPSYR 1ML	Pharmacy	3	0	0	heparin sodium 10 units/ml dispsyr 1 ml	Pharmacy
01482102-HB LOPERAMIDE HCL 2 MG PO TABS	01482102 HB LOPERAMIDE HCL 2 MG PO TABS	Pharmacy	2	0.67	0.335	loperamide hydrochloride 2 mg by_mouth tablets	Pharmacy
01482213-HB DEXTROSE-NACL 10-0.225 % IV SOLN	01482213 HB DEXTROSE NACL 10 0.225 % IV SOLN	Pharmacy	2	81.74	40.87	dextrose sodium_chloride 10 0.225% intravenous solution	Pharmacy
01482221-HB ALBUTEROL SULFATE HFA 108 (90 BASE) MCG/ACT IN AERS	01482221 HB ALBUTEROL SULFATE HFA 108 90 BASE MCG/ACT IN AERS	Pharmacy	1	245.53	245.53	albuterol sulfate hfa 108 90 base mcg act	Pharmacy
01482404-HB LIDOCAINE HCL 2% EX GEL	01482404 HB LIDOCAINE HCL 2% EX GEL	Pharmacy	1	36.33	36.33	lidocaine hydrochloride 2% ex gel	Pharmacy
01482546-HB FERROUS SULFATE 75 (15 FE) MG/ML PO	01482546 HB FERROUS SULFATE 75 15 FE MG/ML PO	Pharmacy	1	0.15	0.15	ferrous sulfate 75 15 fe mg/ml by_mouth	Pharmacy
01482576-HB ACETAMINOPHEN 10 MG/ML IV SOLN	01482576 HB ACETAMINOPHEN 10 MG/ML IV SOLN	Pharmacy	19	56.51	2.974210526	acetaminophen 10 mg/ml intravenous solution	Pharmacy
01482615-HB MIDAZOLAM HCL 2 MG/2ML IJ SOLN	01482615 HB MIDAZOLAM HCL 2 MG/2ML IJ SOLN	Pharmacy	2	5.77	2.885	midazolam hydrochloride 2 mg/2 ml injection solution	Pharmacy
01484079-HB LANSOPRAZOLE 3MG/ML ORAL SUSPENSION K	01484079 HB LANSOPRAZOLE 3MG/ML ORAL SUSPENSION K	Pharmacy	5	10.09	2.018	lansoprazole 3 mg/ml oral suspension k	Pharmacy
01484105-HB ENOXAPARIN SODIUM 300 MG/3ML IJ SOLN	01484105 HB ENOXAPARIN SODIUM 300 MG/3ML IJ SOLN	Pharmacy	2	22.78	11.39	enoxaparin sodium 300 mg/3 ml injection solution	Pharmacy
01484602-HB LEVOCARNITINE 50 MG/ML DILUTION IN SW FOR TPN	01484602 HB LEVOCARNITINE 50 MG/ML DILUTION IN SW FOR TPN	Pharmacy	6	65.6	10.93333333	levocarnitine 50 mg/ml dilution in sterile water for total_parenteral_nutrition	Pharmacy
01484738-HB CEFEPIME-DEXTROSE 2 GM/50 ML	01484738 HB CEFEPIME DEXTROSE 2 GM/50 ML	Pharmacy	2	30.75	15.375	cefepime dextrose 2 gm/50 ml	Pharmacy
01495032-HB DISTILLED WATER PO LIQD	01495032 HB DISTILLED WATER PO LIQD	Pharmacy	10	0.7	0.07	distilled_water by_mouth liquid	Diluent / Flush / Irrigant
01495045-HB METRONIDAZOLE BENZOATE POWD	01495045 HB METRONIDAZOLE BENZOATE POWD	Pharmacy	1	8.52	8.52	metronidazole benzoate powder	Pharmacy
01518026-HB URINE CULTURE	01518026 HB URINE CULTURE	Laboratory	1	87.3	87.3	urine culture	Laboratory
01522061-HB AUTOMATED MIC	01522061 HB AUTOMATED MIC	Laboratory	1	61.07	61.07	automated minimal inhibitory concentration	Laboratory
"01522077-HB VERIGENE PROBE, EACH ORGANISM"	01522077 HB VERIGENE PROBE EACH ORGANISM	Laboratory	11	479.71	43.61	verigene probe each organism	Laboratory
01612290-HB SDS NURSING PREP FOR MR OTHER	01612290 HB SDS NURSING PREP FOR MR OTHER	MRI	1	588.7	588.7	same day surgery nursing preparation for mr other	Nursing Services
01612435-HB SENSOR OXIM INF L18IN ADH S	01612435 HB SENSOR OXIM INF L18IN ADH S	Implant/Supply	1	75.01	75.01	sensor oximetry infusion length 18 inches adhesive strip	Supply
01621001 - RB 6E STEP DOWN ICU	01621001 RB 6E STEP DOWN ICU	Intensive Care	1	4032	4032	room_and_board 6e step down intensive_care_unit	Room and Board
018 CHIKAI WIRE	018 CHIKAI WIRE	Implant/Supply	1	1727.65	1727.65	018 chikai wire	Supply
01855002 - RB 1MICU MEDICAL	01855002 RB 1MICU MEDICAL	Intensive Care	1	5565	5565	room_and_board medical intestive care unit medical	Room and Board
02 SATURATION	02 SATURATION	Laboratory	1	90.88	90.88	oxygen saturation	Monitoring
02 SATURATION	02 SATURATION	Respiratory Services	1	244	244	oxygen saturation	Monitoring
02 SATURATION -	02 SATURATION 	Pulmonary Function	1	163	163	oxygen saturation	Monitoring
"02336923-HB ABO TYPING, C30"	02336923 HB ABO TYPING C30	Laboratory	1	38.41	38.41	abo typing c30	Laboratory
03400001 - RB 5 MAIN MS SEMI-PVT	03400001 RB 5 MAIN MS SEMI PVT	Room & Board	1	1440	1440	room_and_board 5 main semi private	Room and Board
03412137-HB MEDICAL GAS ADMINISTRATION	03412137 HB MEDICAL GAS ADMINISTRATION	Implant/Supply	1	192.07	192.07	medical gas administration	Respiratory Therapy
"03412194-HB OXIMETRY SPOT CHECK,SINGLE"	03412194 HB OXIMETRY SPOT CHECK SINGLE	Pulmonary Function	1	115.27	115.27	oximetry spot check single	Monitoring
03500001 - RB 4 MS INTERMED CCU	03500001 RB 4 MS INTERMED CCU	Coronary Care	1	2688	2688	room_and_board 4 intermedial critical_care_unit	Room and Board
03600001 - RB 4 WEST MED ICU	03600001 RB 4 WEST MED ICU	Intensive Care	1	5565	5565	room_and_board 4 west medical intensive_care_unit	Room and Board
03600007 - RB 4 WEST ICU SURG	03600007 RB 4 WEST ICU SURG	Intensive Care	1	5565	5565	room_and_board 4 west intensive_care_unit surgical	Room and Board
"03650070-HB OXIMETRY, CONTINUOUS OVERNIGHT"	03650070 HB OXIMETRY CONTINUOUS OVERNIGHT	Pulmonary Function	1	507.64	507.64	oximetry continuous overnight	Monitoring
"03650080-HB OXIMETRY SPOT CHECK,SINGLE"	03650080 HB OXIMETRY SPOT CHECK SINGLE	Pulmonary Function	1	115.27	115.27	oximetry spot check single	Monitoring
"03650471-HB OXIMETRY SPOT CHECK, MULTIPLE"	03650471 HB OXIMETRY SPOT CHECK MULTIPLE	Pulmonary Function	1	507.64	507.64	oximetry spot check multiple	Monitoring
03666001 - RB 4 WEST STEP DOWN ICU	03666001 RB 4 WEST STEP DOWN ICU	Intensive Care	1	4032	4032	room_and_board 4 west step down intensive_care_unit	Room and Board
04500010 - EMER GSH CRIT CARE 30-74MIN	04500010 EMER GSH CRIT CARE 30 74MIN	Emergency Room	1	2795	2795	emergency gsh critical care 30-74min	Other
06200653-HB C. DIFFICILE TOXIN	06200653 HB C. DIFFICILE TOXIN	Laboratory	1	196.67	196.67	c difficile toxin	Laboratory
06500001 - POC BS GLUCOSE 4E TELE (GS)	06500001 POC BS GLUCOSE 4E TELE GS 	Laboratory	3	0	0	point_of_care blood_sugar glucose 4e telemetry	Monitoring
06600001 - POC BS GLUCOSE 4W ICU (GS)	06600001 POC BS GLUCOSE 4W ICU GS 	Laboratory	3	0	0	point_of_care blood_sugar glucose 4w intensive_care_unit general surgery	Monitoring
06660004 - RB 2 WEST ROUTINE	06660004 RB 2 WEST ROUTINE	Room & Board	1	1440	1440	room_and_board 2 west routine	Room and Board
1 25 DIHYDROXY INCLUDES FR	1 25 DIHYDROXY INCLUDES FR	Laboratory	1	503	503	1 25 dihydroxy includes fr	Laboratory
HB 10% DEXTROSE/0.9% NACL 1000ML	10% DEXTROSE/0.9% NACL 1000ML	IV Solutions	1	32.73	32.73	10% dextrose/0.9% sodium_chloride 1000 ml	Pharmacy
10508100 - DXTRSE 5%/WATER / 500ML (100ML	10508100 DXTRSE 5%/WATER / 500ML 100ML	IV Solutions	1	25.2	25.2	dextrose 5%/water/500_ml 100_ml	Diluent / flush / Irrigant
10540800 - SOD CHLORIDE 0.9/500ML IV SOL	10540800 SOD CHLORIDE 0.9/500ML IV SOL	IV Solutions	1	5.04	5.04	sodium_chloride 0.9/500_ml intravenous solution	Diluent / flush / Irrigant
10541000 - SOD CHLORIDE 0.9% PER 250ML	10541000 SOD CHLORIDE 0.9% PER 250ML	IV Solutions	1	3.78	3.78	sodium_chloride 0.9% per 250_ml	Diluent / flush / Irrigant
10542000 - SOD CHLORIDE 0.9%/250ML 100ML	10542000 SOD CHLORIDE 0.9%/250ML 100ML	IV Solutions	1	15.21	12.6	sodium_chloride 0.9%/250_ml 100_ml	Diluent / flush / Irrigant
10543000 - SOD CHLORIDE 0.9%/250ML 50ML	10543000 SOD CHLORIDE 0.9%/250ML 50ML	IV Solutions	2	28.98	25.2	sodium_chloride 0.9%/250_ml 50_ml	Diluent / flush / Irrigant
10555312 - SOD CHLORIDE 3% FOR INHALATION	10555312 SOD CHLORIDE 3% FOR INHALATION	Pharmacy	10	6.1	0.61	sodium_chloride 3% for inhalation	Diluent / flush / Irrigant
10F CORPAK ULT-LITE SB7 209551	10F CORPAK ULT LITE SB7 209551	Implant/Supply	1	63	63	10 corpak ultra liter sb7 209551	Supply
10FR DILATOR	10FR DILATOR	Other Implants	1	95.09	95.09	10fr dilator	Supply
11001212 - ACETAZOLAMIDE SOD UP TO 500MG	11001212 ACETAZOLAMIDE SOD UP TO 500MG	Pharmacy	1	96.62	96.62	acetazolamide sodium up to 500_mg	Pharmacy
11021032 - ACETAMINOPHEN SOLN 650MG	11021032 ACETAMINOPHEN SOLN 650MG	Pharmacy	1	1.06	1.06	acetaminophen solution 650_mg	Pharmacy
11021082 - ACETAMINOPHEN 325MG	11021082 ACETAMINOPHEN 325MG	Pharmacy	2	0	0	acetaminophen 325_mg	Pharmacy
11030002 - ACETYLCYSTEINE 200MG/ML 30ML	11030002 ACETYLCYSTEINE 200MG/ML 30ML	Pharmacy	2	63.56	31.78	acetylcysteine 200_mg/ml 30_ml	Pharmacy
11030012 - ACETYLCYSTEINE 200MG/ML 4ML	11030012 ACETYLCYSTEINE 200MG/ML 4ML	Pharmacy	2	33.14	16.57	acetylcysteine 200_mg/ml 4_ml	Pharmacy
11030222 - ACETYLCYSTEN INJ 100MG(30ML)VL	11030222 ACETYLCYSTEN INJ 100MG 30ML VL	Pharmacy	60	888.46	14.80766667	acetylcysteine injection 100_mg 30_ml vial	Pharmacy
11034272 - PROBIOTIC ORAL SUSP PER 1ML	11034272 PROBIOTIC ORAL SUSP PER 1ML	Pharmacy	1	1.81	1.81	probiotic oral suspension per 1_ml	Pharmacy
"11041282 - ALTEPLASE 1MG, INJ"	11041282 ALTEPLASE 1MG INJ	Pharmacy	2	613.06	294.97	alteplase 1_mg injection	Pharmacy
"11065262 - INFUSION, ALBUMIN 25% 50 ML"	11065262 INFUSION ALBUMIN 25% 50 ML	Pharmacy	4	834.63	208.66	infusion albumin 25% 50_ml	Pharmacy
11066132 - ALBUTEROL/IPRATRPIUM 25.MG/0.5	11066132 ALBUTEROL/IPRATRPIUM 25.MG/0.5	Pharmacy	5	5.6	1.13	albuterol/ipratropium 25.mg/0.5	Pharmacy
11066150 - ALBUTEROL HFA 90MCG INH	11066150 ALBUTEROL HFA 90MCG INH	Pharmacy	1	77.28	77.28	albuterol hfa 90mcg inhaled	Pharmacy
11066252 - ALBUTEROL SULF 0.83MG/ML 3ML	11066252 ALBUTEROL SULF 0.83MG/ML 3ML	Pharmacy	5	3.6	0.72	albuterol sulfate 0.83_mg/ml 3_ml	Pharmacy
11111132 - NON - CHARGEABLE MEDICATION	11111132 NON CHARGEABLE MEDICATION	Pharmacy	3	0	0	non chargeable medication	Pharmacy
11142212 - AMIKACIN SULFATE 100MG INJ	11142212 AMIKACIN SULFATE 100MG INJ	Pharmacy	15	116.13	6.831176471	amikacin sulfate 100_mg injection	Pharmacy
11192002 - AMMONIUM LACTATE LOTION 225GM	11192002 AMMONIUM LACTATE LOTION 225GM	Pharmacy	1	6.96	6.96	ammonium lactate lotion 225_gm	Pharmacy
11265042 - ASPIRIN TAB CHEW 81MG	11265042 ASPIRIN TAB CHEW 81MG	Pharmacy	1	0	0	aspirin tablet chew 81_mg	Pharmacy
11295012 - AZITHROMYCIN TABLET 250MG	11295012 AZITHROMYCIN TABLET 250MG	Pharmacy	1	6.45	6.45	azithromycin tablet 250_mg	Pharmacy
11299622 - AZTREONAM 2GM INJ MB+	11299622 AZTREONAM 2GM INJ MB+	Pharmacy	3	675.87	225.29	aztreonam 2_gm injection mb and	Pharmacy
