descrip,# of descs,# of rev code grps,# of charge classes,Unique charge classes,Unique rev codes grps
PATIENT EDUCATION,6,6,1,Education / Training,"Cardiology, Clinic, EKG/ECG/EEG, Other Therapeutic Services, Pulmonary Function, Respiratory Services"
SPIRONOLACTONE 25 MG TAB,6,6,1,Pharmacy,"Drugs Requiring Specific Identification, MRI, Outpatient or Home, PT/OT/Speech, Patient Conv Items, Pharmacy"
PROPOFOL 10 MG/ML EMUL 100 ML VIAL,6,6,1,Pharmacy,"Drugs Requiring Specific Identification, Others, Outpatient or Home, Patient Conv Items, Pharmacy, Radiology"
LACTATED RINGERS SOLN,6,6,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Implant/Supply, Outpatient or Home, Pharmacy, Radiology"
OXYCODONE 5 MG TABS,6,6,1,Pharmacy,"CT Scan, Drugs Requiring Specific Identification, IV Therapy, Medical Equipment, Oncology, Pharmacy"
FAMOTIDINE 20 MG TABLET,5,5,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Implant/Supply, Pharmacy, Pulmonary Function"
SPIROMETRY,5,5,1,Respiratory Therapy,"Implant/Supply, OR Services, Prof Fees, Pulmonary Function, Respiratory Services"
ASPIRIN 81 MG CHEW,5,5,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Outpatient or Home, Patient Conv Items, Pharmacy"
PULSE OX SINGLE,5,5,1,Monitoring,"Cardiology, Implant/Supply, Laboratory, Pulmonary Function, Respiratory Services"
PULSE OXIMETRY SINGLE,5,5,1,Monitoring,"Emergency Room, Implant/Supply, OR Services, Pulmonary Function, Respiratory Services"
OXYCODONE 5 MG TABLET,5,5,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Implant/Supply, Medical Equipment, Pharmacy"
RENAL FUNCTION PANEL,5,5,1,Laboratory,"Blood, Drugs Requiring Specific Identification, EKG/ECG/EEG, Implant/Supply, Laboratory"
PT EVALUATION,5,5,1,PT / OT / Speech Therapy,"Outpatient or Home, PT/OT/Speech, Pulmonary Function, Respiratory Services, Room & Board"
RH TYPE,5,5,1,Laboratory,"Blood, Gastro-Intestinal Services, Laboratory, PT/OT/Speech, Radiology"
PREALBUMIN,5,5,1,Laboratory,"EKG/ECG/EEG, Hospice Services, Laboratory, Other Imaging Services, Room & Board"
VANCOMYCIN,5,5,1,Laboratory,"Drugs Requiring Specific Identification, IV Therapy, Laboratory, Other Imaging Services, Pharmacy"
TRAMADOL 50 MG TAB,5,5,1,Pharmacy,"CT Scan, Drugs Requiring Specific Identification, PT/OT/Speech, Patient Conv Items, Pharmacy"
NS 1000 ML,5,5,1,Diluent / Flush / Irrigant,"Cast/Recovery/Labor Room, Drugs Requiring Specific Identification, IV Therapy, PT/OT/Speech, Pharmacy"
FUROSEMIDE 10 MG/ML SOLN,5,5,1,Pharmacy,"Anesthesia, Drugs Requiring Specific Identification, Osteopathic Services, Outpatient or Home, Pharmacy"
ACETAMINOPHEN 325 MG TABS,5,5,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Laboratory, Patient Conv Items, Pharmacy"
ANTIBODY SCREEN,5,5,1,Laboratory,"Blood, Implant/Supply, Laboratory, PT/OT/Speech, Respiratory Services"
HEMOGLOBIN,5,5,1,Laboratory,"Emergency Room, Laboratory, PT/OT/Speech, Pharmacy, Radiology"
PANTOPRAZOLE 40 MG TBEC,5,5,1,Pharmacy,"CT Scan, Drugs Requiring Specific Identification, IV Therapy, Patient Conv Items, Pharmacy"
PTT,5,5,1,Laboratory,"Emergency Room, Implant/Supply, Laboratory, Other Imaging Services, PT/OT/Speech"
LACTATED RINGERS SOLP,5,5,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Implant/Supply, Oncology, Pharmacy"
SODIUM CHLORIDE .9% 1000ML INJ,4,4,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Laboratory, Others, Pharmacy"
AMINOCAPROIC ACID 250 MG/ML SOLN 20 ML VIAL,4,4,1,Pharmacy,"Drugs Requiring Specific Identification, Patient Conv Items, Pharmacy, Radiology"
MIDAZOLAM 1 MG/ML SOLN 2 ML VIAL,4,4,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy, Radiology"
CBC,4,4,1,Laboratory,"EKG/ECG/EEG, Emergency Room, Laboratory, PT/OT/Speech"
ONDANSETRON 4 MG/2 ML SOLN 2 ML VIAL,4,4,1,Pharmacy,"Drugs Requiring Specific Identification, Laboratory, Pharmacy, Radiology"
SODIUM CHLORIDE 3 % NEBU,4,4,1,Supply,"Drugs Requiring Specific Identification, Implant/Supply, Pharmacy, Respiratory Services"
ABO TYPE,4,4,1,Laboratory,"Blood, Gastro-Intestinal Services, Laboratory, Radiology"
FENTANYL 50 MCG/ML SOLN 2 ML VIAL,4,4,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Outpatient or Home, Pharmacy"
CO2 EXPIRED GAS DETERMINATION,4,4,1,Monitoring,"Cardiology, Laboratory, Pulmonary Function, Respiratory Services"
CARVEDILOL 3.125 MG TAB,4,4,1,Pharmacy,"Drugs Requiring Specific Identification, MRI, Patient Conv Items, Pharmacy"
SYRINGE,4,4,1,Supply,"Anesthesia, Implant/Supply, Others, Pharmacy"
LACTIC ACID,4,4,1,Laboratory,"EKG/ECG/EEG, Implant/Supply, Laboratory, Other Imaging Services"
OXYGEN PER HOUR,4,4,1,Respiratory Therapy,"Anesthesia, Implant/Supply, Pharmacy, Respiratory Services"
SODIUM CHLORIDE 0.9% SOLN,4,4,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Implant/Supply, Outpatient or Home, Pharmacy"
COMP METABOLIC PANEL,4,4,1,Laboratory,"EKG/ECG/EEG, Implant/Supply, Laboratory, Other Imaging Services"
POTASSIUM CHLORIDE 2 MEQ/ML SOLN 20 ML VIAL,4,4,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Nursing, Pharmacy"
OXYGEN DAILY,4,4,1,Respiratory Therapy,"Drugs Requiring Specific Identification, Implant/Supply, Pharmacy, Respiratory Services"
INTUBATION ENDO EMERG,4,4,1,Respiratory Therapy,"Emergency Room, OR Services, Respiratory Services, Treatment/Observation Room"
SODIUM CHLORIDE 0.9 % SOLN,4,4,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Implant/Supply, Intensive Care, Pharmacy"
PROPOFOL 10 MG/ML EMUL 20 ML VIAL,4,4,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Nursing, Pharmacy"
COMPREHENSIVE METABOLIC PANEL,4,4,1,Laboratory,"Hospice Services, Laboratory, Organ Acquisition, Other Imaging Services"
SODIUM BICARBONATE 1 MEQ/ML SOLN 50 ML VIAL,4,4,1,Pharmacy,"Drugs Requiring Specific Identification, Outpatient or Home, Pharmacy, Radiology"
HC PULSE OX O2 SAT SNGL,4,4,1,Monitoring,"Emergency Room, Implant/Supply, Pharmacy, Pulmonary Function"
ACETAMINOPHEN 325 MG TAB,4,4,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Patient Conv Items, Pharmacy"
DEXTROSE 5 % SOLN 250 ML FLEX CONT,4,4,1,Diluent / Flush / Irrigant,"Anesthesia, Drugs Requiring Specific Identification, Implant/Supply, Pharmacy"
HEPARIN (PORCINE) PER 1000 UNITS,4,4,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Organ Acquisition, Pharmacy"
ASPIRIN 325 MG TABS,4,4,1,Pharmacy,"Drugs Requiring Specific Identification, Implant/Supply, Patient Conv Items, Pharmacy"
PULSE OXIMETRY CONTINUOUS,4,4,1,Monitoring,"Cast/Recovery/Labor Room, Implant/Supply, Pulmonary Function, Respiratory Services"
ACETAMINOPHEN 325 MG TABLET,4,4,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy, Room & Board"
ONDANSETRON 2 MG/ML SOLN,4,4,1,Pharmacy,"Drugs Requiring Specific Identification, Organ Acquisition, PT/OT/Speech, Pharmacy"
FENTANYL CIT 0.1 MG IN,4,4,1,Pharmacy,"Cast/Recovery/Labor Room, Drugs Requiring Specific Identification, PT/OT/Speech, Pharmacy"
ACETAMINOPHEN 325MG,4,4,1,Pharmacy,"Drugs Requiring Specific Identification, Implant/Supply, Pharmacy, Preventive Care Services"
BLOOD ADMINISTRATION,4,4,1,Nursing Services,"Blood, IV Therapy, Laboratory, Respiratory Services"
INH TX AC AWY OBST,4,4,1,Respiratory Therapy,"Gastro-Intestinal Services, Patient Conv Items, Pulmonary Function, Respiratory Services"
HC INTUBATION ENDOTRACHEAL EMERG PROC,4,4,1,Respiratory Therapy,"Emergency Room, OR Services, Respiratory Services, Treatment/Observation Room"
CALCIUM IONIZED,4,4,1,Laboratory,"EKG/ECG/EEG, Implant/Supply, Laboratory, Other Imaging Services"
ENOXAPARIN 10MG INJ,4,4,1,Pharmacy,"Drugs Requiring Specific Identification, Emergency Room, Pharmacy, Preventive Care Services"
DOCUSATE SODIUM 100 MG C,4,4,1,Pharmacy,"CT Scan, Drugs Requiring Specific Identification, Osteopathic Services, Pharmacy"
MIDAZOLAM 1 MG/ML SOLN,4,4,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Organ Acquisition, Pharmacy"
SIMETHICONE 80 MG CHEW,4,4,1,Pharmacy,"Drugs Requiring Specific Identification, Oncology, Patient Conv Items, Pharmacy"
HEMATOCRIT,4,4,1,Laboratory,"EKG/ECG/EEG, Emergency Room, Laboratory, PT/OT/Speech"
DOCUSATE SODIUM 100 MG CAPS,4,4,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Patient Conv Items, Pharmacy"
DEXTROSE 5% 100ML,4,4,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Laboratory, Pharmacy, Preventive Care Services"
SPUTUM COLLECTION,4,4,1,Respiratory Therapy,"Implant/Supply, Laboratory, Pulmonary Function, Respiratory Services"
SODIUM CHLORIDE 0.9%,4,4,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Implant/Supply, Patient Conv Items, Pharmacy"
PANTOPRAZOLE 40 MG INJ,4,4,1,Pharmacy,"CT Scan, Cast/Recovery/Labor Room, Drugs Requiring Specific Identification, Pharmacy"
DOCUSATE SODIUM 100MG CAP,4,4,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy, Respiratory Services"
POS AIRWAY PRESSURE CPAP,4,4,1,Respiratory Therapy,"Anesthesia, Implant/Supply, Laboratory, Respiratory Services"
PORTABLE BEDSIDE,4,4,1,Radiology,"Implant/Supply, Laboratory, Radiology, Respiratory Services"
PHOSPHORUS,4,4,1,Laboratory,"Laboratory, Organ Acquisition, Others, Outpatient Services"
ENOXAPARIN 40 MG INJ,4,4,1,Pharmacy,"Drugs Requiring Specific Identification, EKG/ECG/EEG, PT/OT/Speech, Pharmacy"
AEROSOL TX,4,4,1,Respiratory Therapy,"Emergency Room, MRI, Pulmonary Function, Respiratory Services"
HEPARIN FLUSH,4,4,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Implant/Supply, Pharmacy, Radiology"
HC VENIPUNCTURE,4,4,1,Nursing Services,"Laboratory, Organ Acquisition, Preventive Care Services, Pulmonary Function"
BUMETANIDE 0.25 MG/ML SOLN 10 ML VIAL,4,4,1,Pharmacy,"Drugs Requiring Specific Identification, Patient Conv Items, Pharmacy, Radiology"
FENTANYL 50 MCG/ML SOLN,4,4,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Outpatient or Home, Pharmacy"
FENTANYL PER 0.1 MG,4,4,1,Pharmacy,"CT Scan, Drugs Requiring Specific Identification, Outpatient or Home, Pharmacy"
CROSSMATCH,4,4,1,Laboratory,"Blood, CT Scan, Laboratory, Pharmacy"
PANTOPRAZOLE 40 MG SOLR,4,4,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Patient Conv Items, Pharmacy"
POTASSIUM,4,4,1,Laboratory,"Drugs Requiring Specific Identification, Laboratory, PT/OT/Speech, Pharmacy"
C-REACTIVE PROTEIN,4,4,1,Laboratory,"EKG/ECG/EEG, Laboratory, Other Imaging Services, Radiology"
SPUTUM INDUCTION,4,4,1,Respiratory Therapy,"Implant/Supply, Laboratory, Pulmonary Function, Respiratory Services"
INSULIN REGULAR HUMAN 100 UNIT/ML SOLN,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Patient Conv Items, Pharmacy"
THER EXERCISES 15 MIN,3,3,1,PT / OT / Speech Therapy,"Other Imaging Services, PT/OT/Speech, Treatment/Observation Room"
MEDFUSION SYRINGE PUMP CHARGE,3,3,1,Capital Equipment,"PT/OT/Speech, Pharmacy, Respiratory Services"
MIDAZOLAM 2 MG INJ,3,3,1,Pharmacy,"Cast/Recovery/Labor Room, Drugs Requiring Specific Identification, Pharmacy"
SODIUM CHLORIDE 0.9 % PGBK 100 ML BAG,3,3,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
PREDNISOLONE 15 MG/5 ML SOLN 237 ML BOTTLE,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
HYDROMORPHONE 1 MG/1 ML INJ,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, EKG/ECG/EEG, Pharmacy"
CHEST 1 VIEW,3,3,1,Radiology,"Cast/Recovery/Labor Room, PT/OT/Speech, Radiology"
HC COMPREHENSIVE METABOLIC PANEL,3,3,1,Laboratory,"Implant/Supply, Laboratory, Organ Acquisition"
PANTOPRAZOLE 40 MG TAB,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, PT/OT/Speech, Pharmacy"
ALBUMIN HUMAN 25% SOLP,3,3,1,Pharmacy,"Blood, Drugs Requiring Specific Identification, Pharmacy"
ONDANSETRON 4 MG/2 ML INJ,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, EKG/ECG/EEG, Pharmacy"
MAGNESIUM HYDROXIDE 400 MG/5 ML SUSP,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Patient Conv Items, Pharmacy"
INOMAX PER HOUR,3,3,1,Plan Benefit,"Drugs Requiring Specific Identification, Implant/Supply, Pharmacy"
METRONIDAZOLE 500 MG TABLET,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
METRONIDAZOLE 500 MG TAB,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Patient Conv Items, Pharmacy"
D5W 50ML,3,3,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Implant/Supply, Pharmacy"
ZOLPIDEM 5 MG TABLET,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
SODIUM CHLORIDE 7 % NEBU,3,3,1,Respiratory Therapy,"Drugs Requiring Specific Identification, Implant/Supply, Pharmacy"
CAPTOPRIL 25 MG TAB,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Patient Conv Items, Pharmacy"
PANTOPRAZOLE 40 MG SOLR 1 EACH VIAL,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Patient Conv Items, Pharmacy"
NITROGLYCERIN 0.4 MG SUBL 25 EACH BOTTLE,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Patient Conv Items, Pharmacy"
HC ANESTH PER MINUTE,3,3,1,OR / Anesthesia / Recovery Room,"Anesthesia, Blood, Organ Acquisition"
HC EKG ROUTINE,3,3,1,Cardiology,"EKG/ECG/EEG, Emergency Room, Laboratory"
BISACODYL 10MG SUPP,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Patient Conv Items, Pharmacy"
HEMOGLOBIN ALC,3,3,1,Laboratory,"EKG/ECG/EEG, Hospice Services, Laboratory"
DIGOXIN,3,3,1,Laboratory,"Drugs Requiring Specific Identification, Laboratory, Pharmacy"
MIDODRINE 5 MG TAB,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Patient Conv Items, Pharmacy"
EPINEPHRINE 1 MG/ML SOLN 30 ML VIAL,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy, Radiology"
LACTATED RINGERS 1000,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Emergency Room, Pharmacy"
BLOOD TRANSFUSION,3,3,1,Nursing Services,"Blood, Emergency Room, Laboratory"
METOPROLOL TARTRATE 25 MG TABS,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
SODIUM CHLORIDE 0.9% SOLP 50 ML BAG,3,3,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Implant/Supply, Pharmacy"
BACLOFEN 10 MG TABLET,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy, Room & Board"
METRONIDAZOLE 500 MG/100 ML PGBK,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Patient Conv Items, Pharmacy"
SODIUM CHLORIDE 0.9 % SOLP 50 ML BAG,3,3,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Implant/Supply, Pharmacy"
CATHETER ASP NASOTR,3,3,1,Supply,"Implant/Supply, Respiratory Services, Treatment/Observation Room"
SODIUM CHLORIDE 0.9% INJ,3,3,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Implant/Supply, Pharmacy"
HC CBC AUTO WO DIFF,3,3,1,Laboratory,"Drugs Requiring Specific Identification, Laboratory, Organ Acquisition"
D5W 1000ML,3,3,1,Diluent / Flush / Irrigant,"Cardiology, Drugs Requiring Specific Identification, Pharmacy"
CALCIUM TOTAL,3,3,1,Laboratory,"EKG/ECG/EEG, Laboratory, Preventive Care Services"
DEXTROSE 5 % SOLN 50 ML FLEX CONT,3,3,1,Diluent / Flush / Irrigant,"Anesthesia, Drugs Requiring Specific Identification, Pharmacy"
BUMETANIDE 0.25 MG/ML SOLN,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Patient Conv Items, Pharmacy"
NUTRITION CONSULT PER 15 M,3,3,1,Education / Training,"EKG/ECG/EEG, Other Therapeutic Services, Pharmacy"
BLOOD GAS SAMPLING- ART PUNCTU,3,3,1,Nursing Services,"Laboratory, Pulmonary Function, Respiratory Services"
LIDOCAINE,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Laboratory, Pharmacy"
BLISTEX,3,3,1,Pharmacy,"Implant/Supply, Others, Pharmacy"
FAMOTIDINE 20 MG TABS,3,3,1,Pharmacy,"CT Scan, Drugs Requiring Specific Identification, Pharmacy"
DEXTROSE 5% INJ 250 ML,3,3,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, EKG/ECG/EEG, Pharmacy"
ALBUMIN 5%,3,3,1,Pharmacy,"Blood, Drugs Requiring Specific Identification, Pharmacy"
VENT SUPPORT EA ADD DAY,3,3,1,Respiratory Therapy,"Laboratory, Other Imaging Services, Respiratory Services"
HEPARIN LOCK FLUSH 10 UNIT/ML SOLN,3,3,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Implant/Supply, Pharmacy"
SODIUM CHLORIDE 4 MEQ/ML SOLP 30 ML VIAL,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy, Radiology"
DOCUSATE 100 MG CAP,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Nursing, Pharmacy"
IV HYDRAT EA ADD HR,3,3,1,Nursing Services,"Emergency Room, IV Therapy, Treatment/Observation Room"
MULTIVITAMIN WITH IRON 0.5 ML LIQD 0.5 ML SYRINGE,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Outpatient or Home, Pharmacy"
ROUTINE VENIPUNCTURE,3,3,1,Nursing Services,"Implant/Supply, Laboratory, Respiratory Services"
EVALUATION OT,3,3,1,PT / OT / Speech Therapy,"Nuclear Medicine, PT/OT/Speech, Treatment/Observation Room"
LANSOPRAZOLE 3 MG/ML SUSP,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Patient Conv Items, Pharmacy"
INSULIN GLARGINE 1UNIT,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Laboratory, Pharmacy"
ONDANSETRON 4 MG TBDL,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Osteopathic Services, Pharmacy"
ROOM AND CARE,3,3,1,Room and Board,"Coronary Care, Intensive Care, Room & Board"
VENT MGMT IP/OBS SUB D,3,3,1,Respiratory Therapy,"EKG/ECG/EEG, Gastro-Intestinal Services, Respiratory Services"
GLUCOSE BEDSIDE,3,3,1,Monitoring,"Laboratory, Other Imaging Services, Patient Conv Items"
NATRIURETIC PEPTIDE,3,3,1,Laboratory,"Implant/Supply, Laboratory, Pharmacy"
HYDROMORPHONE 1MG/ML 1ML,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Osteopathic Services, Pharmacy"
NITRIC OXIDE PER HOUR,3,3,1,Plan Benefit,"Drugs Requiring Specific Identification, Implant/Supply, Pharmacy"
FENTANYL 100 MCG/2ML SOLN,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Outpatient or Home, Pharmacy"
TRIGLYCERIDES,3,3,1,Laboratory,"Drugs Requiring Specific Identification, Laboratory, Other Imaging Services"
HC GLUCOSE POC,3,3,1,Monitoring,"Laboratory, Organ Acquisition, Pharmacy"
DIPHENHYDRAMINE 25 MG CAPS,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Patient Conv Items, Pharmacy"
ALBUMIN 25%,3,3,1,Pharmacy,"Blood, Drugs Requiring Specific Identification, Pharmacy"
ONDANSETRON 1MG INJ,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy, Preventive Care Services"
FENTANYL 250 MCG/5 ML INJ,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, EKG/ECG/EEG, Pharmacy"
IV PUMP-PER LINE/PUMP CHARGE,3,3,1,Capital Equipment,"Implant/Supply, OR Services, Pharmacy"
HC INS NONTUNL CVC >=5YR,3,3,1,Procedure,"Emergency Room, OR Services, Treatment/Observation Room"
ALBUMIN HUMAN 25 % SOLN,3,3,1,Pharmacy,"Anesthesia, Drugs Requiring Specific Identification, Pharmacy"
GABAPENTIN 400 MG CAP,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Nursing, Pharmacy"
FENTANYL 100 MCG/2 ML INJ,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, EKG/ECG/EEG, Pharmacy"
SODIUM CHLORIDE 0.9% FLU,3,3,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Implant/Supply, Pharmacy"
ROCURONIUM 10 MG/ML SOLN,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Organ Acquisition, Pharmacy"
DOCUSATE 100MG CAP,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
SURFACTANT ADMIN THROUGH TU,3,3,1,Respiratory Therapy,"Implant/Supply, Pharmacy, Respiratory Services"
CEFAZOLIN 500MG INJ,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
VANCOMYCIN PER 500 MG,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Outpatient or Home, Pharmacy"
PHENYLEPHRINE 10 MG/ML SOLN,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, Osteopathic Services, Pharmacy"
CHLORHEXIDINE 0.12% MWSH,3,3,1,Supply,"Drugs Requiring Specific Identification, Intensive Care, Pharmacy"
OMEPRAZOLE 20 MG CPDR,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
CYCLOBENZAPRINE 10 MG TABS,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
ACETAMINOPHEN 1000MG/100ML INJ,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, EKG/ECG/EEG, Pharmacy"
ALBUMIN 5% 250ML,3,3,1,Pharmacy,"Blood, Drugs Requiring Specific Identification, Pharmacy"
ROCURONIUM 50MG/5ML INJ,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
DIAZEPAM 5 MG/ML SOLN,3,3,1,Pharmacy,"Drugs Requiring Specific Identification, IV Therapy, Pharmacy"
NEBULIZER TX INTERMITTENT,3,3,1,Respiratory Therapy,"Emergency Room, Pharmacy, Pulmonary Function"
SODIUM CHLORIDE 0.9% IV,3,3,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Implant/Supply, Pharmacy"
