Original Description,Normalized Description,Charge Class,Flag,Feature 1,Feature 2,Feature 3,Feature 4
HBC SYRINGE PUMP S/P,hbc syringe pump specification,Capital Equipment,RETROSPECTIVE,syringe,s,p,pump
HC COMPACT FEEDING PUMP,compact feeding pump,Capital Equipment,RETROSPECTIVE,compact,pump,feeding,
HC ICU CARDIAC EQUIPMENT CHG,intensive_care_unit cardiac equipment charge,Capital Equipment,RETROSPECTIVE,cardiac,equipment,charge,ICU
HC ICU EQUIPMENT CHARGE,intensive_care_unit equipment charge,Capital Equipment,RETROSPECTIVE,equipment,charge,ICU,
HC IV PUMP CONTROLLER W MODULES,intravenous pump controller with modules,Capital Equipment,RETROSPECTIVE,water,pump,modules,intravenous
HC PUMP IMED PC1,pump imed pc1,Capital Equipment,RETROSPECTIVE,pump,pc1,imed,
HC PUMP VAC WOUND CARE,pump vacuum wound care,Capital Equipment,RETROSPECTIVE,pump,care,wound,vacuum
HC TOTAL CARE 500 BED (500LB WEIGHT LIMIT),total care 500 bed 500lb weight limit,Capital Equipment,RETROSPECTIVE,total,weight,bed,care
HOVER CHAIR SIZEWISE RNTL,hover chair sizewise rental,Capital Equipment,RETROSPECTIVE,rental,chair,hover,sizewise
ACETYLCYSTEINE 200MG/ML 4ML,acetylcysteine 200_mg/ml 4_ml,Pharmacy,RETROSPECTIVE,200_mg/ml,4_ml,acetylcysteine,
IV PUMP,intravenous pump,Capital Equipment,RETROSPECTIVE,pump,intravenous,,
IV PUMP-PER LINE/PUMP CHARGE,intravenous pump per line/pump charge,Capital Equipment,RETROSPECTIVE,pump,charge,intravenous,per
LAL MATTRESS,low_air_loss mattress,Capital Equipment,RETROSPECTIVE,mattress,low_air_loss,,
LAL MATTRESS HR,low_air_loss mattress hour,Capital Equipment,RETROSPECTIVE,mattress,hour,low_air_loss,
MACRO PUMP VENT,macro pump ventilation,Capital Equipment,RETROSPECTIVE,macro,pump,ventilation,
MEDEX SYRINGE PUMP,medex syringe pump,Capital Equipment,RETROSPECTIVE,syringe,pump,medex,
MEDFUSION SYRINGE PUMP CHARGE,medfusion syringe pump charge,Capital Equipment,RETROSPECTIVE,syringe,pump,charge,medfusion
MEDICATION INFUSION PUMP,medication infusion pump,Capital Equipment,RETROSPECTIVE,pump,medication,infusion,
NICU-MICROFUSION PUMP,neonatal_intensive_care_unit microfusion pump,Capital Equipment,RETROSPECTIVE,pump,microfusion,NICU,
P500 OVERLAY MATTRESS,p500 overlay mattress,Capital Equipment,RETROSPECTIVE,p500,mattress,overlay,
PCA PUMP,patient_controlled_analgesia pump,Capital Equipment,RETROSPECTIVE,pump,PCA,,
PUMP  IV SINGL LINE,pump intravenous single line,Capital Equipment,RETROSPECTIVE,pump,line,intravenous,single
PUMP & BAG-ENTERAL,pump & bag enteral,Capital Equipment,RETROSPECTIVE,bag,pump,enteral,
PUMP - PCA  EPIDURAL OR INFUSION,pump patient_controlled_analgesia epidural operation_room infusion,Capital Equipment,RETROSPECTIVE,pump,infusion,PCA,OR
PUMP FEED DAIL,pump feed daily,Capital Equipment,RETROSPECTIVE,feed,pump,daily,
PUMP INFUS CLAVE/Y-SIT,pump infusion clave/y sit,Capital Equipment,RETROSPECTIVE,pump,sit,infusion,clave
PUMP INFUSION (GLBL),pump infusion glbl,Capital Equipment,RETROSPECTIVE,pump,glbl,infusion,
PUMP IV ARM,pump intravenous arm,Capital Equipment,RETROSPECTIVE,pump,intravenous,arm,
PUMP IV BRAIN,pump intravenous brain,Capital Equipment,RETROSPECTIVE,brain,pump,intravenous,
RNTL BED PLEXUS DAILY,rental bed plexus daily,Capital Equipment,RETROSPECTIVE,plexus,rental,daily,bed
RNTL OUTLOOK PUMP DAILY,rental outlook pump daily,Capital Equipment,RETROSPECTIVE,outlook,rental,pump,daily
SEQUENT COMPRESSION DEV,sequential compression device,Capital Equipment,RETROSPECTIVE,device,sequential,compression,
SYRINGE PUMP,syringe pump,Capital Equipment,RETROSPECTIVE,syringe,pump,,
SYRINGE PUMP  S/P,syringe pump specification,Capital Equipment,RETROSPECTIVE,syringe,s,p,pump
SYRINGE PUMP - S/P,syringe pump specification,Capital Equipment,RETROSPECTIVE,syringe,s,p,pump
SYRINGE PUMP S/P,syringe pump specification,Capital Equipment,RETROSPECTIVE,syringe,s,p,pump
TC BAG FEEDING PUMP ZEVEX,bag feeding pump zevex,Capital Equipment,RETROSPECTIVE,bag,pump,feeding,zevex
0.9% NACL 100ML,0.9% sodium_chloride 100_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,100_ml,NaCl,
0.9% NACL 250ML,0.9% sodium_chloride 250_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,250_ml,NaCl,
0.9% SODIUM CHLORIDE 0.9 % SOLN,0.9% sodium chloride 0.9% solution,Diluent / Flush / Irrigant,RETROSPECTIVE,chloride,solution,sodium,
0.9% SODIUM CHLORIDE 0.9 % SOLN 50 ML FLEX CONT,0.9% sodium chloride 0.9% solution 50_ml flex control,Diluent / Flush / Irrigant,RETROSPECTIVE,flex,cont,sodium,solution
20800207-PF NS 0.9% 0.9 % SOLN 10 ML VIAL,partial_fill normal_saline 0.9% 0.9% solution 10_ml vial,Diluent / Flush / Irrigant,RETROSPECTIVE,vial,PF,10_ml,solution
20800462-D5W SOLP 100 ML BAG,dextrose_5%_in_water solution 100_ml bag,Diluent / Flush / Irrigant,RETROSPECTIVE,100_ml,solution,bag,
25000523-STERILE WATER SOLN,sterile water solution,Diluent / Flush / Irrigant,RETROSPECTIVE,water,sterile,solution,
5% DEXTROSE/WATER,5% dextrose/water,Diluent / Flush / Irrigant,RETROSPECTIVE,5%,dextrose,water,
D5 IN WATER 50 ML - D 5 W 50 ML,dextrose_5% in water 50_ml dextrose_5%_in_water 50_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,water,50_ml,dipped,
D5W,dextrose_5%_in_water,Diluent / Flush / Irrigant,RETROSPECTIVE,D5W,,,
D5W 1/2NS 1000ML/20MEQ KCL,dextrose_5%_in_water 1/2ns 1000_ml/20_meq potassuim_chloride,Diluent / Flush / Irrigant,RETROSPECTIVE,1000_ml/20meq,1/2ns,KCl,D5W
D5W 1000ML,dextrose_5%_in_water 1000_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,D5W,1000_ml,,
D5W 100ML IVF,dextrose_5%_in_water 100_ml intravenous_fluid,Diluent / Flush / Irrigant,RETROSPECTIVE,100_ml,D5W,IVF,
D5W 250ML,dextrose_5%_in_water 250_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,250_ml,D5W,,
D5W 250ML INJ,dextrose_5%_in_water 250_ml injection,Diluent / Flush / Irrigant,RETROSPECTIVE,250_ml,injection,D5W,
D5W 25ML,dextrose_5%_in_water 25_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,25_ml,D5W,,
D5W 50 ML,dextrose_5%_in_water 50_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,50_ml,D5W,,
D5W 50 ML BAG,dextrose_5%_in_water 50_ml bag,Diluent / Flush / Irrigant,RETROSPECTIVE,50_ml,bag,D5W,
D5W 50ML IVF,dextrose_5%_in_water 50_ml intravenous_fluid,Diluent / Flush / Irrigant,RETROSPECTIVE,50_ml,D5W,IVF,
DEX 5%/WATER 100ML,dextrose 5%/water 100_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,100_ml,dextrose,5%/water,
DEX 5%/WATER 250ML,dextrose 5%/water 250_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,250_ml,dextrose,5%/water,
DEX 5%/WATER 50ML,dextrose 5%/water 50_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,50_ml,dextrose,5%/water,
DEXT 5% WATER 100ML,dextrose 5% water 100_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,5%,water,dextrose,100_ml
DEXTROSE 5 % SOLN,dextrose 5% solution,Diluent / Flush / Irrigant,RETROSPECTIVE,5%,dextrose,solution,
DEXTROSE 5 % SOLN 50 ML FLEX CONT,dextrose 5% solution 50_ml flex control,Diluent / Flush / Irrigant,RETROSPECTIVE,50_ml,flex,cont,dextrose
DEXTROSE 5%,dextrose 5%,Diluent / Flush / Irrigant,RETROSPECTIVE,5%,dextrose,,
DEXTROSE 5% (D5W) SOLP,dextrose 5% dextrose_5%_in_water solution,Diluent / Flush / Irrigant,RETROSPECTIVE,5%,dextrose,D5W,solution
DEXTROSE 5% 100ML,dextrose 5% 100_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,5%,100_ml,dextrose,
DEXTROSE 5% 250ML,dextrose 5% 250_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,5%,250_ml,dextrose,
DEXTROSE 5% 5 % SOLN,dextrose 5% 5% solution,Diluent / Flush / Irrigant,RETROSPECTIVE,5%,dextrose,solution,
DEXTROSE 5% 50ML,dextrose 5% 50_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,5%,50_ml,dextrose,
DEXTROSE 5% IN,dextrose 5% injection,Diluent / Flush / Irrigant,RETROSPECTIVE,5%,injection,dextrose,
DEXTROSE 5% IN W,dextrose 5% in with,Diluent / Flush / Irrigant,RETROSPECTIVE,5%,water,dextrose,
DEXTROSE 5% IN WATER 100ML,dextrose 5% in water 100_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,5%,water,dextrose,100_ml
DEXTROSE 5% IN WATER 250ML,dextrose 5% in water 250_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,5%,water,dextrose,250_ml
BUN,blood_urea_nitrogen,Laboratory,RETROSPECTIVE,BUN,,,
DEXTROSE 5% IN WATER INJ,dextrose 5% in water injection,Diluent / Flush / Irrigant,RETROSPECTIVE,5%,water,injection,dextrose
DEXTROSE 5% SOLN,dextrose 5% solution,Diluent / Flush / Irrigant,RETROSPECTIVE,5%,dextrose,solution,
DEXTROSE 5% SOLN 50 ML FLEX CONT,dextrose 5% solution 50_ml flex control,Diluent / Flush / Irrigant,RETROSPECTIVE,50_ml,flex,cont,dextrose
DEXTROSE 5% SOLP,dextrose 5% solution,Diluent / Flush / Irrigant,RETROSPECTIVE,5%,dextrose,solution,
DISP: 30.000 ML; 2 UNIT/ML; USED NDC QTY: 6.000 PCK OF 500.000 ML BAG HEPARIN  PORCINE (PF) 2 UNIT/ML IV SYRINGE,disposable 30.000_ml 2_units/ml_used ndc quantity 6 pack of 500.000_ml bag heparin porcine partial_fill 2_units/ml intravenous syringe,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,PF,ndc,disposable
HB 0.9% NACL 250ML 2B1322Q INJ,0.9% sodium_chloride 250_ml 2b1322q injection,Diluent / Flush / Irrigant,RETROSPECTIVE,250_ml,injection,NaCl,
HB 5% DEXTROSE/WATER 250ML,5% dextrose/water 250_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,5%,250_ml,dextrose,water
HB HEPARIN SALN 2U/ML 500ML FLUSH INJ,heparin saline 2_units/ml 500_ml flush injection,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,saline,injection,500_ml
HB NORMAL SALINE 10ML VL (NACL0,normal saline 10_ml vial sodium chloride,Diluent / Flush / Irrigant,RETROSPECTIVE,saline,10_ml,sodium,normal
DISP: 0.250 ML;1.000 UNIT/ML; USED NDC QTY: 10.000 PCK OF 10.000 ML VIAL HEPARIN (PORCINE) 1000 UNIT INJECTION HEPARIN (PORCINE) 1 000 UNIT/ML INJECTION SOLUTION,disposable 0.250_ml 1.000_unit/ml_used ndc quantity 10 pack of 10.000_ml vial heparin porcine 1000_units injection heparin porcine 1 000_units/ml injection solution,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,vial,ndc,disposable
DISP: 5.000 ML; 10 UNIT/ML; USED NDC QTY: 5.000 PCK OF 5.000 ML SYRINGE HEPARIN PORCINE (PF) 10 UNIT IV SYRINGE HEPARIN  PORCINE (PF) 10 UNIT/ML IV SYRINGE,disposable 5.000_ml 10_units/ml_used ndc quantity 5 pack of 5.000_ml syringe heparin porcine partial_fill 10_units intravenous syringe heparin porcine partial_fill 10_units/ml intravenous syringe,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,10_units,PF,ndc
DISP: 5.000 ML; 100 UNIT/ML; USED NDC QTY: 50.000 PCK OF 5.000 ML SYRINGE HEPARIN LOCK FLUSH 10 UNITS SYRINGE HEPARIN  PORCINE (PF) 100 UNIT/ML IV SYRINGE,disposable 5.000_ml 100_units/ml_used ndc quantity 50 pack of 5.000_ml syringe heparin lock flush 10_units syringe heparin porcine partial_fill 100_units/ml intravenous syringe,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,10_units,lock,ndc
HB NORMAL SALINE 10ML VL (NACLO,normal saline 10_ml vial naclo,Diluent / Flush / Irrigant,RETROSPECTIVE,saline,vl,10_ml,naclo
HB SODIUM CHLORIDE 0.9% 10ML SYRN,sodium chloride 0.9% 10_ml syringe,Diluent / Flush / Irrigant,RETROSPECTIVE,syringe,10_ml,chloride,sodium
HB SODIUM CHLORIDE 0.9% IV,sodium chloride 0.9% intravenous,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,chloride,intravenous,sodium
HB SODIUM CHLORIDE 4 MEQ/ML IV SOLN,sodium chloride 4_meq/ml intravenous solution,Diluent / Flush / Irrigant,RETROSPECTIVE,solution,chloride,intravenous,sodium
HB STERILE WATER FOR INJ 1L,sterile water for injection 1l,Diluent / Flush / Irrigant,RETROSPECTIVE,water,injection,sterile,1l
HB WATER STERILE INJ,water sterile injection,Diluent / Flush / Irrigant,RETROSPECTIVE,water,injection,sterile,
HC-SODIUM CHLORIDE IV,sodium chloride intravenous,Diluent / Flush / Irrigant,RETROSPECTIVE,chloride,intravenous,sodium,
HCHG STERILE WATER,sterile water,Diluent / Flush / Irrigant,RETROSPECTIVE,water,sterile,,
HEP FLUSH 300UNIT; HEPARIN FLUSH 100 UNITS/ML 3ML SYR,heparin flush 300unit heparin flush 100_units/ml 3_ml syringe,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,syringe,3_ml,flush
HEP-LOCK PF 100 U/ML IV TBX,heparin lock partial_fill 100_units/ml intravenous tubex,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,lock,tubex,intravenous
HEPARIN (PORCINE) 10 UNI,heparin porcine 10_units,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,10_units,porcine,
HEPARIN (PORCINE) 10 UNIT/ML SOLN 3 ML SYRINGE,heparin porcine 10_units/ml solution 3_ml syringe,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,syringe,solution,3_ml
HEPARIN (PORCINE) 100 UNIT/ML SOLN,heparin porcine 100_units/ml solution,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,100_units/ml,solution,porcine
HEPARIN (PORCINE) LOCK FLU,heparin porcine lock flush,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,lock,flush,porcine
HEPARIN 10 UNIT/ML INJ,heparin 10_units/ml injection,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,injection,10_units/ml,
HEPARIN 10 UNIT/ML SOLN,heparin 10_units/ml solution,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,solution,10_units/ml,
HEPARIN 10 UNIT/ML SOLN 3,heparin 10_units/ml solution 3,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,solution,10_units/ml,
HEPARIN 10 UNITS/ML INJ (10ML),heparin 10_units/ml injection 10_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,injection,10_ml,10_units/ml
HEPARIN 10 UNITS/ML SOLN 3,heparin 10_units/ml solution 3,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,solution,10_units/ml,
HEPARIN 100 U INJ,heparin 100_units injection,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,100_units,injection,
HEPARIN 100 U ML IN,heparin 100_units ml injection,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,100_units,ml,
HEPARIN 100 UNIT/ML INJ (10ML),heparin 100_units/ml injection 10_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,injection,100_units/ml,10_ml
HEPARIN 100 UNIT/ML SOLN,heparin 100_units/ml solution,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,100_units/ml,solution,
HEPARIN 100 UNITS/ML INJ,heparin 100_units/ml injection,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,injection,100_units/ml,
HEPARIN 100 UT/ML  3 ML SYRINGE-HEPARIN LOCK SYRINGE 100 UT/ML  3 M,heparin 100_units/ml 3_ml syringe heparin lock syringe 100_units/ml 3 m,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,syringe,3_ml,lock
HEPARIN 10UNIT ML 3ML 3,heparin 10unit ml 3_ml 3,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,3_ml,_ml,
HEPARIN 12.5 UNITS,heparin 12.5_units,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,12.5_units,,
HEPARIN 2 UNIT/2ML FLUSH,heparin 2_units/2_ml flush,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,2_units/2_ml,flush,
HEPARIN 25000 UNIT/500ML 1/2NS; HEPARIN 25000 UNITS/NACL 0.45% 500,heparin 25000_units/500_ml 1/2ns heparin 25000_units/sodium_chloride 0.45% 500,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,,,
HEPARIN 2U/ML IN NS INJ (30ML),heparin 2_units/ml in normal_saline in 30_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,injection,30_ml,NS
HEPARIN 50 UNITS/5 ML LO,heparin 50_units/5_ml lo,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,50_units/5_ml,lo,
HEPARIN FLUSH,heparin flush,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,flush,,
HEPARIN FLUSH (PORCINE) 100 UNIT/ML SOLN 3 ML SYRINGE,heparin flush porcine 100_units/ml solution 3_ml syringe,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,flush,solution,3_ml
HEPARIN FLUSH (PRES.-FREE) 0.5 UN,heparin flush pres free 0.5_units,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,free,flush,
HEPARIN FLUSH 1 UNIT/ML SOL 64253-444-25,heparin flush 1_units/ml solution 64253 444 25,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,solution,flush,
HEPARIN FLUSH 10 UN/ML  1 ML,heparin flush 10_units/ml 1_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,1_ml,10_units/ml,flush
HEPARIN FLUSH 10 UNIT/ML SOLUTION 5 ML SYRINGE,heparin flush 10_units/ml solution 5_ml syringe,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,syringe,5_ml,solution
HEPARIN FLUSH 10 UNITS ,heparin flush 10_units,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,10_units,flush,
HEPARIN FLUSH 10 UNITS/M,heparin flush 10_units/m,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,10units/m,flush,
HEPARIN FLUSH 100 UNIT/ML,heparin flush 100_units/ml,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,100_units/ml,flush,
HEPARIN FLUSH 100U/ML 1ML SD,heparin flush 100_units/ml 1_ml sd,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,1_ml,sad,flush
HEPARIN FLUSH 100UNITS/ML INJ,heparin flush 100_units/ml injection,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,injection,100_units/ml,flush
HEPARIN FLUSH 10ML 00000005.000,heparin flush 10_ml 5,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,5,10_ml,flush
HEPARIN FLUSH 10U/3ML PF SYRG,heparin flush 10_units/3_ml partial_fill syringe,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,PF,syringe,flush
HEPARIN FLUSH 10U/ML 1-6ML SYR,heparin flush 10_units/ml 1 6_ml syringe,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,syringe,6_ml,flush
HEPARIN FLUSH 1UNIT/ML  3 ML,heparin flush 1_units/ml 3_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,1_units/ml,3_ml,flush
HEPARIN FLUSH 2 UNIT/2,heparin flush 2_units/2,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,2unit/2,flush,
HEPARIN FLUSH 5,heparin flush 5,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,flush,,
HEPARIN FLUSH 500U/5ML,heparin flush 500_units/5_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,500_units/5_ml,flush,
HEPARIN FLUSH PER 10 U,heparin flush per 10_units,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,10_units,per,flush
HEPARIN FLUSH PF 100U/ML 1ML VIA,heparin flush partial_fill 100_units/ml 1_ml vial,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,PF,1_ml,via
HEPARIN INF 25000UN,heparin infusion 25000 units,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,units,infusion,
HEPARIN INJ 1 ,heparin injection 1,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,injection,,
HEPARIN INJECTION,heparin injection,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,injection,,
HEPARIN INJECTION  PER 10 UT,heparin injection per 10_units,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,injection,per,10_units
HEPARIN IV SOLN,heparin intravenous solution,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,intravenous,solution,
HEPARIN LOCK FLUSH (PORCINE) 10 UNIT/ML IV,heparin lock flush porcine 10_units/ml intravenous,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,lock,porcine,intravenous
HEPARIN LOCK FLUSH 10 UNIT,heparin lock flush 10_units,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,lock,10_units,flush
HEPARIN LOCK FLUSH 10 UNIT/ML SOLN,heparin lock flush 10_units/ml solution,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,lock,solution,flush
HEPARIN LOCK FLUSH 10 UNIT/ML SOLN 1 ML SYRINGE,heparin lock flush 10_units/ml solution 1_ml syringe,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,lock,solution,1_ml
HEPARIN LOCK FLUSH 100 UNIT,heparin lock flush 100_units,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,lock,100_units,flush
HEPARIN LOCK FLUSH 100 UNIT/ML SOLN 5 ML SYRINGE,heparin lock flush 100_units/ml solution 5_ml syringe,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,lock,solution,5_ml
HEPARIN PER 10U-30 SYRNG,heparin per 10_units 30 syringe,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,syringe,per,
HEPARIN SOD 10U/ML 5ML VIA,heparin sodium 10_units/ml 5_ml vial,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,5_ml,via,sodium
HEPARIN SODIUM 50,heparin sodium 50,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,sodium,,
HEPARIN SODIUM LOCK FLUSH 1,heparin sodium lock flush 1,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,lock,flush,sodium
HEPARIN/1000UN (5000/ML)1 1 DOSE,heparin/1000un 5000/ml 1 1 dose,Diluent / Flush / Irrigant,RETROSPECTIVE,dose,,,
INFUS D5W 100ML INJ,infusion dextrose_5%_in_water 100_ml injection,Diluent / Flush / Irrigant,RETROSPECTIVE,100_ml,injection,infusion,D5W
INFUS D5W 250ML INJ,infusion dextrose_5%_in_water 250_ml injection,Diluent / Flush / Irrigant,RETROSPECTIVE,250_ml,injection,infusion,D5W
