,DESC_ID,ORIG_DESC,NORM_DESC,CHRG_CLS,FLAG,CREATE_DT,FTR1,FTR2,FTR3,FTR4,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Voted Output,Voting Algorithm,Sum Correct,Correct_Logistic_OvR,Correct_DeepNN,Confidence Score,Feature 1,Feature 2,Feature 3,Feature 4
44,1871,STERILE WATER FOR IRRIG 250ML,sterile water for irrigation 250_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,12/07/2016,water,250_ml,irrig,sterile,Diluent / Flush / Irrigant,0.877016317849,Diluent / Flush / Irrigant,0.996755871568,Diluent / Flush / Irrigant,"Logistic_OvR, DeepNN",2,1,1,0.936886094709,water,250_ml,irrig,sterile
45,398,DORNASE PULMOZYME 2.5 MG I,dornase pulmozyme 2.5_mg i,Plan Benefit,RETROSPECTIVE,12/07/2016,pulmozyme,2.5_mg,dornase,,Pharmacy,0.582034138322,Pharmacy,0.848178135973,Pharmacy,"Logistic_OvR, DeepNN",2,1,1,0.715106137147,pulmozyme,2.5_mg,dornase,
46,2744,59757000 - CATH SINGLE LUMEN SC14701,catheter single lumen,Supply,RETROSPECTIVE,13/07/2016,sc14701,catheter,single,lumen,Supply,0.9067007062,Supply,0.999500329268,Supply,"Logistic_OvR, DeepNN",2,1,1,0.953100517734,cath,single,lumen,
47,4982,DEXTROSE 5 % SOLN 250 ML FLEX CONT,dextrose_5% solution 250_ml,Diluent / Flush / Irrigant,ONLINE,16/09/2016,250_ml,continuous,dextrose,soln,Diluent / Flush / Irrigant,0.610035880641,Diluent / Flush / Irrigant,0.961848535677,Diluent / Flush / Irrigant,"Logistic_OvR, DeepNN",2,1,1,0.785942208159,250_ml,dextrose_5%,soln,
48,1098,NICU I INTENSIVE CARE,neonatal_intensive_care_unit i intensive care,Room and Board,RETROSPECTIVE,12/07/2016,intensive,NICU,care,,Room and Board,0.809732045267,Room and Board,0.999643928489,Room and Board,"Logistic_OvR, DeepNN",2,1,1,0.904687986878,intensive,nicu,care,
49,1254,SUCTIONING,suctioning,Respiratory Therapy,RETROSPECTIVE,12/07/2016,suctioning,,,,Supply,0.703779098684,Supply,0.944830675199,Supply,"Logistic_OvR, DeepNN",2,1,1,0.824304886942,suctioning,,,
50,1361,HB DRESSING FOAM MPLX BORDR W3INX,dressing foam mepilex border w3inx,Supply,RETROSPECTIVE,12/07/2016,w3inx,foam,border,dressing,Supply,0.908735128367,Supply,0.999904062533,Supply,"Logistic_OvR, DeepNN",2,1,1,0.95431959545,mplx,foam,dressing,
51,3462,12820652 - HEPARIN SODIUM PER 1000 UNITS,heparin sodium per 1000_units,Diluent / flush / Irrigant,RETROSPECTIVE,13/07/2016,heparin,1000_units,per,sodium,Diluent / Flush / Irrigant,0.491100948995,Diluent / Flush / Irrigant,0.73117950898,Diluent / Flush / Irrigant,"Logistic_OvR, DeepNN",2,1,1,0.611140228987,heparin,1000_units,per,sodium
52,616,LACTATE (LACTIC ACID),lactate lactic acid,Laboratory,RETROSPECTIVE,12/07/2016,acid,lactic,lactate,,Laboratory,0.798851179857,Laboratory,0.990471495128,Laboratory,"Logistic_OvR, DeepNN",2,1,1,0.894661337492,acid,lactic,lactate,
53,4775,BLD# PLTLT AUTO,blood platelet automated,Laboratory,ONLINE,16/09/2016,automated,blood,pltlt,,Laboratory,0.767924876814,Laboratory,0.949059635321,Laboratory,"Logistic_OvR, DeepNN",2,1,1,0.858492256067,platelet,blood,automated,
54,1990,CAFFEINE 60MG/3ML ORAL SOLUTION,caffeine 60_mg/3_ml oral solution,Pharmacy,RETROSPECTIVE,12/07/2016,60_mg/3_ml,oral,caffeine,solution,Pharmacy,0.928768953152,Pharmacy,0.999668969692,Pharmacy,"Logistic_OvR, DeepNN",2,1,1,0.964218961422,60_mg/3_ml,oral,caffeine,solution
55,781,HC GLUCOSE POINT OF CARE,glucose point of care,Monitoring,RETROSPECTIVE,12/07/2016,point,care,glucose,,Monitoring,0.939433938246,Monitoring,0.990763485147,Monitoring,"Logistic_OvR, DeepNN",2,1,1,0.965098711696,point,care,glucose,
56,5187,GLYCERIN PEDIATRIC 1.2 G SUPP,glycerin pediatric 1.2 gram suppository,Supply,ONLINE,16/09/2016,supp,glycerin,pediatric,,Supply,0.562693368474,Supply,0.7736093043,Supply,"Logistic_OvR, DeepNN",2,1,1,0.668151336387,supp,glycerin,gram,pediatric
57,1481,"SET FEED EXT 60""",set feed extension 60,Supply,RETROSPECTIVE,12/07/2016,feed,set,extension,,Supply,0.93470593572,Supply,0.999959556324,Supply,"Logistic_OvR, DeepNN",2,1,1,0.967332746022,feed,set,ext,
58,1609,TELEVISION,television,Plan Benefit,RETROSPECTIVE,12/07/2016,television,,,,Supply,0.378985320728,Pharmacy,0.569994569728,Pharmacy,DeepNN,1,0,1,0.284997284864,television,,,
59,391,DORNASE ALFA INHA SOLN; DORNASE ALFA NEB 1 MG/ML (2.5 ML),dornase alpha inhalation solution dornase alpha nebulizer 1_mg/ml 2.5_ml,Plan Benefit,RETROSPECTIVE,12/07/2016,solution,nebulizer,alfa,inhalation,Plan Benefit,0.976109437951,Plan Benefit,0.999999994113,Plan Benefit,"Logistic_OvR, DeepNN",2,1,1,0.988054716032,alpha,neb,solution,inha
60,4972,DEXMEDETOMIDINE 100 MCG/ML SOLN 2 ML VIAL,dexmedetomidine 100 mcg/ml solution 2_ml vial,Pharmacy,ONLINE,16/09/2016,mcg,ml,2_ml,soln,Pharmacy,0.986130882848,Pharmacy,0.99991829832,Pharmacy,"Logistic_OvR, DeepNN",2,1,1,0.993024590584,mcg,ml,2_ml,soln
61,1908,AMOXICILLIN SUSPENSION 50 M WCH00-0004-28,amoxicillin suspension 50 m wch00 4 28,Pharmacy,RETROSPECTIVE,12/07/2016,suspension,wch00,,,Pharmacy,0.942193500225,Pharmacy,0.999914684475,Pharmacy,"Logistic_OvR, DeepNN",2,1,1,0.97105409235,suspension,amoxicillin,wch00,
62,867,PULSE OX-CONTINUOUS,pulse oximetry continuous,Monitoring,RETROSPECTIVE,12/07/2016,continuous,oximetry,pulse,,Monitoring,0.891846170004,Monitoring,0.999871359962,Monitoring,"Logistic_OvR, DeepNN",2,1,1,0.945858764983,continuous,oximetry,pulse,
63,6032,SYS 5 LEAD CABLE & WIRE DUAL,system 5 lead cable and wire dual,Supply,ONLINE,16/09/2016,dual,system,lead,,Supply,0.742529759724,Supply,0.839686479838,Supply,"Logistic_OvR, DeepNN",2,1,1,0.791108119781,dual,wire,system,lead
64,661,SODIUM SERUM,sodium serum,Laboratory,RETROSPECTIVE,12/07/2016,serum,sodium,,,Laboratory,0.879706574064,Laboratory,0.997575225963,Laboratory,"Logistic_OvR, DeepNN",2,1,1,0.938640900014,serum,sodium,,
65,85,D5W 100ML IVF,dextrose_5%_in_water 100_ml intravenous_fluid,Diluent / Flush / Irrigant,RETROSPECTIVE,12/07/2016,100_ml,D5W,IVF,,Diluent / Flush / Irrigant,0.799063655195,Diluent / Flush / Irrigant,0.984380033005,Diluent / Flush / Irrigant,"Logistic_OvR, DeepNN",2,1,1,0.8917218441,100_ml,d5w,ivf,
66,4869,CHEST 1V CHEST 1V,chest one_view chest one_view,Radiology,ONLINE,16/09/2016,chest,1v,,,Radiology,0.712743667907,Radiology,0.585609520569,Radiology,"Logistic_OvR, DeepNN",2,1,1,0.649176594238,chest,1v,,
67,3519,14595302 - PREDNISONE PER 5MG TAB (10MG),prednisone per 5_mg tablet 10_mg,Pharmacy,RETROSPECTIVE,13/07/2016,5_mg,tablet,per,10_mg,Pharmacy,0.91504250012,Pharmacy,0.99991635381,Pharmacy,"Logistic_OvR, DeepNN",2,1,1,0.957479426965,tab,5_mg,prednisone,per
68,3491,13754012 - MONTELUKAST SODIUM TABLET 10MG,montelukast sodium tablet 10_mg,Pharmacy,RETROSPECTIVE,13/07/2016,montelukast,10_mg,tablet,sodium,Pharmacy,0.969348010956,Pharmacy,0.999935667357,Pharmacy,"Logistic_OvR, DeepNN",2,1,1,0.984641839157,montelukast,10_mg,tablet,sodium
69,898,ASPIRIN 325MG; ASPIRIN 325 MG TABLET .EC,aspirin 325_mg aspirin 325_mg tablet each,Pharmacy,RETROSPECTIVE,12/07/2016,325_mg,tablet,aspirin,,Pharmacy,0.966185665907,Pharmacy,0.999993301645,Pharmacy,"Logistic_OvR, DeepNN",2,1,1,0.983089483776,325_mg,tablet,aspirin,
70,3975,HB GRAM STAIN,gram stain,Laboratory,RETROSPECTIVE,13/07/2016,stain,gram,,,Laboratory,0.857290650503,Laboratory,0.988525394023,Laboratory,"Logistic_OvR, DeepNN",2,1,1,0.922908022263,stain,gram,,
71,3525,14668262 - PROPOFOL PER 10MG/100ML INJ,propofol per 10_mg/100_ml injection,Pharmacy,RETROSPECTIVE,13/07/2016,10_mg/100_ml,injection,propofol,per,Pharmacy,0.946589021646,Pharmacy,0.999452529549,Pharmacy,"Logistic_OvR, DeepNN",2,1,1,0.973020775597,10_mg/100_ml,inj,propofol,per
72,3248,CT HEAD OR BRAIN W/O CONTRAST,computed_tomography head operating_room brain without contrast,Radiology,RETROSPECTIVE,13/07/2016,head,or,ct,brain,Radiology,0.833830547069,Radiology,0.998583142438,Radiology,"Logistic_OvR, DeepNN",2,1,1,0.916206844754,head,ct,brain,without
73,4006,HB REMIFENTANIL 5MG VIAL,remifentanil 5_mg vial,Pharmacy,RETROSPECTIVE,13/07/2016,vial,remifentanil,5_mg,,Pharmacy,0.945747661491,Pharmacy,0.999834932718,Pharmacy,"Logistic_OvR, DeepNN",2,1,1,0.972791297104,vial,remifentanil,5_mg,
74,2122,DOCUSATE 50MG/CAP UD,docusate 50_mg/capillary ud,Pharmacy,RETROSPECTIVE,12/07/2016,50_mg/capture,udi,docusate,,Pharmacy,0.963350987727,Pharmacy,0.999982484484,Pharmacy,"Logistic_OvR, DeepNN",2,1,1,0.981666736105,50_mg/capillary,docusate,ud,
75,1210,LCHG BLOOD DRAW,blood draw,Nursing Services,RETROSPECTIVE,12/07/2016,draw,blood,,,Nursing Services,0.514460682867,Nursing Services,0.814619755109,Nursing Services,"Logistic_OvR, DeepNN",2,1,1,0.664540218988,draw,blood,,
76,1251,SPECIMEN COLLECTION FEE,specimen collection fee,Nursing Services,RETROSPECTIVE,12/07/2016,specimen,fee,collection,,Nursing Services,0.471523032407,Nursing Services,0.778394976893,Nursing Services,"Logistic_OvR, DeepNN",2,1,1,0.62495900465,specimen,fee,collection,
77,2964,DRSG GZE PETRO XERO 4INX3YD,dressing gauze petroleum xeroform 4_inches_x_3_yards,Supply,RETROSPECTIVE,13/07/2016,dressing,,,,Supply,0.94913732689,Supply,0.999641222554,Supply,"Logistic_OvR, DeepNN",2,1,1,0.974389274722,gauze,drsg,,
78,1113,CHLOROTHIAZIDE SUSP 50MG/1ML,chlorothiazide suspension 50_mg/1_ml,Pharmacy,RETROSPECTIVE,12/07/2016,50_mg/1_ml,chlorothiazide,susp,,Pharmacy,0.944004390984,Pharmacy,0.999984629746,Pharmacy,"Logistic_OvR, DeepNN",2,1,1,0.971994510365,50_mg/1_ml,chlorothiazide,susp,
79,1994,GABAPENTIN 300 MG ORAL CAP,gabapentin 300_mg oral capillary,Pharmacy,RETROSPECTIVE,12/07/2016,oral,cap,300_mg,gabapentin,Pharmacy,0.917333123925,Pharmacy,0.999715908255,Pharmacy,"Logistic_OvR, DeepNN",2,1,1,0.95852451609,capillary,oral,300_mg,gabapentin
80,5155,FORMULA: ENFAMIL ENFACARE,formula enfamil enfacare,Supply,ONLINE,16/09/2016,formula,enfacare,enfamil,,Laboratory,0.665751750402,Laboratory,0.59176795298,Laboratory,"Logistic_OvR, DeepNN",2,1,1,0.628759851691,formula,enfacare,enfamil,
81,3838,CLOSTRIDIUM DIFFICILE BY RT PCR,clostridium difficile by respiratory_therapy pcr,Laboratory,RETROSPECTIVE,13/07/2016,pcr,rt,clostridium,difficile,Laboratory,0.846668615819,Laboratory,0.945458752454,Laboratory,"Logistic_OvR, DeepNN",2,1,1,0.896063684137,pcr,rt,clostridium,difficile
82,4655,0.9% NACL 0.9% SOLN,0.9% sodium_chloride 0.9% solution,Diluent / Flush / Irrigant,ONLINE,16/09/2016,0.90%,soln,nacl,,Diluent / Flush / Irrigant,0.571436402759,Diluent / Flush / Irrigant,0.706010767986,Diluent / Flush / Irrigant,"Logistic_OvR, DeepNN",2,1,1,0.638723585372,0.9%,soln,nacl,
83,3493,13802212 - MUPIROCIN 2% OINT 22GM,mupirocin 2% ointment 22_gm,Pharmacy,RETROSPECTIVE,13/07/2016,mupirocin,ointment,22_gm,2%,Pharmacy,0.721062809088,Pharmacy,0.997359468302,Pharmacy,"Logistic_OvR, DeepNN",2,1,1,0.859211138695,mupirocin,oint,22_gm,2%
84,3283,HB EVOKED POT POST TIBIAL NERVE,evoked potential post tibial nerve,Procedure,RETROSPECTIVE,13/07/2016,post,tibial,,,Procedure,0.418645590209,Procedure,0.469714888125,Procedure,"Logistic_OvR, DeepNN",2,1,1,0.444180239167,post,,,
85,1437,MOUTHCARE KIT ICU CHG,mouthcare kit intensive_care_unit charge,Supply,RETROSPECTIVE,12/07/2016,charge,kit,ICU,mouthcare,Supply,0.611100272354,Supply,0.853047528547,Supply,"Logistic_OvR, DeepNN",2,1,1,0.732073900451,chg,kit,icu,mouthcare
