,DESC_ID,ORIG_DESC,NORM_DESC,CHRG_CLS,FLAG,CREATE_DT,FTR1,FTR2,FTR3,FTR4,Predicted_Class_Jaro,Prob_Jaro,Predicted_Class_DLevenshtein,Prob_DLevenshtein,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Voted Output,Voting Algorithm,Sum Correct,Correct_Jaro,Correct_DLevenshtein,Correct_Logistic_OvR,Correct_DeepNN,Confidence Score,Feature 1,Feature 2,Feature 3,Feature 4
10,6051,THROMBOPLASTIN TM PRTL PLSM/WHL BLD,thromboplastin time partial plasma/whole blood,Laboratory,ONLINE,16/09/2016,whole,bld,thromboplastin,,Laboratory,0.91,Laboratory,0.93,Laboratory,0.96,Laboratory,0.999954227948,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.949988556987,partial,thromboplastin,whole,bld
11,3514,14530592 - POTASSIUM CHLORIDE  PER 2 MEQ,potassium chloride per 2_meq,Pharmacy,RETROSPECTIVE,13/07/2016,2_meq,potassium,chloride,per,Pharmacy,0.98,Pharmacy,0.97,Pharmacy,0.96,Pharmacy,0.941314716305,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.962828679076,2_meq,potassium,chloride,per
12,4314,URSODIOL 60 MG/ML PO SUSP,ursodiol 60_mg/ml by_mouth suspension,Pharmacy,RETROSPECTIVE,13/07/2016,by_mouth,ursodiol,60_mg/ml,suspension,Pharmacy,0.93,Pharmacy,0.9,Pharmacy,0.908427583475,Pharmacy,0.988016785044,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.93161109213,po,ursodiol,60_mg/ml,susp
13,2254,MULTIVITAMIN WITH MINERALS,multivitamin with minerals,Pharmacy,RETROSPECTIVE,12/07/2016,minerals,multivitamin,,,Pharmacy,0.82,Pharmacy,0.63,Pharmacy,0.557588026491,Laboratory,0.970743575676,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR",3,1,1,1,0,0.501897006623,minerals,multivitamin,,
14,3975,HB GRAM STAIN,gram stain,Laboratory,RETROSPECTIVE,13/07/2016,stain,gram,,,Laboratory,0.94,Laboratory,0.96,Laboratory,0.96,Laboratory,0.999739872437,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.964934968109,stain,gram,,
15,4267,SORE THROAT SPRAY 180 ML B,sore throat spray 180_ml b,Supply,RETROSPECTIVE,13/07/2016,throat,sore,spray,b,Laboratory,0.7,Supply,0.43,Supply,0.92,Supply,0.800085849523,Supply,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.537521462381,spray,,,
16,4860,CEFTAZIDIME 200 MG/ML SOLR,ceftazidime 200_mg/ml solution,Pharmacy,ONLINE,16/09/2016,200_mg/ml,ceftazidime,solution,,Pharmacy,0.91,Pharmacy,0.93,Pharmacy,0.96082084812,Pharmacy,0.998683446753,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.949876073718,200_mg/ml,ceftazidime,solution,
17,145,HEPARIN 100 UT/ML  3 ML SYRINGE-HEPARIN LOCK SYRINGE 100 UT/ML  3 M,heparin 100_units/ml 3_ml syringe heparin lock syringe 100_units/ml 3 m,Diluent / Flush / Irrigant,RETROSPECTIVE,12/07/2016,heparin,syringe,3_ml,lock,Diluent / Flush / Irrigant,0.76,Diluent / Flush / Irrigant,0.4,Diluent / Flush / Irrigant,0.969614600211,Diluent / Flush / Irrigant,0.999958986882,Diluent / Flush / Irrigant,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.782393396773,heparin,syringe,3_ml,lock
18,3102,PICC LINE PLC WO SO PORT >5 YRS,peripherally_inserted_central_catheter line placement without so port greater_than 5 years,Procedure,RETROSPECTIVE,13/07/2016,greater_than,line,without,portable,Supply,0.69,Procedure,0.39,Procedure,0.672321170521,Procedure,0.995196749699,Procedure,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.514379480055,greater_than,line,without,picc
19,2699,15601252 - VANOMYCIN NEBS FOR INH,vancomycin nebulizer for inhalation,Pharmacy,RETROSPECTIVE,13/07/2016,nebs,inhaled,vancomycin,,Pharmacy,0.71,Pharmacy,0.59,Respiratory Therapy,0.439169284214,Respiratory Therapy,0.98712595684,Respiratory Therapy,"Logistic_OvR, DeepNN",2,0,0,1,1,0.356573810263,inhalation,vancomycin,nebulizer,
20,5706,NICOTINE 21 MG/24HR PT24,nicotine 21_mg/24 hour patch_24,Plan Benefit,ONLINE,16/09/2016,21_mg/24hr,pt24,nicotine,,Plan Benefit,0.92,Plan Benefit,0.96,Plan Benefit,0.908683363887,Plan Benefit,0.999949798812,Plan Benefit,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.947158290675,nicotine,21_mg/24,hour,patch_24
21,4779,BLOOD CULTURE FOR BACTERIA,blood culture for bacteria,Laboratory,ONLINE,16/09/2016,culture,blood,bacteria,,Laboratory,0.81,Laboratory,0.57,Laboratory,0.959755075298,Laboratory,0.999998707424,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.83493844568,culture,blood,bacteria,
22,1095,NEONATAL INTENSIVE CARE UNIT,neonatal intensive care unit,Room and Board,RETROSPECTIVE,12/07/2016,neonatal,intensive,units,care,Room and Board,0.96,Room and Board,0.96,Room and Board,0.92,Room and Board,0.999651542546,Room and Board,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.959912885636,neonatal,intensive,unit,care
23,3525,14668262 - PROPOFOL PER 10MG/100ML INJ,propofol per 10_mg/100_ml injection,Pharmacy,RETROSPECTIVE,13/07/2016,10_mg/100_ml,injection,propofol,per,Pharmacy,0.82,Pharmacy,0.69,Pharmacy,0.947646650333,Pharmacy,0.999390265408,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.864259228935,10_mg/100_ml,inj,propofol,per
24,3373,THERA ACTIVITIES 15 MIN,therapeutic activities 15_minutes,PT / OT / Speech Therapy,RETROSPECTIVE,13/07/2016,activities,therapy,min,,PT / OT / Speech Therapy,0.85,PT / OT / Speech Therapy,0.93,PT / OT / Speech Therapy,0.96,PT / OT / Speech Therapy,0.999236490965,PT / OT / Speech Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.934809122741,activities,15_minutes,therapeutic,
25,1491,SET TRIFURCATED W/BIONECTOR,set trifurcated with bionector,Supply,RETROSPECTIVE,12/07/2016,trifurcated,set,bionector,,Supply,0.72,Supply,0.4,Supply,0.90636320388,Supply,0.99994707006,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.756577568485,trifurcated,set,bionector,
26,5396,HC T4 FREE,thyroxine free,Laboratory,ONLINE,16/09/2016,thyroxine,free,,,Laboratory,0.92,Laboratory,0.93,Laboratory,0.92,Laboratory,0.998047322158,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.94201183054,thyroxine,free,,
27,2735,58858001 - ADLT VENT SUBSEQ DAYW EPOPROST,adult ventilator subsequent day epoprostenol,Respiratory Therapy,RETROSPECTIVE,13/07/2016,ventilator,subsequent,adult,,Diluent / Flush / Irrigant,0.69,Respiratory Therapy,0.44,Respiratory Therapy,0.96,Respiratory Therapy,0.999889583581,Respiratory Therapy,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.599972395895,ventilator,subseq,adlt,day
28,3524,14668212 - PROPOFOL PER 10MG/ 5ML SYR INJ,propofol per 10_mg/5_ml syringe injection,Pharmacy,RETROSPECTIVE,13/07/2016,syringe,injection,propofol,per,Pharmacy,0.78,Pharmacy,0.64,Pharmacy,0.963584626142,Pharmacy,0.999955141362,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.845884941876,syr,inj,propofol,per
29,3738,AIRWAY LMA UNIQUE STD 3,airway lma unique standard 3,Supply,RETROSPECTIVE,13/07/2016,lma,unique,standard,airway,Respiratory Therapy,0.74,Respiratory Therapy,0.43,Supply,0.405430057746,Respiratory Therapy,0.911005158782,Respiratory Therapy,"Jaro, DLevenshtein, DeepNN",3,1,1,0,1,0.520251289696,lma,unique,std,airway
30,6050,THROMBOPLASTIN TM PRTL PLS,thromboplastin time partial plasma,Laboratory,ONLINE,16/09/2016,tm,pls,prtl,thromboplastin,Laboratory,0.89,Laboratory,0.93,Laboratory,0.96,Laboratory,0.999910870444,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.944977717611,plasma,partial,thromboplastin,time
31,5751,OSTOMY POUCH 22771 2 1/2 DISP,ostomy pouch 22771 2 1/2 disposable,Supply,ONLINE,16/09/2016,ostomy,pouch,02/Jan,disp,Supply,0.83,Supply,0.93,Supply,0.94353826199,Supply,0.99995363701,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.92587297475,ostomy,pouch,1/2,disp
32,5023,DISP: 0.500 ML; 400 MCG/ML; USED NDC QTY: 1.000 PCK OF 60.000 ML DROP BTL PEDIATRIC MULTIVITAMIN COMB NO.40-PHYTONADIONE 400 MCG/ML ORAL DROPS,dispensed 0.500_ml 400 mcg/ml used ndc quantity 1 pack of 60.000_ml drop bottle pediatric multivitamin comb no.40 phytonadione 400 mcg/ml oral drops,Pharmacy,ONLINE,16/09/2016,drops,pediatric,mcg,ml,Pharmacy,0.76,Pharmacy,0.55,Pharmacy,0.959815133457,Pharmacy,0.99981962539,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.817408689712,used,pediatric,mcg,ml
33,3326,HB POSITIONER Z-FLO 12X20 YELLOW,positioner z flo 12x20 yellow,Supply,RETROSPECTIVE,13/07/2016,positioner,z,12x20,yellow,Supply,0.72,Supply,0.48,Supply,0.66519755036,Laboratory,0.498625495884,Supply,"Jaro, DLevenshtein, Logistic_OvR",3,1,1,1,0,0.46629938759,positioner,z,12x20,yellow
34,504,SILDENAFIL SUSP PO 5MG SILDENAFI,sildenafil suspension by_mouth 5_mg sildenafil,Plan Benefit,RETROSPECTIVE,12/07/2016,sildenafi,suspension,po,5_mg,Plan Benefit,0.82,Plan Benefit,0.64,Plan Benefit,0.971482381881,Plan Benefit,0.999999976666,Plan Benefit,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.857870589637,susp,po,5_mg,sildenafil
35,5458,HCHG MUCOLYSACCHARIDES HCHG MUCOLYSACCHARIDES,mucolysaccharides,Laboratory,ONLINE,16/09/2016,hchg,mucolysaccharides,,,Laboratory,0.73,Laboratory,0.48,Laboratory,0.167863768759,Laboratory,0.359376144485,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.434309978311,mucolysaccharides,,,
36,4677,ADL SELFCARE MANAGEMENT TRAIN,activities_of_daily_living selfcare management training,PT / OT / Speech Therapy,ONLINE,16/09/2016,selfcare,training,management,adl,OR / Anesthesia / Recovery Room,0.73,Supply,0.54,PT / OT / Speech Therapy,0.594358518059,PT / OT / Speech Therapy,0.992697030239,PT / OT / Speech Therapy,"Logistic_OvR, DeepNN",2,0,0,1,1,0.396763887075,selfcare,training,management,adl
37,2714,27677000 - US RETROPERITONEAL COMP,ultrasound retroperitoneal comprehensive,Radiology,RETROSPECTIVE,13/07/2016,compressors,retroperitoneal,27677000_us,,Radiology,0.73,Radiology,0.52,Radiology,0.92,Radiology,0.976877766288,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.786719441572,us,retroperitoneal,comprehensive,
38,2145,CLOPIDOGREL 75 MG TABS,clopidogrel 75_mg tablets,Pharmacy,RETROSPECTIVE,12/07/2016,75_mg,tabs,clopidogrel,,Laboratory,0.75,Pharmacy,0.58,Pharmacy,0.932078588177,Pharmacy,0.999484152865,Pharmacy,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.62789068526,75_mg,tabs,clopidogrel,
39,827,OXIMETRY CONTINUOUS  1-24 HOURS,oximetry continuous 1 24 hours,Monitoring,RETROSPECTIVE,12/07/2016,hours,continuous,oximetry,,Monitoring,0.86,Monitoring,0.68,Monitoring,0.96,Monitoring,0.932801202053,Monitoring,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.858200300513,hours,continuous,oximetry,
40,3300,HB LACTATED RINGERS SOL 1000ML A,lactated_ringers solution 1000_ml a,Pharmacy,RETROSPECTIVE,13/07/2016,ringers,lactated,sol,1000_ml,Pharmacy,0.95,Pharmacy,0.96,Pharmacy,0.92,Pharmacy,0.925618631862,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.938904657965,sol,1000_ml,lactated_ringers,
41,6082,TRAY SUTURE,tray suture,Supply,ONLINE,16/09/2016,suture,tray,,,Supply,0.76,Laboratory,0.54,Supply,0.923678479107,Supply,0.999986140476,Supply,"Jaro, Logistic_OvR, DeepNN",3,1,0,1,1,0.670916154896,suture,tray,,
42,6153,XR FOREARM 2 VIEWS,x-ray forearm 2 views,Radiology,ONLINE,16/09/2016,views,xr,forearm,,OR / Anesthesia / Recovery Room,0.7,Radiology,0.47,Radiology,0.92,Radiology,0.999719485357,Radiology,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.597429871339,views,xr,forearm,
43,5309,HC HEPATITIS C VIRUS GENOTYPE,hepatitis c virus genotype,Laboratory,ONLINE,16/09/2016,c,virus,hepatitis,genotype,Laboratory,0.82,Laboratory,0.58,Laboratory,0.96,Laboratory,0.999384934806,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.839846233702,c,virus,hepatitis,genotype
44,83,D5W 1/2NS 1000ML/20MEQ KCL,dextrose_5%_in_water 1/2ns 1000_ml/20_meq potassuim_chloride,Diluent / Flush / Irrigant,RETROSPECTIVE,12/07/2016,1000_ml/20meq,1/2ns,KCl,D5W,Diluent / Flush / Irrigant,0.73,Pharmacy,0.36,Pharmacy,0.661408008764,Pharmacy,0.843411451025,Pharmacy,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.466204864947,kcl,1/2ns,1000_ml/20_meq,d5w
45,2515,ASPIRIN 81 MGCHEW 750 EACH BLIST PACK,aspirin 81_mgchew 750 each blister pack,Pharmacy,RETROSPECTIVE,12/07/2016,pack,biblist,aspirin,,Pharmacy,0.83,Pharmacy,0.55,Pharmacy,0.608944843145,Pharmacy,0.617002578491,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.651486855409,81_mgchew,blister,pack,aspirin
46,1648,RT POTASSIUM,respiratory_therapy potassium,Monitoring,RETROSPECTIVE,12/07/2016,RT,potassium,,,Laboratory,0.9,Laboratory,0.96,Pharmacy,0.35301494403,Laboratory,0.519110020391,Laboratory,"Jaro, DLevenshtein, DeepNN",3,1,1,0,1,0.594777505098,rt,potassium,,
47,306,SODIUM CHLORIDE 0.9% 50ML BAG,sodium chloride 0.9% 50_ml bag,Diluent / Flush / Irrigant,RETROSPECTIVE,12/07/2016,50_ml,bag,chloride,sodium,Diluent / Flush / Irrigant,0.96,Diluent / Flush / Irrigant,0.96,Diluent / Flush / Irrigant,0.96,Diluent / Flush / Irrigant,0.99991076953,Diluent / Flush / Irrigant,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.969977692383,50_ml,bag,chloride,sodium
48,3934,HB ACETAMINOPHEN 80 MG PO TBDP,acetaminophen 80_mg by_mouth tbdp,Pharmacy,RETROSPECTIVE,13/07/2016,80_mg,po,tbdp,acetaminophen,Pharmacy,0.81,Pharmacy,0.93,Pharmacy,0.94068995273,Pharmacy,0.998226328315,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.919729070261,80_mg,po,tbdp,acetaminophen
49,4033,HIGH FLOW THERAPY,high flow therapy,Respiratory Therapy,RETROSPECTIVE,13/07/2016,high,therapy,flow,,Laboratory,0.75,Supply,0.6,Respiratory Therapy,0.343312920411,Respiratory Therapy,0.777748242374,Respiratory Therapy,"Logistic_OvR, DeepNN",2,0,0,1,1,0.280265290696,high,therapy,flow,
50,646,QLAB=CALCIUM IONIZED,qlab calcium ionized,Laboratory,RETROSPECTIVE,12/07/2016,calcium,qlab,ionized,,Laboratory,0.9,Laboratory,0.96,Laboratory,0.92,Laboratory,0.991567029516,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.942891757379,calcium,qlab,ionized,
51,210,NACL 0.9% INJ 10ML,sodium_chloride 0.9% injection 10_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,12/07/2016,0.90%,injection,10_ml,NaCl,Diluent / Flush / Irrigant,0.94,Diluent / Flush / Irrigant,0.96,Diluent / Flush / Irrigant,0.56140657924,Diluent / Flush / Irrigant,0.921854868967,Diluent / Flush / Irrigant,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.845815362052,0.9%,inj,10_ml,nacl
52,5288,HC DRUG SCR UA DOASCR PRESUMPTIVE CLASS A 6 SCREEN,drug screen urinalysis doascr presumptive class a 6 screen,Laboratory,ONLINE,16/09/2016,ua,screen,drug,presumptive,Radiology,0.71,Supply,0.34,Laboratory,0.925515426444,Laboratory,0.999988930632,Laboratory,"Logistic_OvR, DeepNN",2,0,0,1,1,0.481376089269,ua,screen,class,drug
53,4883,CHORIONIC GANADOTROPIN ASSAY,chorionic ganadotropin assay,Laboratory,ONLINE,16/09/2016,ganadotropin,assay,chorionic,,Laboratory,0.71,Laboratory,0.42,Laboratory,0.96,Laboratory,0.999873729963,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.772468432491,ganadotropin,assay,chorionic,
54,1849,AEROSOL TREATMENT SUBSEQUENT,aerosol treatment subsequent,Respiratory Therapy,RETROSPECTIVE,12/07/2016,subsequent,aerosol,treatment,,Respiratory Therapy,0.75,PT / OT / Speech Therapy,0.55,Respiratory Therapy,0.96,Respiratory Therapy,0.999895342086,Respiratory Therapy,"Jaro, Logistic_OvR, DeepNN",3,1,0,1,1,0.677473835521,subsequent,aerosol,treatment,
55,5187,GLYCERIN PEDIATRIC 1.2 G SUPP,glycerin pediatric 1.2 gram suppository,Supply,ONLINE,16/09/2016,supp,glycerin,pediatric,,Supply,1.0,Supply,1.0,Supply,0.603397857851,Supply,0.98930187671,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.89817493364,supp,glycerin,gram,pediatric
56,932,DEXTROSE/TROPHAMINE BAG LINE,dextrose/trophamine bag line,Pharmacy,RETROSPECTIVE,12/07/2016,bag,line,dextrose,trophamine,Diluent / Flush / Irrigant,0.77,Diluent / Flush / Irrigant,0.5,Supply,0.697373478819,Supply,0.575966335551,Supply,"Logistic_OvR, DeepNN",2,0,0,1,1,0.318334953593,trophamine,line,dextrose,bag
57,1142,36592 BLOOD DRAW-CENTRL/PERI,blood draw central/peripheral,Nursing Services,RETROSPECTIVE,12/07/2016,draw,central,peri,blood,Nursing Services,0.73,Nursing Services,0.44,Nursing Services,0.96,Nursing Services,0.998776878705,Nursing Services,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.782194219676,draw,central,blood,peripheral
58,5155,FORMULA: ENFAMIL ENFACARE,formula enfamil enfacare,Supply,ONLINE,16/09/2016,formula,enfacare,enfamil,,Supply,0.75,Supply,0.47,Laboratory,0.691442106449,Laboratory,0.979157590548,Laboratory,"Logistic_OvR, DeepNN",2,0,0,1,1,0.417649924249,formula,enfacare,enfamil,
59,2472,MIDAZOLAM 1 MG/ML SOLN 2 ML VIAL,midazolam 1_mg/ml solution 2_ml vial,Pharmacy,RETROSPECTIVE,12/07/2016,vial,2_ml,midazolam,,Pharmacy,0.91,Pharmacy,0.92,Pharmacy,0.974480480117,Pharmacy,0.998631912569,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.950778098172,vial,2_ml,midazolam,soln
60,4785,BLOOD GASES POC,blood gases point_of_care,Monitoring,ONLINE,16/09/2016,poc,blood,gases,,Laboratory,0.85,Laboratory,0.64,Monitoring,0.92,Monitoring,0.656519525599,Monitoring,"Logistic_OvR, DeepNN",2,0,0,1,1,0.3941298814,poc,blood,gases,
61,1908,AMOXICILLIN SUSPENSION 50 M WCH00-0004-28,amoxicillin suspension 50 m wch00 4 28,Pharmacy,RETROSPECTIVE,12/07/2016,suspension,wch00,,,Plan Benefit,0.77,Plan Benefit,0.51,Pharmacy,0.943209456291,Pharmacy,0.996651995856,Pharmacy,"Logistic_OvR, DeepNN",2,0,0,1,1,0.484965363037,suspension,amoxicillin,wch00,
62,867,PULSE OX-CONTINUOUS,pulse oximetry continuous,Monitoring,RETROSPECTIVE,12/07/2016,continuous,oximetry,pulse,,Monitoring,0.98,Monitoring,0.94,Monitoring,0.96,Monitoring,0.999654582709,Monitoring,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.969913645677,continuous,oximetry,pulse,
63,5987,SOL LR 1000ML BG,solution lactated_ringers 1000_ml bag,Pharmacy,ONLINE,16/09/2016,lr,sol,1000_ml,bg,Diluent / Flush / Irrigant,0.8,Diluent / Flush / Irrigant,0.57,Pharmacy,0.415311113567,Pharmacy,0.38788521716,Diluent / Flush / Irrigant,"Jaro, DLevenshtein",2,1,1,0,0,0.3425,bag,sol,1000_ml,lactated_ringers
64,6227,GAMMAGLOBULIN IGA IGD IGG,gammaglobulin iga igd immunoglobulin,Laboratory,ONLINE,19/09/2016,igd,iga,gammaglobulin,immunoglobulin,Laboratory,0.91,Laboratory,0.93,Laboratory,0.96,Laboratory,0.999682203245,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.949920550811,igd,iga,gammaglobulin,immunoglobulin
65,191,IV D5W 250ML,intravenous dextrose_5%_in_water 250_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,12/07/2016,250_ml,intravenous,D5W,,Diluent / Flush / Irrigant,1.0,Diluent / Flush / Irrigant,1.0,Diluent / Flush / Irrigant,0.96,Diluent / Flush / Irrigant,0.998412018517,Diluent / Flush / Irrigant,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.989603004629,250_ml,iv,d5w,
66,455,NITRIC OXIDE THERAPY DAIL NO THERAPY / DAY,nitric oxide therapy daily nitric_oxide therapy/day,Plan Benefit,RETROSPECTIVE,12/07/2016,daily,nitric_oxide,oxide,therapy,Plan Benefit,0.81,Plan Benefit,0.54,Plan Benefit,0.922359171208,Plan Benefit,0.999914537987,Plan Benefit,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.818068427299,dail,no,oxide,therapy
