ORIG_DESC,NORM_DESC_pred,CHRG_CLS_actual,CHRG_CLS_pred,CONF_SCORE,Match_Voted
B COMPLEX-VITAMIN C-FOLI,b complex vitamin cap folic,Pharmacy,Pharmacy,1.0,1
B COMPLEX-VITAMIN C-FOLIC ACID 0.8 MG TAB,b complex vitamin cap folic acid 0.8_mg tablet,Pharmacy,Pharmacy,0.87,1
BACITRACIN 50 000 UNIT SOLR 1 EACH VIAL,bacitracin 50 000_units solution 1 each vial,Pharmacy,Pharmacy,0.85,1
BARRIER EAKIN LG 839001,barrier eakin large 839001,Supply,Supply,0.9,1
BEDSIDE GLUCOSE,bedside glucose,Monitoring,Monitoring,0.89,1
BILIRUBIN DIR,bilirubin direct,Laboratory,Laboratory,0.93,1
BLD TYPING RH D,blood typing rhesus daily,Laboratory,Laboratory,0.95,1
BLD# COMPL AUTO HHRWP&AUTO DIFFIAL,blood complete automated hhrwp_and_automated differential,Laboratory,Laboratory,0.92,1
BLOOD ADMINISTRATION (,blood administration,Nursing Services,Nursing Services,1.0,1
BLOOD ADMINISTRATION SET,blood administration set,Supply,Nursing Services,0.95,0
BLOOD CULTURE AEROBIC,blood culture aerobic,Laboratory,Laboratory,0.85,1
BLOOD GAS SAMPLING ARTERIAL,blood gas sampling arterial,Nursing Services,Nursing Services,0.85,1
BLOOD GAS W CALC 02 SAT,blood gas with calc 2 saturation,Laboratory,Laboratory,0.86,1
BLOOD GASES POC,blood gases point_of_care,Monitoring,Laboratory,0.85,0
BLOOD GASES W O2 SATURATION,blood gases with oxygen saturation,Laboratory,Laboratory,0.99,1
BOSENTAN 62.5 MG TABLET,bosentan 62.5_mg tablet,Plan Benefit,Plan Benefit,0.97,1
BOSETAN TAB 62.5MG,bosentan tablet 62.5_mg,Plan Benefit,Plan Benefit,0.86,1
BUDESONIDE 0.25 MG/2 ML NBSP 2 ML,budesonide 0.25_mg/2_ml nbsp 2_ml,Pharmacy,Pharmacy,0.96,1
BUFFERED LIDOCAINE 1 % SYRG 0.2 ML SYRINGE,buffered lidocaine 1% syringe 0.2_ml syringe,Pharmacy,Pharmacy,0.88,1
BUMETANIDE 0.25 MG/ML VI,bumetanide 0.25_mg/ml vi_0523,Pharmacy,Pharmacy,0.91,1
BUPROPION 75 MG TAB,bupropion 75_mg tablet,Pharmacy,Pharmacy,0.88,1
C - REACTIVE PROTEIN,reactive protein,Laboratory,Laboratory,0.98,1
C REACTIVE PROTEIN SE,reactive protein set,Laboratory,Laboratory,0.94,1
C-REACTIVE PROTEIN,reactive protein,Laboratory,Laboratory,0.98,1
CALCIUM GLUCONATE 100 MG/M,calcium gluconate 100_mg/m,Pharmacy,Pharmacy,0.94,1
CALCIUM ION,calcium ionized,Laboratory,Laboratory,0.92,1
CALCIUM TOT,calcium total,Laboratory,Laboratory,0.87,1
CALCIUM TOTAL,calcium total,Laboratory,Laboratory,0.92,1
CARVEDILOL TABLET 6.25MG,carvedilol tablet 6.25_mg,Pharmacy,Pharmacy,0.97,1
CATH ART EMBL SGL 3FRX80CM 1801-38,catheter arteries embl single 3frx80cm 1801 38,Supply,Supply,0.95,1
CATH IV INTRCN SFTY 18GAX1.25I,catheter intravenous intrcn sfty 18gax1.25i,Supply,Supply,0.93,1
CATH IV MIDLINE BKIT 20GAX10 PWRGLIDE GEN 2,catheter intravenous midline bkit 20gax10 pwrglide general 2,Supply,Supply,0.95,1
CBC W AUTO DIFF,complete_blood_count with automated difficile_clostridium,Laboratory,Laboratory,1.0,1
CBC WITH DIFERENTIAL,complete_blood_count w differential,Laboratory,Laboratory,0.9,1
CC RM TIME LV2 EA ADD,cubic_centimeters room time lv2 each additional,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,0.85,1
CEFAZOLIN 100 MG/ML SOLR 1 EACH VIAL,cefazolin 100_mg/ml solution 1 each vial,Pharmacy,Pharmacy,0.9,1
CEFAZOLIN 500MG/5ML INJ,cefazolin 500_mg/5_ml injection,Pharmacy,Pharmacy,0.94,1
CEFTAZIDIME 2 G SOLR 1 EACH VIAL,ceftazidime 2 gram solution 1 each vial,Pharmacy,Pharmacy,0.93,1
CEFTAZIDIME 200 MG/ML SOLR,ceftazidime 200_mg/ml solution,Pharmacy,Pharmacy,0.91,1
CEFTRIAXONE 10 GRAM SOLR 1 EACH VIAL,ceftriaxone 10 gram solution 1 each vial,Pharmacy,Pharmacy,0.9,1
CHEST SINGLE VIEW,chest single view,Radiology,Radiology,0.87,1
CHLORHEXIDINE 0.12% MWSH,chlorhexidine 0.12% mouthwash,Supply,Pharmacy,1.0,0
CHLORHEXIDINE ORAL RINSE 15ML,chlorhexidine oral rinse 15,Pharmacy,Pharmacy,0.92,1
CHLORIDE  URINE,chloride urine,Laboratory,Laboratory,0.87,1
CHLOROTHIAZIDE 25MG/ML (1ML) PO,chlorothiazide 25_mg/ml 1_ml by_mouth,Pharmacy,Pharmacy,0.91,1
CHLOROTHIAZIDE SUSP 50MG/1ML,chlorothiazide suspension 50_mg/1_ml,Pharmacy,Pharmacy,0.86,1
CHOLECALCIFEROL 1000 UNI,cholecalciferol 1000_units,Pharmacy,Pharmacy,0.93,1
CIPROFLOXACIN 500 MG ORAL TAB,ciprofloxacin 500_mg oral tablet,Pharmacy,Pharmacy,0.87,1
CISATRACURIUM 2 MG/ML SOLN 5 ML VIAL,cisatracurium 2_mg/ml solution 5_ml vial,Pharmacy,Pharmacy,0.97,1
CLINDAMYCIN 150 MG/ML SOLN 4 ML VIAL,clindamycin 150_mg/ml solution 4_ml vial,Pharmacy,Pharmacy,0.92,1
CLOSTRIDIUM DIFFICILE BY RT PCR,clostridium difficile by respiratory_therapy pcr,Laboratory,Laboratory,0.85,1
COIL DETACHABLE SOFT TARGET 360 5X15,coil detachable soft target 360 5x15,Implant,Implant,0.87,1
COIL DETACHABLE ULTRA TARGET 360 5X10,coil detachable ultra target 360 5x10,Implant,Implant,0.98,1
COLLECTION: VENOUS DRAW,collection venous draw,Nursing Services,Nursing Services,1.0,1
COMPREHENSIVE ED VST,comprehensive emergency_department vest,Other,Laboratory,0.89,0
COMPREHENSIVE MET,comprehensive metabolic,Laboratory,Laboratory,0.92,1
COMPRESSED AIR - M/S,compressed air m/s,Respiratory Therapy,Respiratory Therapy,0.88,1
CONNECTOR MICROCLAVE CLR,connector microclave clear,Supply,Supply,0.9,1
CONT OXIMETRY MONITORING,cont oximetry monitoring,Monitoring,Monitoring,0.91,1
CREATININE BLOOD,creatinine blood,Laboratory,Laboratory,1.0,1
CT ABD AND PELVIS W CONT,computed_tomography abdomen and pelvis with cont,Radiology,Radiology,0.85,1
CUFF BP ADLT SM SOFT 1 TUBE,cuff bp adult small soft 1 tube,Supply,Supply,0.85,1
CUL BACT QUAN COLONY CNT URINE,culture bacteria quantitative colony count_urine urine,Laboratory,Laboratory,0.95,1
CULTURE BRONCHIAL,culture bronchial,Laboratory,Laboratory,0.89,1
CULTURE TYPING ID BY NUC ACID EACH,culture typing id by nucleic_acid acid each,Laboratory,Laboratory,0.92,1
CULTURE URINE COL COUNT,culture urine coil count,Laboratory,Laboratory,0.87,1
CYTOMEGALOVIRUS AB CMV IGG,cytomegalovirus antibody cytomegalovirus immunoglobulin,Laboratory,Laboratory,0.97,1
D-DIMER  QUANT,daily dimer quantitative,Laboratory,Laboratory,1.0,1
D5W 1000ML,dextrose_5%_in_water 1000_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.9,1
D5W 250ML INJ,dextrose_5%_in_water 250_ml injection,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.91,1
D5W 50ML IVF,dextrose_5%_in_water 50_ml intravenous_fluid,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.9,1
D5W/0.45%NACL 1000ML,dextrose_5%_in_water/0.45%nacl 1000_ml,Diluent / Flush / Irrigant,Pharmacy,0.95,0
DEXMEDETOMIDINE 100 MCG/ML SOLN 2 ML VIAL,dexmedetomidine 100 mcg/ml solution 2_ml vial,Pharmacy,Pharmacy,0.91,1
DEXTROSE 10% SOLP,dextrose 10% solution,Pharmacy,Diluent / Flush / Irrigant,0.96,0
DEXTROSE 10% SOLP 1 000 ML,dextrose 10% solution 1 000_ml,Pharmacy,Pharmacy,0.94,1
DEXTROSE 5 % AND 0.45% NACL 5-0.45 % SOLN,dextrose 5% and 0.45% sodium_chloride 5 0.45% solution,Pharmacy,Pharmacy,0.86,1
DEXTROSE 5 % AND 0.9% NACL 5-0.9 % SOLN,dextrose 5% and 0.9% sodium_chloride 5 0.9% solution,Diluent / Flush / Irrigant,Pharmacy,0.87,0
DEXTROSE 5 % SOLN,dextrose 5% solution,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,1.0,1
DEXTROSE 5% AND 0.45% NACL,dextrose 5% and 0.45% sodium_chloride,Pharmacy,Pharmacy,0.95,1
DEXTROSE 5% AND 0.9% NACL,dextrose 5% and 0.9% sodium_chloride,Pharmacy,Pharmacy,0.97,1
DEXTROSE 5% IN,dextrose 5% in,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.97,1
DEXTROSE 5% IN WATER 50ML,dextrose 5% in water 50_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.98,1
DEXTROSE 5% SOLP 1 000 ML,dextrose 5% solution 1 000_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.96,1
DEXTROSE 50% SOLN,dextrose 50% solution,Pharmacy,Pharmacy,1.0,1
DIAZEPAM 5 MG/5 ML SOLN,diazepam 5_mg/5_ml solution,Pharmacy,Pharmacy,0.98,1
DIAZEPAM 5 MG/ML SOLN 10 ML VIAL,diazepam 5_mg/ml solution 10_ml vial,Pharmacy,Pharmacy,0.91,1
DISP: 0.200 ML; 4 MG/ML; USED NDC QTY: 4.000 PCK OF 30.000 ML VIAL DEXAMETHASONE 1 MG INJECTION DEXAMETHASONE 4 MG/ML INJECTION SOLUTION,dispensed_1_5% 0.200_ml 4_mg/ml used ndc quantity 4 pack of 30.000_ml vial dexamethasone 1_mg injection dexamethasone 4_mg/ml injection solution,Pharmacy,Pharmacy,0.98,1
DISP: 2.000 ML; 2.5 %; USED NDC QTY: 1.000 PCK OF 2.000 ML DROP BTL PHENYLEPHRINE 2.5 % EYE DROPS,dispensed_1_5% 2.000_ml 2.5% used ndc quantity 1 pack of 2.000_ml drop btl phenylephrine 2.5% eye drops,Pharmacy,Pharmacy,0.88,1
DISP: 5.000 ML; 4 MG/ML; USED NDC QTY: 20.000 PCK OF 5.000 ML VIAL DEXAMETHASONE 1 MG INJECTION DEXAMETHASONE 4 MG/ML INJECTION SOLUTION,dispensed_1_5% 5.000_ml 4_mg/ml used ndc quantity 20 pack of 5.000_ml vial dexamethasone 1_mg injection dexamethasone 4_mg/ml injection solution,Pharmacy,Pharmacy,0.96,1
DOCUSATE 100 MG CAP,docusate 100_mg capillary,Pharmacy,Pharmacy,1.0,1
DOCUSATE 50MG/CAP UD,docusate 50_mg/capillary ud,Pharmacy,Pharmacy,0.88,1
DOPPLER SPECTRAL COMPLETE,doppler spectral complete,Cardiology,Cardiology,0.86,1
DORNASE ALFA 1 MG/ML SOLN[12211],dornase alpha 1_mg/ml solution 12211,Plan Benefit,Plan Benefit,0.94,1
DORNASE ALPHA I,dornase alpha i,Plan Benefit,Plan Benefit,0.97,1
DRAPE IOBAN 6651EZ,drape ioban 6651ez,Supply,Supply,0.92,1
DRILL BIT/BLADE LVL3,drill bit/blade lvl3,Supply,Supply,0.96,1
DRSG GZE PETRO XERO 4INX3YD,dressing gauze petrolium xero 4inx3yd,Supply,Supply,0.86,1
ECG 12 LEAD,electrocardiogram 12 lead,Cardiology,Cardiology,0.87,1
ECHO TRANSTHORACI,echocardiogram transthoracic,Cardiology,Cardiology,0.92,1
EKG 12 - LEAD - ALL LOYOLA L,electrocardiogram 12 lead alle loyola liter,Cardiology,Cardiology,1.0,1
ELECTRODE ECG FOAM  INF.,electrode electrocardiogram foam infusion,Supply,Supply,0.87,1
ENOXAPARIN 300 MG/3 ML SOL,enoxaparin 300_mg/3_ml solution,Pharmacy,Pharmacy,0.88,1
ENOXAPARIN 40 MG INJ,enoxaparin 40_mg injection,Pharmacy,Pharmacy,0.96,1
EPHEDRINE 10ML INJ PRE-FILLED,ephedrine 10_ml injection pre filled,Pharmacy,Pharmacy,0.85,1
EPINEPHRINE 1:1 000 1 MG (,epinephrine 1 1 0 1_mg,Pharmacy,Pharmacy,0.93,1
EQ PUMP  SYRINGE,equipment pump syringe,Capital Equipment,Capital Equipment,1.0,1
ESOMEPRAZOLE 40MG PWD PKT ORAL,esomeprazole 40_mg powder packet oral,Pharmacy,Pharmacy,0.86,1
ETOMIDATE 2 MG/ML SOLN,etomidate 2_mg/ml solution,Pharmacy,Pharmacy,0.85,1
EVALUATION IV PT,evaluation intravenous physical_therapy,Nursing Services,PT / OT / Speech Therapy,0.95,0
EXTENSION SET ENTERAL 60 INCH,extension set enteral 60 inches,Supply,Supply,0.95,1
EXTENSIVE GAS DELIVERY INITIAL,extensive gas delivery initial,Plan Benefit,Plan Benefit,0.91,1
FACTOR VIIA  1 MCG,factor viia 1 mcg_gram_aerosol,Plan Benefit,Plan Benefit,0.94,1
FAMOTIDINE 10 MG/ML SOLN,famotidine 10_mg/ml solution,Pharmacy,Pharmacy,0.88,1
FAMOTIDINE 20 MG/2 ML INJ,famotidine 20_mg/2_ml injection,Pharmacy,Pharmacy,0.95,1
FAT EMULSION 20 % EMUL 50 ML SYRINGE,fat emulsion 20% emulsion 50_ml syringe,Pharmacy,Pharmacy,0.89,1
FAT EMULSION 20% EMUL 500,fat emulsion 20% emulsion 500,Pharmacy,Pharmacy,0.97,1
FAT EMULSION 20% EMUL 500 ML BAG,fat emulsion 20% emulsion 500_ml bag,Pharmacy,Pharmacy,0.97,1
FENTANYL 0.05 MG/ML SOLN 2 ML VIAL,fentanyl 0.05_mg/ml solution 2_ml vial,Pharmacy,Pharmacy,0.95,1
FENTANYL 100 MCG/2ML SOLN,fentanyl 100 mcg/2_ml solution,Pharmacy,Pharmacy,0.94,1
FENTANYL 1:10 5 MCG/ML SOL,fentanyl 1 10 5 mcg/ml solution,Pharmacy,Pharmacy,0.93,1
FENTANYL 50MCG/ML 5ML,fentanyl 50_mcg/ml 5_ml,Pharmacy,Pharmacy,0.91,1
FENTANYL CITRATE 0.1 MG,fentanyl citrate 0.1_mg,Pharmacy,Pharmacy,0.96,1
FENTANYL CITRATE 0.1 MG INJ,fentanyl citrate 0.1_mg injection,Pharmacy,Pharmacy,0.93,1
FENTANYL CITRATE 0.1MG INJ,fentanyl citrate 0.1_mg injection,Pharmacy,Pharmacy,0.93,1
FERROUS SULFATE 325 MG (65 MG IRON) TABLET,ferrous sulfate 325_mg 65_mg iron tablet,Pharmacy,Pharmacy,0.87,1
FERROUS SULFATE OS,ferrous sulfate mouth,Pharmacy,Pharmacy,0.87,1
FIBRINOGEN,fibrinogen,Laboratory,Laboratory,0.89,1
FLUCONAZOLE 2 MG/ML PGBK,fluconazole 2_mg/ml pgbk,Pharmacy,Pharmacy,0.87,1
FLUCONAZOLE 400-0.9 MG/200ML-% SOLN,fluconazole 400 0.9_mg/200_ml % solution,Pharmacy,Pharmacy,0.94,1
FOLIC ACID 1 MG TABS,folic acid 1_mg tablets,Pharmacy,Pharmacy,0.86,1
FORMULA: ELECARE 24 KCAL/O,formula elecare 24 kcal/o_r,Supply,Supply,0.97,1
FORMULA: ELECARE JR 30 KCA,formula elecare jr 30 kca,Supply,Supply,0.92,1
FORMULA: PEDIASURE PEPTIDE,formula pediasure peptide,Supply,Supply,0.87,1
FUNCT THER ACTIV 15 MIN OT,function therapist activase 15 minutes occupational_therapy,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.97,1
FUROSEMIDE 80 MG TABS,furosemide 80_mg tablets,Pharmacy,Pharmacy,0.96,1
FUROSEMIDE INJ 40MG 4ML,furosemide injection 40_mg 4_ml,Pharmacy,Pharmacy,0.85,1
FUROSEMIDE UP TO 20 MG,furosemide up to 20_mg,Pharmacy,Pharmacy,0.91,1
GABAPENTIN 300 MG CAPSULE,gabapentin 300_mg capsule,Pharmacy,Pharmacy,0.91,1
GABAPENTIN 300 MG ORAL CAP,gabapentin 300_mg oral capillary,Pharmacy,Pharmacy,0.89,1
GAIT TRAINING 5 MIN,gait training 5 minutes,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.96,1
GAIT TRAINING EA 15 MIN,gait training each 15 minutes,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.95,1
GAIT TRAINING-15 MIN,gait training 15 minutes,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.98,1
GAMMAGLOBULIN IGA IGD IGG,gammaglobulin iga igd immunoglobulin,Laboratory,Laboratory,0.91,1
GASES  BLOOD  ARTERIAL (AB,gases blood arterial antibody,Laboratory,Monitoring,0.86,0
GEM GLUCOSE,glucagon_emergency_management glucose,Monitoring,Laboratory,0.9,0
GEM IONIZED CALCIUM,glucagon_emergency_management ionized calcium,Monitoring,Laboratory,0.87,0
GENTAMICIN 40 MG/ML SOLN 20 ML VIAL,gentamicin 40_mg/ml solution 20_ml vial,Pharmacy,Pharmacy,0.91,1
GLUC BLOOD TEST BY,glucose blood test by,Monitoring,Monitoring,0.85,1
GLUCOMETER-POC,glucometer point_of_care,Monitoring,Monitoring,0.86,1
GLUCOSE  BEDSIDE,glucose bedside,Monitoring,Monitoring,1.0,1
GLUCOSE  BLOOD BY GMD,glucose blood by glucose_monitioring_device,Monitoring,Monitoring,1.0,1
GLUCOSE (ACCUCHECK),glucose accucheck,Monitoring,Monitoring,0.9,1
GLUCOSE BLD,glucose blood,Laboratory,Monitoring,0.94,0
GLUCOSE BLD BY MONITOR DEVICE,glucose blood by monitor device,Monitoring,Monitoring,1.0,1
GLUCOSE BLOOD (STICK TEST),glucose blood stick test,Monitoring,Laboratory,0.88,0
GLUCOSE BLOOD TEST - EYER,glucose blood test eyer,Laboratory,Laboratory,0.93,1
GLUCOSE METER F,glucose meter male_female,Monitoring,Monitoring,0.97,1
GLUCOSE NEAR PATIENT TEST,glucose near patient test,Monitoring,Monitoring,0.98,1
GLUCOSE POINT OF CARE.,glucose point of care,Monitoring,Monitoring,0.98,1
GLUCOSE QUAN BLOOD NOT REAGNT,glucose quantitative blood not reagent,Laboratory,Laboratory,0.88,1
GLUCOSE QUANT,glucose quantitative,Laboratory,Laboratory,0.94,1
GLUCOSE QUANTITATIVE BLOOD (EXCEPT,glucose quantitative blood except,Laboratory,Laboratory,0.93,1
GLYCERIN PEDIATRIC 1.2 G SUPP,glycerin pediatric 1.2 gram suppository,Supply,Supply,1.0,1
GLYCOPYRROLATE 2 MG TAB,glycopyrrolate 2_mg tablet,Pharmacy,Pharmacy,0.85,1
