ORIG_DESC,NORM_DESC_pred,CHRG_CLS_actual,CHRG_CLS_pred,CONF_SCORE,Match_Voted
27102000 - XR CHEST 2 VWS PA LATERAL,x_ray chest 2 vws posterior_anterior lateral,Radiology,Radiology,0.8067,1
27125000 - CT CHEST W/O CONTRAST,computed_tomography chest without contrast,Radiology,Radiology,0.91,1
27670505 - US ABDOMEN LTD OTHER QUAD,27670505_us abdomen ltd other quad,Radiology,Supply,0.455,0
27677000 - US RETROPERITONEAL COMP,27677000_us retroperitoneal component,Radiology,Radiology,0.385,1
27907888 - ANGIO PACK,angiography pack,Supply,Supply,0.8044,1
27907923 - PERIPH INS PICC >5 NO PRT/PMP,peripheral insert peripherally_inserted_central_catheter greater_than 5 no_catheter port/pmp,Procedure,Procedure,0.7825,1
2D ECHO W/DOPPLER + COLOR FW,2 echocardiogram w doppler and color fw,Radiology,Cardiology,0.91,0
30572000 - VENOUS DUPLEX IMAGE BILAT,venous duplex image bilateral,Radiology,Radiology,0.66,1
36592 BLOOD DRAW-CENTRL/PERI,blood draw central/peri,Nursing Services,Nursing Services,0.7822,1
46130010 - POC BS GLUCOSE 5S,point_of_care blood_sugar glucose 5s,Monitoring,Monitoring,0.91,1
46720000 - RB 6 EAST SEMI-PVT,room_and_board 6 east semi private,Room and Board,Room and Board,0.8688,1
5 MG SILDENAFIL,5_mg sildenafil,Plan Benefit,Plan Benefit,0.91,1
53277000 - ARTERIAL BLD DRAW FOR ANALYSIS,arterial blood draw for analysis,Nursing Services,Nursing Services,0.7247,1
58119000 - BIPAP/CPAP SET UP,bipap/continuous_positive_airway_pressure set up,Respiratory Therapy,Supply,0.4396,0
58341000 - RESPIRATORY WEANING MECHANICS,respiratory weaning mechanics,Respiratory Therapy,Respiratory Therapy,0.7033,1
58836000 - RESPIRATORY ASSESSMENT FOLLOW,respiratory assessment follow,Respiratory Therapy,Respiratory Therapy,0.92,1
58858000 - VENTILATOR-ADULT SUBSEQ DAY,ventilator adult subsequent day,Respiratory Therapy,Respiratory Therapy,0.91,1
58858001 - ADLT VENT SUBSEQ DAYW EPOPROST,adult ventilation subsequent dayw epoprostenol,Respiratory Therapy,Respiratory Therapy,0.7612,1
58872000 - PATIENT EDUCATION/15 MINUTES,patient education/15 minutes,Education / Training,Education / Training,0.92,1
58889000 - OXYGEN PER HOUR,oxygen per hour,Respiratory Therapy,Respiratory Therapy,0.93,1
59541000 - PRESSURE TRANSDUCER,pressure transducer,Supply,Supply,0.4871,1
59650000 - .9% NACL 500ML,0.9% sodium_chloride 500_ml,Diluent / Flush / Irrigant,Diluent / Flush / Irrigant,0.9,1
59757000 - CATH SINGLE LUMEN SC14701,catheter single lumen sc14701,Supply,Supply,0.8759,1
5F FEED TUBE,5 feed tube,Supply,Supply,0.485,1
60615000 - GLUCOSE VL STATISTIC,glucose vial statistic,Laboratory,Laboratory,0.9,1
62002000 - BLOOD GROUP D RH,blood group daily rhesus,Laboratory,Laboratory,0.91,1
63003201 - BUN URINE,blood_urea_nitrogen urine,Laboratory,Laboratory,0.8731,1
63015000 - PH BLOOD,hydrogen_ion_concentration blood,Laboratory,Laboratory,0.7996,1
63018004 - PHOSPHORUS,63018004 phosphorus,Laboratory,Laboratory,0.91,1
63527001 - BASIC METABOLIC PANEL,basic metabolic panel,Laboratory,Laboratory,0.9,1
63601000 - EXTRA TUBE STATISTICAL CDM,extra tube statistical cdm,Laboratory,Supply,0.4008,0
63719001 - TSH,63719001 thyroid-stimulating_hormone,Laboratory,Laboratory,0.9069,1
63972001 - FERRITIN,63972001 ferritin,Laboratory,Laboratory,0.8666,1
64266000 - CULTURE ISOLATE ID ADD METHOD,culture isolate id additional method,Laboratory,Laboratory,0.7725,1
64402000 - KOH FOR SKIN  HAIR NAILS,koh for skin hair nails,Laboratory,Supply,0.4847,0
64768100 - ACUTE HEPATITIS PANEL,acute hepatitis panel,Laboratory,Laboratory,0.9,1
64944000 - YEAST ID,yeast id,Laboratory,Laboratory,0.7314,1
64966000 - URINE CX W/PRESUMP ID,64966000_urine cervix_or_complaint_of w presumptive id,Laboratory,Laboratory,0.7667,1
64982000 - RESPIRATORY VIRAL CULTURE,respiratory viral culture,Laboratory,Laboratory,0.9205,1
64999000 - COMP GI PANEL BY PCR,component gastrointestinal panel by pcr,Laboratory,Laboratory,0.8539,1
65002003 - HEMOGLOBIN,65002003 hemoglobin,Laboratory,Laboratory,0.91,1
66046000 - O2 SATURATION DIRECT,oxygen saturation direct,Monitoring,Monitoring,0.9,1
67409000 - CYTOLOGY GMS SCREEN,cytology grams screen,Laboratory,Laboratory,0.8782,1
69884001 - AMIKACIN,69884001 amikacin,Pharmacy,Pharmacy,0.4818,1
69892001 - VANCOMYCIN,69892001 vancomycin,Pharmacy,Laboratory,0.91,0
69893001 - TROPONIN T,troponin tab,Pharmacy,Laboratory,0.73,0
70046000 - 046 DRUG SCREEN URINE,46 drug screen urine,Laboratory,Laboratory,0.8863,1
70046001 - 046 ALKALOIDS ORGANIC BASES,46 alkaloids organic bases,Laboratory,Laboratory,0.7459,1
77000453 - FLUTTER VALVE,flutter valve,Supply,Respiratory Therapy,0.265,0
77000498 - SUTURE 4-0 CHROMIC U203H,suture 4 0 chromic u203h,Supply,Supply,0.8606,1
77019412 - DRESSING WOUND CARE POLYMEM,dressing wound care polymem,Supply,Supply,0.7239,1
77019537 - BLNKT LWR BDY WARM,blanket lower body warm,Supply,Supply,0.91,1
77019768 - SURGIFOAM SPONGE SZ100,surgifoam sponge sz100,OR / Anesthesia / Recovery Room,Supply,0.5833,0
77020121 - VISE MULTI-TORQUE,vise multiple torque,Supply,Supply,0.7526,1
77020667 - GUIDEWIRE GLIDE SV 018/180ANG,guidewire glide sv 018/180ang,Supply,Supply,0.7537,1
77042463 - TRAY FOLEY 16FR 350CC TEMP MTR,tray foley 16fr 350_cc temperature mtr,Supply,Supply,0.727,1
77045557 - VALVE  TRACH SPEAKING,valve tracheostomy speaking,Supply,Supply,0.6009,1
77058113 - SLEEVE COMPRESSION REGULAR,sleeve compression regular,Supply,Supply,0.9162,1
77066025 - FEE CASE CART,fee case cart,Supply,Supply,0.91,1
77071644 - KIT INTRODUCER DUAL LUMEN MAC,kit introducer dual lumen monitored_anesthesia_care,Supply,Supply,0.874,1
77072669 - SYRINGE HYPO 10ML DISP,syringe hypodermic_injection 10_ml dispensed_1_5%,Supply,Pharmacy,0.3799,0
77074836 - DRESSING FOAM 8X8 MEPILEX AG,dressing foam 8x8 mepilex ag,Supply,Supply,0.95,1
77075089 - TUBE FDG ADLT NON WTED 55 10F,tube fdg adult non wted 55 10,Supply,Supply,0.6333,1
77078733 - TUBE TRACH 8.0 XLT CUFF DIS,tube tracheostomy 8 xlt cuff dis,Supply,Supply,0.9327,1
83946810 - OXYGEN CONSUMPTION,oxygen consumption,Respiratory Therapy,Respiratory Therapy,0.8567,1
86401005 - WALKING MOVING AROUND,walking moving around,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.98,1
86452000 - OT MISSED TREATMENT LIM TIME,occupational_therapy missed treatment lim time,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.96,1
86611002 - SELF CARE,self care,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.94,1
86647000 - NEUROMUSCULAR REEDUC / 15 MIN,neuromuscular reeduc/15 minutes,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.6877,1
86648000 - INDIVIDUAL ACTIVITY PER 15 MIN,individual activity per 15 minutes,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.92,1
86810003 - SELF CARE,self care,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.96,1
86850000 - COGNITIVE/SENSE REED/15MIN(OT),cognitive/sense reed/15_minutes occupational_therapy,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.8725,1
86921000 - NO CHARGE OT SCREENING,no_catheter charge occupational_therapy screening,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.5665,1
89315002 - VOICE GOAL 1-20%,voice goal 1 20%,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.9,1
89319002 - SWALLOW D/C 1-20%,swallow discontinue 1 20%,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.91,1
AB SCREEN,antibody screen,Laboratory,Laboratory,0.91,1
ABG DRAW BY RT,arterial_blood_gas draw by respiratory_therapy,Nursing Services,Nursing Services,0.91,1
ABG W 02 SAT (ABGCOX),arterial_blood_gas with 2 saturation abgcox,Laboratory,Monitoring,0.8656,0
ABO TYPE,abo type,Laboratory,Laboratory,0.9013,1
ABSOLUTE RETICS,absolute retics,Laboratory,Laboratory,0.4773,1
ACCUCHECK,accucheck,Monitoring,Monitoring,0.4525,1
ACCUCHECK  SINGLE,accucheck single,Monitoring,Monitoring,0.4,1
ACETAMINOPHEN 325 MG TAB,acetaminophen 325_mg tablet,Pharmacy,Pharmacy,1.0,1
ACETAMINOPHEN 325 MG TABLET,acetaminophen 325_mg tablet,Pharmacy,Pharmacy,0.96,1
ACETAZOLAMIDE SODIUM 500 MG-,acetazolamide sodium 500_mg,Pharmacy,Pharmacy,0.91,1
ACID FAST CULTURE,acid fast culture,Laboratory,Laboratory,0.8973,1
ACT LR,activity leukocyte_reduced,Laboratory,Pharmacy,0.2975,0
ADH TOP MASTISL 2/3ML VI 0523-,adhesive top mastisol 2/3_ml vial 523,Supply,Supply,0.4555,1
ADL SELFCARE MANAGEMENT TRAIN,activities_of_daily_living selfcare management train,PT / OT / Speech Therapy,PT / OT / Speech Therapy,0.3365,1
ADMIN SET IV BLD FLD Y 4C8723,administration set intravenous blood field y 4c8723,Supply,Supply,0.4255,1
ADULT FOAM ELECTRODES (PACK),adult foam electrodes pack,Supply,Supply,0.7829,1
AEROBIC CULTURE (AER),aerobic culture aero,Laboratory,Laboratory,0.8866,1
AEROCHAMBER DEVICE,aerochamber device,Supply,Supply,0.4674,1
AEROSOL INHALATION SUBSEQ,aerosol inhalation subsequent,Respiratory Therapy,Respiratory Therapy,0.9245,1
AEROSOL TREATMENT SUBSEQUENT,aerosol treatment subsequent,Respiratory Therapy,Respiratory Therapy,0.9026,1
AG DETECTION POLIVAL IF EACH,silver detection polival if each,Laboratory,Laboratory,0.8813,1
AHG (COOMBS) TEST,ahg coombs test,Laboratory,Laboratory,0.8655,1
AIRWAY LMA UNIQUE STD 3,airway lma unique standard 3,Supply,Respiratory Therapy,0.2925,0
AIRWAY MAINTENANCE/20,airway maintenance/20,Respiratory Therapy,Respiratory Therapy,0.7085,1
AIRWY OP BRMN MEDC 80MM X1,airway operative brmn medc 80mm x1,Supply,Supply,0.2925,1
ALARIS 8100 LVP MOD,alaris 8100 lvp module,Capital Equipment,Capital Equipment,0.295,1
ALARIS PUMP IV,alaris pump intravenous,Capital Equipment,Capital Equipment,0.97,1
ALARIS PUMP IV ARM,alaris pump intravenous arm,Capital Equipment,Capital Equipment,0.91,1
ALBUMIN 25 % SOLP,albumin 25% solution,Pharmacy,Pharmacy,0.98,1
ALBUMIN 5% 250ML 12.5GM IN,albumin 5% 250_ml 12.5_gm inhibition,Pharmacy,Pharmacy,0.97,1
ALBUMIN HUMAN 5% 500 ML IV,albumin human 5% 500_ml intravenous,Pharmacy,Pharmacy,0.97,1
ALBUMIN HUMAN 5% SOLN,albumin human 5% solution,Pharmacy,Pharmacy,0.98,1
ALBUMIN SERUM PLASMA/WHOLE,albumin serum plasma/whole,Laboratory,Laboratory,0.94,1
ALBUTEROL 2.5 MG/0.5 ML,albuterol 2.5_mg/0.5_ml,Pharmacy,Pharmacy,0.91,1
ALBUTEROL 90 MCG/ACTUATION,albuterol 90 mcg_gram_aerosol/actuation,Pharmacy,Pharmacy,0.772,1
ALBUTEROL 90 MCG/PUFF HFAA 8 G CANISTER,albuterol 90 mcg_gram_aerosol/puff hfaa 8 gram canister,Pharmacy,Pharmacy,0.783,1
ALBUTEROL 90 MCG/PUFF HFAA 8.5 G CANISTER,albuterol 90 mcg_gram_aerosol/puff hfaa 8.5 gram canister,Pharmacy,Pharmacy,0.7763,1
ALBUTEROL INH (2.5 MG/3ML),albuterol inhaled 2.5_mg/3_ml,Pharmacy,Pharmacy,0.96,1
ALBUTEROL INH U.D. PER MG .....,albuterol inhaled u daily per milligram,Pharmacy,Pharmacy,0.8218,1
ALBUTEROL SULF 0.83MG/ML 3ML,albuterol sulfate 0.83_mg/ml 3_ml,Pharmacy,Pharmacy,0.9413,1
ALBUTEROL SULFATE 0.083% INTERMITTENT I,albuterol sulfate 0.083% intermittent i,Pharmacy,Pharmacy,0.8784,1
ALPHA-FETOPROTEIN SERUM,alpha fetoprotein serum,Laboratory,Laboratory,0.7968,1
ALT SGPT,an alanine aminotransferase test serum_glutamic_pyruvic_transaminase,Laboratory,Laboratory,0.9075,1
ALTEPLASE CATHFLO.1 MG-2MG INJ,alteplase cathflo.1_mg 2_mg injection,Pharmacy,Pharmacy,0.91,1
ALVIMOPAN 12 MG CAP,alvimopan 12_mg capillary,Pharmacy,Pharmacy,0.7822,1
AMINO ACID 4.25/5 DE,amino acid 4.25/5 device,Pharmacy,Laboratory,0.3011,0
AMINO ACIDS PLASMA,amino acids plasma,Laboratory,Laboratory,0.9197,1
AMINOCAPROIC ACID 250 MG/ML SOLN 20 ML VIAL,aminocaproic acid 250_mg/ml solution 20_ml vial,Pharmacy,Pharmacy,0.9204,1
AMINOCAPROIC ACID 5GM/20ML INJ,aminocaproic acid 5_gm/20_ml injection,Pharmacy,Pharmacy,0.91,1
AMIODARONE HCL TABLET 200MG,amiodarone hcl tablet 200_mg,Pharmacy,Pharmacy,0.926,1
AMIODARONE IN 5% DEXTROSE 150 MG/100 ML (1.5 MG/ML) SOLN,amiodarone inhibition 5% dextrose 150_mg/100_ml 1.5_mg/ml solution,Pharmacy,Pharmacy,0.874,1
AMNIOFIX INJ 160MG AI-5200,amniofix injection 160_mg ai 5200,Pharmacy,Pharmacy,0.762,1
AMOXICILLIN SUSPENSION 50 M WCH00-0004-28,amoxicillin suspension 50 m wch00 4 28,Pharmacy,Pharmacy,0.4862,1
AMYLASE,amylase,Laboratory,Laboratory,0.93,1
ANAERO CULT ISO & PRESUMPT ID,anaerobic cult iso and_insert presumptive id,Laboratory,Laboratory,0.9296,1
ANAEROBIC CULTURE EXC BLOO,anaerobic culture excel blood,Laboratory,Laboratory,0.8929,1
ANCHOR/SCRW LEVEL 4,anchor/scrw level 4,Implant,Implant,0.96,1
ANES ANALYS FASTING BLOOD,anesthesia analysis fasting blood,Laboratory,Laboratory,0.91,1
ANES ANALYSIS CALCIUM,anesthesia analysis calcium,Laboratory,Laboratory,0.91,1
ANES LV 3 EA ADD MIN,anesthesia lv 3 each additional minutes,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,0.91,1
ANESTH PER MINUTE,anesthesia per minute,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,0.91,1
ANESTHESIA EA MIN,anesthesia each minutes,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,0.91,1
ANESTHESIA LEVEL 1,anesthesia level 1,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,0.96,1
ANESTHESIA PER 30MIN > 90MIN HCHG ANESTHESIA PER 30MIN > 90MIN,anesthesia per 30min greater_than 90min minutes anesthesia per 30min greater_than 90min,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,0.92,1
ANTI-PHOSPHATIDYL,anti phosphatidyl,Laboratory,Laboratory,0.901,1
ANTIMICROBIAL BREAKPOINT/MIC,antimicrobial breakpoint/microclave,Laboratory,Plan Benefit,0.2675,0
AQUAPHOR OINTMENT 14OZ 1 TUB E,aquaphor ointment 14oz 1 tube e,Supply,Supply,0.91,1
ARM RESTRAINT,arm restraint,Supply,Laboratory,0.415,0
ARTERIAL PUNCTURE WITH KIT,arterial puncture w kit,Supply,Nursing Services,0.9,0
ARTIFICIAL TEARS OINT 3.5 G TUBE,artificial tears ointment 3.5 gram tube,Supply,Supply,0.8065,1
ASPIRIN 325 MG TABS,aspirin 325_mg tablets,Pharmacy,Pharmacy,0.9169,1
ASPIRIN 325MG; ASPIRIN 325 MG TABLET .EC,aspirin 325_mg aspirin 325_mg tablet each,Pharmacy,Pharmacy,0.7744,1
ASPIRIN 81 MG CHEW TAB,aspirin 81_mg chew tablet,Pharmacy,Pharmacy,0.96,1
ASPIRIN 81 MGCHEW 750 EACH BLIST PACK,aspirin 81_mgchew 750 each blister pack,Pharmacy,Pharmacy,0.7886,1
ASSAY OF CALCIUM IONIZED,assay of calcium ionized,Laboratory,Laboratory,0.91,1
ASSAY OF PHOSPHORUS,assay of phosphorus,Laboratory,Laboratory,0.8732,1
ASSAY OF SERUM SODIUM,assay of serum sodium,Laboratory,Laboratory,0.9,1
ATORVASTATIN 40MG TABLET,atorvastatin 40_mg tablet,Pharmacy,Pharmacy,0.91,1
B COMPLEX-VITAMIN C-FOLI,b complex vitamin cap folic,Pharmacy,Pharmacy,1.0,1
B COMPLEX-VITAMIN C-FOLIC ACID 0.8 MG TAB,b complex vitamin cap folic acid 0.8_mg tablet,Pharmacy,Pharmacy,0.91,1
B-TYPE NATRIURETIC PEPTIDE,b type natriuretic peptide,Laboratory,Laboratory,0.9085,1
B-TYPE NATRIURETIC PEPTIDE (BN,b type natriuretic peptide bone,Laboratory,Laboratory,0.8262,1
B-TYPE NATRIURETIC PEPTIDE PLASMA,b type natriuretic peptide plasma,Laboratory,Laboratory,0.8828,1
BACITRACIN 50 000 UNIT SOLR 1 EACH VIAL,bacitracin 50 000_units solution 1 each vial,Pharmacy,Pharmacy,0.91,1
BACITRACIN 500 UNIT/GRAM OINT 14 G TUBE,bacitracin 500_units/gram ointment 14 gram tube,Pharmacy,Pharmacy,0.8902,1
BACITRACIN 50MU VL,bacitracin 50mu vial,Pharmacy,Pharmacy,0.922,1
BANDAGE SCISSORS,bandage scissors,Supply,Supply,0.7763,1
BARRIER EAKIN LG 839001,barrier eakin large 839001,Supply,Supply,0.9,1
BASIC ANES SERVICES,basic anesthesia services,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,0.925,1
BEBONKERS SUCTION,bebonkers suction,Supply,Supply,0.472,1
BEDSIDE GLUCOSE,bedside glucose,Monitoring,Monitoring,0.91,1
BEDSIDE GLUCOSE TEST,bedside glucose test,Monitoring,Monitoring,0.9214,1
BENZODIAZEPINESI-,benzodiazepines,Laboratory,Pharmacy,0.4775,0
BILIRUBIN DIR,bilirubin direct,Laboratory,Laboratory,0.93,1
BLADE SURG CLPR STD 1 PASS,blade surgical clpr standard 1 pass,Supply,Supply,0.7712,1
BLANKET ADULT UNDERBODY,blanket adult underbody,Supply,Supply,0.8911,1
BLD GAS-PH PO2 PCO2,blood gas hydrogen_ion_concentration partial_pressure_of_oxygen partial_pressure_of_carbon_dioxide,Laboratory,Monitoring,0.3292,0
BLD TYPING RH D,blood typing rhesus daily,Laboratory,Laboratory,0.95,1
BLD# COMPL AUTO HHRWP&AUTO DIFFIAL,blood complete automated hhrwp_and_automated differential,Laboratory,Laboratory,0.92,1
BLD# PLTLT AUTO,blood platelet automated,Laboratory,Laboratory,0.8412,1
BLD# RETICULOCYTE MNL,blood reticulocyte manual,Laboratory,Laboratory,0.7256,1
BLDE CLIPPER SNGL USE,blade clipper single use,Supply,Supply,0.9019,1
BLOOD ADMINISTRATION (,blood administration,Nursing Services,Nursing Services,1.0,1
BLOOD ADMINISTRATION SET,blood administration set,Supply,Nursing Services,0.95,0
BLOOD CULTURE AEROBIC,blood culture aerobic,Laboratory,Laboratory,0.91,1
BLOOD CULTURE FOR BACTERIA,blood culture for bacteria,Laboratory,Laboratory,0.9055,1
BLOOD GAS SAMPLING ARTERIAL,blood gas sampling arterial,Nursing Services,Nursing Services,0.91,1
BLOOD GAS W CALC 02 SAT,blood gas with calc 2 saturation,Laboratory,Laboratory,0.91,1
BLOOD GAS-ARTERIAL,blood gas arterial,Laboratory,Monitoring,0.7089,0
BLOOD GASES POC,blood gases point_of_care,Monitoring,Laboratory,0.91,0
BLOOD GASES W O2 SATURATION,blood gases with oxygen saturation,Laboratory,Laboratory,0.99,1
BODY ALIGNER,body aligner,Supply,Laboratory,0.7325,0
BOOT SUTURE,boot suture,Supply,Supply,0.4891,1
BORRELLA BURGDORF,borrelia burgdorferi,Laboratory,Laboratory,0.8677,1
BOSENTAN 6.25 MG/ML SOLN 5 ML BOTTLE,bosentan 6.25_mg/ml solution 5_ml bottle,Plan Benefit,Plan Benefit,0.882,1
BOSENTAN 62.5 MG TABLET,bosentan 62.5_mg tablet,Plan Benefit,Plan Benefit,0.97,1
BOSETAN TAB 62.5MG,bosentan tablet 62.5_mg,Plan Benefit,Plan Benefit,0.91,1
BREAST PUMP,breast pump,Capital Equipment,Capital Equipment,0.7808,1
BRIMONIDINE OP SO 0.2,brimonidine operative so 0.2,Pharmacy,Pharmacy,0.1808,1
BROMOCRIPTINE 2.5 MG TABLET,bromocriptine 2.5_mg tablet,Pharmacy,Pharmacy,0.908,1
BUDESONIDE 0.25 MG/2 ML NBSP 2 ML,budesonide 0.25_mg/2_ml nbsp 2_ml,Pharmacy,Pharmacy,0.96,1
BUFFERED LIDOCAINE 1 % SYRG 0.2 ML SYRINGE,buffered lidocaine 1% syringe 0.2_ml syringe,Pharmacy,Pharmacy,0.91,1
BUMETANIDE 0.25 MG/ML VI,bumetanide 0.25_mg/ml vi_0523,Pharmacy,Pharmacy,0.91,1
BUMETANIDE 1 MG TABS,bumetanide 1_mg tablets,Pharmacy,Pharmacy,0.9152,1
BUPIVACAINE-LIDOCAINE (DUH 1:1) 0.25%-1 % SOLN,bupivacaine lidocaine duh 1 1 0.25% 1% solution,Pharmacy,Pharmacy,0.8882,1
BUPROPION 75 MG TAB,bupropion 75_mg tablet,Pharmacy,Pharmacy,0.91,1
