Original Description,Normalized Description,Predicted_Class_Jaro,Prob_Jaro,Predicted_Class_DLevenshtein,Prob_DLevenshtein,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Voted Output,CHRG_CLS,Voting Algorithm,Confidence Score,Match_Jaro,Match_DLevenshtein,Match_Logistic,Match_DeepNN,Match_Voted
77045557 - VALVE  TRACH SPEAKING,valve tracheostomy speaking,Supply,0.67,Supply,0.37,Supply,0.517575992777,Supply,0.745377558703,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.57573838787,1,1,1,1,1
77058113 - SLEEVE COMPRESSION REGULAR,sleeve compression regular,Supply,0.85,Supply,0.88,Supply,0.96,Supply,0.999593993573,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.922398498393,1,1,1,1,1
77071644 - KIT INTRODUCER DUAL LUMEN MAC,kit introducer dual lumen monitored_anesthesia_care,Supply,0.76,Supply,0.81,Supply,0.926067737706,Supply,0.999962848313,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.874007646505,1,1,1,1,1
77072669 - SYRINGE HYPO 10ML DISP,syringe hypodermic_injection 10_ml dispensed_1_5%,Supply,0.75,Supply,0.41,Pharmacy,0.76,Supply,0.527741602806,Supply,Supply,"Jaro, DLevenshtein, DeepNN",0.421935400701,1,1,0,1,1
77075089 - TUBE FDG ADLT NON WTED 55 10F,tube fdg adult non wted 55 10,Supply,0.66,Supply,0.32,Supply,0.92,Supply,0.974588625973,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.718647156493,1,1,1,1,1
77078733 - TUBE TRACH 8.0 XLT CUFF DIS,tube tracheostomy 8 xlt cuff dis,Supply,0.85,Supply,0.93,Supply,0.96,Supply,0.996830670827,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.934207667707,1,1,1,1,1
83946810 - OXYGEN CONSUMPTION,oxygen consumption,Respiratory Therapy,0.75,Pharmacy,0.34,Respiratory Therapy,0.92,Respiratory Therapy,0.945330877206,Respiratory Therapy,Respiratory Therapy,"Jaro, Logistic_OvR, DeepNN",0.653832719302,1,0,1,1,1
86647000 - NEUROMUSCULAR REEDUC / 15 MIN,neuromuscular reeduc/15 minutes,PT / OT / Speech Therapy,0.75,PT / OT / Speech Therapy,0.81,PT / OT / Speech Therapy,0.503057215478,PT / OT / Speech Therapy,0.551414111266,PT / OT / Speech Therapy,PT / OT / Speech Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.653617831686,1,1,1,1,1
86850000 - COGNITIVE/SENSE REED/15MIN(OT),cognitive/sense reed/15_minutes occupational_therapy,PT / OT / Speech Therapy,0.72,PT / OT / Speech Therapy,0.81,PT / OT / Speech Therapy,0.96,PT / OT / Speech Therapy,0.999850941444,PT / OT / Speech Therapy,PT / OT / Speech Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.872462735361,1,1,1,1,1
86921000 - NO CHARGE OT SCREENING,no_catheter charge occupational_therapy screening,OR / Anesthesia / Recovery Room,0.7,PT / OT / Speech Therapy,0.38,PT / OT / Speech Therapy,0.502224434384,PT / OT / Speech Therapy,0.891761938837,PT / OT / Speech Therapy,PT / OT / Speech Therapy,"DLevenshtein, Logistic_OvR, DeepNN",0.443496593305,0,1,1,1,1
ABG W 02 SAT (ABGCOX),arterial_blood_gas with 2 saturation abgcox,Monitoring,0.68,Laboratory,0.33,Monitoring,0.92,Monitoring,0.997724320267,Monitoring,Laboratory,"Jaro, Logistic_OvR, DeepNN",0.649431080067,0,1,0,0,0
ABO TYPE,abo type,Laboratory,0.85,Laboratory,0.88,Laboratory,0.903420365332,Laboratory,0.970539792803,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.900990039534,1,1,1,1,1
ABSOLUTE RETICS,absolute retics,Monitoring,0.75,Diluent / Flush / Irrigant,0.43,Laboratory,0.911037765072,Laboratory,0.99928099445,Laboratory,Laboratory,"Logistic_OvR, DeepNN",0.477579689881,0,0,1,1,1
ACCUCHECK,accucheck,Monitoring,0.85,Monitoring,0.96,Laboratory,0.174458745344,Supply,0.362877023372,Monitoring,Monitoring,"Jaro, DLevenshtein",0.4525,1,1,0,0,1
ACCUCHECK  SINGLE,accucheck single,Monitoring,0.79,Monitoring,0.81,Supply,0.561803824033,Supply,0.974129679359,Monitoring,Monitoring,"Jaro, DLevenshtein",0.4,1,1,0,0,1
ACID FAST CULTURE,acid fast culture,Laboratory,0.76,Laboratory,0.88,Laboratory,0.949425256592,Laboratory,0.999633104459,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.897264590263,1,1,1,1,1
ACT LR,activity leukocyte_reduced,Pharmacy,0.75,Pharmacy,0.44,Laboratory,0.539839224938,Laboratory,0.500919599163,Pharmacy,Laboratory,"Jaro, DLevenshtein",0.2975,0,0,1,1,0
ADH TOP MASTISL 2/3ML VI 0523-,adhesive top mastisol 2/3_ml vial 523,Pharmacy,0.67,Pharmacy,0.33,Supply,0.96,Supply,0.999538754712,Supply,Supply,"Logistic_OvR, DeepNN",0.489884688678,0,0,1,1,1
ADL SELFCARE MANAGEMENT TRAIN,activities_of_daily_living selfcare management train,OR / Anesthesia / Recovery Room,0.73,Supply,0.81,PT / OT / Speech Therapy,0.464204618604,PT / OT / Speech Therapy,0.812540094475,PT / OT / Speech Therapy,PT / OT / Speech Therapy,"Logistic_OvR, DeepNN",0.31918617827,0,0,1,1,1
ADMIN SET IV BLD FLD Y 4C8723,administration set intravenous blood field y 4c8723,Diluent / Flush / Irrigant,0.7,Laboratory,0.35,Supply,0.76,Supply,0.999329694052,Supply,Supply,"Logistic_OvR, DeepNN",0.439832423513,0,0,1,1,1
ADULT FOAM ELECTRODES (PACK),adult foam electrodes pack,Supply,0.72,Supply,0.48,Supply,0.96,Supply,0.999832460094,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.789958115023,1,1,1,1,1
AEROBIC CULTURE (AER),aerobic culture aero,Laboratory,0.78,Laboratory,0.81,Laboratory,0.96,Laboratory,0.976119101586,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.881529775397,1,1,1,1,1
AEROCHAMBER DEVICE,aerochamber device,PT / OT / Speech Therapy,0.73,Monitoring,0.47,Supply,0.92,Supply,0.997070168848,Supply,Supply,"Logistic_OvR, DeepNN",0.479267542212,0,0,1,1,1
AEROSOL INHALATION SUBSEQ,aerosol inhalation subsequent,Respiratory Therapy,0.85,Respiratory Therapy,0.93,Respiratory Therapy,0.92,Respiratory Therapy,0.998410787881,Respiratory Therapy,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.92460269697,1,1,1,1,1
AEROSOL TREATMENT SUBSEQUENT,aerosol treatment subsequent,Respiratory Therapy,0.75,PT / OT / Speech Therapy,0.81,Respiratory Therapy,0.96,Respiratory Therapy,0.999850755002,Respiratory Therapy,Respiratory Therapy,"Jaro, Logistic_OvR, DeepNN",0.677462688751,1,0,1,1,1
AG DETECTION POLIVAL IF EACH,silver detection polival if each,Laboratory,0.78,Laboratory,0.81,Laboratory,0.96,Laboratory,0.833251840633,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.845812960158,1,1,1,1,1
AHG (COOMBS) TEST,ahg coombs test,Laboratory,0.73,Laboratory,0.81,Laboratory,0.926263875538,Laboratory,0.993942053428,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.865051482242,1,1,1,1,1
AIRWAY LMA UNIQUE STD 3,airway lma unique standard 3,Respiratory Therapy,0.74,Respiratory Therapy,0.43,Supply,0.417375539991,Respiratory Therapy,0.519930186421,Respiratory Therapy,Supply,"Jaro, DLevenshtein, DeepNN",0.422482546605,0,0,1,0,0
AIRWAY MAINTENANCE/20,airway maintenance/20,Respiratory Therapy,0.75,Respiratory Therapy,0.4,Respiratory Therapy,0.92,Respiratory Therapy,0.984968040782,Respiratory Therapy,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.763742010196,1,1,1,1,1
AIRWY OP BRMN MEDC 80MM X1,airway operative brmn medc 80mm x1,Supply,0.74,Supply,0.43,Respiratory Therapy,0.454260732416,Supply,0.806020767853,Supply,Supply,"Jaro, DLevenshtein, DeepNN",0.494005191963,1,1,0,1,1
ALARIS 8100 LVP MOD,alaris 8100 lvp module,Capital Equipment,0.74,Capital Equipment,0.44,Supply,0.533562700654,Supply,0.947847630783,Supply,Capital Equipment,"Logistic_OvR, DeepNN",0.370352582859,1,1,0,0,0
ALBUTEROL 90 MCG/ACTUATION,albuterol 90 mcg_gram_aerosol/actuation,Pharmacy,0.72,Pharmacy,0.46,Pharmacy,0.908198986375,Pharmacy,0.99176225581,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.769990310546,1,1,1,1,1
ALBUTEROL 90 MCG/PUFF HFAA 8 G CANISTER,albuterol 90 mcg_gram_aerosol/puff hfaa 8 gram canister,Laboratory,0.7,Pharmacy,0.39,Pharmacy,0.96,Pharmacy,0.828638601395,Pharmacy,Pharmacy,"DLevenshtein, Logistic_OvR, DeepNN",0.544659650349,0,1,1,1,1
ALBUTEROL 90 MCG/PUFF HFAA 8.5 G CANISTER,albuterol 90 mcg_gram_aerosol/puff hfaa 8.5 gram canister,Laboratory,0.7,Pharmacy,0.37,Pharmacy,0.96,Pharmacy,0.828638601395,Pharmacy,Pharmacy,"DLevenshtein, Logistic_OvR, DeepNN",0.539659650349,0,1,1,1,1
