Original Description,Normalized Description,Changes,Predicted_Class_Jaro,Prob_Jaro,Predicted_Class_DLevenshtein,Prob_DLevenshtein,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Voted Output,Voting Algorithm,Sum Correct,Correct_Jaro,Correct_DLevenshtein,Correct_Logistic_OvR,Correct_DeepNN,Confidence Score,Feature 1,Feature 2,Feature 3,Feature 4
12858252 - HYDROCODONE/ACETAMIN 5/325 TAB,hydrocodone/acetamin 5/325 tablet,hydrocodone:hydrocodone||acetamin:acetamin||5:5||325:325||tab:tablet||,Pharmacy,0.85,Pharmacy,0.81,Pharmacy,0.950220787639,Pharmacy,0.999904547362,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.90253133375,5/325,hydrocodone,acetamin,tab
12882012 - HYDROPHOR OINTMENT 454GM,hydrophor ointment 454_gm,hydrophor:hydrophor||ointment:ointment||454gm:454_gm||,Pharmacy,0.7,Pharmacy,0.41,Pharmacy,0.493898411977,Pharmacy,0.756832468254,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.590182720058,hydrophor,454_gm,ointment,
13250212 - LIDOCAINE 2% TOPICAL JELLY 5ML,lidocaine 2% topical jelly 5_ml,lidocaine:lidocaine||2%:2%||topical:topical||jelly:jelly||5ml:5_ml||,Pharmacy,0.71,Pharmacy,0.81,Pharmacy,0.949017766972,Pharmacy,0.999850524951,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.867217072981,2%,jelly,5_ml,lidocaine
13510592 - MGSO4 PER 500MG (100ML),13510592_mgso4 per 500_mg 100_ml,13510592_mgso4:13510592_mgso4||per:per||500mg:500_mg||100ml:100_ml||,Pharmacy,0.77,Pharmacy,0.88,Pharmacy,0.935422617298,Pharmacy,0.998305272297,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.895931972399,100_ml,13510592_mgso4,500_mg,per
13754012 - MONTELUKAST SODIUM TABLET 10MG,montelukast sodium tablet 10_mg,montelukast:montelukast||sodium:sodium||tablet:tablet||10mg:10_mg||,Pharmacy,0.74,Pharmacy,0.81,Pharmacy,0.972008978688,Pharmacy,0.999665220905,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.880418549898,montelukast,10_mg,tablet,sodium
13802212 - MUPIROCIN 2% OINT 22GM,mupirocin 2% ointment 22_gm,mupirocin:mupirocin||2%:2%||oint:ointment||22gm:22_gm||,Pharmacy,0.68,Pharmacy,0.48,Pharmacy,0.92,Pharmacy,0.970048958658,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.762512239664,mupirocin,oint,22_gm,2%
14113252 - ONDANSETRON HCL  PER 1MG  INJ,ondansetron hcl per 1_mg injection,ondansetron:ondansetron||hcl:hcl||per:per||1mg:1_mg||inj:injection||,Pharmacy,0.77,Pharmacy,0.88,Pharmacy,0.962712240386,Pharmacy,0.999914113015,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.90315658835,1_mg,ondansetron,inj,per
14151192 - OXYCODONE HCL TABLET 5MG,oxycodone hcl tablet 5_mg,oxycodone:oxycodone||hcl:hcl||tablet:tablet||5mg:5_mg||,Pharmacy,0.85,Pharmacy,0.93,Pharmacy,0.95583554249,Pharmacy,0.999940036425,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.933943894729,tablet,5_mg,oxycodone,hcl
14382121 - PHARMACY TDM COMP CONSULT,pharmacy tdm component consultation,pharmacy:pharmacy||tdm:tdm||comp:component||consult:consultation||,Professional Fee,0.85,Professional Fee,0.93,Laboratory,0.256711661767,Professional Fee,0.226299739694,Professional Fee,"Jaro, DLevenshtein, DeepNN",3,1,1,0,1,0.668766579898,consultation,comp,tdm,pharmacy
14668212 - PROPOFOL PER 10MG/ 5ML SYR INJ,propofol per 10_mg/5_ml syringe injection,propofol:propofol||per:per||10mg:10_mg||5ml:5_ml||syr:syringe||inj:injection||,Pharmacy,0.78,Pharmacy,0.88,Pharmacy,0.965787493507,Pharmacy,0.99995811607,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.906436402394,10_mg/5_ml,syr,inj,propofol
14668262 - PROPOFOL PER 10MG/100ML INJ,propofol per 10_mg/100_ml injection,propofol:propofol||per:per||10mg:10_mg||100ml:100_ml||inj:injection||,Pharmacy,0.85,Pharmacy,0.88,Pharmacy,0.950708588624,Pharmacy,0.999642190506,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.920087694782,10_mg/100_ml,inj,propofol,per
14987242 - SODIUM CITRATE SOLN 4% 3ML,sodium citrate solution 4% 3_ml,sodium:sodium||citrate:citrate||soln:solution||4%:4%||3ml:3_ml||,Monitoring,0.74,Pharmacy,0.47,Pharmacy,0.518409774497,Pharmacy,0.881857191053,Pharmacy,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.62342232185,4%,soln,citrate,3_ml
15601252 - VANOMYCIN NEBS FOR INH,vancomycin nebs for inhaled,vanomycin:vancomycin||nebs:nebs||for:for||inh:inhaled||,Pharmacy,0.71,Pharmacy,0.81,Pharmacy,0.536527998205,Pharmacy,0.674819687974,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.682836921545,nebs,inh,vancomycin,
15610212 - VASOPRESSIN 20U/ML 1ML,vasopressin 20_units/ml 1_ml,vasopressin:vasopressin||20u:20_units||ml:ml||1ml:1_ml||,Diluent / Flush / Irrigant,0.71,Pharmacy,0.81,Pharmacy,0.953724661909,Pharmacy,0.99927965019,Pharmacy,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.921001437366,20_units/ml,1_ml,vasopressin,
20 GA ARTERIAL LINE CATHETER,20 ga arterial line catheter,20:20||ga:ga||arterial:arterial||line:line||catheter:catheter||,Supply,0.71,Supply,0.81,Supply,0.92,Supply,0.986571131206,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.856642782802,arterial,line,catheter,ga
25000522-DORNASE ALPHA 1 MG/ML SOLN 2.5 ML PLAS CONT,dornase alpha 1_mg/ml solution 2.5_ml plastic container,dornase:dornase||alpha:alpha||1_mg:1_mg||ml:ml||soln:solution||2.5_ml:2.5_ml||plas:plastic||cont:container||,Plan Benefit,0.85,Plan Benefit,0.93,Plan Benefit,0.96,Plan Benefit,0.999107420122,Plan Benefit,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.93477685503,container,soln,plastic,2.5_ml
27054009 - FLUORO GDE CVAD ACCESS/REM,fluroscopy gde cvad access/rem,fluoro:fluroscopy||gde:gde||cvad:cvad||access:access||rem:rem||,Radiology,0.75,Radiology,0.42,Laboratory,0.544038335917,Procedure,0.942956915166,Radiology,"Jaro, DLevenshtein",2,1,1,0,0,0.2925,fluroscopy,access,cvad,gde
27102000 - XR CHEST 2 VWS PA LATERAL,x_ray chest 2 vws posterior_anterior lateral,xr:x_ray||chest:chest||2:2||vws:vws||pa:posterior_anterior||lateral:lateral||,Radiology,0.85,Radiology,0.81,Radiology,0.76,Procedure,0.846605127247,Radiology,"Jaro, DLevenshtein, Logistic_OvR",3,1,1,1,0,0.806666666667,xr,chest,pa,lateral
27670505 - US ABDOMEN LTD OTHER QUAD,27670505_us abdomen ltd other quad,27670505_us:27670505_us||abdomen:abdomen||ltd:ltd||other:other||quad:quad||,Radiology,0.77,Radiology,0.45,Supply,0.96,Supply,0.860078177578,Supply,"Logistic_OvR, DeepNN",2,0,0,1,1,0.455019544395,27670505_us,quad,abdomen,ltd
27677000 - US RETROPERITONEAL COMP,27677000_us retroperitoneal component,27677000_us:27677000_us||retroperitoneal:retroperitoneal||comp:component||,Radiology,0.73,Radiology,0.81,Laboratory,0.92,Procedure,0.390135013728,Radiology,"Jaro, DLevenshtein",2,1,1,0,0,0.385,retroperitoneal,comp,27677000_us,
27907888 - ANGIO PACK,angiography pack,angio:angiography||pack:pack||,Supply,0.62,Pharmacy,0.32,Supply,0.92,Supply,0.873142182563,Supply,"Jaro, Logistic_OvR, DeepNN",3,1,0,1,1,0.804380727521,angiography,pack,,
27907923 - PERIPH INS PICC >5 NO PRT/PMP,peripheral insert peripherally_inserted_central_catheter greater_than 5 no_catheter port/pmp,periph:peripheral||ins:insert||picc:peripherally_inserted_central_catheter||greater_than:greater_than||5:5||no:no_catheter||prt:port||pmp:pmp||,Procedure,0.7,Procedure,0.47,Procedure,0.96,Procedure,0.999998502965,Procedure,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.782499625741,insert,pmp,no,periph
30572000 - VENOUS DUPLEX IMAGE BILAT,venous duplex image bilateral,venous:venous||duplex:duplex||image:image||bilat:bilateral||,Radiology,0.75,Radiology,0.47,Radiology,0.76,Procedure,0.66698534406,Radiology,"Jaro, DLevenshtein, Logistic_OvR",3,1,1,1,0,0.66,venous,duplex,image,bilateral
36592 BLOOD DRAW-CENTRL/PERI,blood draw central/peri,blood:blood||draw:draw||centrl:central||peri:peri||,Nursing Services,0.73,Nursing Services,0.44,Nursing Services,0.96,Nursing Services,0.998824115522,Nursing Services,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.78220602888,draw,peri,central,blood
46720000 - RB 6 EAST SEMI-PVT,room_and_board 6 east semi private,rb:room_and_board||6:6||east:east||semi:semi||pvt:private||,Room and Board,0.76,Room and Board,0.81,Room and Board,0.905160999343,Room and Board,0.999996524927,Room and Board,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.868789381067,east,rb,private,semi
53277000 - ARTERIAL BLD DRAW FOR ANALYSIS,arterial blood draw for analysis,arterial:arterial||bld:blood||draw:draw||for:for||analysis:analysis||,Nursing Services,0.73,Nursing Services,0.41,Nursing Services,0.76,Nursing Services,0.998995847213,Nursing Services,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.724748961803,arterial,draw,bld,analysis
58119000 - BIPAP/CPAP SET UP,bipap/continuous_positive_airway_pressure set up,bipap:bipap||cpap:continuous_positive_airway_pressure||set:set||up:up||,Laboratory,0.72,Respiratory Therapy,0.41,Supply,0.76,Supply,0.998572824892,Supply,"Logistic_OvR, DeepNN",2,0,0,1,1,0.439643206223,set,continuous_positive_airway_pressure,bipap,
58341000 - RESPIRATORY WEANING MECHANICS,respiratory weaning mechanics,respiratory:respiratory||weaning:weaning||mechanics:mechanics||,Respiratory Therapy,0.79,Respiratory Therapy,0.81,Respiratory Therapy,0.509777559796,Procedure,0.625932695936,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR",3,1,1,1,0,0.703259186599,mechanics,respiratory,weaning,
58858001 - ADLT VENT SUBSEQ DAYW EPOPROST,adult ventilation subsequent dayw epoprostenol,adlt:adult||vent:ventilation||subseq:subsequent||dayw:dayw||epoprost:epoprostenol||,Diluent / Flush / Irrigant,0.69,Respiratory Therapy,0.44,Respiratory Therapy,0.96,Respiratory Therapy,0.883493508991,Respiratory Therapy,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.761164502997,subseq,ventilation,epoprostenol,adlt
59541000 - PRESSURE TRANSDUCER,pressure transducer,pressure:pressure||transducer:transducer||,Room and Board,0.69,OR / Anesthesia / Recovery Room,0.38,Supply,0.96,Supply,0.988311440033,Supply,"Logistic_OvR, DeepNN",2,0,0,1,1,0.487077860008,pressure,transducer,,
59757000 - CATH SINGLE LUMEN SC14701,catheter single lumen sc14701,cath:catheter||single:single||lumen:lumen||sc14701:sc14701||,Supply,0.69,Other,0.37,Supply,0.942177680908,Supply,0.995509891473,Supply,"Jaro, Logistic_OvR, DeepNN",3,1,0,1,1,0.87589585746,sc14701,cath,single,lumen
5F FEED TUBE,5 feed tube,5f:5||feed:feed||tube:tube||,Pharmacy,0.7,Capital Equipment,0.45,Supply,0.96,Supply,0.980132380008,Supply,"Logistic_OvR, DeepNN",2,0,0,1,1,0.485033095002,feed,tube,,
63003201 - BUN URINE,blood_urea_nitrogen urine,bun:blood_urea_nitrogen||urine:urine||,Laboratory,0.75,Laboratory,0.81,Laboratory,0.933483325297,Laboratory,0.999109577815,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.873148225778,bun,urine,,
63015000 - PH BLOOD,hydrogen_ion_concentration blood,ph:hydrogen ion concentration||blood:blood||,Laboratory,0.77,Laboratory,0.47,Laboratory,0.96,Laboratory,0.998304519919,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.79957612998,ph,blood,,
63601000 - EXTRA TUBE STATISTICAL CDM,extra tube statistical cdm,extra:extra||tube:tube||statistical:statistical||cdm:cdm||,Laboratory,0.7,Laboratory,0.48,Supply,0.96,Supply,0.643043580637,Supply,"Logistic_OvR, DeepNN",2,0,0,1,1,0.400760895159,cdm,tube,statistical,extra
63719001 - TSH,63719001 thyroid-stimulating_hormone,63719001:63719001||tsh:thyroid-stimulating_hormone||,Laboratory,0.77,Pharmacy,0.44,Laboratory,0.96,Laboratory,0.990619375332,Laboratory,"Jaro, Logistic_OvR, DeepNN",3,1,0,1,1,0.906873125111,tsh,,,
63972001 - FERRITIN,63972001 ferritin,63972001:63972001||ferritin:ferritin||,Laboratory,0.72,Laboratory,0.81,Laboratory,0.96,Laboratory,0.97620200723,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.866550501807,ferritin,,,
64266000 - CULTURE ISOLATE ID ADD METHOD,culture isolate id additional method,culture:culture||isolate:isolate||id:id||add:additional||method:method||,Laboratory,0.7,Laboratory,0.42,Laboratory,0.970181189304,Laboratory,0.999798159496,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.7724948372,culture,method,isolate,id
64402000 - KOH FOR SKIN  HAIR NAILS,koh for skin hair nails,koh:koh||for:for||skin:skin||hair:hair||nails:nails||,Laboratory,0.69,Laboratory,0.37,Supply,0.941958949852,Supply,0.996903711217,Supply,"Logistic_OvR, DeepNN",2,0,0,1,1,0.484715665267,hair,koh,nails,skin
64944000 - YEAST ID,yeast id,yeast:yeast||id:id||,Laboratory,0.69,Laboratory,0.41,Laboratory,0.92,Laboratory,0.905474976955,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.731368744239,id,yeast,,
64966000 - URINE CX W/PRESUMP ID,64966000_urine cervix_or_complaint_of w presumptive id,64966000_urine:64966000_urine||cx:cervix_or_complaint_of||with:w||presump:presumptive||id:id||,Laboratory,0.73,Laboratory,0.81,Laboratory,0.76,Procedure,0.450497519133,Laboratory,"Jaro, DLevenshtein, Logistic_OvR",3,1,1,1,0,0.766666666667,presumptive,64966000_urine,w,cx
64982000 - RESPIRATORY VIRAL CULTURE,respiratory viral culture,respiratory:respiratory||viral:viral||culture:culture||,Laboratory,0.85,Laboratory,0.93,Laboratory,0.90231281991,Laboratory,0.999603577098,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.920479099252,viral,respiratory,culture,
64999000 - COMP GI PANEL BY PCR,component gastrointestinal panel by pcr,comp:component||gi:gastrointestinal||panel:panel||by:by||pcr:pcr||,Laboratory,0.69,Laboratory,0.81,Laboratory,0.928409265848,Laboratory,0.987353522704,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.853940697138,pcr,gi,comp,panel
67409000 - CYTOLOGY GMS SCREEN,cytology grams screen,cytology:cytology||gms:grams||screen:screen||,Laboratory,0.77,Laboratory,0.81,Laboratory,0.93766203293,Laboratory,0.99515227321,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.878203576535,screen,cytology,grams,
69884001 - AMIKACIN,69884001 amikacin,69884001:69884001||amikacin:amikacin||,PT / OT / Speech Therapy,0.69,Laboratory,0.44,Pharmacy,0.96,Pharmacy,0.967052623893,Pharmacy,"Logistic_OvR, DeepNN",2,0,0,1,1,0.481763155973,amikacin,,,
69893001 - TROPONIN T,troponin tab,troponin:troponin||t:tab||,Laboratory,0.76,Laboratory,0.47,Laboratory,0.96,Procedure,0.464653832187,Laboratory,"Jaro, DLevenshtein, Logistic_OvR",3,1,1,1,0,0.73,troponin,tab,,
70046000 - 046 DRUG SCREEN URINE,46 drug screen urine,046:46||drug:drug||screen:screen||urine:urine||,Laboratory,0.75,Room and Board,0.46,Laboratory,0.911117750212,Laboratory,0.99776023226,Laboratory,"Jaro, Logistic_OvR, DeepNN",3,1,0,1,1,0.886292660824,screen,urine,drug,
70046001 - 046 ALKALOIDS ORGANIC BASES,46 alkaloids organic bases,046:46||alkaloids:alkaloids||organic:organic||bases:bases||,Laboratory,0.69,Laboratory,0.38,Laboratory,0.92,Laboratory,0.993500948536,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.745875237134,bases,organic,alkaloids,
77000453 - FLUTTER VALVE,flutter valve,flutter:flutter||valve:valve||,Respiratory Therapy,0.68,Respiratory Therapy,0.38,Supply,0.92,Procedure,0.495154454431,Respiratory Therapy,"Jaro, DLevenshtein",2,1,1,0,0,0.265,valve,flutter,,
77000498 - SUTURE 4-0 CHROMIC U203H,suture 4 0 chromic u203h,suture:suture||4:4||0:0||chromic:chromic||u203h:u203h||,Supply,0.72,Supply,0.81,Supply,0.92,Supply,0.99236487224,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.86059121806,chromic,suture,u203h,
77019412 - DRESSING WOUND CARE POLYMEM,dressing wound care polymem,dressing:dressing||wound:wound||care:care||polymem:polymem||,Supply,0.74,Supply,0.47,Supply,0.92,Supply,0.765430834101,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.723857708525,care,wound,polymem,dressing
77019768 - SURGIFOAM SPONGE SZ100,surgifoam sponge sz100,surgifoam:surgifoam||sponge:sponge||sz100:sz100||,Supply,0.65,Supply,0.34,Supply,0.76,Pharmacy,0.407323458481,Supply,"Jaro, DLevenshtein, Logistic_OvR",3,1,1,1,0,0.583333333333,sponge,surgifoam,sz100,
77020121 - VISE MULTI-TORQUE,vise multiple torque,vise:vise||multi:multiple||torque:torque||,Supply,0.71,Supply,0.39,Supply,0.96,Supply,0.950319178928,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.752579794732,torque,multiple,vise,
77020667 - GUIDEWIRE GLIDE SV 018/180ANG,guidewire glide sv 018/180ang,guidewire:guidewire||glide:glide||sv:sv||018:018||180ang:180ang||,Supply,0.75,Supply,0.32,Supply,0.950214046273,Supply,0.994619136112,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.753708295596,018/180ang,glide,guidewire,sv
77042463 - TRAY FOLEY 16FR 350CC TEMP MTR,tray foley 16fr 350_cc temperature mtr,tray:tray||foley:foley||16fr:16fr||350cc:350_cc||temp:temperature||mtr:mtr||,Supply,0.68,Supply,0.33,Supply,0.911172441273,Supply,0.986906302892,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.727019686041,foley,temp,mtr,16fr
77045557 - VALVE  TRACH SPEAKING,valve tracheostomy speaking,valve:valve||trach:tracheostomy||speaking:speaking||,Supply,0.67,Supply,0.37,Supply,0.517622769402,Supply,0.845984092993,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.600901715599,trach,valve,speaking,
77058113 - SLEEVE COMPRESSION REGULAR,sleeve compression regular,sleeve:sleeve||compression:compression||regular:regular||,Supply,0.85,Supply,0.88,Supply,0.96,Supply,0.974965488268,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.916241372067,regular,compression,sleeve,
77071644 - KIT INTRODUCER DUAL LUMEN MAC,kit introducer dual lumen monitored_anesthesia_care,kit:kit||introducer:introducer||dual:dual||lumen:lumen||mac:monitored_anesthesia_care||,Supply,0.76,Supply,0.81,Supply,0.926112244047,Supply,0.999754688735,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.873966733195,lumen,mac,introducer,dual
77072669 - SYRINGE HYPO 10ML DISP,syringe hypodermic_injection 10_ml dispensed_1_5%,syringe:syringe||hypo:hypodermic_injection||10ml:10_ml||disp:dispensed_1_5%||,Supply,0.75,Supply,0.41,Pharmacy,0.76,Pharmacy,0.759411343391,Pharmacy,"Logistic_OvR, DeepNN",2,0,0,1,1,0.379852835848,syringe,hypo,10_ml,disp
77075089 - TUBE FDG ADLT NON WTED 55 10F,tube fdg adult non wted 55 10,tube:tube||fdg:fdg||adlt:adult||non:non||wted:wted||55:55||10f:10||,Supply,0.66,Supply,0.32,Supply,0.92,Pharmacy,0.734046673621,Supply,"Jaro, DLevenshtein, Logistic_OvR",3,1,1,1,0,0.633333333333,wted,tube,non,adlt
77078733 - TUBE TRACH 8.0 XLT CUFF DIS,tube tracheostomy 8 xlt cuff dis,tube:tube||trach:tracheostomy||8.0:8||xlt:xlt||cuff:cuff||dis:dis||,Supply,0.85,Supply,0.93,Supply,0.96,Supply,0.9906064103,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.932651602575,trach,tube,xlt,cuff
83946810 - OXYGEN CONSUMPTION,oxygen consumption,oxygen:oxygen||consumption:consumption||,Respiratory Therapy,0.75,Pharmacy,0.34,Respiratory Therapy,0.92,Respiratory Therapy,0.899969313548,Respiratory Therapy,"Jaro, Logistic_OvR, DeepNN",3,1,0,1,1,0.856656437849,consumption,oxygen,,
86647000 - NEUROMUSCULAR REEDUC / 15 MIN,neuromuscular reeduc/15 minutes,neuromuscular:neuromuscular||reeduc:reeduc||15:15||min:minutes||,PT / OT / Speech Therapy,0.75,PT / OT / Speech Therapy,0.81,PT / OT / Speech Therapy,0.503233151408,Procedure,0.940185995445,PT / OT / Speech Therapy,"Jaro, DLevenshtein, Logistic_OvR",3,1,1,1,0,0.687744383803,min,reeduc/15,neuromuscular,
86850000 - COGNITIVE/SENSE REED/15MIN(OT),cognitive/sense reed/15_minutes occupational_therapy,cognitive:cognitive||sense:sense||reed:reed||15min:15_minutes||ot:occupational_therapy||,PT / OT / Speech Therapy,0.72,PT / OT / Speech Therapy,0.81,PT / OT / Speech Therapy,0.96,PT / OT / Speech Therapy,0.999859383474,PT / OT / Speech Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.872464845868,reed/15_minutes,occupational_therapy,cognitive,sense
86921000 - NO CHARGE OT SCREENING,no_catheter charge occupational_therapy screening,no:no_catheter||charge:charge||ot:occupational_therapy||screening:screening||,OR / Anesthesia / Recovery Room,0.7,PT / OT / Speech Therapy,0.38,PT / OT / Speech Therapy,0.502366357362,PT / OT / Speech Therapy,0.816996542299,PT / OT / Speech Therapy,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.566454299887,no,charge,ot,screening
ABG W 02 SAT (ABGCOX),arterial_blood_gas with 2 saturation abgcox,abg:arterial_blood_gas||w:with||02:2||sat:saturation||abgcox:abgcox||,Monitoring,0.68,Laboratory,0.33,Monitoring,0.92,Monitoring,0.996813938749,Monitoring,"Jaro, Logistic_OvR, DeepNN",3,1,0,1,1,0.86560464625,abgcox,sat,abg,
